 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband
intercept 0.0003547787429249177 2.7895715894842256e-06 -1.9378408006348966e-06 -5.3328958374728395e-06 2.373974019262811e-06 3.5467114233060304e-06 8.111213874654571e-08 2.6959054979294427e-06 -2.5494961907987007e-06 1.0377285354900063e-06 -8.017975763002031e-08 6.933103806514651e-07 3.45588821872592e-07 2.3353247590656214e-07 1.3585401804589704e-08 5.400369774077717e-07 9.275730271062446e-07 -3.79161225332381e-09 -1.3567233287029414e-06 -1.4488696338769488e-07 -7.506761204063598e-07 3.252558112003572e-07 1.9273618085952616e-06 2.6134211445594505e-07 2.1138713266585812e-07 -1.1301602633162518e-06 -5.9074707292765285e-08
AGE 2.7895715894842395e-06 6.448480272199435e-07 3.702375565333903e-07 5.467499748177642e-07 -5.124979002524422e-07 -4.236230376843442e-07 -2.0320001824574044e-08 5.995102975166722e-08 -4.6048922566532414e-08 2.435737926824237e-08 5.943771499704366e-08 2.3977118252877506e-08 -5.5007933103857754e-08 9.894266635200153e-09 1.3752647566513414e-08 4.9434090104567084e-08 6.708046653901807e-08 -3.412770594801775e-09 -5.7992466600632946e-08 1.3432937270847704e-08 2.1687739601062365e-09 -7.351075046986969e-09 1.4855502375247827e-08 -6.704743125137141e-10 1.567117996579733e-08 -3.680809686990035e-08 -1.7287620849069988e-07
sex -1.9378408006349216e-06 3.7023755653339765e-07 0.0007629345920249262 5.9035015641702777e-05 -0.00020317388011578815 -5.074390485998082e-05 1.8034521793037163e-07 2.563643074307719e-07 -1.5379862028122188e-07 1.2237927054642356e-07 7.31253988411157e-07 -5.065254149262968e-07 -2.742029459390477e-07 1.442396071344292e-07 -4.106602437891107e-07 -2.779325982802274e-07 1.5970298583749304e-07 -1.4423138364405082e-07 -9.994215116456037e-08 4.5937935241158586e-07 -2.464001574114391e-07 -5.163315813529e-07 -2.0784255990716316e-07 -2.4846964933223724e-07 -4.309808876504867e-07 4.0016499425811044e-07 -3.2856919330364487e-06
age_sex -5.332895837472685e-06 5.467499748177528e-07 5.903501564170156e-05 0.0003754655044501749 -5.2592184126766874e-05 -0.0001314059225132344 3.5482107614729727e-07 3.8025049263581086e-08 1.4980785151263922e-07 2.7244913816059393e-07 -1.2036582212548703e-07 -3.214610004742694e-08 -3.904175531753831e-07 7.82315334904253e-08 2.65077926338871e-07 1.1498363403766314e-06 -6.565238217581674e-07 -2.3872165306940336e-07 4.4061418940490263e-07 5.817181839403573e-09 -5.260043984559133e-07 -1.0270697476446705e-07 -8.436764012030407e-07 -9.74285655223438e-10 1.325753436357109e-07 2.495274970059208e-07 -3.865664020436305e-06
age2_sex 2.3739740192627834e-06 -5.124979002524436e-07 -0.0002031738801157869 -5.259218412676786e-05 0.00011985931945811795 4.382469790201781e-05 -6.352131341956728e-08 -9.283673276024199e-08 1.1749075991204602e-07 -1.0474706046422255e-07 -9.632183813203675e-08 8.87414398177845e-08 1.9319265506176357e-07 -6.015560089121615e-08 1.9160462072749052e-07 -6.043652857619594e-08 1.586249032934871e-07 8.515784196371868e-08 3.8333097361908006e-08 -2.6019676629708297e-07 9.197137393029025e-08 -1.6805010881909748e-07 1.1790230142560875e-07 -2.402433614970699e-08 -3.4798973629888535e-08 -2.190993161227056e-08 3.6537682078432315e-06
age3_sex 3.5467114233059863e-06 -4.236230376843419e-07 -5.074390485998032e-05 -0.00013140592251323542 4.382469790201758e-05 6.675037944688427e-05 -9.698079170367603e-08 6.494423992646063e-08 1.680279724372168e-08 -4.4132830335167365e-08 1.1938194970371069e-08 5.179050670943352e-08 1.513929351826533e-07 -3.795929954558696e-08 -7.411464292199531e-08 -4.033843629849926e-07 2.975631800643158e-07 7.449855014571675e-08 -2.1147008790887988e-07 -7.709078648938145e-08 1.4197620215953566e-07 -2.7673175317230315e-08 2.1603266115690655e-07 -9.447318786447736e-08 -1.0335279035690568e-07 -1.4941352254349824e-08 2.0377320776508557e-06
PC.PC1 8.111213874653719e-08 -2.0320001824574153e-08 1.8034521793037113e-07 3.548210761472963e-07 -6.352131341956626e-08 -9.698079170367475e-08 6.522269576305114e-07 -3.241941460639665e-08 -5.503868972947224e-08 -1.875297513390803e-08 -4.8390433935211864e-08 1.229371658168307e-08 8.532315826471705e-09 3.6435905103088895e-08 6.323433823354861e-08 -6.647066910566657e-09 -2.8568987881742364e-08 1.475050820374163e-08 1.2557353549728456e-10 -3.9399322713771534e-08 5.05189144285717e-08 1.2092196268930303e-08 1.1463241522250352e-08 -1.4239979954050837e-08 -1.0670347585870968e-08 -2.856808553016088e-09 3.4122166482848317e-07
PC.PC2 2.695905497929363e-06 5.995102975166635e-08 2.5636430743076894e-07 3.8025049263572814e-08 -9.28367327602413e-08 6.494423992646319e-08 -3.241941460639674e-08 1.33998770361399e-06 -8.307688147174853e-08 8.158478803482496e-08 1.7526728142545025e-08 7.026101414372379e-09 -3.465064162768039e-09 -5.634118601532771e-08 2.9749198190005022e-08 9.323846040218782e-09 -2.9512136835445557e-08 -2.6131419407656535e-08 -5.2164658649914855e-08 -3.191063309459105e-08 -3.612293162958317e-08 6.091409404900765e-08 1.647403869956902e-08 1.3372607927821958e-08 9.159680714534637e-09 1.892609261764072e-08 3.193002803836274e-07
PC.PC3 -2.54949619079873e-06 -4.604892256653261e-08 -1.5379862028122072e-07 1.4980785151263813e-07 1.1749075991204576e-07 1.680279724372169e-08 -5.5038689729472256e-08 -8.307688147175135e-08 1.311820994707951e-06 3.6491469298682883e-10 8.608624077978092e-08 -1.8150411629043126e-09 3.7994061891346845e-08 -8.759025076683195e-08 9.642031757282588e-09 2.2570586030106057e-08 -1.042202937476345e-09 -2.583060578179622e-08 1.0941348746458398e-08 4.785131504211025e-08 4.9276532132441524e-08 -6.594574502050773e-08 4.4201757355053885e-10 6.213801174327e-08 2.4344676268785914e-08 -8.371720728710391e-09 -1.0062359194755715e-06
PC.PC4 1.0377285354900068e-06 2.435737926824225e-08 1.2237927054641917e-07 2.7244913816058737e-07 -1.047470604642199e-07 -4.4132830335164056e-08 -1.8752975133908194e-08 8.158478803482486e-08 3.6491469298720535e-10 1.8114617095655224e-06 1.334067461245773e-07 -4.879994976025236e-08 1.1382449475977896e-07 7.907705659005304e-08 2.7093251264987326e-08 -1.739837213820086e-08 -3.680811104820407e-08 6.710054085839208e-08 -2.8567355613060518e-08 6.295844770274408e-08 -5.088817017315984e-09 4.681369944240457e-08 -4.49719778172825e-09 -8.817546984914738e-09 -1.0948887549134962e-08 -5.227577713702312e-08 -6.0144530514129e-07
