 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband maternal gpm gmm
intercept 0.0006951068743718246 2.6458509540170843e-05 -0.00015080621974309966 0.0001247551078306561 0.00039521723257371447 0.00016527257904202735 -6.126197939183232e-07 3.5042144845464572e-06 -7.776628243081483e-07 2.121669211007523e-06 -6.580546407673949e-07 -3.1607240702843963e-06 -1.1970538300134148e-06 4.798548085265446e-07 -6.949345958946745e-07 1.247605332119702e-07 -3.6847958956841323e-06 -1.5312721261474154e-07 -3.4689689377749547e-06 -9.88654942638517e-07 -1.6262848182600323e-06 5.704647641610356e-07 8.639179139821867e-07 5.764157756054415e-07 -9.595277378735862e-07 1.271135061283621e-06 3.0963478936778486e-06 3.2393069081269106e-06 -1.4904840644079157e-05 1.3712644989294542e-05
AGE 2.645850954017082e-05 1.8416160021583849e-06 -5.52826657045579e-07 -1.8157646861089774e-06 -2.6823977855457804e-06 -9.085330550812438e-07 -5.512165471336871e-08 1.700011445514592e-07 -5.313779917464457e-08 9.826921983807952e-08 6.894760955970018e-08 -4.3946176125305414e-08 -6.926086299927008e-08 4.692497951748646e-09 -3.607402720647713e-08 9.5082902551465e-08 -8.73246286732244e-08 -5.622939611123629e-08 -1.801707936717783e-07 5.584051221970778e-09 -2.5416985518576027e-08 -2.2387794210600752e-08 6.529405043373158e-08 4.2329154284443415e-08 -5.528246236354442e-08 -3.944524529027922e-08 -3.9412098908915194e-07 2.3814355106912903e-06 -3.0221894506008052e-06 -2.230682139340837e-07
sex -0.00015080621974310812 -5.528266570454947e-07 0.002619575902539501 0.0006866591498302916 -0.0013733023177288906 -0.0007170614373594418 -5.342068180263109e-08 2.424925733401821e-07 -2.787568666192864e-07 7.351528564138426e-07 1.4202114848172048e-06 -1.3618348104849274e-07 2.702181452661815e-07 -1.1908077087120454e-06 -1.2404605881437711e-06 1.8744968946995848e-06 1.3199253352198205e-06 7.866926884205656e-07 4.243680668260163e-07 7.730807042184134e-07 1.8942509213163033e-08 -1.8857376496544764e-06 -1.9377789052439212e-07 -1.3587749249644886e-06 -7.186642278036269e-07 4.471587620584239e-07 -1.1600249088092707e-05 1.4554625064994105e-05 -1.3467551709685402e-05 3.178295783377153e-05
age_sex 0.00012475510783064897 -1.8157646861089276e-06 0.0006866591498303389 0.0018407807218573258 0.001361741345101289 0.00023091021026523694 1.2270131407698764e-06 2.3305587293281224e-07 1.2775530704772234e-07 7.960992338038774e-07 -2.225367084665165e-07 1.103365385581028e-07 -1.2719108067507362e-06 1.5740434094539645e-06 -5.562404331614432e-07 9.088388688698819e-07 2.6290206877558687e-07 2.2800081479243402e-07 3.947723297302292e-07 -4.82740101171192e-07 -4.052541447786678e-07 4.380585649700705e-07 -1.2793262164951854e-06 -3.911692238187272e-06 -5.384120561576768e-07 -4.396933412771081e-07 -1.9380111013224035e-05 9.330760831731456e-07 2.4365229277825205e-05 1.570794623649929e-05
age2_sex 0.00039521723257371344 -2.6823977855458046e-06 -0.0013733023177288153 0.0013617413451013484 0.0037887588415691014 0.0015077177444308908 7.849761184239548e-07 -7.397960411981258e-08 -3.9196704223082955e-07 -1.3894640718405555e-07 -7.898795272802305e-07 3.773896436119855e-07 -8.378681562981295e-07 3.0768625692536057e-06 -4.805562998536725e-07 -4.16298820319874e-06 1.5818518619283509e-06 -3.274258863272344e-07 -2.682630690899735e-07 -1.1724542016223782e-06 -6.486188503067258e-07 3.578931625345614e-06 7.093142213801158e-07 -3.6579958795856648e-06 -6.219754645629077e-07 7.216472002237152e-08 -4.401547347825608e-06 1.3537184296253352e-05 3.3815327465120416e-05 -4.7653107577106056e-05
age3_sex 0.00016527257904202798 -9.085330550812662e-07 -0.0007170614373594106 0.00023091021026526494 0.0015077177444309 0.0007013417363775843 9.088574908636275e-08 2.8616124824207133e-08 -2.3636828640444814e-07 -2.02886637046431e-07 -1.9222616054888883e-07 2.184760080450466e-07 4.824356570977622e-09 1.0607247850258395e-06 -4.044728747458675e-07 -2.2994593733081333e-06 6.618551069275388e-07 -4.0798264888572944e-07 -3.6142754817320577e-07 -5.150103020166749e-07 -4.018123785189763e-07 1.6942936103684463e-06 7.675429319754165e-07 -9.593929409010348e-07 -2.6314583714158374e-07 2.8596570800554437e-07 1.5682102157201055e-06 9.367086108798637e-06 8.764909097042365e-07 -2.099859986332377e-05
PC.PC1 -6.12619793918275e-07 -5.512165471336955e-08 -5.3420681802467765e-08 1.2270131407705097e-06 7.849761184245364e-07 9.08857490864968e-08 6.094941494238308e-07 1.6157280869696843e-08 -4.320904040956814e-10 -8.481691962509355e-08 3.2960890109742725e-08 -5.422447666057564e-10 -5.9212653978302984e-08 6.397263515299575e-08 1.3676697354693118e-08 2.4169080308654285e-08 1.3298154822699342e-08 5.861632771635537e-08 -3.067288329095486e-08 -4.4884222738854463e-08 1.9309021099629585e-08 -6.656983501436937e-08 -1.154522304833691e-09 1.0390908829270363e-08 7.986972887282549e-08 -9.565542774644637e-08 3.31179551800411e-07 3.1400961230091953e-07 -2.8450429808320877e-07 6.53595237106854e-07
PC.PC2 3.5042144845465377e-06 1.7000114455146245e-07 2.4249257334016585e-07 2.330558729328692e-07 -7.397960411970616e-08 2.8616124824245825e-08 1.6157280869696456e-08 1.0434963308111065e-06 -7.510438088243088e-08 8.631859796839952e-08 4.762217747467405e-08 -4.6938372092602187e-07 -8.435428092546693e-08 -6.812245181314766e-08 -3.524362860677921e-08 -2.991263855643897e-08 -3.671611193771307e-07 -1.3579414746187593e-07 -3.871224384209888e-08 -1.091410847942646e-07 -9.822537835430715e-08 2.1178812073537462e-08 -9.14515616156765e-08 -4.959321187563268e-08 -1.2949958796446911e-07 7.565159493549674e-08 -1.694277417089142e-07 1.4460738877738987e-06 -1.2802955388599147e-07 -5.200862473595553e-07
PC.PC3 -7.776628243080723e-07 -5.3137799174641605e-08 -2.7875686661930475e-07 1.2775530704775315e-07 -3.9196704223076417e-07 -2.3636828640442374e-07 -4.320904040953606e-10 -7.510438088243001e-08 1.1608922748109495e-06 5.330550262703323e-08 7.570514042836392e-08 1.6616683684331015e-07 7.77126817354649e-08 -2.4606189236932267e-08 7.48683615953402e-09 5.117572597971459e-08 1.4652333395031296e-07 -4.95675065668177e-08 1.371342025978106e-08 8.304675387755597e-08 4.441613931002224e-08 2.221833539918705e-10 5.008446875548339e-08 1.855474893521641e-08 -3.345865404743942e-08 -4.2532611188959603e-08 -7.543118099957058e-07 9.220566944125982e-07 -3.878949730084403e-06 9.72845997223905e-07
PC.PC4 2.121669211007513e-06 9.826921983807973e-08 7.351528564138522e-07 7.960992338038307e-07 -1.3894640718413194e-07 -2.028866370464579e-07 -8.481691962509416e-08 8.631859796839854e-08 5.3305502627032604e-08 1.4678856037054598e-06 1.5553780712821454e-07 -1.9533501684999285e-07 1.4509186080080457e-07 8.521645285577486e-08 3.4840396044498075e-08 -2.254163940643646e-08 -1.2170656161800862e-07 1.6923150032902386e-08 -3.169238809157235e-08 5.123793058029063e-08 -7.965469944814328e-09 7.561556201214962e-08 -4.6059509531784624e-08 -9.948450864968397e-08 1.1022368461031727e-07 1.1656779661703456e-07 -8.087518366768533e-07 -2.5404090740592294e-07 -3.639142664659347e-07 2.829329264836773e-07
