 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband paternal maternal
intercept 0.00025048847083765136 1.9119556191083085e-06 -1.6361723482871636e-06 -9.088278316602212e-06 4.109574870226387e-06 5.470890944223343e-06 3.6856044487577064e-07 1.5747782005024702e-06 -8.068545779012016e-07 6.758557030616358e-07 1.9541397081410055e-07 4.260622631693982e-07 -1.4283716289919544e-07 2.2472397760358815e-07 -5.421592365872388e-08 2.1357994911847972e-07 7.594196656550011e-07 7.251672185458e-08 -6.751961750685593e-07 -5.225710194951178e-08 -6.774243592975571e-07 4.080573577152437e-07 1.3656817412740095e-06 -1.1553320079977935e-08 8.924521797630374e-08 -7.880807576976925e-07 -1.1344913689417115e-06 -2.1517412203190185e-06 6.480371578993697e-06
AGE 1.911955619108289e-06 6.220521565814248e-07 4.95736030490714e-07 5.4442543704731e-07 -6.56872180090706e-07 -4.447087286080253e-07 -1.8682466536551466e-08 6.100944578306865e-08 -2.8356207588369353e-08 2.9575350415300123e-08 7.164025808765984e-08 3.2853074022217066e-08 -5.132351755026614e-08 1.4667410898110045e-08 6.609278277758656e-09 4.4861174671047125e-08 5.8077064541182305e-08 4.219474989107678e-09 -5.797476522550149e-08 1.3843932577881536e-08 3.5486351166442213e-09 -1.5592778695555542e-08 5.982484014738876e-11 -9.4479157316966e-09 1.4961587442452368e-08 -3.564245881117774e-08 -1.8195627276523182e-07 5.4612233339599925e-08 8.898592791066749e-08
sex -1.6361723482872028e-06 4.95736030490721e-07 0.0009648405461671667 7.605251700484065e-05 -0.0002565167636542907 -6.159391746847719e-05 2.3105897494774216e-07 2.6889572273461704e-07 -2.42362579103499e-07 1.305192750286424e-07 1.4139513616175628e-06 -7.167406378972442e-07 -2.798293615644308e-07 9.759388611210855e-09 -3.1649464985040443e-07 -2.4583184181821904e-07 4.4536169134912025e-07 -5.374185139479678e-07 -2.2502340149951535e-07 3.2665919795479284e-07 -1.8992012232167764e-07 -7.520886982541462e-07 -1.1453005636681013e-07 -5.351410624741776e-07 -2.829180161865585e-07 5.25523393919091e-07 -2.4374268714642396e-06 -7.979269668795467e-07 6.135388417344575e-06
age_sex -9.088278316602237e-06 5.444254370473105e-07 7.605251700483743e-05 0.0004891926413640785 -5.8027608149428465e-05 -0.0001751308247755939 4.015644100543708e-07 2.3840854799501233e-07 -3.896923075524811e-08 3.537707019532786e-07 3.8960765658651035e-08 1.7910521874959092e-07 -2.915104336791822e-07 1.1043385052384925e-07 4.718807278397729e-09 9.053068534135959e-07 -6.934742503480934e-07 -1.1898628893621084e-07 5.589918185219549e-07 8.003254650224005e-08 -2.096868951748944e-07 -7.657227289803197e-08 -6.211564823191402e-07 -3.896478052540762e-07 1.3801016778898914e-07 1.682586519192085e-07 -6.9901307244785485e-06 6.934201376206542e-06 -6.46811951926802e-06
age2_sex 4.109574870226404e-06 -6.568721800907087e-07 -0.0002565167636542907 -5.80276081494299e-05 0.00015037056321467023 5.165796580992698e-05 -1.721550182630864e-09 -9.739180764981745e-08 2.061384899575498e-07 -7.890058290777161e-08 -4.6419252262750834e-07 1.625444267978115e-07 1.324752337754264e-07 -7.96195114898967e-08 1.1589263926183553e-07 3.885891437420059e-08 9.00483756564793e-08 1.5918119891486811e-07 1.672676465560135e-07 -3.017527533470157e-07 1.4939420415036278e-08 -4.697825705608239e-08 2.254684914223868e-07 1.4570298273037357e-07 7.675390934629068e-08 8.724615308830026e-09 2.0247287144108767e-06 -2.6513129306091556e-06 -7.678026959978238e-07
age3_sex 5.470890944223306e-06 -4.447087286080243e-07 -6.15939174684754e-05 -0.00017513082477559356 5.165796580992606e-05 9.012225165528617e-05 -7.674194337386211e-08 -5.8879602868626544e-08 1.547375249983616e-07 -1.0108019621819095e-07 -1.1739492482406598e-07 -2.982475586814938e-08 1.0478536223713104e-07 -5.152886753852927e-09 -4.843576659621662e-08 -2.939263518329279e-07 2.8298985035897093e-07 -2.025311042796789e-08 -2.5387769509293703e-07 -1.4384046984297566e-07 4.763767417966161e-08 -5.656774509199518e-08 7.154750161893108e-08 8.387950206245795e-08 -9.057530741535996e-08 5.130783881476959e-08 2.3356233497941184e-06 -4.447966065370026e-06 1.7769052266104676e-06
PC.PC1 3.6856044487577e-07 -1.868246653655143e-08 2.3105897494774394e-07 4.015644100543734e-07 -1.7215501826317418e-09 -7.67419433738635e-08 4.806166844627387e-07 -2.119623137221745e-08 1.48004235813255e-08 -7.551736772888185e-09 -3.4105719335473e-08 1.1976287808342547e-08 -1.2077338413254558e-08 2.4539963444345445e-08 4.0262635503965023e-08 -1.359260364186155e-08 -1.6836207093910446e-08 1.752798111600074e-08 -9.61471817057679e-09 -2.660256181504139e-08 3.4530190777465575e-08 5.567931871943916e-09 1.2609040339070512e-08 -1.2583899509626369e-08 -1.0112195538007546e-08 -4.298671005584385e-09 -2.727635938328123e-07 -5.477884342739053e-07 -7.843486345858717e-07
PC.PC2 1.574778200502539e-06 6.100944578306906e-08 2.688957227346153e-07 2.384085479950161e-07 -9.739180764981688e-08 -5.8879602868628304e-08 -2.1196231372218015e-08 9.057216307486015e-07 -4.029688478120458e-08 4.713899404718902e-08 1.859834727198353e-08 -1.4838597779007113e-08 -5.270725280143475e-09 -2.3351777501906654e-08 1.7775544743725788e-08 2.0276673638373476e-08 3.77150861187428e-09 -1.605881835169501e-08 -1.3680477129063567e-08 -8.822522917987918e-09 -2.7030484692596447e-08 4.873105286479458e-08 6.566618350686273e-09 9.231716340557422e-09 6.320052227303824e-09 1.203740411045908e-08 3.4281572986928675e-08 4.414588731064519e-07 -2.8930084509220184e-07
PC.PC3 -8.068545779011956e-07 -2.8356207588369383e-08 -2.423625791034946e-07 -3.896923075524419e-08 2.0613848995754736e-07 1.5473752499836027e-07 1.4800423581326094e-08 -4.029688478120339e-08 1.039199404680534e-06 1.5204052346393087e-08 5.679374382964494e-08 1.6641942083510668e-08 1.6751519397392583e-08 -5.054842920594132e-08 3.3334451201256335e-09 3.578595402799294e-08 -1.7254288256091626e-08 -6.00277407281929e-09 -6.535016965785748e-09 2.743005705680011e-08 2.819490893585375e-08 -4.9126854628802095e-08 -4.027014796493339e-09 6.979170222413429e-08 2.0165505680851986e-08 9.507184237551768e-09 -8.478203558344674e-08 -1.5259200694278394e-06 -1.0951077069766621e-06
PC.PC4 6.758557030616294e-07 2.9575350415300126e-08 1.3051927502863903e-07 3.537707019532761e-07 -7.890058290777046e-08 -1.0108019621819039e-07 -7.551736772888526e-09 4.713899404718991e-08 1.5204052346392984e-08 1.308445083855558e-06 9.909777816221329e-08 -3.8538873922750514e-08 1.1625726655674142e-07 4.7415848073160734e-08 7.02705408581196e-09 -2.53098297020406e-08 -1.6271663026827363e-08 4.6506742510593675e-08 -1.7922267161217586e-08 3.9268190617468515e-08 6.732769738012427e-09 3.562504073548439e-08 -8.099643903156075e-09 1.1825353389495448e-08 -7.430953066568452e-10 -3.935101033593107e-08 -3.646351142789806e-08 -1.0005157268360809e-06 5.105949960742515e-07
