 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband maternal gpm gmm
intercept 0.0010388187812877187 3.517085614605758e-05 -0.00019586824081871979 0.0001743714205816935 0.0005076766440390164 0.00020630071615269498 -4.919130701280143e-07 6.125767429174169e-06 -2.0456192660554817e-06 3.8045545555026844e-06 -1.4043492398618584e-06 -3.7511587165437735e-06 -1.3874512720465795e-06 4.29191393965956e-07 -1.3482378346118018e-06 8.83966958972942e-07 -4.064573383523413e-06 -6.365966189288221e-07 -4.88927605786427e-06 -1.6087351115159516e-06 -2.3855769502981743e-06 1.190963240216451e-06 1.385013751659769e-06 5.72106047816016e-07 -1.1733926028487826e-06 1.1959212383277478e-06 -1.5251340257187236e-05 -7.955869858088496e-06 3.0401627098870603e-05 3.406647753921755e-05
AGE 3.5170856146057556e-05 2.426702633356124e-06 -5.5914375054376e-07 -1.8261609101643128e-06 -3.240927897632279e-06 -1.0192959166807048e-06 -1.149394150192833e-07 3.164096325614982e-07 -5.4884533856928964e-08 1.4073254462392757e-07 6.015505222739461e-08 -8.518374918966985e-08 -1.4107232264281594e-07 -7.526431771887186e-09 -7.680473630666715e-08 1.9285166605974385e-07 -1.4353693518863567e-07 -7.778778607637397e-08 -2.3999644755900094e-07 -2.5863729283729365e-08 -1.2689245175360188e-08 -3.918067340149689e-08 1.3807969895271449e-08 3.20890238106799e-08 -2.473961777890918e-08 -2.146155093552073e-08 -8.304351009052448e-07 -7.84787018386193e-07 3.0114905127383148e-06 2.054374673377574e-07
sex -0.00019586824081872136 -5.591437505437805e-07 0.0035869832964948987 0.0008934474017949172 -0.0018302757209512697 -0.0009245437430946557 1.7845534293908667e-08 5.382307147032332e-07 -6.816255984146967e-07 2.9913226663220545e-07 1.501358261094198e-06 6.383640824656125e-07 -2.249489256136996e-07 -1.4782843164481011e-06 -1.1576781930992392e-06 2.7889747636364906e-06 1.9876527559915604e-06 6.329224528801013e-07 1.6362586271266436e-06 1.0923262110918762e-06 -2.427971639303806e-07 -2.254891989328246e-06 1.2502091249644471e-06 -2.2170490758643916e-06 -6.271676422729998e-07 4.796016386965257e-07 -2.359812914341883e-06 -2.8071829455130874e-05 7.59488468214206e-05 -9.743709128924055e-06
age_sex 0.00017437142058168855 -1.8261609101643304e-06 0.0008934474017949406 0.0024318754577740227 0.0018068594544991506 0.0003154023443717086 1.5497971086663268e-06 3.7437583267378e-07 5.334342889121041e-08 1.3954148713792498e-06 -3.1627577301308247e-07 9.310354452710889e-07 -1.323113338167449e-06 3.266119978264885e-06 -9.77851174335517e-07 1.177991210940769e-06 2.2537530316274465e-07 -7.470391571120304e-07 4.294768396771599e-07 -7.909204518901815e-07 -8.591953715184597e-07 1.161806585666535e-06 -1.0484656879637652e-06 -5.57393097727309e-06 -1.3824355434338065e-07 -4.168554006124557e-07 -2.731096134675416e-05 2.6396678485016548e-05 1.578658438702143e-06 -4.095236788808047e-05
age2_sex 0.0005076766440390185 -3.2409278976322843e-06 -0.0018302757209512654 0.0018068594544991992 0.004881478334686134 0.0018913139012386884 3.7494396070354277e-07 -5.618917742133492e-07 2.0275027829459794e-07 6.704486624087106e-07 -7.97235962937587e-07 -5.826862598160857e-07 -8.619744804174603e-07 4.996448126189049e-06 -1.0374261047632722e-06 -6.0308142751513954e-06 2.6637532535517204e-06 -7.219354359040171e-07 -1.6287593892455347e-06 -1.3389405899580942e-06 -6.731416284479572e-07 4.007329604755656e-06 -1.5201979091982017e-06 -4.137795783159932e-06 -1.138967556167488e-06 4.0709134644468657e-07 -1.2557254078208704e-05 5.846845073458845e-05 -4.9375746299071885e-05 -1.8993871375694232e-06
age3_sex 0.000206300716152697 -1.0192959166807074e-06 -0.0009245437430946573 0.00031540234437173317 0.0018913139012386997 0.000852357549451533 -2.263838879075623e-07 -2.0463749194560536e-07 1.3615074725002895e-07 3.275250991216994e-08 -1.2564600256856435e-07 -5.600032439145395e-07 -6.213679129867478e-08 1.5940044719901882e-06 -4.197945424204463e-07 -3.381159170083322e-06 1.3602145399190666e-06 -3.700544757910039e-07 -1.123237868447406e-06 -3.8495770178238305e-07 -1.6471608966360284e-07 1.5230554062672735e-06 -6.622650480324703e-07 -8.974057524732173e-07 -7.310796309527107e-07 4.909363168226231e-07 -1.7611286915532198e-06 2.1010750245563825e-05 -2.1225926975598966e-05 1.0133184493890359e-05
PC.PC1 -4.919130701280842e-07 -1.1493941501928464e-07 1.7845534294079268e-08 1.54979710866626e-06 3.7494396070321746e-07 -2.2638388790770124e-07 1.031515694396276e-06 -2.6481486865628987e-08 -3.2548218177471814e-09 -7.826164571688279e-08 4.490776467351975e-08 1.369668931355313e-08 -7.056715396930165e-08 9.71777936649399e-08 4.524813063094043e-08 2.810531176356881e-08 1.853133392563304e-09 9.21286458922441e-08 -6.014852265311565e-08 -6.466854922807791e-08 1.9243841687433708e-08 -7.67994457051757e-08 4.732840652573006e-09 2.641518732370412e-08 7.196821877416933e-08 -1.2690937682470156e-07 -7.8347516278224e-07 6.257528722208157e-08 -2.756121038926572e-06 -1.4744987347559717e-06
PC.PC2 6.125767429174052e-06 3.164096325614944e-07 5.382307147032275e-07 3.743758326737079e-07 -5.618917742134449e-07 -2.046374919456368e-07 -2.648148686562719e-08 1.8166366079043549e-06 -6.551874366058984e-08 9.529333784639689e-08 6.686247110548311e-08 -5.418026920440429e-07 -1.129268456188356e-07 -1.1090724396649146e-07 5.7118659539591696e-08 1.2741681539158329e-11 -4.3630954912126714e-07 -2.1089253052365006e-07 -1.0471181226707233e-07 -1.4816297245554708e-07 -1.4838212911817936e-07 7.696092441625966e-08 -1.4321727811362593e-08 -4.715334635643789e-08 -1.386118380606688e-07 6.772676517726212e-08 8.6297094696448e-07 -1.3817327845587224e-06 1.0054544235410038e-07 8.600695680725598e-07
PC.PC3 -2.0456192660554245e-06 -5.488453385692718e-08 -6.816255984146793e-07 5.334342889120473e-08 2.0275027829456263e-07 1.3615074725001344e-07 -3.2548218177480603e-09 -6.551874366059021e-08 2.0064011944897623e-06 2.3403543738767564e-08 1.5871839852224798e-07 2.0660931388278458e-07 1.1441602554553651e-07 -4.12309144242963e-08 5.705934362033034e-09 1.1500069697709919e-07 1.7739771040579124e-07 -3.479772181737552e-08 1.0925159890069283e-08 1.3020548544442557e-07 6.133009412231733e-08 -1.2701139456985745e-08 2.058556772201542e-08 4.52074568897614e-08 -2.0506555810979347e-08 -5.535886959509106e-09 -1.0024229803595691e-06 2.269022961292236e-06 -1.2317250286964239e-06 -6.114301311780542e-06
PC.PC4 3.804554555502664e-06 1.4073254462392757e-07 2.991322666322265e-07 1.3954148713792036e-06 6.704486624086095e-07 3.275250991213075e-08 -7.826164571688299e-08 9.529333784639633e-08 2.3403543738767557e-08 2.5768308684655947e-06 2.896457825330293e-07 -2.437483169576227e-07 1.5411082132701476e-07 8.24256912971132e-08 9.323860328923755e-08 -1.0925168388921038e-08 -1.4902004491626836e-07 -1.1052756128790617e-08 -4.848425439260101e-08 5.9114824297694594e-08 -1.7378928633047242e-08 9.859406434768337e-08 -4.0495205300588305e-08 -1.0107376995585708e-07 1.6237230069097313e-07 1.606579856215737e-07 -1.4252248965313213e-06 2.782048833174025e-06 -2.3259895284323177e-07 -2.6100746007035557e-06
