 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband
intercept 0.0002855048822509543 2.361121882223675e-06 -1.6029217343300102e-06 -4.846390475191176e-06 2.0036289692551383e-06 3.0957551841297533e-06 1.1699400402782514e-08 2.145522770177986e-06 -1.9306100929127567e-06 7.846625646338429e-07 -1.3584175094241105e-08 5.203990572920918e-07 1.88108225215229e-07 1.9675117723515444e-07 3.1616709040470865e-08 3.8034778114392057e-07 7.262229460159682e-07 -6.980213316880814e-10 -1.0319245093075641e-06 -1.444166257175957e-07 -5.920984090802398e-07 2.9006780847256994e-07 1.5251957909214846e-06 1.8915282245564103e-07 1.902294983424837e-07 -8.939563581231332e-07 1.4955693845332702e-06
AGE 2.3611218822236795e-06 5.687606872131662e-07 3.468716032761126e-07 4.7644562834460294e-07 -4.6146445070713974e-07 -3.7704299890739317e-07 -1.693592734960657e-08 5.209864779781894e-08 -3.9080507175650304e-08 2.2858100785472602e-08 5.272069461525863e-08 2.173002686356294e-08 -4.7189285133702134e-08 8.800178090193875e-09 1.3183360026531473e-08 4.155253654755605e-08 5.7425327604209587e-08 -2.584678232974422e-09 -5.227726758365509e-08 1.1777134005537615e-08 1.4648667833398464e-09 -7.399450385303134e-09 1.1620833937393401e-08 -1.3997253253340966e-09 1.251940522168719e-08 -3.229698005776364e-08 -1.0645182895774126e-07
sex -1.6029217343300104e-06 3.4687160327611233e-07 0.0006695801867480876 5.2119276013796536e-05 -0.00017866912729562468 -4.482035798155151e-05 1.758355907135432e-07 2.3179727828008412e-07 -1.4551891324012243e-07 1.0702137026013535e-07 6.429926254173588e-07 -4.3547840044638493e-07 -2.185113123770402e-07 1.148300850755213e-07 -3.7124479003223383e-07 -2.081021357243458e-07 1.466154318188077e-07 -1.4603546016672255e-07 -1.0736640192782343e-07 3.646863022549866e-07 -1.833390923727934e-07 -4.4091293313570944e-07 -1.210010668777206e-07 -2.0785230165288305e-07 -3.476484389663505e-07 3.304402069042066e-07 -2.304281623818254e-06
age_sex -4.846390475191309e-06 4.7644562834462566e-07 5.2119276013799687e-05 0.0003299370792868287 -4.6203519343134224e-05 -0.00011558990423576157 3.300793456537715e-07 3.4603688389256595e-08 1.4886369962356633e-07 2.2868806477299333e-07 -8.771623535150658e-08 -3.91057210271168e-09 -3.443159436805066e-07 6.222851452105155e-08 1.8714699643056115e-07 9.6372423052127e-07 -5.859147394622579e-07 -1.708263876133442e-07 3.755254420791699e-07 9.355260212312402e-09 -4.016229215158695e-07 -1.1554035624586282e-07 -7.183001884059519e-07 2.9079185596241356e-09 1.1411797966438662e-07 2.1967377789282024e-07 -5.0907207734562756e-06
age2_sex 2.003628969255159e-06 -4.614644507071391e-07 -0.00017866912729562498 -4.6203519343131445e-05 0.00010551954579618765 3.864435231581576e-05 -6.905157601474639e-08 -8.411121371579145e-08 1.122799993296487e-07 -7.891161125486624e-08 -8.7563361425571e-08 7.010190102286767e-08 1.5245959070445925e-07 -4.2134216657133734e-08 1.6529191260656362e-07 -5.691586274280882e-08 1.4601525815745065e-07 7.814580182999617e-08 3.976792639803029e-08 -2.2447226518550501e-07 6.383892771461653e-08 -1.3046712729580197e-07 1.030026831927634e-07 -2.953419441705733e-08 -1.6063938697456793e-08 -2.123842699982594e-08 1.8942343090779286e-06
age3_sex 3.095755184129787e-06 -3.7704299890739883e-07 -4.4820357981552395e-05 -0.00011558990423575982 3.864435231581653e-05 5.881095317439441e-05 -9.172136518102276e-08 5.123211076818468e-08 1.5539299394164023e-08 -3.5521671278600574e-08 4.3699096306848825e-09 3.07877064092463e-08 1.3046898390421452e-07 -2.5339659262398013e-08 -5.6469361388090896e-08 -3.353697690675254e-07 2.5677811134617075e-07 5.206590093771831e-08 -1.776602056051024e-07 -7.461428448309638e-08 1.0631344153614592e-07 -1.605348979631263e-08 1.8585196586572627e-07 -7.984574942586448e-08 -8.313742346866567e-08 -1.3049296558281884e-08 1.5708636775874348e-06
PC.PC1 1.1699400402765332e-08 -1.6935927349606632e-08 1.7583559071354755e-07 3.300793456537737e-07 -6.905157601474998e-08 -9.172136518102562e-08 5.306903025330786e-07 -2.3611078390063507e-08 -3.465358392303433e-08 -1.6290894451440238e-08 -3.689204006951616e-08 1.164443232105207e-08 1.122161293066215e-09 2.9921867843444647e-08 4.958905979192804e-08 -8.324968272490626e-09 -2.3545505421670063e-08 1.3566003159348305e-08 -2.8863673778978137e-09 -3.0778416133033995e-08 4.087921044699764e-08 5.729417577751525e-09 1.0041391139445361e-08 -8.385766686757555e-09 -9.262602392395205e-09 -3.4675846707714684e-09 -5.986977403766649e-07
PC.PC2 2.1455227701779958e-06 5.209864779781926e-08 2.3179727828008626e-07 3.4603688389262464e-08 -8.411121371579363e-08 5.1232110768181585e-08 -2.3611078390062408e-08 1.073817674420289e-06 -6.678546615429932e-08 6.894351645129224e-08 1.607396003623897e-08 -2.2901801623673904e-09 -4.0241515365566695e-09 -4.2065909318490776e-08 2.0369669990880023e-08 1.0471065024793314e-08 -2.3244940960619074e-08 -2.0007782816462446e-08 -3.362856297256548e-08 -2.403256980936226e-08 -2.998603332431218e-08 4.873363984920036e-08 9.58091907547294e-09 8.409447015030937e-09 7.4419855483660926e-09 1.4876243250062485e-08 1.9328529408900718e-08
PC.PC3 -1.930610092912754e-06 -3.908050717565045e-08 -1.4551891324012007e-07 1.488636996235727e-07 1.122799993296467e-07 1.5539299394161065e-08 -3.4653583923034424e-08 -6.678546615429738e-08 1.0633216908060731e-06 4.340652154342095e-09 6.600047981767199e-08 5.655141610601656e-09 3.318585839417345e-08 -6.664421574316706e-08 8.5797407707437e-09 2.2490455155688948e-08 -6.546148548144806e-09 -1.9616816331062514e-08 6.03234019906852e-09 3.6897975304025317e-08 4.5234610537914615e-08 -5.3779397971504285e-08 -1.1987705558405787e-09 5.315287130189339e-08 1.9296111670160793e-08 -7.321530526938755e-09 -8.541681359378099e-07
PC.PC4 7.846625646338502e-07 2.2858100785472536e-08 1.0702137026013954e-07 2.28688064772994e-07 -7.891161125486895e-08 -3.552167127860205e-08 -1.629089445144048e-08 6.89435164512926e-08 4.340652154342504e-09 1.4595635199309158e-06 1.0328292294304275e-07 -4.100725057150321e-08 1.0309718023805218e-07 6.458342278694737e-08 1.9187777932731768e-08 -1.9081142863753877e-08 -3.0590220868294224e-08 5.637914111145397e-08 -2.0334021991832027e-08 5.0268839733041295e-08 1.2180721386458924e-09 3.937844958878677e-08 -5.513061530939157e-09 -7.735001074555757e-09 -9.459091421250439e-09 -4.3779057174462045e-08 -1.9899524607336008e-07
