 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband paternal maternal gpp gmp gpm gmm
intercept 0.004618162548122996 0.00014471315134609756 0.002505871030899027 0.00571367670644674 0.005819551866331407 0.0015990839149449042 4.4380847413420865e-06 1.5960624825311384e-05 -1.0128353008184846e-05 6.821410187746874e-06 -4.295867864445432e-06 -7.75367307323657e-06 2.91899176802996e-06 -1.329839310652884e-06 -4.116401493779955e-06 -1.8307301478480438e-06 -6.085341141191291e-06 -3.3046525093680916e-06 -1.337765292681388e-05 5.1802900991403796e-06 1.7737389868969876e-06 2.363324140070468e-06 1.7349944716777471e-06 3.5973522493251945e-06 6.91182770015203e-06 4.981853365970711e-06 9.375581979776922e-05 -0.0001164984861509077 -0.00017575037667553472 -1.4467613866722176e-05 0.00017579686896242142 0.00016795797809240082 0.00011544885000693013
AGE 0.00014471315134609756 7.5277196381222025e-06 -1.0295038503484982e-05 -2.4853215534844916e-05 -2.256522781143581e-05 -5.7918067449163966e-06 4.933710580167971e-08 8.24402824025631e-07 -3.530451406694038e-07 2.531570988749045e-07 1.945555690499606e-09 -2.3425345446219073e-07 -9.330482038085636e-08 -6.401381213667346e-08 -1.96316944708275e-07 1.261515663851625e-07 -4.874791940009661e-08 -4.631848836703719e-07 -5.530544687166979e-07 1.9643489498465665e-07 1.940334083166851e-07 -1.845598745456122e-08 8.040385079132725e-08 1.4588236543595236e-08 1.960401234446382e-07 -7.055561871579732e-08 1.6299157920432077e-06 -8.68662447851119e-06 -9.19355381560992e-06 1.2415490911054261e-05 3.467257569768353e-06 1.4387548053946351e-05 3.1783804428930577e-06
sex 0.002505871030899162 -1.0295038503484388e-05 0.02600050733557657 0.030316523207684826 0.02083037948797835 0.004364728627341513 -4.7197368735380185e-06 8.745194554323596e-06 -7.949865803802806e-07 -7.848158757301815e-06 1.4603495533832738e-05 -5.522655120245008e-07 1.0650515096855609e-06 1.0940146375584739e-05 4.574833146047209e-06 2.2755618049014597e-06 -1.0306849067799854e-06 1.7417244725978702e-05 -1.687469714217724e-06 1.1176465035556422e-05 -4.689150996730679e-07 -8.864883199033353e-06 4.136182897717682e-06 -3.5125063243032813e-06 1.4998580392555311e-05 7.537289826573344e-06 0.00018412225794437587 -1.1708331664847933e-05 9.042260834108314e-05 -0.00016556325535481054 -0.0001961691249536489 -0.00028915999846675246 -8.461970486501871e-05
age_sex 0.005713676706446883 -2.4853215534843483e-05 0.030316523207684163 0.056764238642378305 0.05086168015319154 0.012777709327895143 3.807125854859225e-07 8.959644857159204e-06 1.4834554544931531e-05 -5.338665224607844e-06 1.1573853161295384e-05 5.6892716231236964e-06 -2.301738155218934e-06 1.2842827069706762e-05 4.6736401996317534e-07 1.3453381198654685e-05 -1.1007052127316916e-05 2.464071159736319e-05 -3.719156202788316e-06 6.698708816369273e-06 5.602694787673763e-06 -6.180404607383112e-07 7.888011243935538e-06 -1.3097301496735962e-05 3.074818761304877e-06 -9.064843531191135e-06 0.0003794792643928048 -7.712179816527629e-05 0.00024777550794731614 -0.00039900452562257124 0.00016638727259282499 -0.0003547155271427438 -0.0005368172338953911
age2_sex 0.005819551866331419 -2.2565227811434252e-05 0.020830379487977245 0.0508616801531904 0.05202655647536925 0.014223301237133817 4.700223069481348e-08 6.57612654375161e-06 1.906965918113166e-05 -2.3818887140580984e-06 6.388467392003771e-06 6.466176350859777e-06 -2.614433792656489e-06 9.675703131615282e-06 -3.280326622579202e-06 6.725269393682314e-06 -6.996275936090792e-06 2.128316397828995e-05 -3.417626960407607e-06 1.471383327800744e-06 8.903239638550514e-06 9.006597299540482e-06 9.776876253037785e-06 -1.6836990182028455e-05 -7.916842946634827e-06 -1.5027392229584348e-05 0.00041977205487216476 -0.00020081372884341543 0.00021989791573532935 -0.00044131486089057573 0.000498735601937457 -0.00015500085087155754 -0.0005793236101685327
age3_sex 0.0015990839149448769 -5.791806744915971e-06 0.0043647286273411 0.01277770932789458 0.014223301237133562 0.0041161374855515865 -3.363222868586017e-07 1.876872747391065e-06 5.669204907718557e-06 -3.2702212162461725e-08 1.1772923790598208e-06 1.590141007856819e-06 -6.554554468633227e-07 2.306049981863245e-06 -1.6790130694659865e-06 1.711146547968239e-08 -1.0776704255534859e-06 5.470457912985264e-06 -1.0762496481148245e-06 -2.7818474080889434e-07 2.723086213948548e-06 4.3247026033519e-06 3.087800542478438e-06 -5.568371178236029e-06 -4.077177437078444e-06 -4.522612998158179e-06 0.0001175694033722715 -8.926152638398395e-05 6.228378847063904e-05 -0.00014958580005094058 0.00022293935818892824 -1.0374378928843145e-05 -0.00016507008750302231
PC.PC1 4.438084741341812e-06 4.933710580167436e-08 -4.719736873536499e-06 3.8071258548563065e-07 4.700223069344274e-08 -3.3632228685910493e-07 2.3862468344829515e-06 -4.3463946443957874e-08 -1.3576659189045596e-07 -1.1591445891825153e-07 1.1851602796685517e-07 -1.8199200764296662e-08 -1.563402012567208e-07 9.06914413134353e-08 1.1040637946260183e-07 -4.019965931140719e-08 -3.180594362326569e-08 2.5488664454055433e-07 -3.0864451760932926e-07 -1.2964404004937938e-07 2.034928850560005e-07 -1.7016342893247793e-07 -2.5421288776305162e-08 2.3058467580084404e-07 4.286196594295147e-07 -2.5728371557914783e-07 1.9503273470950797e-07 -2.983560103486348e-06 9.761089133130317e-08 -3.04240829240359e-06 1.1409285703072682e-06 -9.832750450860368e-06 -3.164208151121558e-06
PC.PC2 1.5960624825311336e-05 8.244028240256248e-07 8.74519455432445e-06 8.959644857160156e-06 6.576126543752352e-06 1.8768727473912576e-06 -4.346394644395832e-08 3.728022817198075e-06 -3.727917502090083e-08 4.743467995220564e-08 1.9247574156956716e-07 -1.0139591969531045e-06 -1.87372095830691e-07 -3.342960127221409e-08 1.1619687687575565e-07 1.5674525920271744e-07 -8.755141514351697e-07 -4.836790978665281e-07 -6.015313456981018e-09 -2.677115668632501e-07 -2.211892068861272e-07 8.545215731675361e-08 -1.032517953408344e-07 -2.0364569447152347e-07 -3.199957254586845e-07 7.393451306814851e-08 1.38884446796094e-06 9.218509342467275e-07 -3.7523879503668372e-06 -4.839065253164514e-06 1.0123846941236666e-05 2.8761682943159237e-07 4.2910579157604825e-06
PC.PC3 -1.0128353008185097e-05 -3.5304514066940527e-07 -7.949865803814176e-07 1.4834554544929205e-05 1.9069659181129633e-05 5.669204907718083e-06 -1.35766591890456e-07 -3.7279175020901265e-08 4.251273856567176e-06 3.966214970195971e-08 3.497402154941275e-07 4.5131381461261144e-07 1.1450825787971965e-07 -5.545807947578237e-08 3.3329766454646845e-09 2.805998291652538e-07 3.3813967663710464e-07 -2.1147426121717806e-07 1.1598543562750957e-07 1.4722564293979052e-07 1.318098870432383e-07 -6.796891823673827e-08 1.8365266698711885e-07 2.171521863762544e-08 -3.9993445456628067e-07 -1.9550434619769517e-07 1.9172282602516997e-06 -3.6510759062961766e-06 7.459735334948727e-07 -1.5924259737051705e-06 -5.049490312748587e-06 -3.2173785310701643e-07 -1.1435385342469076e-05
PC.PC4 6.821410187747478e-06 2.531570988749152e-07 -7.848158757296836e-06 -5.338665224603446e-06 -2.381888714055996e-06 -3.270221216220895e-08 -1.1591445891825432e-07 4.743467995220748e-08 3.966214970195611e-08 5.902500793770351e-06 8.161272011633662e-07 -3.531044417790827e-07 1.977272804573488e-07 -1.2815572493436276e-07 2.1973501616487603e-07 -4.423925546021634e-08 -2.0774758856389773e-07 -3.8037514035990466e-08 -3.5460267815122e-08 -5.108252199846263e-08 -8.316475285582141e-08 1.6263881339147395e-07 -1.3505392943357832e-07 -7.954550852198707e-07 3.3963432898417066e-07 4.913016580307775e-07 -2.1566432978326487e-06 2.251097683837966e-06 7.85209466652146e-06 -7.720065619270687e-06 -5.966920306912695e-06 -3.7464504746314666e-06 -5.6262706093595446e-06
