 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband paternal maternal gpp gpm gmp gmm
intercept 0.0042769865503957 0.00013465643408719206 0.0023338555662566463 0.005340208966851693 0.005418180829341625 0.0014851049787500742 5.0509448625442675e-06 1.4504164277464562e-05 -9.407594547772808e-06 6.2478128688894416e-06 -3.510650863731983e-06 -8.394452922549029e-06 2.2236958315468968e-06 1.0260339431346055e-07 -3.314114914436809e-06 -3.731148925015988e-06 -4.600181958086241e-06 -2.5803927963100878e-06 -1.2463379124265831e-05 5.710136215306278e-06 1.6686593508443277e-06 2.8962048077957422e-06 -4.676128008493502e-08 4.604913373640137e-06 4.296344188911967e-06 5.883577919270854e-06 -0.00015016120673904524 -0.00031144967547866686 -0.00024721868279324035 0.0006041991500571726 0.00010533633329624828 0.0004857393400372361 0.00022724413462575977
AGE 0.00013465643408719198 6.902147841099669e-06 -6.8789320435892975e-06 -1.7017874586716813e-05 -1.589410031132035e-05 -4.148512325528504e-06 9.597304374498307e-08 7.545150171188352e-07 -3.2272552085177007e-07 2.526172335849546e-07 2.0009157122038917e-08 -2.2211760306652382e-07 -8.883149911347301e-08 -3.88687947892915e-08 -1.393866798121169e-07 3.0096977316518356e-08 -2.2880288445234898e-08 -3.753135074370484e-07 -5.725302120743468e-07 1.9925267751247848e-07 1.508202688320117e-07 7.944866545661706e-09 2.1407066795924593e-08 7.305223465094978e-08 1.046707157560824e-07 -5.121566082276014e-09 -4.500235337247198e-06 -1.0242400515683903e-05 -6.772415447122035e-06 2.1099465889507687e-05 6.568247488488982e-07 1.1940252041943237e-05 8.638790542349147e-06
sex 0.002333855566256511 -6.8789320435890595e-06 0.02371539296107796 0.02766554727077795 0.019003398741008776 0.00398121501440872 -5.322526673632636e-06 9.220068687359377e-06 -1.974577260698693e-06 -7.748663507490567e-06 1.2361652344474624e-05 -3.679499010810767e-06 -1.748570392654928e-07 9.930750990977555e-06 2.768710689711208e-06 3.6118136397915086e-06 -1.3544161854007186e-06 1.4678675051917016e-05 -2.510889097991134e-07 1.1113371025587137e-05 -9.859895856473563e-07 -7.3993688191088254e-06 3.4819969633797507e-06 -6.174982792816024e-06 1.2071034637875174e-05 7.370927057698685e-06 -0.00011337617388606586 -0.00011884822146000386 -2.2720541867060976e-05 4.061452012227231e-05 -4.445127652537555e-05 0.00031867920831758154 0.00011702731296110132
age_sex 0.005340208966851617 -1.7017874586716752e-05 0.02766554727077892 0.051872811443970455 0.046465064341698885 0.011668812965662119 -7.88792462431547e-07 8.686017155957896e-06 1.198321641594571e-05 -4.55587986490507e-06 9.289260807545157e-06 1.0110404592978884e-06 -5.569729211560213e-06 1.1698466979102767e-05 -2.6814500467580254e-06 1.273839132007851e-05 -9.62463688998111e-06 2.0109921048279336e-05 4.1251863986025495e-07 8.74327446752442e-06 5.227917695026695e-06 -1.9369674166582227e-07 6.825599147066768e-06 -1.5704389612728714e-05 -1.236441946958533e-06 -6.9079378537152596e-06 -0.0003418837446524361 -0.00013751448741569668 -0.0001868849110020954 0.00018326956873320873 -0.0001964539366819694 0.0008752455361650731 0.00023379706238445768
age2_sex 0.00541818082934164 -1.589410031132024e-05 0.019003398741009984 0.04646506434169964 0.04751005421794857 0.012983346787456078 -2.1556966593518435e-07 5.661740476265011e-06 1.6379934589293468e-05 -1.780822159037449e-06 5.585709069033978e-06 3.191655383806868e-06 -5.235827427267012e-06 8.976828723636127e-06 -5.5632991619578735e-06 5.983378657944853e-06 -5.782217640236751e-06 1.7249739611983217e-05 4.7146165910980654e-07 4.7833481420434485e-06 9.1599640788452e-06 7.776938949056386e-06 8.340754153796181e-06 -1.701538345190501e-05 -1.0942309179571296e-05 -1.211868654932344e-05 -0.00028279713753235616 -0.00016319841763108562 -0.00018207355478083929 0.0002852309938309305 -0.00018824435239603868 0.0009256651949394981 1.3849773681510856e-05
age3_sex 0.0014851049787500887 -4.14851232552866e-06 0.003981215014409136 0.011668812965662455 0.0129833467874562 0.0037558088917180772 -2.625530342804141e-07 1.5127176696446151e-06 4.960750066317653e-06 -2.678421005796513e-08 1.2475557612258406e-06 8.915756978835553e-07 -1.2013848351577101e-06 2.1863511734313665e-06 -2.201492896429845e-06 -1.6514358581887038e-08 -7.379022213551129e-07 4.2831315165145735e-06 1.931772882035106e-08 8.922658311544977e-07 2.9346606001504524e-06 3.6468188255820696e-06 2.608272809557909e-06 -5.207275923193019e-06 -4.713003678268347e-06 -3.677989117542982e-06 -6.272041867170154e-05 -6.545699755918674e-05 -3.867154954617732e-05 0.00010598024283715884 -3.7580190828230506e-05 0.00025412026897291413 -4.804413460803078e-05
PC.PC1 5.050944862544521e-06 9.59730437449822e-08 -5.322526673630958e-06 -7.887924624288953e-07 -2.1556966593290162e-07 -2.625530342798436e-07 2.0725260159177548e-06 6.968307248000034e-09 -2.167337347401875e-07 -1.4046191096531974e-07 6.76560410533576e-08 -9.120168552844671e-08 -1.1559066768263316e-07 1.0876006164155455e-07 6.455583197623865e-08 -2.2322820928516408e-08 -2.1764024644587904e-09 2.264186174776403e-07 -2.171278157588562e-07 -1.0700652882593653e-07 2.185125249694374e-07 -1.6124625985490252e-07 -3.009502110114355e-08 1.692433993689888e-07 4.239177592776034e-07 -2.4084758711954014e-07 2.358231461271254e-07 3.185607260187086e-08 -1.1495687649185883e-06 1.7961751108052803e-06 4.588103584935096e-06 3.790709534092903e-06 3.883208123727458e-06
PC.PC2 1.4504164277464364e-05 7.545150171188265e-07 9.220068687359596e-06 8.686017155958313e-06 5.661740476265349e-06 1.5127176696446848e-06 6.9683072479990595e-09 3.292628033188114e-06 -4.5967399646779624e-08 4.6747401993913775e-08 2.0045434887643658e-07 -9.173809470195625e-07 -1.3966800299484288e-07 -1.4793516421228326e-08 8.389993648768663e-08 1.1975662932542101e-07 -7.975288410763556e-07 -4.0906371509863896e-07 9.15933364995676e-09 -2.5849956469016536e-07 -1.4400218119047877e-07 3.690596700925892e-08 -1.1592979956697288e-07 -1.788812037595136e-07 -3.4440798279415123e-07 6.99222977728446e-08 -1.0065455366708152e-06 -4.429829650820661e-06 8.54599279217059e-06 2.8563394450682826e-06 8.50662902656767e-06 -1.9769974680961205e-06 -2.0609828221682173e-06
PC.PC3 -9.407594547773127e-06 -3.227255208517667e-07 -1.9745772606991306e-06 1.1983216415942957e-05 1.6379934589290097e-05 4.960750066316654e-06 -2.1673373474018755e-07 -4.596739964678174e-08 3.7583044257061476e-06 2.86839079522521e-08 2.749815530013766e-07 3.7278033294318307e-07 5.519496910764198e-08 -9.25680318391618e-08 -5.5130192770605826e-08 3.131653824399675e-07 3.189838359878936e-07 -3.160069140079364e-07 1.3100665389449886e-07 1.4150399788767188e-07 5.773289043624284e-08 -3.826136969010772e-08 2.2940264869817617e-07 -8.081160580692506e-08 -3.464503207368127e-07 -1.8237308232211514e-07 -4.881893463219386e-07 -1.9931021906356094e-06 1.4158417148641364e-06 -2.5581033331140727e-06 -4.8431916053081154e-06 -9.585008104836381e-06 -2.0070440081508222e-06
PC.PC4 6.247812868889817e-06 2.5261723358494906e-07 -7.748663507489834e-06 -4.555879864901423e-06 -1.780822159033161e-06 -2.678421005671964e-08 -1.4046191096531964e-07 4.6747401993913146e-08 2.8683907952253902e-08 5.178077139933988e-06 6.822907621766188e-07 -3.77601845012772e-07 1.5285278007601678e-07 -1.0499685728396285e-07 1.7780333888869855e-07 -1.4133971500203683e-09 -1.77301204302607e-07 -6.742506702681577e-08 -7.789714308854904e-09 -2.2736257667818952e-08 -1.188874520024401e-07 1.8569880085580608e-07 -1.1284266999495344e-07 -7.476384322079786e-07 3.054577472386017e-07 4.231364246029934e-07 -8.611597394562888e-07 3.7469312734606766e-06 -6.95676216020422e-06 -8.117592109492522e-06 6.661592888180202e-08 2.0867606526368494e-06 6.987658701363003e-06
