 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband
intercept 0.0002894895636365115 2.3077662465178987e-06 -1.7167691017309474e-06 -7.077345026367093e-06 3.210432039398323e-06 4.38368354833745e-06 -8.051790383036876e-09 2.1005103568913674e-06 -1.8195463801172728e-06 7.460359650724061e-07 1.3154138010426991e-08 5.186822021688817e-07 3.1144014779881924e-08 2.1326292778373102e-07 2.96523887256977e-08 3.680386176256136e-07 7.642585477476042e-07 7.056323043402847e-08 -9.828705615645712e-07 -1.7535847492920417e-07 -5.908183462096558e-07 3.1318517533526695e-07 1.563044394789454e-06 1.821412001433548e-07 1.779645523247231e-07 -9.68051891079211e-07 1.3400953176830793e-06
AGE 2.3077662465179135e-06 6.513362806463381e-07 5.248375939742614e-07 5.504694343054759e-07 -6.537848729796835e-07 -4.6637927882862994e-07 -1.8198217508764624e-08 6.088985426654736e-08 -4.8087416802809734e-08 2.525156280351665e-08 6.236793223843935e-08 2.7054883531732955e-08 -5.356712141943377e-08 8.206841727422508e-09 1.9567458090712368e-08 4.3710426168060405e-08 6.517728761236501e-08 -3.018752654431358e-09 -6.327732136861436e-08 1.4707058164182561e-08 1.3678723665472937e-09 -8.832941884230778e-09 1.3251576557667324e-08 -9.126994674907303e-10 1.3677931399320949e-08 -3.6751415053655275e-08 -1.2611832298383284e-07
sex -1.7167691017309366e-06 5.248375939742619e-07 0.0009554983837500482 8.471482947462241e-05 -0.0002558100887294844 -6.818894088775583e-05 2.52262925863426e-07 2.9043121034841047e-07 -2.2932695303283702e-07 1.3248661567283204e-07 9.876688428315159e-07 -6.565790830733715e-07 -3.2539526774848434e-07 1.1507607773709022e-07 -5.144604768283764e-07 -6.482627492137097e-08 3.0659879717133717e-07 -4.985463465986179e-07 -1.38268067227779e-07 4.178726673186067e-07 -2.1341582095086388e-07 -6.364206650686061e-07 -6.093830379577737e-08 -2.68548485269924e-07 -3.911527525559829e-07 3.991682957025039e-07 2.160339479512808e-06
age_sex -7.077345026367124e-06 5.504694343054787e-07 8.471482947462241e-05 0.00045443678038716516 -6.583554210996877e-05 -0.0001570860534893294 4.160171479186833e-07 6.886864647088182e-08 1.438076885821371e-07 2.8343198487358064e-07 -1.1282710412472355e-07 4.965488225145721e-08 -4.527904992906976e-07 1.3544947423852636e-09 5.861893872149724e-08 1.0688822418187868e-06 -6.569919896623081e-07 -2.0065325070151962e-07 4.362477997039195e-07 -1.883026037426611e-08 -4.411774718688044e-07 -2.090660908729042e-07 -9.500461337598481e-07 4.900198811112863e-08 1.738679438541115e-07 3.74900771123532e-07 1.4008822523730435e-06
age2_sex 3.21043203939833e-06 -6.537848729796842e-07 -0.0002558100887294845 -6.583554210996871e-05 0.00015041451059046498 5.5791424965462764e-05 -6.453466428595102e-08 -9.144224158049028e-08 1.8487201237160744e-07 -6.937094779572406e-08 -1.6852452523899853e-07 1.1745881432090123e-07 1.847010440186523e-07 -3.725374814449614e-08 2.428577195827838e-07 -1.1375781899570277e-07 1.3024207444537303e-07 2.4830174323114485e-07 6.564187124828219e-08 -2.9321779688539705e-07 9.32678457545844e-08 -1.2866845467572596e-07 1.2825581703766595e-07 -8.320130386662701e-08 5.071359466705423e-08 -1.5980940613645072e-08 -9.974032282562049e-08
age3_sex 4.38368354833747e-06 -4.6637927882863105e-07 -6.818894088775583e-05 -0.00015708605348932936 5.579142496546276e-05 7.995289116568194e-05 -1.107682342677309e-07 4.961688995653904e-08 4.215255799945497e-08 -3.184418060226384e-08 4.266316100134622e-09 -3.959717048274739e-10 1.67358344903126e-07 8.074551658609549e-09 -3.461165123763357e-08 -3.531553366014505e-07 2.7610812447633324e-07 9.825897114816281e-08 -1.8948897423037877e-07 -9.929654836014935e-08 1.2934702037983469e-07 7.610115720262974e-09 2.5905490681819194e-07 -1.6187295135788936e-07 -1.1368381519870055e-07 -5.7851519350679075e-08 -8.088500070198132e-07
PC.PC1 -8.051790383038732e-09 -1.8198217508764627e-08 2.5226292586342614e-07 4.1601714791868385e-07 -6.453466428595122e-08 -1.107682342677312e-07 5.442036873619279e-07 -2.252496926354651e-08 -3.3457864854077215e-08 -2.04840791666264e-08 -4.0245433642101806e-08 9.259798139204723e-09 -1.6745189481362403e-09 2.7281408818407173e-08 5.1177993849530276e-08 -9.516046104075149e-09 -1.9397217082363543e-08 1.5909308481811133e-08 -3.4016716245517616e-09 -3.024635032654414e-08 4.102658821111768e-08 5.5773539831392025e-09 1.0633250876557204e-08 -1.3239088870353771e-08 -1.05033989602231e-08 -4.306785164713089e-09 2.2939646304327604e-07
PC.PC2 2.100510356891394e-06 6.088985426654753e-08 2.9043121034841e-07 6.886864647088025e-08 -9.144224158049021e-08 4.961688995653947e-08 -2.252496926354648e-08 1.0925393204914594e-06 -7.192138858895365e-08 7.131719731235162e-08 1.9623698664879346e-08 -9.749882587523433e-09 -1.0902945119608043e-09 -3.747718922881552e-08 1.7929944731078654e-08 1.2689665192363224e-08 -1.4208160382336447e-08 -2.0304619455764768e-08 -2.3192858202821188e-08 -1.976518008243961e-08 -2.6494408732721305e-08 4.8305188377096185e-08 1.0755180359034132e-08 6.74690616595684e-09 5.344185904800493e-09 1.069942607737807e-08 -5.710598670149575e-07
PC.PC3 -1.8195463801172277e-06 -4.808741680280941e-08 -2.2932695303283734e-07 1.4380768858213585e-07 1.8487201237160795e-07 4.215255799945573e-08 -3.345786485407756e-08 -7.19213885889536e-08 1.1061321722288794e-06 1.1285371349110605e-08 7.129797778912204e-08 4.851287670047365e-09 3.770856901265843e-08 -6.40208162342997e-08 1.0650020729954415e-08 3.140877786339181e-08 -5.819584992057642e-09 -3.235284626610467e-08 1.6659754133336771e-09 3.813484256852348e-08 3.7769202623072576e-08 -5.3480245290470046e-08 -3.571051249454164e-09 5.4655759973594455e-08 2.0445840481160565e-08 -4.059743000878689e-09 1.4105619666225637e-06
PC.PC4 7.460359650724078e-07 2.5251562803516626e-08 1.324866156728333e-07 2.8343198487358117e-07 -6.937094779572472e-08 -3.184418060226427e-08 -2.048407916662648e-08 7.131719731235173e-08 1.128537134911038e-08 1.5090033379204167e-06 1.1414146307990209e-07 -4.945853053731858e-08 1.2535470022098454e-07 6.695027808930829e-08 1.7793792350565576e-08 -2.6265865371018343e-08 -2.8375726066965383e-08 6.84499803189313e-08 -2.2431085245709665e-08 5.737254677144189e-08 3.864233629981836e-09 4.42305567545425e-08 -6.311417784661705e-09 -4.77970934152286e-09 -8.612921083203287e-09 -4.77381496353228e-08 3.772705025028442e-08
