(Intercept) covarSEX covarYOB covarYOBsq covarSEX_YOB covarSEX_YOBsq covarPC1 covarPC2 covarPC3 covarPC4 covarPC5 covarPC6 covarPC7 covarPC8 covarPC9 covarPC10 covarPC11 covarPC12 covarPC13 covarPC14 covarPC15 covarPC16 covarPC17 covarPC18 covarPC19 covarPC20 proband paternal maternal gpp gpm gmp gmm
(Intercept) 0.00319964473544547 0.530307399815455 0.0240982619348645 -0.0240656078207761 -1.05508184707011 0.524757130099866 -4.29687871803775e-05 5.37816780655275e-05 -4.00422775723966e-05 4.22906363842767e-05 9.38090316807559e-06 -1.75395263996937e-05 3.2860071305463e-05 5.81502034007121e-06 2.14268375023634e-05 7.01778194969908e-06 -6.42383905913027e-05 1.84281401537912e-05 6.88326767198294e-06 -1.57923608910998e-05 7.44734602079925e-06 1.69774318731114e-05 1.35053384251773e-05 2.72039696561733e-05 -2.58699550923376e-05 3.80930744399829e-05 4.0112975635078e-05 7.01038567579933e-05 -0.000315539318354785 -0.000641810793049691 -0.000211423843820307 0.000388638235298444 0.000640274060309746
covarSEX 0.530307399815455 2803658.74272635 28613.464051087 -28614.4970214751 -5610140.86930018 2806613.37450562 -1.01134386980032 -4.36799820144656 0.825929778959539 0.31451463169269 -2.33968905894104 2.71215370606577 0.703341880773936 -1.88284658245852 3.58576472434931 0.60976930806238 2.00454197153617 -0.141035598619876 0.853016139983665 -1.49942227186614 2.86641274496178 0.433983467636708 -2.10020378299013 -4.19460088045159 -2.8442058576279 1.31036301471909 2.62676544861211 0.459754370707915 0.0135800412855448 6.3171643699991 -6.28839043498773 -3.75817745881086 2.2359376354891
covarYOB 0.0240982619348645 28613.464051087 569.96794744744 -570.005776114061 -57258.2436064655 28646.1085569417 -0.0347534512264366 -0.0754542594643265 0.0265049361259074 -0.0238554247202607 -2.32804470799294e-05 0.0117993382473587 0.0131508218844692 0.0444670933797154 0.0383000084126404 0.0367738977438158 0.043346877832398 0.0386662422381578 0.00709165874757644 0.0265643180700687 -0.00403929845976284 -0.0361854020884901 -0.0245820536177229 -0.0578490205902517 -0.0494567006584424 -0.00674886473426778 0.0424989218928214 0.00250973402595859 -0.0299852357800506 0.114036109226374 -0.147666125912745 -0.132301373202789 0.0548761177641749
covarYOBsq -0.0240656078207761 -28614.4970214751 -570.005776114061 570.049262264793 57260.8647919359 -28647.6970586728 0.0345159077679442 0.0755330406309731 -0.0264214796167401 0.0239107553320592 9.59335279117171e-05 -0.0119261782863114 -0.0130122267369611 -0.0445838339588019 -0.0381733469705278 -0.0366345576522533 -0.0433170076515024 -0.0388015815649601 -0.00698223265714087 -0.026688350894655 0.00416457147099939 0.0363066214259444 0.0244797482871137 0.0578977477541942 0.0493666596244012 0.00683859880696101 -0.0423853534965356 -0.00254236934066088 0.0299998381348937 -0.114036678890572 0.14765273569937 0.132413411500554 -0.0551596529772615
covarSEX_YOB -1.05508184707011 -5610140.86930018 -57258.2436064655 57260.8647919359 11226043.1611586 -5616164.94563479 2.01081217715894 8.73749241682186 -1.64070774882347 -0.636503007953224 4.69390388374184 -5.42149567313944 -1.38868669350913 3.75167639631359 -7.18038937425796 -1.21881767422165 -4.01561422176114 0.288952534438339 -1.70149418084313 3.00035294736438 -5.7369558446259 -0.86494745147306 4.20644073571559 8.39664870527804 5.68545302096434 -2.61509645507054 -5.2497054237729 -0.905041222511711 -0.0258976912872544 -12.6412288816689 12.5770219415468 7.52618841652589 -4.5193700062628
covarSEX_YOBsq 0.524757130099866 2806613.37450562 28646.1085569417 -28647.6970586728 -5616164.94563479 2809682.98557212 -0.999638170754589 -4.3697405615278 0.814807932936098 0.322031605457417 -2.35444206084984 2.70951936255931 0.685363731450008 -1.8688957236569 3.59481010414615 0.60908330885029 2.01122454975253 -0.147900142923731 0.84845241611134 -1.50099578298424 2.87075222366052 0.43108301655709 -2.1062514225141 -4.20222677291756 -2.84137047400491 1.30474966730196 2.62296514445256 0.445375863506894 0.0124445695864921 6.32426504275518 -6.28891058630938 -3.76844362332302 2.28371500651652
covarPC1 -4.29687871803775e-05 -1.01134386980032 -0.0347534512264366 0.0345159077679442 2.01081217715894 -0.999638170754589 0.00365388291782107 -0.000471984273234984 -0.000325400163540865 -6.1953461313301e-05 -0.000182307540046658 6.22177982215166e-05 2.39339283409981e-05 4.78260765428284e-05 -2.41112397249933e-05 4.96190966792278e-05 1.2543583694626e-05 0.000410068388566281 -0.000150183501344384 -0.000190717622774749 -0.000472958414452508 -0.000376794972772443 0.000183019542454294 1.48579514500853e-05 0.000145986940732196 1.34891293858479e-05 0.000152816658098179 0.000289966208510391 0.000129556004977136 0.000309458461166834 0.000286717020395647 0.000241730543752185 1.77594811980924e-05
covarPC2 5.37816780655275e-05 -4.36799820144656 -0.0754542594643265 0.0755330406309731 8.73749241682186 -4.3697405615278 -0.000471984273234984 0.00287642443104737 0.000188678074543339 0.000223587774000544 -6.42866352754148e-05 -6.5970678655491e-05 -5.03462806648552e-05 0.000118159832141343 -3.92139253061626e-05 -1.5184543987749e-05 -1.71621673864475e-05 -0.000158783089111314 0.000103608151150493 -0.000147731138339647 3.4471526127701e-06 6.82068313730531e-06 7.35353952961941e-05 4.48721887519213e-05 -6.9489956338293e-05 -3.9489665528424e-05 -2.90906612260747e-05 0.000295308895942727 -1.43822808729795e-05 -0.00059046820844685 -0.000170159484745509 0.000479796569771972 4.09666904342176e-06
covarPC3 -4.00422775723966e-05 0.825929778959539 0.0265049361259074 -0.0264214796167401 -1.64070774882347 0.814807932936098 -0.000325400163540865 0.000188678074543339 0.00351705807202765 0.000103153516151494 0.000491611600513083 7.07598929830502e-06 0.000218416425249126 -0.000109290963016924 -0.000421368170202923 -3.12449780581913e-05 0.000210382116059094 1.6836504447553e-05 -0.000307970517532971 4.33658914487801e-05 -2.42642213233963e-05 0.00010937517489697 -0.000226843296800431 -0.000254449994030791 0.000195154404404395 6.18328361909601e-05 -4.08685733774676e-05 -0.000201888415744657 -0.000269636006472925 -7.08659956533697e-05 -0.000127079569281052 -0.000181796026807842 5.26917640875551e-05
covarPC4 4.22906363842767e-05 0.31451463169269 -0.0238554247202607 0.0239107553320592 -0.636503007953224 0.322031605457417 -6.1953461313301e-05 0.000223587774000544 0.000103153516151494 0.0033425663771411 0.000477038184739679 -0.000116843553538012 7.2260465998621e-05 -0.00036464410985648 0.000118333731991157 0.000105619089880483 9.26177024776077e-05 -0.000316250749971684 -0.000211929291300347 -1.54231352734039e-05 -2.21739697765336e-05 3.4980118817262e-05 -3.75332930606664e-06 -0.000187463398736258 -4.6457301005599e-05 5.5879964014811e-05 7.98459477999107e-05 -0.000374133544952287 -5.72075556864282e-05 0.000261997241417673 0.000327040605930837 5.19028238064194e-05 0.000389794031774604
