(Intercept) covarSEX covarYOB covarYOBsq covarSEX_YOB covarSEX_YOBsq covarPC1 covarPC2 covarPC3 covarPC4 covarPC5 covarPC6 covarPC7 covarPC8 covarPC9 covarPC10 covarPC11 covarPC12 covarPC13 covarPC14 covarPC15 covarPC16 covarPC17 covarPC18 covarPC19 covarPC20 proband
(Intercept) 0.0031286330420136 0.468161269976789 0.0252141599137609 -0.0251769786255724 -0.927813417604959 0.459628727064777 -5.43882363171196e-06 1.78890991585136e-05 -5.47129561907329e-05 3.08895778469019e-05 7.47985134098166e-06 -1.06571885170259e-05 2.00518804708598e-05 -4.58023010496505e-06 2.33392807939989e-05 -9.97015785336724e-07 -7.1510746515263e-05 9.54410120016895e-06 -1.16310423398754e-05 -2.97505915139006e-06 1.27705630210957e-05 1.64530927004302e-05 3.98021850175907e-05 2.90544455664164e-05 -3.25357801280491e-05 3.54077513662545e-05 -6.75002053267113e-05
covarSEX 0.468161269976789 2794318.60277039 28634.5068992372 -28635.1463279096 -5591399.80796273 2797211.96761817 -1.47501988045287 -4.23439973541248 1.03525556788793 0.131864120198848 -2.13438302607137 2.73652908066811 0.937364053275575 -2.04449755525011 3.48014243666064 0.539934635886717 2.02876254997164 -0.215783217798468 0.951612633353862 -1.3423531714193 2.43368844735959 0.145852812230274 -2.0162360301415 -3.93794611057485 -3.09077070703643 1.46310490602004 0.160412247980035
covarYOB 0.0252141599137609 28634.5068992372 569.479249005825 -569.509385840786 -57299.4875017272 28666.3111024079 -0.0335195914342721 -0.0695934617074308 0.0202409167326704 -0.0225768884552158 0.000338860594733809 0.010602341002583 0.0168604994123719 0.0420962380607952 0.0360234373561296 0.0371740210446089 0.0417733440042871 0.0372031265996749 0.00610962701906763 0.0262761301080341 -0.0130238783842561 -0.0390848276507916 -0.0246438056704741 -0.0529368115592215 -0.0528804533746981 -0.0041101595352263 -0.0292822238575715
covarYOBsq -0.0251769786255724 -28635.1463279096 -569.509385840786 569.545183968107 57301.3215830801 -28667.50600929 0.0332790570684059 0.0696699333402224 -0.0201483207188655 0.0226401244566822 -0.00027170147119536 -0.0107337524020947 -0.0167272612222314 -0.042204134679889 -0.035897252727722 -0.0370413557578513 -0.0417453748759903 -0.0373275761097336 -0.00600312931111614 -0.026414686700033 0.013152639713896 0.0392165628485004 0.0245442267245049 0.0529805262516544 0.0527953006033022 0.00420155525615183 0.0292788705073119
covarSEX_YOB -0.927813417604959 -5591399.80796273 -57299.4875017272 57301.3215830801 11188439.3113141 -5597301.18110361 2.93595884232024 8.47037080607638 -2.05889583525189 -0.26814661376591 4.28179638162631 -5.47094409761588 -1.85738625880654 4.07644877965402 -6.96939061239895 -1.07957370467903 -4.0652016091568 0.438990217666149 -1.89900890108038 2.68403056873926 -4.87130664162374 -0.287734305128328 4.03831158813851 7.88258558682091 6.17855026556293 -2.91994578571706 -0.331254521185355
covarSEX_YOBsq 0.459628727064777 2797211.96761817 28666.3111024079 -28667.50600929 -5597301.18110361 2800220.13738081 -1.46112156089648 -4.23621094805844 1.02367786053745 0.13631613318669 -2.14762592764034 2.7345971952702 0.920061124334552 -2.03202940657908 3.48942481995156 0.539669647786006 2.03659411952451 -0.22320447325807 0.947375753815758 -1.34172236198797 2.43780255650644 0.141985224412472 -2.02209777963597 -3.94479794882295 -3.08791570336965 1.45686583136418 0.170849627914301
covarPC1 -5.43882363171196e-06 -1.47501988045287 -0.0335195914342721 0.0332790570684059 2.93595884232024 -1.46112156089648 0.00349826488964409 -0.000480885216043618 -0.000227294754678192 -9.10436565212565e-05 -0.000151469620219793 6.17099628798051e-05 2.3954054281897e-05 3.45892435549875e-05 -3.44582593404871e-06 5.2846444153681e-05 3.16890699573244e-05 0.000393115722134732 -9.82450196334172e-05 -0.000179697619029046 -0.0004879881011812 -0.000412475193451223 0.00017685354940826 1.8197688967496e-05 0.000142752152532479 1.27035621121373e-05 0.000172813532330953
covarPC2 1.78890991585136e-05 -4.23439973541248 -0.0695934617074308 0.0696699333402224 8.47037080607638 -4.23621094805844 -0.000480885216043618 0.00284538539687154 0.000199097264051423 0.000227923292487736 -6.55689150422938e-05 -6.01380426269561e-05 -7.41199890411424e-05 0.000117760216543757 -4.02827789065526e-05 -1.11286453444255e-05 -2.61987962210749e-05 -0.000158911628587638 0.000102354702451562 -0.000142167075420918 1.47323200596011e-05 1.26562132620339e-05 8.4799214394473e-05 3.64795530601823e-05 -7.6257024316085e-05 -3.74348541417837e-05 -6.1734922358612e-05
covarPC3 -5.47129561907329e-05 1.03525556788793 0.0202409167326704 -0.0201483207188655 -2.05889583525189 1.02367786053745 -0.000227294754678192 0.000199097264051423 0.00343833238510508 0.000117202857546478 0.00047289776767545 8.28280019041416e-06 0.000216560653712189 -8.93228678130201e-05 -0.000430517761213592 -3.40098729058037e-05 0.000208528773145981 3.64037722726693e-05 -0.000335316371813894 3.35766103017951e-05 -1.69339458133994e-05 0.000121424875027315 -0.000210987845654852 -0.000257702980082591 0.000196922875960421 7.21617912200548e-05 7.31034694687468e-05
covarPC4 3.08895778469019e-05 0.131864120198848 -0.0225768884552158 0.0226401244566822 -0.26814661376591 0.13631613318669 -9.10436565212565e-05 0.000227923292487736 0.000117202857546478 0.0033173494841247 0.000492312993861072 -0.000119491813984284 8.27831253959517e-05 -0.00038171734541231 0.000128919019592511 0.000106392665920673 0.000103787899848685 -0.000329891926259287 -0.000208773512199487 -1.04705090621198e-05 -1.59981584912293e-05 2.9344444683065e-05 8.12106971819424e-06 -0.000178577586235386 -4.45974240321631e-05 5.32393484391874e-05 -6.9001628163018e-05
