 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband
intercept 0.0015739332801832555 -6.489865539468363e-06 -6.615129093570205e-05 2.1593929414123917e-06 -3.5398692132541593e-07 6.057568378997833e-06 1.1207372537527702e-05 3.1251432082158197e-06 1.067968090972619e-05 -3.8104239547104114e-06 1.8508127248360483e-06 2.4860987823200004e-06 3.483067361576131e-06 -8.00583878419024e-06 -1.0245956995172296e-05 -4.0664983597300175e-06 1.1986772386535685e-05 -2.2707347057931804e-07 4.441210048707531e-06 7.237071264264034e-06 -5.175224011542125e-06 3.20632542426886e-05
PC1 -6.489865539468682e-06 5.992867522046358e-06 -3.92617118712534e-06 -3.3043297614296833e-07 -5.450249832631699e-07 -1.4016791959640602e-07 9.580286465893874e-08 -4.1543857595336897e-07 2.697807133469159e-07 1.5306220663325516e-08 9.232961083026525e-07 -1.2824186898597996e-07 1.6452236506524339e-06 -5.318369079645679e-07 -6.569987145846975e-07 -1.8004618930805875e-06 -2.256644076908414e-06 7.995946762486677e-07 -1.8475659102019738e-07 6.884666123282468e-07 1.172747840822622e-06 8.616383076390665e-06
PC2 -6.615129093570218e-05 -3.926171187125338e-06 0.00012668924882866487 3.8129355089697545e-06 3.7038193743298984e-06 -1.5681186816309703e-06 -9.451883851925112e-07 1.295510636317865e-07 1.8435615105485516e-06 9.94905630686442e-07 -4.7628680399467183e-07 -3.784328821745961e-07 -1.8197631023464995e-06 3.0317446435747313e-06 3.5306776845762012e-06 -7.637931558859564e-07 -1.8725491542553375e-06 3.2989856827664264e-06 2.2318475198353927e-06 -3.2641065868160927e-06 -2.1829629148984377e-06 -1.1855206742820513e-05
PC3 2.159392941412386e-06 -3.3043297614296844e-07 3.8129355089697566e-06 1.3121926372353617e-05 1.9485744016875227e-07 4.5393317299126315e-06 -5.661120091916108e-07 3.626680410106116e-06 1.566071951455105e-06 -1.982014949394903e-06 -2.607004586875672e-07 -6.234863874731712e-07 1.0336397840049493e-06 -3.436815811665318e-06 1.266630636110642e-07 -1.2383535076662982e-06 1.3174788283092322e-06 -1.8021378988261126e-06 -1.4350287260654488e-06 1.830166127706471e-06 1.4683212555017058e-06 -7.112141399126616e-06
PC4 -3.539869213254258e-07 -5.450249832631696e-07 3.7038193743298975e-06 1.9485744016875249e-07 2.0395909391448738e-05 4.522526965998935e-06 -1.5312141627830908e-06 1.3234532298705288e-06 -3.237011638578025e-06 5.091108205023873e-07 9.78307679846933e-07 2.0047177940287936e-06 -4.04719069309211e-06 -1.7299340370159724e-06 8.468067376372222e-07 1.227909721932896e-06 -3.33454092266035e-07 1.905208816881244e-07 -5.63741937576796e-07 -5.497159690852804e-07 -4.7624842043522144e-07 6.976932021601832e-07
PC5 6.057568378997828e-06 -1.4016791959640682e-07 -1.5681186816309669e-06 4.539331729912632e-06 4.522526965998933e-06 4.5764838042705046e-05 1.5593328976797667e-06 7.566203343907665e-06 -1.2809016476447086e-06 -2.7921045358346594e-06 2.1207490253666727e-08 -1.4235205796219617e-06 8.112399595690033e-07 -4.743555871161233e-06 2.508347900476206e-07 2.877092850048839e-07 3.213450380828168e-07 1.9856450105635324e-06 -7.634993075937892e-08 1.429255519665065e-06 -5.058430971776767e-07 5.444661319101954e-06
PC6 1.12073725375277e-05 9.580286465893865e-08 -9.451883851925136e-07 -5.661120091916106e-07 -1.5312141627830902e-06 1.5593328976797683e-06 4.182341390360849e-05 -5.728961313749843e-07 -3.5954601170278874e-07 7.238103943268475e-07 -1.559305582510673e-06 -4.820133724980451e-07 -8.873751816173914e-07 9.154900629922921e-07 -1.732078369540829e-07 1.5428436676245593e-06 -4.244396104824915e-07 8.210250737969818e-07 -1.5945805487945996e-06 -3.370007661055194e-06 -1.016494971833362e-06 1.5804279253297193e-05
PC7 3.125143208215824e-06 -4.154385759533689e-07 1.2955106363179138e-07 3.626680410106116e-06 1.3234532298705266e-06 7.566203343907657e-06 -5.728961313749865e-07 3.673524800680573e-05 3.3462995841237352e-06 -1.911068937184362e-06 -8.829339325679864e-07 3.210749970536976e-06 3.0253836314755517e-06 3.7775957415624e-07 -6.231625686016665e-07 -1.1291839240137497e-06 1.4100628543873986e-06 -1.4365540947435442e-06 8.171894980403317e-07 -4.100317716807914e-07 -1.0806603241134179e-06 -1.4258345401371216e-05
PC8 1.0679680909726197e-05 2.697807133469175e-07 1.8435615105485535e-06 1.5660719514551054e-06 -3.237011638578026e-06 -1.2809016476447094e-06 -3.5954601170278895e-07 3.3462995841237352e-06 4.2657304990732426e-05 6.076827713001652e-08 3.389622858485571e-06 -3.5706282105063802e-06 2.713601583053678e-07 -1.6328863170941885e-06 -4.886518583623105e-07 -1.635179689575595e-06 1.1081199815399653e-06 -1.935496740165656e-06 -4.656653960718151e-06 5.511737608536841e-07 1.1778361364815374e-06 -7.4195582518246056e-06
PC9 -3.8104239547103907e-06 1.530622066332503e-08 9.94905630686442e-07 -1.9820149493949043e-06 5.09110820502387e-07 -2.79210453583466e-06 7.238103943268494e-07 -1.9110689371843644e-06 6.076827713001674e-08 3.2372398361592785e-05 -2.6875721067613527e-06 1.391445995032026e-06 -1.198721255673134e-06 3.9588278231498556e-07 -2.2840962181483632e-06 1.5395289129625537e-06 7.946487684374219e-08 2.2540952184397676e-06 -1.3667315164518332e-06 -1.9157012527800564e-06 -2.8621352167270375e-06 -3.4631842348293443e-06
PC10 1.8508127248360363e-06 9.232961083026527e-07 -4.762868039946726e-07 -2.6070045868756604e-07 9.783076798469332e-07 2.120749025366737e-08 -1.5593055825106734e-06 -8.829339325679877e-07 3.3896228584855682e-06 -2.687572106761353e-06 3.744228737287135e-05 -9.638872581610186e-08 4.714584052471684e-07 -1.7237322733253523e-06 -9.618370695347719e-07 5.203417381528021e-07 -2.373493107400984e-06 4.7640367330144504e-07 1.0340871453141537e-07 1.7245204528301768e-06 1.5394026468792324e-06 4.1503297560726e-06
PC11 2.4860987823200055e-06 -1.2824186898597956e-07 -3.7843288217459515e-07 -6.234863874731709e-07 2.0047177940287924e-06 -1.4235205796219613e-06 -4.820133724980441e-07 3.210749970536977e-06 -3.570628210506381e-06 1.3914459950320248e-06 -9.638872581610117e-08 3.1349377337697615e-05 2.578235375967856e-07 1.4962824787073567e-07 -1.977096356881309e-06 2.687184001776197e-06 1.7915447909924238e-06 8.598576106461823e-07 4.910141455083924e-07 7.056382471789434e-07 -4.09212301885802e-07 -1.3095103678222519e-06
PC12 3.483067361576139e-06 1.6452236506524328e-06 -1.8197631023464993e-06 1.0336397840049493e-06 -4.047190693092113e-06 8.112399595690024e-07 -8.873751816173916e-07 3.025383631475551e-06 2.7136015830536703e-07 -1.1987212556731337e-06 4.714584052471681e-07 2.5782353759678514e-07 2.9789632816058173e-05 2.646355186404567e-07 -8.907754456070905e-07 -2.1178492685335328e-06 1.0505669958689556e-06 -2.2311515441215683e-07 -2.306242157345628e-07 6.366418972603458e-07 1.1094435451012158e-06 9.806754930178266e-07
PC13 -8.005838784190236e-06 -5.31836907964567e-07 3.0317446435747283e-06 -3.4368158116653183e-06 -1.7299340370159743e-06 -4.743555871161236e-06 9.15490062992292e-07 3.7775957415624063e-07 -1.6328863170941878e-06 3.958827823149849e-07 -1.7237322733253527e-06 1.4962824787073512e-07 2.6463551864045777e-07 3.244016210741212e-05 -3.90767134753582e-07 4.138202291752187e-06 3.337944544879039e-07 4.647035895057632e-07 -3.4575255348425396e-07 -1.3315382845591826e-06 5.437941292863914e-07 7.43116092831815e-06
