 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal
intercept 0.0005318440784371945 -1.7448426493951848e-07 -2.3735177896848303e-05 1.0852385953580405e-06 -4.987902163801276e-07 1.5119272324062342e-06 2.8196797028900437e-06 9.768853465362779e-07 2.57121080369918e-07 1.9903851252718677e-06 -3.911986091262546e-07 1.479793523659139e-06 -5.288687367316624e-07 -8.489906812727061e-07 -1.4710621240563887e-06 -2.0721059498073112e-06 3.87616648745603e-07 -2.4909971979574753e-06 -7.727619841106008e-07 1.094557114823148e-06 -1.309293721226224e-06 6.4205764702777145e-06 7.138025452101109e-07 -1.1357878662848015e-05
PC1 -1.7448426493951854e-07 1.9187894630751028e-06 -1.6073549307784763e-06 -2.651643797318199e-07 -1.4776428760100644e-07 -2.1054298377294935e-07 1.3618841915903423e-07 4.4518884252751315e-08 2.995558756873677e-08 3.528140335191706e-08 9.505884401594805e-08 6.73423865709895e-08 6.073875672730252e-07 -8.488957334993561e-08 -2.756699949273495e-07 -6.826551332303611e-07 -6.506167551306139e-07 2.769420483453907e-07 4.738987725758351e-08 2.2327994691615432e-07 3.0577008452328537e-08 -4.516810038087717e-07 2.5152364142174006e-06 5.652671111476735e-06
PC2 -2.373517789684831e-05 -1.6073549307784763e-06 4.6053007126428904e-05 9.565112917391318e-07 1.4854956321410598e-06 -6.424737513085759e-07 -4.5134126197018607e-07 -6.834542773041326e-07 1.1662250457540078e-06 -2.606811580082257e-07 -9.689323298283262e-08 -1.937023602103421e-07 -1.25869958166454e-06 8.143503778287548e-07 -1.1808435097214886e-06 4.7985401195130816e-08 9.699048836827817e-08 6.227739983907582e-07 1.1095743021594331e-07 -7.32699738499237e-07 -3.6662915008836405e-07 -5.152895033280896e-06 1.4216291066281118e-06 -3.965278742073538e-06
PC3 1.0852385953580408e-06 -2.6516437973182003e-07 9.56511291739132e-07 3.7797704234445764e-06 2.0796381795270734e-07 1.183469339421074e-06 3.0728568752649785e-08 5.337457943327102e-07 -1.7305973284725105e-07 -9.867414309098453e-07 -6.859671934365695e-08 4.3896697786144877e-07 5.911051140219079e-08 -7.442823243724494e-07 8.658980077202127e-08 -6.739931269444733e-08 2.6053744392175975e-07 -4.734974022392202e-07 -5.489399483000686e-07 4.72397770014499e-07 1.6453981576261582e-07 -1.755107560109928e-07 -3.4513326906261773e-06 5.041802478117102e-07
PC4 -4.987902163801285e-07 -1.4776428760100652e-07 1.4854956321410609e-06 2.0796381795270742e-07 7.083196960639265e-06 1.7424218598596478e-06 -3.5229052755422604e-07 2.1374811956972344e-07 -1.3198774489591382e-06 3.862769336605729e-07 3.1642594957933195e-07 2.507729293368963e-07 -9.595856267685488e-07 -5.990695402884477e-07 -1.977563031585023e-08 -7.798269594318466e-08 7.725993703983493e-08 1.2428091448827522e-07 -5.413669676211014e-07 -1.9117831011266698e-07 1.4996922576024898e-07 2.298968278010639e-06 -3.4259999140658824e-06 -3.4428405143129466e-06
PC5 1.5119272324062344e-06 -2.105429837729494e-07 -6.424737513085747e-07 1.183469339421074e-06 1.7424218598596472e-06 1.479075054082313e-05 3.1232033422068557e-07 1.1572318834906515e-06 -9.585522346945767e-07 -6.417127148480714e-07 -5.737116570318681e-07 -9.701478686457892e-07 4.034523896932655e-07 -1.4047942225500595e-06 5.377782907720291e-07 1.196380814096079e-07 -2.1388845352381367e-08 7.424332465658188e-07 -2.4980866485299856e-07 3.595016401709549e-07 -1.0780380231016727e-08 -1.4975393648729144e-06 -1.4217135405286613e-06 2.7826824523880854e-06
PC6 2.8196797028900433e-06 1.3618841915903426e-07 -4.5134126197018554e-07 3.0728568752649824e-08 -3.5229052755422577e-07 3.1232033422068546e-07 1.4322170684648792e-05 -1.5433091976500546e-07 2.3616154763741865e-07 2.5652545481283453e-07 4.3557846836771477e-08 -3.374395000344174e-07 -1.5973693125617695e-07 -1.9562716442804232e-07 -2.2790532985954095e-07 -1.4517587805395e-07 -8.125224235835425e-08 2.5305684111054716e-07 -3.8462963495749745e-07 -2.3217466916286137e-07 -5.158867429194807e-07 2.146169482475295e-06 3.242843539077845e-06 -6.893535960078779e-07
PC7 9.76885346536278e-07 4.4518884252751454e-08 -6.834542773041326e-07 5.3374579433271e-07 2.1374811956972336e-07 1.157231883490652e-06 -1.5433091976500557e-07 1.227028347936216e-05 1.037708164841392e-06 -2.2372965032720108e-07 -1.1315413862442665e-07 1.434686885716206e-06 4.0610814089327963e-07 2.765304693873557e-07 -4.951255012505609e-07 -5.440464875459495e-07 -1.1265465680323727e-08 -5.217831389141083e-07 1.0389204190800774e-07 1.1979179622690823e-07 -4.3661621966125946e-07 -7.025697285365132e-06 6.100997112098147e-06 2.8767475401676333e-06
PC8 2.5712108036991556e-07 2.995558756873682e-08 1.1662250457540087e-06 -1.730597328472513e-07 -1.3198774489591386e-06 -9.585522346945771e-07 2.3616154763741846e-07 1.0377081648413921e-06 1.3819652600348596e-05 4.318356695436755e-07 5.204137245522092e-07 -8.470157504565497e-07 2.018335560879663e-07 -1.348015777325907e-07 -4.987450950005339e-07 -4.929673840971298e-07 4.023705129266846e-07 1.2157053911455103e-07 -7.91334594267199e-07 -1.899894305753741e-07 1.1758359421409196e-07 -2.8038268459975425e-07 1.7987765007593326e-06 5.845610612949701e-07
PC9 1.990385125271865e-06 3.5281403351917185e-08 -2.606811580082257e-07 -9.867414309098455e-07 3.862769336605726e-07 -6.417127148480717e-07 2.5652545481283474e-07 -2.2372965032720116e-07 4.3183566954367614e-07 1.1558633811629362e-05 -2.849026149703817e-07 2.7559923877763546e-08 -4.291851961526058e-07 1.0926930257081411e-07 -8.558856487993799e-07 3.9404817186676166e-07 2.464214784565494e-07 5.585002334249477e-07 -4.321629356251701e-07 -2.103341791695508e-07 -7.504117318660714e-07 2.735787261103651e-07 5.070231533458425e-07 -5.627538072195855e-07
