 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal gpp gpm gmp gmm
intercept 0.0007479767747119355 -2.4614775633393345e-07 -2.1237618097908336e-05 1.664660724248032e-06 8.867155392050567e-07 4.6116323692488006e-07 2.133674299540311e-06 2.099070200140369e-06 -4.842075066542402e-07 2.177141788023928e-06 -9.507732096868804e-07 2.675968204110568e-07 -5.058259635827741e-07 -1.5966811479163349e-06 -1.2939282003012668e-06 -1.995918273447525e-06 1.0920657861771737e-06 -1.6196625852903708e-06 -7.84704032372275e-07 4.425667788005297e-07 -7.91310000215544e-07 5.9806856763319136e-06 4.706042930231432e-05 -1.3769107412566385e-05 -0.0001274676714487714 1.1529509752504398e-06 -1.1202882108657071e-05 3.345505914580049e-07
PC1 -2.4614775633393356e-07 2.525276598200064e-06 -1.6016105055456672e-06 -3.488494138462864e-07 -8.910980320748672e-08 -2.7714099100126817e-07 7.123940596375533e-08 9.776792688182143e-08 6.391120295793968e-08 -1.833231333521797e-08 1.3708298267512234e-07 2.5823173478260932e-08 6.129424883539088e-07 -1.2106158667749066e-07 -2.5237372687820815e-07 -6.634623156003913e-07 -5.997422054096278e-07 2.1325070632002284e-07 4.920154442825119e-08 2.2451615418562073e-07 4.841537170919102e-09 -3.317576879315711e-07 2.6358476072977357e-06 6.651865019458909e-06 1.2339844022999178e-06 -5.956323987024295e-07 1.1816717083696811e-07 3.9290881344031814e-07
PC2 -2.123761809790834e-05 -1.601610505545667e-06 4.633507278127069e-05 8.24256077589185e-07 1.3155139951572652e-06 -4.5810683547544385e-07 -4.6862814421970497e-07 -4.0156030445529916e-07 1.0849899606071833e-06 -3.4656755784257077e-07 3.8056544141069276e-08 -9.588741598690225e-09 -9.457328207548335e-07 8.382671901357062e-07 -1.0147693332786237e-06 1.763765479814265e-08 1.384130008414169e-07 6.819298217764882e-07 1.3442237837295158e-07 -4.837614287646893e-07 -2.268916169098469e-07 -4.107639792359567e-06 7.279386854750479e-06 -1.1050276774059566e-05 -1.1329613621631057e-05 -8.080191775608449e-06 1.1770564389616567e-05 9.084149454676474e-06
PC3 1.6646607242480317e-06 -3.488494138462866e-07 8.242560775891855e-07 4.796307270732231e-06 1.2812696593939196e-07 1.1708761379606614e-06 -6.748181794219131e-09 4.3890404058464123e-07 -2.472269172890558e-07 -9.380177369534226e-07 -8.655608140097297e-08 4.280578619854365e-07 3.6578586124818656e-08 -7.115636891188983e-07 1.0193456740054728e-07 -4.513679435939627e-08 2.7368217675716953e-07 -3.356071606192124e-07 -5.292872535902692e-07 4.002290347500117e-07 1.4149702400743877e-07 -4.649658290573078e-07 -2.482172930802055e-06 3.3185832108571314e-06 -2.4907426397893656e-06 2.800899344766245e-07 -2.6424769583539676e-06 -3.295043425968023e-06
PC4 8.867155392050568e-07 -8.910980320748672e-08 1.3155139951572648e-06 1.2812696593939196e-07 9.001468593995226e-06 1.5212151656187129e-06 -3.8257547662147805e-07 2.2057234585547038e-07 -1.2714128879861683e-06 4.7479766435238565e-07 3.947125903165888e-07 2.0791659573589757e-07 -1.0092376380917764e-06 -6.907128936766899e-07 4.806331701637969e-08 1.0282311736439171e-08 7.682303778165157e-08 -4.7082772642110537e-08 -4.483505881537057e-07 -1.2970582203478603e-07 9.942782207859073e-08 2.4247869553897295e-06 -8.197390685514337e-06 -7.126163810759e-06 8.251630057390363e-06 3.981997007472693e-06 -6.949355911036233e-07 8.54815579501825e-06
PC5 4.6116323692488027e-07 -2.7714099100126796e-07 -4.5810683547544285e-07 1.1708761379606605e-06 1.5212151656187122e-06 1.621965473133816e-05 3.5486657113779045e-07 9.233905114987584e-07 -7.595770404778503e-07 -6.198862961440982e-07 -3.64143319882171e-07 -7.778089293004262e-07 5.48443877079026e-07 -1.0961818544366603e-06 4.477658133503868e-07 4.936764786368471e-08 -1.1700151429629297e-07 7.019395689932418e-07 -1.6923018246981674e-07 1.5118520040778808e-07 -1.4442440475275371e-07 -7.705538691534047e-07 8.356834580674713e-07 -3.384779939565019e-08 -2.1196015380564906e-05 1.284673864589045e-05 8.874488447404595e-06 8.340886197522148e-07
PC6 2.1336742995403097e-06 7.123940596375544e-08 -4.686281442197052e-07 -6.748181794219319e-09 -3.825754766214781e-07 3.548665711377902e-07 1.5096807291252833e-05 -7.353919392033962e-08 2.910503598791204e-07 1.7977606229818574e-07 1.344879376676138e-07 -3.578407239222936e-07 -1.0821549027986001e-08 -1.7825170152864708e-07 -1.954910256438187e-07 -9.872002307369118e-08 -5.057213432653017e-08 2.7221016095192985e-07 -4.0071234700807284e-07 -2.4446956038416577e-07 -5.546615420847338e-07 2.4280252738366576e-06 -1.3415586454972913e-07 -2.67214596827097e-06 1.024041168520937e-06 3.464762304236615e-06 -3.253052839574761e-06 6.764880737644963e-06
PC7 2.099070200140367e-06 9.776792688182152e-08 -4.0156030445529905e-07 4.3890404058464113e-07 2.2057234585547072e-07 9.233905114987588e-07 -7.353919392033933e-08 1.291000667803487e-05 9.246661831054215e-07 -2.423252168016689e-07 -1.741505661503089e-07 1.1973169699719786e-06 4.0545262801886287e-07 2.3933577912124574e-07 -3.4240368565789676e-07 -4.805454192600841e-07 7.866493771966157e-08 -4.3796633897642417e-07 7.476373959500886e-08 6.814319722837562e-08 -4.6223111893494847e-07 -6.615690967470149e-06 7.41655431947067e-06 -3.97286582417164e-07 -4.857925279357444e-07 -3.6278811366095323e-06 8.262359065009704e-06 -2.2421865239823878e-06
PC8 -4.842075066542391e-07 6.391120295793972e-08 1.0849899606071841e-06 -2.472269172890558e-07 -1.2714128879861683e-06 -7.595770404778503e-07 2.9105035987912034e-07 9.24666183105422e-07 1.4272739665933949e-05 3.4051470638027305e-07 3.439304602855319e-07 -7.809533799542837e-07 3.7964542431281854e-07 -1.302534984814908e-07 -4.722750809954905e-07 -4.2886039596170135e-07 3.773427008747994e-07 9.114946063980777e-08 -7.282786030526793e-07 -2.5412236642935905e-07 1.1117127363549702e-07 -1.1508777760554492e-06 4.936768621942726e-06 2.4462122534268837e-06 2.9836002306497512e-06 -7.746356035009997e-06 -2.841133009446845e-06 -7.671144541403862e-07
PC9 2.177141788023931e-06 -1.83323133352179e-08 -3.4656755784257114e-07 -9.380177369534227e-07 4.747976643523861e-07 -6.198862961440978e-07 1.7977606229818577e-07 -2.423252168016686e-07 3.40514706380273e-07 1.2273738418618666e-05 -2.1890133632703858e-07 -6.967122685595239e-08 -4.241741263373109e-07 6.380243825352369e-08 -8.03831091737686e-07 4.3802486430911283e-07 4.09121728892382e-07 4.158267844329691e-07 -5.379040548447623e-07 -2.4356475680745257e-07 -6.95929000818339e-07 -5.49434318311322e-08 -5.01334984720005e-07 -5.962766154967698e-07 1.0265428668117705e-05 -7.608288658525578e-06 1.209906156287807e-06 -2.4364363199997795e-07
PC10 -9.507732096868805e-07 1.3708298267512205e-07 3.8056544141069865e-08 -8.6556081400973e-08 3.947125903165889e-07 -3.6414331988217094e-07 1.3448793766761352e-07 -1.741505661503089e-07 3.4393046028553154e-07 -2.1890133632703853e-07 1.2392477936043153e-05 -4.813326958186011e-07 -7.903716908170349e-08 -3.39374375572382e-07 -8.177070669213076e-09 1.6296249197913285e-07 -3.4077286999100984e-07 1.0222420290481222e-07 1.3801217718093186e-07 3.583328772702451e-07 6.356509547898426e-08 2.9220261466155028e-06 -3.1496850636147564e-06 -3.614604917302764e-06 -4.061873704488272e-06 7.475297811123901e-06 -4.568588579654439e-06 8.779817347989066e-07
PC11 2.6759682041105614e-07 2.5823173478260826e-08 -9.5887415986897e-09 4.2805786198543655e-07 2.0791659573589805e-07 -7.778089293004259e-07 -3.5784072392229385e-07 1.1973169699719783e-06 -7.809533799542839e-07 -6.967122685595244e-08 -4.813326958186012e-07 1.217741316285551e-05 -4.9511120073494444e-09 -1.1484813980049614e-07 -4.4570986444265573e-07 3.8358446811598454e-07 2.0478103919965167e-07 4.2868510958314333e-07 7.536871546302266e-08 6.410766407452865e-07 2.0656875902489051e-07 -3.3944031922811897e-06 2.285353923201811e-06 5.3511780991543175e-06 -7.325155161751325e-06 1.1099375670601955e-05 1.385488986585883e-06 -3.235675878240677e-06
PC12 -5.058259635827743e-07 6.129424883539088e-07 -9.457328207548331e-07 3.657858612481859e-08 -1.009237638091777e-06 5.48443877079026e-07 -1.0821549027985587e-08 4.054526280188627e-07 3.7964542431281844e-07 -4.2417412633731097e-07 -7.903716908170358e-08 -4.9511120073494634e-09 1.110618439105342e-05 -2.1085099764646524e-08 -5.022760941707277e-08 -5.03880463527458e-07 1.9466768683534819e-07 -1.5019564824061302e-07 -1.4623774347330574e-07 -1.6013436598160427e-07 -5.763020681474351e-07 -3.3704428872115903e-06 3.283705190703746e-06 1.8406908165295071e-06 1.7947064585929477e-07 -1.5089541473763008e-06 -7.2448501331677855e-06 9.700293958912196e-06
PC13 -1.5966811479163353e-06 -1.2106158667749055e-07 8.382671901357063e-07 -7.11563689118898e-07 -6.907128936766894e-07 -1.0961818544366597e-06 -1.7825170152864692e-07 2.393357791212456e-07 -1.3025349848149093e-07 6.380243825352373e-08 -3.3937437557238203e-07 -1.1484813980049611e-07 -2.1085099764646468e-08 1.1467699194528283e-05 -5.976448606488846e-07 9.409756170664552e-07 1.9824029025131417e-07 1.4762667722988656e-07 -9.378970736863255e-08 1.8084250667052417e-08 1.8947987263959435e-07 1.4564597116432843e-06 3.978562933721617e-06 3.2685876180501563e-06 -1.2611295872167949e-05 -9.484872221458199e-07 3.678734855029676e-06 -5.183404905608819e-06
PC14 -1.293928200301266e-06 -2.5237372687820825e-07 -1.0147693332786237e-06 1.019345674005471e-07 4.8063317016379344e-08 4.477658133503867e-07 -1.9549102564381868e-07 -3.4240368565789686e-07 -4.722750809954909e-07 -8.038310917376858e-07 -8.177070669213398e-09 -4.4570986444265573e-07 -5.0227609417072647e-08 -5.976448606488846e-07 1.1844683085576869e-05 -1.063047231758508e-07 7.059965097162742e-08 2.3079152153688172e-08 1.533784942790547e-07 -7.544688941672962e-08 1.3381073534425256e-07 1.9996710457923155e-06 1.7124691449744383e-06 2.3770058890592236e-06 -1.6065441912629167e-07 -4.8733075267342945e-06 -4.450697006724834e-06 -3.0048705132530815e-06
PC15 -1.9959182734475247e-06 -6.634623156003913e-07 1.763765479814258e-08 -4.513679435939632e-08 1.0282311736439148e-08 4.9367647863684635e-08 -9.872002307369108e-08 -4.805454192600839e-07 -4.288603959617008e-07 4.380248643091131e-07 1.6296249197913277e-07 3.8358446811598433e-07 -5.038804635274579e-07 9.409756170664555e-07 -1.0630472317585097e-07 1.1176653139254397e-05 3.7834967134955845e-07 -6.392005603079021e-07 -9.253191652679712e-08 -1.0455899636464975e-07 1.1159380429305699e-07 -4.574271591852159e-07 -1.9205678027571733e-07 1.4341268790473662e-06 4.115544901960976e-06 1.4717762288579933e-06 1.9019962601538248e-07 -7.652228056677884e-07
