 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband
intercept 0.0007560876208403115 -9.50909849157799e-08 -2.3376699727629616e-05 1.7429341814921078e-06 9.87183515034453e-07 2.522100737249196e-08 2.147002093122833e-06 2.3658465953507907e-06 -3.7040934080643273e-07 2.4629973515361606e-06 -1.3480252442797232e-06 4.6041986853244574e-07 -4.6613981380719034e-07 -1.9035633763868302e-06 -1.567535502375214e-06 -1.9941334063120884e-06 1.1541265822603669e-06 -1.6234520625550577e-06 -7.217756392796839e-07 1.0533588033630873e-06 -7.56391102500593e-07 -2.9583557651107257e-06
PC1 -9.509098491577978e-08 2.5263685483456215e-06 -1.6396631440944589e-06 -3.6359191777114087e-07 -6.848326654575062e-08 -3.0724756475123003e-07 8.90299936225473e-08 7.213010465797321e-08 4.4264604536485674e-08 -1.6064554648566483e-08 1.731002359542443e-07 -3.9013715194826964e-09 6.18263240348443e-07 -1.2686828957253314e-07 -2.5836566409274894e-07 -6.992414441267176e-07 -6.177470568360573e-07 2.3254145543186142e-07 3.636658335325002e-08 1.983687407451537e-07 -2.599180944848955e-09 3.5919930797974418e-06
PC2 -2.3376699727629616e-05 -1.6396631440944582e-06 4.8113347397592564e-05 8.9558534724217e-07 1.3815219331706152e-06 -5.50302546096959e-07 -5.000138554736657e-07 -5.280724909810584e-07 1.0955660560468164e-06 -3.264136738352704e-07 -2.56228842561669e-08 1.6880169347973603e-08 -9.862690900393183e-07 8.995683988986569e-07 -1.0366727511776034e-06 7.675566427039126e-08 8.258406840187796e-08 7.48952062804441e-07 1.4488063296857352e-07 -4.514798715971215e-07 -2.6443266209272127e-07 -5.344026517880899e-06
PC3 1.7429341814921078e-06 -3.63591917771141e-07 8.955853472421702e-07 4.8889072883500635e-06 1.5085436003284854e-07 1.2164157277384271e-06 9.672455559218722e-09 5.079480570981958e-07 -2.41419092501056e-07 -9.777287044143947e-07 -8.629501044547501e-08 4.4147975573870455e-07 5.364997757541001e-08 -7.763332520893721e-07 9.275695750377301e-08 -4.918597478010994e-08 2.848045246463267e-07 -3.7082435280965417e-07 -5.396952656837509e-07 4.1426253805970036e-07 1.2966033936586847e-07 -1.6511586140270921e-06
PC4 9.87183515034453e-07 -6.848326654575062e-08 1.3815219331706154e-06 1.5085436003284822e-07 9.175790447267995e-06 1.644960774743688e-06 -4.2370983527667416e-07 2.575471901523607e-07 -1.3297643798558768e-06 4.880343321933524e-07 3.7170067766605795e-07 2.5759217916203056e-07 -1.0525950392117788e-06 -6.602541639480746e-07 5.8762345099071006e-08 1.1350428613895589e-08 5.6448799500434685e-08 -6.514733878658222e-08 -4.782169497153543e-07 -1.2578133046009354e-07 9.719515828566511e-08 -3.7493723525642104e-07
PC5 2.522100737249142e-08 -3.0724756475123024e-07 -5.503025460969588e-07 1.2164157277384263e-06 1.644960774743689e-06 1.6669770318383343e-05 3.828816867863754e-07 9.845309244817009e-07 -7.666155133834753e-07 -5.974767684914153e-07 -4.224378076156996e-07 -8.918290849609965e-07 5.821556513868655e-07 -1.2200606279432508e-06 5.024529765448943e-07 8.189996416273766e-08 -6.962357839204198e-08 7.660086192447837e-07 -1.9262731868907262e-07 2.0227948378986393e-07 -1.2677668583321159e-07 -4.139843402353189e-07
PC6 2.147002093122832e-06 8.902999362254714e-08 -5.00013855473665e-07 9.672455559218858e-09 -4.2370983527667363e-07 3.82881686786376e-07 1.570789605132027e-05 -1.0740119298032112e-07 2.8631100000954114e-07 2.0811885037593733e-07 1.1188034772583016e-07 -3.667959727506118e-07 -4.288449593605079e-08 -1.5528555227951086e-07 -1.9542899905339377e-07 -1.000658334969242e-07 -7.844293869052958e-08 2.775879990985475e-07 -4.329590914485448e-07 -2.3319825135730627e-07 -5.552348187503633e-07 2.7078702340475225e-06
PC7 2.36584659535079e-06 7.213010465797315e-08 -5.280724909810577e-07 5.079480570981957e-07 2.5754719015236063e-07 9.845309244817002e-07 -1.0740119298032108e-07 1.341724136809627e-05 1.0000135268556052e-06 -2.813186619755402e-07 -1.2181661976937785e-07 1.241711752242891e-06 4.308635827706591e-07 2.263615948472711e-07 -3.68968547218447e-07 -5.61206930676269e-07 1.247399247347178e-07 -4.1612567541977787e-07 6.703026617689078e-08 5.2129465575952694e-08 -4.6950780718557355e-07 -3.2996625518116517e-06
PC8 -3.7040934080643575e-07 4.426460453648552e-08 1.0955660560468183e-06 -2.4141909250105587e-07 -1.3297643798558764e-06 -7.666155133834756e-07 2.863110000095411e-07 1.0000135268556044e-06 1.4858485540437428e-05 3.362861027082649e-07 3.7240814586905774e-07 -8.108524497215695e-07 3.7003288367969276e-07 -1.248358378298055e-07 -5.159278601578927e-07 -4.617742716441919e-07 4.0715976165011164e-07 1.0387911675897783e-07 -7.737650663864437e-07 -2.696279694267228e-07 1.210539818434587e-07 5.406738846600857e-07
PC9 2.4629973515361598e-06 -1.6064554648566638e-08 -3.264136738352699e-07 -9.777287044143945e-07 4.88034332193352e-07 -5.97476768491415e-07 2.0811885037593744e-07 -2.813186619755402e-07 3.3628610270826576e-07 1.2753666046136484e-05 -2.118011831800521e-07 -3.863303063297016e-08 -4.5375158216444246e-07 1.0283000707401408e-07 -8.449627565408298e-07 4.657377256929685e-07 4.0543389815045e-07 4.350321988930625e-07 -5.504623525621601e-07 -2.7610090892920473e-07 -7.50041348611344e-07 1.9420965737846278e-07
PC10 -1.3480252442797224e-06 1.7310023595424446e-07 -2.5622884256166563e-08 -8.629501044547493e-08 3.717006776660582e-07 -4.224378076156999e-07 1.1188034772583053e-07 -1.2181661976937795e-07 3.7240814586905795e-07 -2.118011831800518e-07 1.2841567634098977e-05 -4.849305844203321e-07 -5.6930035578536204e-08 -3.1863718774914216e-07 -2.3302654435279166e-08 1.987909015967288e-07 -3.558813379713909e-07 7.678935984609797e-08 1.4863437839913873e-07 4.4313541917890266e-07 1.0603448754237808e-07 4.3908337742164256e-08
PC11 4.604198685324438e-07 -3.901371519482513e-09 1.688016934797315e-08 4.414797557387045e-07 2.575921791620303e-07 -8.918290849609964e-07 -3.667959727506118e-07 1.2417117522428907e-06 -8.108524497215694e-07 -3.863303063297014e-08 -4.849305844203321e-07 1.2593268386404261e-05 -5.8947710393046935e-09 -1.6188333407866936e-07 -4.5057580785212747e-07 3.8997822825674985e-07 2.4783975369183166e-07 4.634687655447941e-07 4.2634687459919515e-08 6.554744343150722e-07 2.4261808078981943e-07 -1.6322307119270203e-07
PC12 -4.6613981380719103e-07 6.182632403484428e-07 -9.862690900393177e-07 5.364997757541015e-08 -1.052595039211779e-06 5.821556513868655e-07 -4.288449593605106e-08 4.3086358277065896e-07 3.70032883679693e-07 -4.537515821644424e-07 -5.693003557853617e-08 -5.894771039304757e-09 1.1509729574758967e-05 5.5040685289104235e-09 -4.8221705906204825e-08 -5.238559316523227e-07 2.0336890926730577e-07 -1.528328632168027e-07 -1.630331547097375e-07 -1.6714108723593788e-07 -5.997498529436626e-07 -1.2628242310605295e-06
PC13 -1.9035633763868317e-06 -1.2686828957253298e-07 8.995683988986567e-07 -7.763332520893718e-07 -6.602541639480746e-07 -1.2200606279432508e-06 -1.5528555227951078e-07 2.2636159484727065e-07 -1.2483583782980542e-07 1.028300070740142e-07 -3.1863718774914184e-07 -1.6188333407866926e-07 5.50406852891071e-09 1.1874342464498192e-05 -6.313739867801874e-07 9.924556777075566e-07 2.0568316596815256e-07 1.9267843673700238e-07 -9.369475737804306e-08 1.174574050701112e-08 1.8036437254063968e-07 1.8527616996899333e-06
PC14 -1.56753550237521e-06 -2.583656640927486e-07 -1.0366727511776045e-06 9.275695750377277e-08 5.876234509907114e-08 5.024529765448945e-07 -1.954289990533941e-07 -3.68968547218447e-07 -5.15927860157893e-07 -8.449627565408304e-07 -2.330265443527929e-08 -4.505758078521272e-07 -4.822170590620484e-08 -6.313739867801875e-07 1.2327475161746342e-05 -1.0965492881645907e-07 5.551238512400282e-08 8.977064119361609e-09 1.702097048956758e-07 -7.31176870705793e-08 1.1738289773777722e-07 1.5330536331164787e-06
PC15 -1.994133406312089e-06 -6.992414441267177e-07 7.675566427039105e-08 -4.918597478010981e-08 1.1350428613895628e-08 8.189996416273782e-08 -1.0006583349692427e-07 -5.612069306762693e-07 -4.6177427164419176e-07 4.6573772569296876e-07 1.987909015967289e-07 3.899782282567498e-07 -5.238559316523229e-07 9.924556777075568e-07 -1.0965492881645896e-07 1.1651717005676514e-05 3.829364252151727e-07 -6.706512028691529e-07 -1.0822809812150511e-07 -1.3318700569622533e-07 1.0843624356920794e-07 9.136907140678478e-07
PC16 1.154126582260366e-06 -6.177470568360568e-07 8.25840684018778e-08 2.848045246463267e-07 5.6448799500434844e-08 -6.962357839204181e-08 -7.844293869052978e-08 1.2473992473471792e-07 4.0715976165011164e-07 4.0543389815045047e-07 -3.5588133797139095e-07 2.4783975369183134e-07 2.0336890926730567e-07 2.056831659681529e-07 5.5512385124003454e-08 3.8293642521517275e-07 1.19414734531126e-05 -3.9522407817944736e-07 -3.12281506770272e-09 -6.518977492059532e-07 -2.223194213416015e-07 2.827943450122843e-06
