 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal gpp gpm gmp gmm
intercept 0.0006634850204359893 -2.217753884351212e-07 -2.4653792827495667e-05 1.556220595854983e-06 -1.0559109311724295e-07 9.09783469540818e-07 2.6574190543412523e-06 1.8826881079178285e-06 -1.285361970353729e-07 2.5869095168497557e-06 -1.218762848994541e-06 4.912572925358658e-07 -7.811628720427282e-07 -1.5244458564713375e-06 -2.016208114588133e-06 -2.0316280140828855e-06 5.724042909436538e-07 -1.942862588410379e-06 -8.317025878998938e-07 1.5486673688994055e-06 -8.291873599542209e-07 1.290403726882518e-05 1.3550538380762503e-05 -1.5676203258383215e-05 -9.299607910984154e-05 3.488120582918447e-05 -8.948803294411552e-05 0.00010256761114425897
PC1 -2.217753884351215e-07 2.41555944439946e-06 -1.601031925937472e-06 -2.1338046243708264e-07 -1.0970623375932825e-07 -4.133684642424013e-07 7.714289395957987e-08 1.2507665191402106e-07 8.949745413278433e-08 7.432522958611743e-08 1.6178610589910252e-07 -3.2039278073718835e-08 5.785548778895227e-07 -2.5559315493499085e-08 -3.0006245530834055e-07 -6.92502218225121e-07 -6.702689521316402e-07 2.5504288008085475e-07 -2.8195316737574063e-08 1.4949480351947062e-07 7.176782069264308e-08 3.701513703924871e-07 5.4640705972146516e-06 4.9102560446487294e-06 3.5190739267288058e-06 3.828621889006465e-06 1.4869173302654344e-06 7.240417744215636e-07
PC2 -2.4653792827495667e-05 -1.6010319259374722e-06 4.7865397453156944e-05 8.773300876991977e-07 1.4970551654594784e-06 -5.495496515372693e-07 -5.518703414794453e-07 -6.445322622079548e-07 1.0272325998101045e-06 -3.2876601555364296e-07 3.69464391998077e-08 -9.224527272772322e-08 -1.0826408435020062e-06 8.337604322817113e-07 -9.72519286340322e-07 1.4091073291920204e-08 2.1455571588251696e-07 6.536043394614679e-07 2.2160284070366945e-07 -5.69352171220032e-07 -4.046558547436484e-07 -6.359049014340336e-06 4.057009131146373e-06 1.4889423127675636e-05 9.98774412118261e-06 -2.3324508737026968e-05 7.115176911867854e-06 -1.5032873060451069e-05
PC3 1.5562205958549833e-06 -2.133804624370826e-07 8.773300876991979e-07 4.496296453373775e-06 1.3710513755255993e-07 1.14978086512385e-06 3.900702549556576e-08 5.311386663379991e-07 -2.0730320859460932e-07 -9.455331751311421e-07 -1.2240460915781884e-07 3.8325881761244294e-07 3.6288159575071574e-08 -7.1264343620166e-07 7.148780429953111e-08 -9.636495763111856e-09 2.535488206516267e-07 -4.375373439936136e-07 -5.543862301059273e-07 4.215109465229373e-07 1.1754325616755292e-07 4.111205200313072e-07 4.63013330880929e-06 3.7766805695554193e-06 -1.2192544384687224e-05 8.500840521545268e-06 3.2226131440962607e-06 1.506618921979143e-06
PC4 -1.0559109311724356e-07 -1.0970623375932834e-07 1.4970551654594787e-06 1.3710513755255993e-07 8.440095437469409e-06 1.700705178788565e-06 -4.1017008232502026e-07 2.2127193523545266e-07 -1.3030068224824065e-06 4.2295105553499387e-07 3.511624830306701e-07 2.9522686028116626e-07 -9.98175281988152e-07 -6.896676927741976e-07 5.639458081707978e-08 -6.557832749001634e-08 5.142586779138864e-08 1.841340820240998e-08 -4.843080440247778e-07 -1.5703745478000788e-07 9.153357022556823e-08 -1.8634907996377387e-06 4.921932092287107e-06 6.539097045639624e-07 1.2010386010526263e-06 -8.022888994657776e-06 6.5436582688192295e-06 -1.211558632665774e-05
PC5 9.097834695408185e-07 -4.1336846424240107e-07 -5.495496515372693e-07 1.14978086512385e-06 1.700705178788565e-06 1.615810353141351e-05 3.885090265845586e-07 1.0878584839265736e-06 -8.7375285921509e-07 -6.096325238932112e-07 -4.697700190947734e-07 -9.311735678091338e-07 5.509148940719889e-07 -1.3879454697389693e-06 5.21880015529771e-07 7.860901350300331e-08 -7.211035139788534e-09 7.530448033155593e-07 -1.6099131361705322e-07 2.780341540545689e-07 -1.3024574548112188e-07 -1.9843003542566938e-06 -4.883837594092122e-06 2.1342379144786917e-06 -5.067496040893544e-07 -1.293807537635511e-06 -1.04774969635878e-05 6.469624293000593e-07
PC6 2.657419054341254e-06 7.714289395957986e-08 -5.518703414794459e-07 3.900702549556561e-08 -4.1017008232502015e-07 3.885090265845589e-07 1.5258523867822732e-05 -4.965853771724453e-08 2.980645684971695e-07 2.466750627082448e-07 6.625228312380653e-08 -3.4862886650885926e-07 -9.06994720154314e-08 -1.6338248185332569e-07 -2.5635242727698576e-07 -1.300827608221721e-07 -1.0119872068212929e-07 2.8976725146199635e-07 -4.251809536011138e-07 -2.244707644666217e-07 -5.06027468278186e-07 5.951996702725557e-07 -1.6583484106980406e-06 9.88344758714266e-07 -1.3025041320145001e-06 6.178401240020324e-06 -6.781293126879481e-06 -8.206871252496212e-07
PC7 1.8826881079178296e-06 1.2507665191402127e-07 -6.445322622079546e-07 5.311386663379993e-07 2.2127193523545285e-07 1.087858483926574e-06 -4.965853771724499e-08 1.3048780360229436e-05 9.985136087049869e-07 -1.9751963414923027e-07 -1.3551251499000971e-07 1.3035377742517339e-06 4.095329524352118e-07 2.720097712690831e-07 -4.50864191908729e-07 -4.916370496854652e-07 9.70258437758038e-08 -4.791371189346301e-07 6.906301456472057e-08 5.5701400159453726e-08 -4.800312658969125e-07 -8.633223287574506e-07 -3.855220302491648e-06 6.60615518504874e-06 1.1640802465127463e-07 1.1473075102175906e-05 -1.0615876530241384e-05 -1.0880544627158144e-06
PC8 -1.2853619703537345e-07 8.949745413278429e-08 1.0272325998101056e-06 -2.073032085946093e-07 -1.303006822482407e-06 -8.737528592150902e-07 2.9806456849716944e-07 9.985136087049856e-07 1.4598122480807456e-05 4.179506064042243e-07 3.93880340603154e-07 -8.346930861988285e-07 2.787013897810927e-07 -9.33791346823184e-08 -5.475762964507618e-07 -4.650420075102676e-07 3.0524827511959486e-07 1.7129520897965296e-07 -8.398073346934713e-07 -2.3352222689515232e-07 1.6213356809237348e-07 2.726608786178908e-07 4.592788555057289e-06 -2.0533098360801695e-06 -2.2701507964544524e-06 4.483632747484439e-06 -5.691984203575415e-06 1.0188851770615963e-06
PC9 2.586909516849754e-06 7.432522958611745e-08 -3.2876601555364275e-07 -9.455331751311419e-07 4.2295105553499377e-07 -6.096325238932109e-07 2.466750627082447e-07 -1.9751963414922974e-07 4.179506064042246e-07 1.246460889406891e-05 -2.0392612625352652e-07 -7.55861597174068e-08 -4.772218994149577e-07 1.321615794841773e-07 -8.849986134327359e-07 4.0039462212024457e-07 3.4327308648974174e-07 5.117137183751684e-07 -5.350942001643408e-07 -2.5134435636898814e-07 -7.254948933836812e-07 -2.1681804639333763e-06 6.264879618747698e-06 8.264833417232939e-06 2.3160835522209754e-06 -2.3341668023204365e-06 -1.4327884069357352e-05 3.147873825113565e-06
