 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal gpp gpm gmp gmm
intercept 0.000710900695021611 -1.5055933335205814e-07 -2.226987735780874e-05 1.7130257084931704e-06 4.662696573718653e-07 4.4741900087543146e-07 2.346978535325272e-06 2.1550480666346337e-06 -1.9519670295209873e-07 2.6662918383060284e-06 -1.2255093555302942e-06 -2.7404415776572272e-08 -7.432854959974522e-07 -1.7944007809257016e-06 -1.8347782896663095e-06 -1.866840388054991e-06 8.161578881082217e-07 -1.4791867795724778e-06 -8.462853650526326e-07 1.255734451970733e-06 -5.789045885691896e-07 1.055219999427579e-05 1.351481656226116e-05 -1.0128434821720127e-05 -8.974231801867533e-05 4.051374119963332e-05 -9.382064774851214e-05 0.00010234455408686772
PC1 -1.505593333520584e-07 2.52666164137869e-06 -1.5088540758725426e-06 -2.134112847771929e-07 -9.393822066216272e-08 -4.0903723236166923e-07 5.5729585296106175e-08 1.2755569743191022e-07 7.087360683086771e-08 5.012079185417353e-08 1.7031425658114992e-07 -3.7316605329585846e-08 5.453767402331877e-07 -3.4611419593630596e-08 -2.668742700423748e-07 -6.446388298907898e-07 -6.177527437247112e-07 2.2592596233829392e-07 -3.2209735890400267e-08 1.4935728303714748e-07 5.746591785593777e-08 3.5739830007928566e-07 5.708279956647832e-06 5.154225026635991e-06 3.5734639279623957e-06 3.733338161722084e-06 1.138283480291963e-06 1.0833309396830005e-06
PC2 -2.2269877357808742e-05 -1.508854075872543e-06 4.5317551457298174e-05 7.942129200226372e-07 1.3511667249636707e-06 -4.7300711417292774e-07 -5.086909904481035e-07 -5.335211681093769e-07 9.546897016552162e-07 -3.2978522026896384e-07 1.022673380945036e-07 -1.4683434124065444e-08 -9.299919275281281e-07 7.687541875139129e-07 -8.627691598571934e-07 4.579216029119242e-09 2.2478242515334236e-07 6.745166446270422e-07 1.9544934325446984e-07 -4.858363575223349e-07 -3.3439957816702757e-07 -6.318697192700701e-06 3.8356043801829375e-06 1.4354058606575491e-05 1.0261187280936136e-05 -2.2300742949497638e-05 6.793500447358921e-06 -1.4704529845025605e-05
PC3 1.7130257084931697e-06 -2.1341128477719307e-07 7.942129200226372e-07 4.66276893362448e-06 1.0238713638656006e-07 1.0522867714782467e-06 2.6146738376536597e-08 4.835408986119136e-07 -2.2139512029657749e-07 -8.782429044468973e-07 -1.2420804055311983e-07 3.6513919785425147e-07 9.989446071955281e-09 -6.635195717466649e-07 6.390882669193056e-08 -7.578812169300695e-09 2.5515398101338015e-07 -3.71095734277496e-07 -5.155006641196044e-07 3.7887666844889707e-07 1.0430817080453575e-07 4.5642825969034006e-07 4.851166407929855e-06 4.024158181554904e-06 -1.1897416436618416e-05 8.413395284372228e-06 3.3630911208447455e-06 1.3276593651756614e-06
PC4 4.662696573718678e-07 -9.393822066216277e-08 1.3511667249636705e-06 1.0238713638656005e-07 8.62840304096749e-06 1.5261561796452823e-06 -4.045351994747009e-07 2.053622510066834e-07 -1.2201050391541652e-06 4.2281797319332916e-07 3.5622602473154867e-07 2.5163656884199124e-07 -9.70922634396513e-07 -6.578173854967491e-07 9.39100551667264e-08 -2.8019388965126687e-08 4.4770258103137186e-08 -3.017030620714894e-08 -4.20281474511044e-07 -1.35869538181984e-07 7.255127616096413e-08 -1.988757304979374e-06 4.2170587905837154e-06 6.595812702631038e-08 1.6209541740827746e-06 -7.431691720107381e-06 6.8389407843581226e-06 -1.1940605911010343e-05
PC5 4.474190008754334e-07 -4.090372323616692e-07 -4.73007114172928e-07 1.0522867714782467e-06 1.526156179645282e-06 1.5685338087802572e-05 3.7278788185334666e-07 9.228169730015404e-07 -7.366540291383705e-07 -5.548473611140786e-07 -3.6326473070505645e-07 -8.356524990740368e-07 5.647117363833206e-07 -1.2228142937998192e-06 4.609866662155387e-07 4.316469343256352e-08 -4.2821416807051375e-08 7.296499437098925e-07 -1.4028879809501905e-07 1.9530711221794631e-07 -1.496193763735951e-07 -2.210388648659682e-06 -4.286347387972483e-06 1.950499202296948e-06 -4.808622067429771e-07 -1.1861279649281613e-06 -1.077375489502688e-05 1.106836810244895e-06
PC6 2.3469785353252716e-06 5.5729585296106135e-08 -5.086909904481038e-07 2.6146738376536762e-08 -4.045351994747012e-07 3.7278788185334724e-07 1.4651291720529227e-05 -3.1238573225684893e-08 3.056082967305287e-07 1.955008255766268e-07 9.91713349156531e-08 -3.3937503463459533e-07 -3.6433135270675333e-08 -1.6455381533007775e-07 -2.197633256204749e-07 -9.644495204873646e-08 -6.877900979774073e-08 2.6462341670794717e-07 -4.080846352605599e-07 -2.2197980542655366e-07 -4.994203681240342e-07 6.980697476680874e-07 -1.7307522318216642e-06 9.428997806889197e-07 -1.8589347918251774e-06 6.086080981346399e-06 -6.3620920800307106e-06 -3.398157829511325e-07
PC7 2.155048066634634e-06 1.275556974319102e-07 -5.335211681093761e-07 4.835408986119139e-07 2.0536225100668345e-07 9.228169730015403e-07 -3.1238573225685125e-08 1.2530238289226267e-05 9.123748314150722e-07 -2.0968059479247687e-07 -1.4806515144226045e-07 1.1700995897524263e-06 3.9638496110125845e-07 2.552833926152633e-07 -3.628113463673804e-07 -4.411587645655163e-07 1.3962634594060655e-07 -4.0835957934980226e-07 5.1550771102592676e-08 3.446537087843526e-08 -4.62031079572088e-07 -3.35248070304964e-07 -4.269239966954589e-06 6.352180654853576e-06 8.182157390050323e-07 1.0658878347678294e-05 -9.914420460795277e-06 -1.5237596351173606e-06
PC8 -1.9519670295209749e-07 7.087360683086758e-08 9.546897016552155e-07 -2.213951202965771e-07 -1.2201050391541648e-06 -7.366540291383705e-07 3.0560829673052844e-07 9.123748314150718e-07 1.3917301475100174e-05 3.531786272453854e-07 3.4490826499080815e-07 -7.564416602602457e-07 3.184924973937538e-07 -1.1055680920644063e-07 -5.126093226262079e-07 -4.378367457071835e-07 3.0581304521655524e-07 1.4573611442690274e-07 -7.484804028550349e-07 -2.4647296191729185e-07 1.458627121382809e-07 3.40060170828969e-07 3.5433670244682437e-06 -2.199290674575397e-06 -2.1571161453168908e-06 4.361772197157502e-06 -5.368294373648209e-06 9.340707018656244e-07
PC9 2.666291838306024e-06 5.012079185417364e-08 -3.2978522026896426e-07 -8.782429044468971e-07 4.2281797319332884e-07 -5.548473611140781e-07 1.9550082557662692e-07 -2.0968059479247685e-07 3.531786272453852e-07 1.1978605798046885e-05 -1.7109071777004584e-07 -8.171984055997938e-08 -4.493646236934528e-07 1.2129849066711638e-07 -8.2420939424537e-07 3.870554100856063e-07 3.5849155889889965e-07 4.3764901014724213e-07 -5.495523399234491e-07 -2.5143173066583576e-07 -6.694685027622785e-07 -2.3340160942069803e-06 5.9991936207089355e-06 7.614542618596817e-06 2.7150845654894392e-06 -2.0594541473055186e-06 -1.4703644086182138e-05 4.00525404838946e-06
PC10 -1.225509355530294e-06 1.7031425658115002e-07 1.0226733809450345e-07 -1.2420804055311983e-07 3.562260247315486e-07 -3.6326473070505645e-07 9.917133491565284e-08 -1.4806515144226032e-07 3.4490826499080846e-07 -1.7109071777004606e-07 1.2063889079843343e-05 -4.593716949263669e-07 -4.997938688483715e-08 -3.2148394301954375e-07 1.2528914661218277e-09 1.5356815399936075e-07 -3.282841742412543e-07 7.691115910451242e-08 1.3084774928818268e-07 4.016082391903013e-07 1.0258413525097195e-07 1.0532799606118929e-07 -1.1326377073349431e-06 2.056044113067985e-06 1.0562873621946453e-05 -8.459805657254433e-06 -5.148505868408804e-06 1.8032280101800577e-06
PC11 -2.7404415776572305e-08 -3.7316605329585614e-08 -1.468343412406565e-08 3.651391978542513e-07 2.516365688419917e-07 -8.356524990740366e-07 -3.393750346345953e-07 1.1700995897524258e-06 -7.564416602602455e-07 -8.171984055997937e-08 -4.593716949263665e-07 1.1826273210422613e-05 2.8672050928174938e-08 -1.4684119786988805e-07 -4.145371097634599e-07 4.0260639361558487e-07 2.579173147882961e-07 4.3019459042444714e-07 4.128530828537534e-08 5.984154440230882e-07 2.3109119492338344e-07 1.816943442306712e-06 -9.013109892040368e-06 -4.567624094295177e-06 1.1719468261686097e-05 3.4307017268141127e-06 3.1941307485503184e-06 -3.620304131548421e-06
