 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal gpp gpm gmp gmm
intercept 0.0005316481128643925 -3.325566481492828e-07 -2.48016312091724e-05 1.0358595437883026e-06 -1.1190962927756534e-06 1.902421617064239e-06 3.0495197846661655e-06 1.4854091665015462e-06 3.598336759621929e-07 2.0983468826793487e-06 -6.238580595721839e-07 1.7302394855395364e-06 -8.228929980703168e-07 -9.962035716564497e-07 -1.7454476841606182e-06 -1.7958100808486183e-06 1.7647271162423808e-08 -2.6794700924511326e-06 -6.515666175534417e-07 1.3809572339245993e-06 -1.2343142905493074e-06 2.2872986447414144e-05 -6.885173758954919e-07 -2.2558102053016435e-05 -6.560933925567145e-05 3.0428924572828075e-05 -8.004698749979083e-05 4.725907334806581e-05
PC1 -3.3255664814928333e-07 1.9014008719055407e-06 -1.50106693135401e-06 -2.1228532984856978e-07 -9.059016965843392e-08 -2.8650241636627844e-07 1.0364863743715037e-07 7.009897740069212e-08 5.412237209439747e-08 7.140493331554974e-08 1.5493900466158474e-07 -9.909558191972818e-09 5.877609276078621e-07 -5.661554413323975e-08 -2.8391272170632794e-07 -7.160543236511815e-07 -6.672015701501522e-07 2.858119598500107e-07 2.5136075196024228e-09 1.4374615338793148e-07 8.300132990111242e-08 6.202985833702809e-07 3.479463676718431e-06 1.913154403000306e-06 2.9720858434546084e-06 6.697712993137103e-07 -6.341079263937011e-07 2.841023777144245e-07
PC2 -2.480163120917239e-05 -1.5010669313540108e-06 4.595020476579601e-05 9.226466280749426e-07 1.5364588276220522e-06 -6.439927480733626e-07 -4.978163780984446e-07 -8.273805035827458e-07 1.1308947759734357e-06 -2.812898714018461e-07 -3.609216520912262e-08 -1.809374493859888e-07 -1.1804128557697085e-06 8.831657267928377e-07 -1.1132158499559612e-06 3.6172704672882855e-08 2.414418090505072e-07 5.91863709757946e-07 9.088546913303337e-08 -7.16735318754907e-07 -4.173418429541261e-07 -3.332880226990092e-06 -4.527479573975831e-06 1.2336706853437797e-05 2.0808407559888285e-05 -9.751873596489861e-06 3.533621034737465e-06 -1.4380433382078994e-05
PC3 1.0358595437883026e-06 -2.1228532984856984e-07 9.226466280749424e-07 3.81029488183924e-06 1.8530021212561263e-07 1.1211556621215904e-06 1.1938193301186664e-07 5.825918316412886e-07 -1.4803592290427887e-07 -9.572534028916094e-07 -1.0689902662266882e-07 3.9550774865326136e-07 6.181548013650768e-08 -7.170500064568613e-07 6.658977242415996e-08 -2.805683205075414e-08 2.3150164368385693e-07 -4.909881371643319e-07 -5.215404496237329e-07 4.3198548533785436e-07 1.2255382598341904e-07 6.3070911704259e-07 1.935512838390431e-06 2.372357005310512e-06 -9.792411769827801e-06 8.966063692025465e-06 3.795510918390104e-06 -1.1519343525838607e-07
PC4 -1.119096292775653e-06 -9.059016965843383e-08 1.536458827622051e-06 1.8530021212561274e-07 7.078947084608355e-06 1.7032053674306463e-06 -3.9534463204153104e-07 1.5764317706446433e-07 -1.3087285119172876e-06 3.837723150837623e-07 2.982835798600643e-07 2.5686684161122064e-07 -9.2479013930859e-07 -5.846637204635579e-07 1.088696582203145e-08 -1.3831045697931772e-07 5.101783131341568e-08 1.5534148617640976e-07 -5.337310754493643e-07 -1.8359191324740384e-07 1.3953853493296176e-07 -2.487978475795391e-06 6.274985049541588e-06 4.7004475210250446e-07 2.750314254020126e-06 -9.079914403963993e-06 1.0167245089094579e-05 -6.893779696538322e-06
PC5 1.9024216170642357e-06 -2.8650241636627844e-07 -6.439927480733628e-07 1.1211556621215902e-06 1.703205367430646e-06 1.4729203278597889e-05 3.478177417942565e-07 1.1343964005782588e-06 -9.927785504476871e-07 -6.352647983509066e-07 -5.650129834516679e-07 -9.429170730593144e-07 3.850255306233118e-07 -1.4477569173072252e-06 5.506935272928648e-07 1.3899710745185703e-07 2.0051400899825335e-08 7.132051403820174e-07 -1.9264988739119969e-07 3.738484344494944e-07 -8.6555713869753e-08 -2.023972804810366e-06 -9.765024633624975e-07 1.8932641355238104e-06 -5.010038744258525e-06 -2.609845959921771e-06 -4.263078656854011e-06 1.0166023025630315e-06
PC6 3.0495197846661647e-06 1.0364863743715033e-07 -4.978163780984447e-07 1.1938193301186622e-07 -3.953446320415311e-07 3.4781774179425645e-07 1.426094161091779e-05 -9.43747110742134e-08 2.292562636019054e-07 2.3634716259257647e-07 -1.575424129245232e-08 -3.5222262787289187e-07 -1.7446344843103633e-07 -2.1150995166880644e-07 -2.659802643963617e-07 -1.0282121692992989e-07 -8.855163538073084e-08 2.6368240800851246e-07 -3.8257967804488234e-07 -2.2319138806957312e-07 -4.7635257944557966e-07 -1.7770563592961668e-06 -2.246171202391042e-06 1.0858160990747764e-06 -1.0089722936122327e-05 1.3237231012153965e-05 -1.3076046552831782e-06 3.419987564182428e-06
PC7 1.4854091665015454e-06 7.009897740069219e-08 -8.273805035827457e-07 5.825918316412884e-07 1.576431770644644e-07 1.1343964005782592e-06 -9.437471107421324e-08 1.2259815234786833e-05 1.0954935136390792e-06 -2.051438645815383e-07 -1.1663046048961482e-07 1.3887543612194595e-06 3.358946922438227e-07 2.9938586005334333e-07 -5.420088608605124e-07 -5.260523737699474e-07 -2.0551523792663465e-08 -5.008957876004174e-07 5.368777588435187e-08 1.0523258796998565e-07 -3.579306727192565e-07 -6.441018416146382e-07 2.0060791128043002e-07 1.1352742633731628e-06 -2.4090508457499404e-06 1.2343406757600614e-05 -1.3693122847911378e-05 6.466443004048919e-06
PC8 3.5983367596219296e-07 5.4122372094397454e-08 1.1308947759734355e-06 -1.4803592290427887e-07 -1.3087285119172878e-06 -9.927785504476876e-07 2.2925626360190495e-07 1.0954935136390794e-06 1.3775176850378105e-05 4.2010656802317626e-07 5.098734886249052e-07 -8.564561548478578e-07 1.792836483399835e-07 -1.3628234350750045e-07 -5.281728637106016e-07 -5.103727222044806e-07 3.594971437298928e-07 1.5026457078127e-07 -8.361484623022767e-07 -2.0756635393781373e-07 1.8984163012884818e-07 -7.646538435680877e-07 1.3240562567356757e-06 -4.291906419517489e-07 2.551731949246197e-06 6.002259072780075e-06 -4.449775106098298e-06 -6.706459556129786e-07
PC9 2.0983468826793496e-06 7.140493331554964e-08 -2.812898714018463e-07 -9.572534028916098e-07 3.8377231508376243e-07 -6.352647983509063e-07 2.3634716259257652e-07 -2.051438645815386e-07 4.2010656802317605e-07 1.1552650501665485e-05 -2.54541025022374e-07 2.7129503633578435e-09 -4.572211930193467e-07 1.5684116686819423e-07 -8.475551211756616e-07 3.638351839819288e-07 2.1818345722172295e-07 5.294493231565742e-07 -4.157549843245512e-07 -1.9900839132590222e-07 -7.429054401047495e-07 3.1406298124243386e-07 7.565028592882095e-06 3.9962424452252986e-06 -5.009593646377614e-06 -6.630656548031913e-06 -6.677926763164192e-06 4.744375621949685e-06
PC10 -6.238580595721832e-07 1.5493900466158487e-07 -3.609216520912314e-08 -1.06899026622669e-07 2.982835798600641e-07 -5.650129834516679e-07 -1.575424129245243e-08 -1.1663046048961495e-07 5.098734886249051e-07 -2.5454102502237407e-07 1.2157878075956859e-05 -4.853243147163516e-07 1.6357185994668376e-08 -2.191281080788778e-07 -1.224250308316846e-07 1.809897285934695e-07 -3.3607517568915654e-07 1.42350884188127e-07 2.430698756562174e-07 4.534577876007482e-07 1.9319409266024378e-07 2.407475275664273e-06 -1.5030880268088257e-06 2.5198922336267806e-06 1.1594922633076841e-05 -9.361113289431385e-06 -5.382087432411964e-06 1.1141826818963798e-06
PC11 1.7302394855395383e-06 -9.909558191972684e-09 -1.809374493859888e-07 3.955077486532616e-07 2.5686684161122085e-07 -9.429170730593139e-07 -3.5222262787289155e-07 1.3887543612194606e-06 -8.564561548478582e-07 2.7129503633578257e-09 -4.85324314716351e-07 1.1398970474823631e-05 -3.903523831081433e-08 -2.870784689340419e-07 -6.051676434297614e-07 4.331153730143298e-07 2.4674093890084983e-07 4.312325639321133e-07 -8.941868632725159e-08 6.458504704046575e-07 1.329547547856524e-07 4.6862114609573404e-07 -4.459504214122055e-06 -1.8675253377164158e-06 5.041739970247274e-06 -8.326137577669252e-07 -3.820891336508406e-06 6.401190172432558e-07
PC12 -8.228929980703169e-07 5.877609276078618e-07 -1.1804128557697078e-06 6.181548013650748e-08 -9.247901393085902e-07 3.8502553062331115e-07 -1.7446344843103633e-07 3.3589469224382256e-07 1.7928364833998357e-07 -4.572211930193465e-07 1.635718599466832e-08 -3.903523831081423e-08 1.0406721600310421e-05 2.138193365791004e-07 8.391445197528198e-08 -3.3579443214880426e-07 2.898170547019634e-07 -9.502756436947092e-08 -1.3056131632699832e-07 -1.7444026663252273e-07 -5.835731478364836e-07 1.2390653804632556e-06 -4.9949595392582226e-06 3.443425319607176e-07 6.1746630454635464e-06 2.4787906183455457e-07 4.600781233665982e-06 -4.013064672557356e-06
