 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal
intercept 0.0007586381852457268 -8.020175727920207e-08 -2.3531704542798423e-05 1.4338080284452427e-06 9.77228245148135e-07 1.4557142512862535e-07 2.202965512467065e-06 2.0074255943184517e-06 -5.965253013948408e-07 2.3565438613283997e-06 -1.3858141834097963e-06 4.4316515930275475e-07 -4.833958399865199e-07 -1.984628057746611e-06 -1.5973960280998577e-06 -1.7304219472996007e-06 1.0024484615824316e-06 -1.57098505753731e-06 -6.304810223400332e-07 1.0288949057084726e-06 -6.708348004166892e-07 2.0001134293604242e-05 -1.666180948807621e-05 -2.7593491629539692e-05
PC1 -8.02017572792001e-08 2.601323975586329e-06 -1.571484239718791e-06 -2.951603728162895e-07 -3.656198706834392e-08 -3.516431318083223e-07 6.622937227055846e-08 1.3540974756678908e-07 8.486340998849788e-08 2.338087211715167e-08 1.877596288648379e-07 -3.228331275842721e-08 6.109538437322505e-07 -1.0701230352366707e-07 -2.755847102129122e-07 -7.313692516977646e-07 -6.607910380924582e-07 2.3154858263798193e-07 1.059289912716706e-08 1.7148598740435345e-07 5.48735171705334e-08 5.08720905685647e-07 6.575351845887469e-06 3.036786108201401e-06
PC2 -2.353170454279843e-05 -1.5714842397187905e-06 4.773379929445721e-05 9.044456098747431e-07 1.3778099669916703e-06 -5.681113320951574e-07 -4.809201226961251e-07 -4.817930864039737e-07 1.0598432531355254e-06 -3.365567712587346e-07 9.266630737196277e-09 -2.05030692807573e-08 -1.0038237736693796e-06 9.028643260008702e-07 -1.0331394098601806e-06 9.011378115295274e-08 1.9158692938639686e-07 7.508697827533392e-07 2.160012609903155e-07 -4.26022681332119e-07 -3.059277918939684e-07 -3.1972191486625272e-06 -6.984299687493468e-07 7.861262003143175e-06
PC3 1.4338080284452425e-06 -2.9516037281628933e-07 9.044456098747428e-07 4.948910109952444e-06 1.5732411747117395e-07 1.1869854472316911e-06 2.6266138044287372e-08 4.909127951106084e-07 -2.394014627239603e-07 -9.367860362553035e-07 -6.236223813027203e-08 4.1097431223796036e-07 7.618811820703712e-08 -7.116886595680182e-07 1.0649882539881423e-07 -3.298614077185375e-08 2.6512908444061606e-07 -3.854066840500605e-07 -5.488672281061731e-07 3.9087680719737633e-07 1.3288239586775681e-07 8.911969013553964e-07 3.4472886935029207e-06 5.1561256741961544e-06
PC4 9.772282451481338e-07 -3.656198706834379e-08 1.3778099669916697e-06 1.5732411747117413e-07 9.251163079520423e-06 1.60880317680351e-06 -4.295445541276977e-07 2.608392780056819e-07 -1.2662400611932288e-06 4.652851417340596e-07 3.8297178194570254e-07 2.7178507276465533e-07 -1.059020354698594e-06 -6.704743818701711e-07 5.8939931060623245e-08 -3.053062302393388e-08 4.183002894511724e-08 -4.571125137830528e-08 -4.7479987662814377e-07 -1.2720454257538476e-07 1.3290082538075545e-07 -2.718239469477957e-06 4.193947600453388e-06 9.683554644076707e-07
PC5 1.45571425128626e-07 -3.5164313180832197e-07 -5.681113320951573e-07 1.1869854472316913e-06 1.6088031768035093e-06 1.665892871738545e-05 4.0207629411631336e-07 9.773317577906356e-07 -7.291974230663918e-07 -5.963422199489328e-07 -4.269223671540212e-07 -8.408848937971476e-07 5.772839050036319e-07 -1.242875393134627e-06 4.959801254020285e-07 7.143280045044749e-08 -2.5852380913985228e-08 7.440173189462312e-07 -1.424124173978868e-07 2.048533090674919e-07 -1.6413797342048012e-07 -2.9079126857542078e-06 -3.997176485785693e-06 8.600491181105736e-08
PC6 2.2029655124670643e-06 6.62293722705585e-08 -4.809201226961258e-07 2.6266138044287226e-08 -4.295445541276974e-07 4.0207629411631347e-07 1.5597120430487953e-05 -4.451283001916307e-08 2.68741870045927e-07 2.0781298257127822e-07 1.0252873136311164e-07 -3.760673674077097e-07 -2.9536774630755676e-08 -1.234809650671139e-07 -2.126876571911827e-07 -1.2116662461092784e-07 -7.710728007026337e-08 2.9163552859886184e-07 -4.0652838646291007e-07 -2.2144829037801228e-07 -5.626393745917138e-07 -1.8282029778628649e-06 -1.5635103723764232e-07 2.664161384695412e-06
PC7 2.0074255943184517e-06 1.3540974756678903e-07 -4.81793086403974e-07 4.909127951106085e-07 2.60839278005682e-07 9.773317577906354e-07 -4.4512830019163315e-08 1.3292157515501835e-05 9.357421796257937e-07 -2.2085479607630502e-07 -1.3048691645744063e-07 1.1923595560482676e-06 3.7265822734945395e-07 2.367904506755773e-07 -3.4523645988071e-07 -5.340956846981394e-07 8.269607763665752e-08 -3.9540458751898775e-07 6.031306051629007e-08 3.86682191292693e-08 -4.516111638486244e-07 1.032288524211009e-06 3.233071099824325e-06 -1.2982367053858857e-06
PC8 -5.965253013948415e-07 8.486340998849782e-08 1.0598432531355262e-06 -2.3940146272395985e-07 -1.2662400611932283e-06 -7.291974230663914e-07 2.6874187004592625e-07 9.357421796257944e-07 1.476527737441948e-05 3.3511647663781806e-07 3.356610282800253e-07 -8.023502181455551e-07 3.78322237781579e-07 -1.0502678355120715e-07 -5.069187527291125e-07 -4.5103436186336065e-07 3.259252879228733e-07 1.1949075510581705e-07 -7.942730876047513e-07 -2.5164634273751955e-07 1.175551935136482e-07 5.517190711215322e-07 2.8487041219862927e-06 -2.8495776691727075e-06
PC9 2.3565438613284023e-06 2.3380872117151573e-08 -3.36556771258735e-07 -9.367860362553035e-07 4.6528514173405967e-07 -5.963422199489322e-07 2.078129825712782e-07 -2.208547960763048e-07 3.3511647663781785e-07 1.2730327978794255e-05 -2.0773614200750433e-07 -5.8815228327273825e-08 -4.290008422000962e-07 9.731141424796922e-08 -8.178948260831034e-07 4.2725878236337613e-07 4.0618388381475004e-07 4.5341120016090057e-07 -5.535956545076804e-07 -2.925839376054493e-07 -7.165124704499068e-07 -7.935652315096306e-07 3.3050991434022114e-06 2.854568627936292e-06
PC10 -1.3858141834097982e-06 1.8775962886483783e-07 9.266630737196114e-09 -6.23622381302721e-08 3.8297178194570233e-07 -4.269223671540211e-07 1.0252873136311141e-07 -1.30486916457441e-07 3.3566102828002486e-07 -2.0773614200750396e-07 1.2765023990093214e-05 -4.963505879834167e-07 -6.703863924914643e-08 -2.832731478296153e-07 -2.3678566589449163e-08 2.323389748522506e-07 -3.57367362580427e-07 5.1205016275597005e-08 1.4970340066033876e-07 4.4763617099323087e-07 8.475839034602857e-08 2.689209568865176e-06 -5.738037481904853e-07 1.449164251144567e-06
PC11 4.431651593027534e-07 -3.228331275842712e-08 -2.0503069280757412e-08 4.1097431223796036e-07 2.717850727646552e-07 -8.408848937971472e-07 -3.7606736740770976e-07 1.192359556048268e-06 -8.023502181455553e-07 -5.8815228327274e-08 -4.963505879834163e-07 1.255960382110385e-05 -7.920049490589744e-09 -1.571773801030763e-07 -4.3463735554743037e-07 3.600750954119756e-07 2.451993978650073e-07 4.4719242049725505e-07 6.520317055562148e-08 6.354238949698305e-07 2.4707380057130077e-07 4.5861456867471945e-07 -1.954427083221251e-06 -2.20661103997959e-06
