 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband
intercept 0.0005930964743055161 -1.0235576961762916e-07 -2.364843610976848e-05 1.1483593513920006e-06 -1.4802461856204032e-07 1.0959400991577322e-06 2.5840600534767332e-06 1.0774179319545932e-06 2.152220063774629e-07 2.1587491608511692e-06 -7.752074327283541e-07 1.0893956504923227e-06 -3.730465897954716e-07 -1.1602349080889727e-06 -1.3750377518749317e-06 -2.1442770302766933e-06 7.849267030475196e-07 -2.296166011803565e-06 -9.800292220692634e-07 1.1740289407956871e-06 -1.3376634524533656e-06 -1.1378429098165087e-06
PC1 -1.0235576961762972e-07 2.0663678818088225e-06 -1.5725288306474895e-06 -2.400825089055012e-07 -1.0724987373766453e-07 -2.7840503657884544e-07 1.0443461553077221e-07 6.260402710184366e-08 2.1976348023829333e-08 2.073800123456695e-08 1.6897162982526633e-07 5.708926400698384e-09 6.199694006650543e-07 -1.0834245172209073e-07 -2.828812417835373e-07 -7.022783177451906e-07 -6.69067231066886e-07 2.629803475921756e-07 4.3796458678284785e-08 1.7138623937210122e-07 3.5769792633326914e-08 4.076238160655125e-06
PC2 -2.3648436109768474e-05 -1.57252883064749e-06 4.733297718884762e-05 9.684127633569924e-07 1.4025410922276046e-06 -5.197241573699259e-07 -5.442645060305335e-07 -7.62568453122462e-07 1.2395207472295647e-06 -2.1441051803660265e-07 3.913489224984784e-08 -1.6799391080945246e-07 -1.2452433924370898e-06 8.285977113146975e-07 -1.1437532446000673e-06 3.951458770244576e-08 1.8793835826945857e-07 7.425228126852746e-07 1.1331365672644799e-07 -6.447149084221676e-07 -2.960903970510403e-07 4.365173508002137e-07
PC3 1.1483593513920006e-06 -2.4008250890550126e-07 9.684127633569915e-07 4.1397406191260194e-06 1.8464969918920257e-07 1.1926143809821365e-06 1.918622022021682e-08 5.237385456106403e-07 -1.6944958117665927e-07 -9.593492265719998e-07 -8.961779361143526e-08 4.370699366274516e-07 4.809315465121734e-08 -7.439628630992608e-07 8.22349425544953e-08 4.828879695022868e-09 2.3020100213621297e-07 -5.066588206582151e-07 -5.599156281669685e-07 4.6233682494157846e-07 1.2265898175068948e-07 3.702418319686545e-06
PC4 -1.4802461856204114e-07 -1.0724987373766462e-07 1.4025410922276055e-06 1.8464969918920265e-07 7.724994864028055e-06 1.7260602466654497e-06 -3.844697420005631e-07 3.0403646330226386e-07 -1.3352477793721108e-06 4.017478237788739e-07 3.4039181244214395e-07 2.8869408300519847e-07 -9.847245575547934e-07 -6.198824413109902e-07 3.05074834742533e-08 -1.9068205094284136e-08 8.024706448385e-08 3.655382885714314e-08 -5.382895004293628e-07 -1.6361450553352888e-07 1.0459324519434547e-07 -3.14172594820528e-07
PC5 1.0959400991577316e-06 -2.7840503657884554e-07 -5.197241573699257e-07 1.192614380982137e-06 1.7260602466654495e-06 1.5620487312732704e-05 3.135940928826038e-07 1.0654560432995412e-06 -9.540110897880233e-07 -6.409413683088763e-07 -5.508820026993197e-07 -1.0274977233155731e-06 4.87832117440052e-07 -1.3996627586752582e-06 5.569720783988088e-07 8.354712188935048e-08 -8.176112957971224e-08 8.421832564795473e-07 -2.387186803613649e-07 3.0758529280248043e-07 -3.403468602961541e-08 -4.153415805386332e-06
PC6 2.584060053476734e-06 1.044346155307721e-07 -5.442645060305334e-07 1.918622022021649e-08 -3.8446974200056324e-07 3.135940928826038e-07 1.4934830373133866e-05 -1.5774206764816853e-07 2.023224168352269e-07 1.9529738820134273e-07 1.715128082873804e-08 -3.181807042721916e-07 -1.4252507025816974e-07 -2.011066272301289e-07 -2.463178415546773e-07 -1.708374222640811e-07 -9.047407702777618e-08 3.079800310970482e-07 -3.4919131001316253e-07 -2.6213972964282957e-07 -4.89159050165524e-07 -1.2721649081260777e-06
PC7 1.0774179319545932e-06 6.260402710184356e-08 -7.625684531224619e-07 5.237385456106407e-07 3.040364633022642e-07 1.0654560432995412e-06 -1.5774206764816837e-07 1.2767721934805846e-05 1.0536553292231201e-06 -2.684863601064517e-07 -1.3596024186800486e-07 1.3661116744198365e-06 4.2717990937483276e-07 2.906887755983395e-07 -4.543069882109195e-07 -5.194481005434834e-07 3.5696366317794515e-08 -5.72267693880826e-07 8.012329152308502e-08 1.086433944833984e-07 -4.893452435077128e-07 1.012897026710493e-06
PC8 2.1522200637746249e-07 2.1976348023829197e-08 1.2395207472295647e-06 -1.6944958117665903e-07 -1.3352477793721108e-06 -9.540110897880237e-07 2.023224168352268e-07 1.0536553292231201e-06 1.4390392789442054e-05 4.430162175551593e-07 5.295159603961511e-07 -8.757119991275113e-07 2.3991468759646667e-07 -1.7871818449429032e-07 -5.112838006678455e-07 -4.96532402603954e-07 4.034749877936674e-07 7.093666006625087e-08 -8.457265633884428e-07 -1.9896417766610747e-07 1.2121134166580827e-07 3.1044907759511086e-07
PC9 2.158749160851171e-06 2.073800123456689e-08 -2.1441051803660228e-07 -9.593492265719996e-07 4.017478237788741e-07 -6.409413683088764e-07 1.9529738820134273e-07 -2.684863601064518e-07 4.430162175551594e-07 1.2063893698499585e-05 -1.7946656999411424e-07 -1.1251763597986243e-08 -4.477977005862857e-07 1.338052789899493e-07 -9.126687605028622e-07 4.24586927333297e-07 3.3059265240881975e-07 5.152597752292944e-07 -4.952863427677605e-07 -2.2952207303565684e-07 -7.431407583982771e-07 2.603738744419813e-06
PC10 -7.752074327283543e-07 1.6897162982526626e-07 3.9134892249847996e-08 -8.961779361143544e-08 3.4039181244214416e-07 -5.5088200269932e-07 1.7151280828738206e-08 -1.3596024186800488e-07 5.295159603961511e-07 -1.7946656999411408e-07 1.26565898692079e-05 -5.268555777004041e-07 1.5747480964638578e-08 -3.0678264279451516e-07 -1.0293248586693311e-07 1.906233637586691e-07 -3.726195240434761e-07 1.29156113092593e-07 1.870058333748856e-07 4.5980290945741615e-07 1.7708500598328706e-07 2.4271852060362913e-06
PC11 1.0893956504923222e-06 5.708926400698227e-09 -1.6799391080945285e-07 4.370699366274516e-07 2.8869408300519847e-07 -1.0274977233155731e-06 -3.1818070427219093e-07 1.3661116744198356e-06 -8.757119991275118e-07 -1.125176359798619e-08 -5.268555777004041e-07 1.1966467807228847e-05 -6.614209355166947e-08 -2.3624083027138557e-07 -5.64118049486647e-07 4.3908121414672627e-07 2.432695512912252e-07 4.7182513733081475e-07 -6.31802665800321e-08 6.846162257947134e-07 1.7481420787932984e-07 -2.1835728101396766e-06
PC12 -3.7304658979547134e-07 6.199694006650545e-07 -1.2452433924370896e-06 4.8093154651217196e-08 -9.847245575547931e-07 4.878321174400519e-07 -1.4252507025816972e-07 4.271799093748332e-07 2.399146875964668e-07 -4.4779770058628555e-07 1.574748096463889e-08 -6.614209355166948e-08 1.097327840079699e-05 1.4907407847825187e-07 3.342757605909219e-08 -4.3698566687246193e-07 1.9834275094989524e-07 -1.5208177362261498e-07 -1.3689281911424218e-07 -1.3510677134889293e-07 -6.275062946473472e-07 7.380707671277307e-07
PC13 -1.1602349080889735e-06 -1.0834245172209073e-07 8.28597711314698e-07 -7.439628630992604e-07 -6.198824413109903e-07 -1.3996627586752582e-06 -2.011066272301287e-07 2.9068877559833975e-07 -1.7871818449429003e-07 1.3380527898994893e-07 -3.067826427945153e-07 -2.3624083027138612e-07 1.4907407847825219e-07 1.1383622815239868e-05 -6.267090493516696e-07 1.0154340763088487e-06 2.713699559593289e-07 1.467393906003478e-07 -2.0620758412103973e-07 4.425423719083976e-08 1.607769003637692e-07 4.1344257290825715e-06
PC14 -1.375037751874933e-06 -2.8288124178353724e-07 -1.1437532446000667e-06 8.223494255449519e-08 3.050748347425346e-08 5.569720783988091e-07 -2.463178415546778e-07 -4.543069882109188e-07 -5.112838006678459e-07 -9.126687605028623e-07 -1.0293248586693298e-07 -5.641180494866466e-07 3.342757605909232e-08 -6.267090493516699e-07 1.1821830654157138e-05 -2.0026546548599338e-07 1.1636536022984528e-07 -5.359343000142982e-08 1.3673806938683767e-07 -1.2526268655371547e-07 3.4183226225075868e-09 -7.248084671822316e-07
PC15 -2.1442770302766916e-06 -7.022783177451907e-07 3.951458770244546e-08 4.828879695022722e-09 -1.906820509428423e-08 8.354712188935057e-08 -1.7083742226408116e-07 -5.194481005434833e-07 -4.965324026039537e-07 4.245869273332969e-07 1.9062336375866872e-07 4.390812141467261e-07 -4.3698566687246167e-07 1.0154340763088485e-06 -2.0026546548599346e-07 1.126646228580432e-05 4.404615771273508e-07 -7.360608747991455e-07 -2.3239321022176487e-07 -1.7550685790056802e-07 4.49207696971822e-08 1.7739084702923374e-06
PC16 7.849267030475191e-07 -6.690672310668866e-07 1.8793835826945934e-07 2.3020100213621305e-07 8.024706448385011e-08 -8.176112957971234e-08 -9.047407702777618e-08 3.5696366317794184e-08 4.03474987793667e-07 3.305926524088196e-07 -3.7261952404347606e-07 2.4326955129122517e-07 1.9834275094989542e-07 2.713699559593289e-07 1.1636536022984564e-07 4.4046157712735084e-07 1.1509661525687281e-05 -4.803396373981553e-07 -1.966318929749185e-08 -5.793059466871706e-07 -1.0978174285116008e-07 -1.469887401076239e-06
PC17 -2.2961660118035676e-06 2.629803475921754e-07 7.425228126852748e-07 -5.06658820658215e-07 3.655382885714311e-08 8.421832564795476e-07 3.07980031097048e-07 -5.72267693880826e-07 7.093666006625108e-08 5.152597752292946e-07 1.2915611309259289e-07 4.718251373308147e-07 -1.5208177362261506e-07 1.46739390600348e-07 -5.359343000142978e-08 -7.360608747991453e-07 -4.803396373981553e-07 1.0419489527258191e-05 3.705717409708765e-07 -1.7307573385317949e-07 8.446057281165112e-08 -3.4715097680922067e-06
PC18 -9.800292220692638e-07 4.3796458678284884e-08 1.1331365672644816e-07 -5.599156281669688e-07 -5.38289500429363e-07 -2.387186803613647e-07 -3.4919131001316295e-07 8.012329152308482e-08 -8.457265633884435e-07 -4.952863427677607e-07 1.8700583337488577e-07 -6.318026658003227e-08 -1.3689281911424226e-07 -2.0620758412103965e-07 1.367380693868376e-07 -2.3239321022176477e-07 -1.966318929749217e-08 3.705717409708765e-07 1.0334959708190073e-05 -1.812859712152982e-07 6.338693107598784e-09 -1.2968843862144231e-06
PC19 1.1740289407956878e-06 1.7138623937210117e-07 -6.44714908422168e-07 4.6233682494157846e-07 -1.6361450553352904e-07 3.075852928024806e-07 -2.621397296428295e-07 1.0864339448339846e-07 -1.9896417766610733e-07 -2.2952207303565652e-07 4.5980290945741663e-07 6.846162257947132e-07 -1.3510677134889264e-07 4.425423719083974e-08 -1.2526268655371566e-07 -1.7550685790056794e-07 -5.793059466871707e-07 -1.7307573385317938e-07 -1.812859712152984e-07 1.0578836756986102e-05 6.551145799131404e-07 -1.8069207729495993e-06
PC20 -1.337663452453368e-06 3.57697926333269e-08 -2.960903970510406e-07 1.2265898175068938e-07 1.0459324519434543e-07 -3.403468602961544e-08 -4.891590501655238e-07 -4.893452435077127e-07 1.2121134166580816e-07 -7.431407583982772e-07 1.770850059832872e-07 1.7481420787933e-07 -6.275062946473469e-07 1.6077690036376925e-07 3.418322622507684e-09 4.4920769697182395e-08 -1.0978174285116006e-07 8.446057281165122e-08 6.338693107598733e-09 6.551145799131405e-07 9.710427350651714e-06 1.7823235943551505e-07
