 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal
intercept 0.0006942993261428646 -1.634528414506899e-07 -2.3594025683278873e-05 1.3412786307423746e-06 4.807883063102783e-07 3.634520226482689e-07 2.2561623486395466e-06 1.9090296638482078e-06 -2.989914055979601e-07 2.3524976111216782e-06 -1.2497087256954065e-06 7.972248938790758e-07 -4.860862747964331e-07 -1.7741805027372506e-06 -1.6237755768048839e-06 -1.7899957810176116e-06 8.407690545250541e-07 -1.871355558847689e-06 -8.114211102082405e-07 1.1644527344657907e-06 -9.307462609260002e-07 2.242350575643925e-05 -1.7062528437119238e-05 -3.040565545788701e-05
PC1 -1.634528414506898e-07 2.3920378430170197e-06 -1.5914599266651598e-06 -2.6656791505747764e-07 -5.839746997858804e-08 -3.5317175605945853e-07 6.981565396181348e-08 1.2841121737150078e-07 6.427942837698048e-08 2.7394099346214502e-08 1.8764267759403974e-07 -2.4179666903156005e-08 6.130426548239543e-07 -9.4320877653354e-08 -2.7629347197829726e-07 -7.361400608876232e-07 -6.623182041041147e-07 2.4790492569480526e-07 1.0590545909836697e-08 1.6896245694823222e-07 5.277718901798693e-08 5.21970280426568e-07 5.900888713509835e-06 2.6360422503823198e-06
PC2 -2.3594025683278873e-05 -1.5914599266651598e-06 4.779768016192321e-05 9.537751211191012e-07 1.3649334931507584e-06 -5.396213543555564e-07 -4.4268462717352777e-07 -6.337159667841578e-07 1.1228304748235673e-06 -2.8971761663590147e-07 -2.6265077593121678e-08 -5.500941068180706e-08 -1.0684423481684148e-06 9.382214193787099e-07 -1.0341539995392086e-06 6.115735597870815e-08 1.9776861379727884e-07 7.237576567237918e-07 1.5859115866135013e-07 -5.410266220085704e-07 -3.436813841239366e-07 -3.4983510136851983e-06 -1.5904955300611394e-07 8.83356280096902e-06
PC3 1.3412786307423756e-06 -2.665679150574777e-07 9.537751211191017e-07 4.629760909081704e-06 1.7522112704308781e-07 1.1671453521804402e-06 3.7237770420966685e-08 5.02398190258577e-07 -2.386922796008866e-07 -9.314791245763886e-07 -6.065844870872374e-08 4.15985371747014e-07 5.195763569753879e-08 -7.189354656193317e-07 1.0365208932803674e-07 -3.479508405744194e-08 2.7620038787214925e-07 -4.136320681530909e-07 -5.476264316684302e-07 4.0571486043237845e-07 1.2453761316923684e-07 8.662495107435139e-07 3.0842637080843805e-06 4.707896733111749e-06
PC4 4.807883063102758e-07 -5.8397469978588014e-08 1.3649334931507582e-06 1.7522112704308763e-07 8.681933507540286e-06 1.6643801589521886e-06 -4.1084185705182534e-07 2.979384832239928e-07 -1.3158354723888759e-06 4.7180070594454157e-07 3.5133134174591845e-07 2.636519388447467e-07 -1.023358878441885e-06 -6.440323778312627e-07 3.7441503309818985e-08 -3.99162554687938e-08 3.85597734050272e-08 -1.581627330082469e-08 -5.032280688259609e-07 -1.3070879341605515e-07 1.1765467612368986e-07 -2.7856130217968985e-06 3.998349537433361e-06 7.814613446758469e-07
PC5 3.6345202264826917e-07 -3.531717560594586e-07 -5.39621354355558e-07 1.1671453521804392e-06 1.6643801589521886e-06 1.6323286437950764e-05 3.8477426232888174e-07 9.856829408745292e-07 -8.523019183282497e-07 -6.281843520943072e-07 -4.794783703210293e-07 -9.198843569899522e-07 5.500466143140388e-07 -1.2982839137633828e-06 5.250229446113991e-07 1.0510422567575368e-07 -1.7633692723298512e-08 7.808824626162303e-07 -1.8690145039536222e-07 2.476649360967288e-07 -1.3311392191952651e-07 -2.6477646550611233e-06 -4.1934780900292765e-06 6.373235178259906e-09
PC6 2.256162348639545e-06 6.981565396181349e-08 -4.426846271735281e-07 3.723777042096649e-08 -4.1084185705182556e-07 3.847742623288814e-07 1.541202400623966e-05 -1.0898358362941469e-07 2.7390521892855655e-07 2.171639569881377e-07 1.0052680524346511e-07 -3.6014587012145744e-07 -6.900153096940566e-08 -1.7264379153447586e-07 -2.0818097663415744e-07 -1.3254307049923546e-07 -5.890028680826197e-08 2.745753349296233e-07 -4.213613115719228e-07 -2.352870167905764e-07 -5.222931742249021e-07 -1.785469570713866e-06 -4.6745098654026e-07 2.5307129704509985e-06
PC7 1.909029663848208e-06 1.284112173715009e-07 -6.337159667841583e-07 5.023981902585769e-07 2.979384832239928e-07 9.856829408745294e-07 -1.0898358362941457e-07 1.3150863119892953e-05 1.0090583042111733e-06 -2.5983338991368976e-07 -1.1624071591697132e-07 1.2916932624285798e-06 4.2992448683879105e-07 2.712154643331366e-07 -3.886196037833064e-07 -5.427041130729002e-07 4.171248978002173e-08 -4.5313122734712965e-07 4.6082788656084505e-08 7.798683500470191e-08 -4.624176020379648e-07 6.161459628443831e-07 3.065194557540069e-06 -1.3976152994204831e-06
PC8 -2.9899140559796155e-07 6.427942837698068e-08 1.122830474823567e-06 -2.386922796008869e-07 -1.3158354723888759e-06 -8.523019183282496e-07 2.7390521892855676e-07 1.009058304211174e-06 1.4657532965444481e-05 3.795576653504814e-07 3.967944283092905e-07 -8.25635836060285e-07 3.157243226084121e-07 -1.2835189287217962e-07 -5.151736367759752e-07 -4.694004645228774e-07 3.44948941939742e-07 1.302772772035233e-07 -8.145229968857569e-07 -2.6514060898680057e-07 1.6151068644488663e-07 1.8763186985304336e-07 3.2916797257852565e-06 -2.552597228405436e-06
PC9 2.352497611121677e-06 2.739409934621448e-08 -2.897176166359014e-07 -9.314791245763891e-07 4.718007059445418e-07 -6.281843520943072e-07 2.171639569881378e-07 -2.598333899136898e-07 3.795576653504812e-07 1.252286114810735e-05 -2.0702350583487976e-07 -5.423175941127982e-08 -4.664956211326287e-07 1.309753075105454e-07 -8.615203520741077e-07 4.2981467562662023e-07 3.889845401533404e-07 4.746680071823922e-07 -5.280082231378086e-07 -2.8641241334260725e-07 -7.44458439202785e-07 -4.962415345113443e-07 3.1560768521025266e-06 2.85171201458551e-06
