 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal
intercept 0.0008769552255978907 -9.342977356763619e-08 -1.9434385459802637e-05 1.6074826423341835e-06 1.905461073258971e-06 -3.95841972603002e-07 1.7073726268499526e-06 2.139960939202845e-06 -8.507304083329589e-07 2.241531469034925e-06 -1.4422915757931053e-06 -3.5268568064458685e-07 -2.4997719432613723e-07 -2.0684782881471747e-06 -1.1658005867978527e-06 -1.5075221020574357e-06 1.2904094267774018e-06 -9.900910380234418e-07 -6.406706595666918e-07 6.816326531432296e-07 -3.8466740651539157e-07 1.5008164543944285e-05 -1.3601449371993075e-05 -1.8140418073727756e-05
PC1 -9.342977356763534e-08 2.920787294030191e-06 -1.3667565885170108e-06 -2.7753241296137857e-07 6.986845392491995e-09 -3.2832218076329885e-07 4.152386464456094e-08 1.2940509651926944e-07 8.217770067270175e-08 -8.503541679968358e-09 1.7953296858013203e-07 -2.9227080189935356e-08 5.215047585157157e-07 -1.0622244049441447e-07 -2.3581882930196533e-07 -6.17458503319847e-07 -5.560892070451541e-07 1.7233891216223692e-07 5.324521439777755e-09 1.6023490338556376e-07 4.389119076920212e-08 3.9444420292927527e-07 7.347428094311815e-06 3.6950376180102966e-06
PC2 -1.9434385459802634e-05 -1.3667565885170101e-06 4.0995393964925254e-05 7.326342477673712e-07 1.0964512298549318e-06 -5.48296738736824e-07 -5.269758437366977e-07 -1.8650320491834694e-07 8.140548788066196e-07 -2.799384328121867e-07 1.8387250156167516e-08 7.567744926355382e-08 -6.667721895877909e-07 7.223884681611202e-07 -8.0885889090645e-07 1.1898267966596535e-07 2.287441958781744e-07 7.468010976048436e-07 1.794266726202164e-07 -1.7427231086664142e-07 -2.2559506763745532e-07 -2.4121456810744133e-06 -1.1457346318278706e-06 6.486093170173725e-06
PC3 1.6074826423341848e-06 -2.7753241296137846e-07 7.326342477673712e-07 5.377292208744195e-06 8.55251496212775e-08 9.728968065043235e-07 -8.15825244869618e-09 3.9891283269951694e-07 -2.458840537320399e-07 -8.00471172999275e-07 -4.787611917011496e-08 3.2900564173664975e-07 6.252615229541336e-08 -5.692062864595924e-07 1.0092471720995487e-07 -3.9703868957914755e-08 2.261084948101769e-07 -2.611961694461692e-07 -4.77023456489344e-07 2.894345440589881e-07 1.0614240401209385e-07 7.874368275063878e-07 4.2311891967715306e-06 5.884985870526336e-06
PC4 1.9054610732589693e-06 6.986845392492118e-09 1.0964512298549315e-06 8.55251496212774e-08 9.51705633730262e-06 1.201828197755463e-06 -4.166452437726586e-07 1.636902531008163e-07 -1.032676556803517e-06 3.9393036950108446e-07 3.709011227307065e-07 2.379166102047764e-07 -9.757756960311238e-07 -5.70889462185763e-07 9.259622801192306e-08 2.789874750843126e-08 -2.555878650942808e-08 -1.0146208462267844e-07 -3.059279081806685e-07 -7.104196813420005e-08 8.94745822315345e-08 -2.127316339337798e-06 3.617244491018612e-06 6.006010669303626e-07
PC5 -3.958419726030014e-07 -3.2832218076329875e-07 -5.482967387368249e-07 9.72896806504323e-07 1.201828197755462e-06 1.510818219998326e-05 4.0544641604046916e-07 7.293749435243085e-07 -3.75781324961558e-07 -5.027349252988707e-07 -2.401867366895486e-07 -5.224942656391486e-07 5.482465117178022e-07 -8.784739604798069e-07 3.486370220053857e-07 1.337395741895547e-08 -3.474810706785076e-08 6.025469952389784e-07 -3.772526684001986e-08 7.541848815556711e-08 -1.9966236392524884e-07 -2.890494929506423e-06 -3.493604423844694e-06 -1.3972888232505333e-07
PC6 1.7073726268499545e-06 4.152386464456096e-08 -5.26975843736698e-07 -8.15825244869622e-09 -4.166452437726589e-07 4.0544641604046884e-07 1.3832063246024826e-05 6.705750940493378e-09 2.51957156455627e-07 8.749590612582969e-08 1.1281601311268432e-07 -3.5274356105555236e-07 1.4482334585902056e-07 -9.515423235820372e-08 -1.4885959742703607e-07 -7.198690841098783e-08 -6.24947303305621e-08 2.8359304742855553e-07 -3.2987357370926327e-07 -2.001211042436518e-07 -5.534454528597256e-07 -2.056546710283806e-06 1.181803920354601e-07 2.6016155341948553e-06
PC7 2.1399609392028467e-06 1.2940509651926954e-07 -1.865032049183478e-07 3.98912832699517e-07 1.6369025310081658e-07 7.293749435243091e-07 6.705750940493111e-09 1.184642495088868e-05 6.906493343931137e-07 -1.6478770867569346e-07 -1.5243630994077147e-07 8.540943803501978e-07 2.95256011996846e-07 1.1486396937419124e-07 -1.773017263133285e-07 -4.390656951220126e-07 1.2849159675030123e-07 -2.066542195818409e-07 7.86036917873319e-08 -2.8688219711586667e-08 -3.537319628943662e-07 1.3543414555374316e-06 2.7243299135092916e-06 -1.0944677441296062e-06
PC8 -8.507304083329613e-07 8.217770067270194e-08 8.14054878806619e-07 -2.4588405373204014e-07 -1.032676556803517e-06 -3.75781324961558e-07 2.519571564556271e-07 6.906493343931135e-07 1.2933675024427117e-05 2.313699757305256e-07 1.9919560539176203e-07 -6.477126272268717e-07 4.884158210001934e-07 -4.723998192426306e-08 -4.417422854672199e-07 -3.989769999562314e-07 2.572746963910166e-07 7.99974912362229e-08 -6.113074881783539e-07 -2.2748935452063867e-07 5.49562900867834e-08 9.64778208243486e-07 1.3662237516164841e-06 -2.639034538370749e-06
PC9 2.2415314690349284e-06 -8.503541679968476e-09 -2.799384328121865e-07 -8.004711729992746e-07 3.9393036950108436e-07 -5.02734925298871e-07 8.74959061258297e-08 -1.6478770867569328e-07 2.313699757305253e-07 1.139729076751986e-05 -2.123032069905275e-07 -3.296448042604885e-08 -3.2255000654631826e-07 3.0670486371985e-08 -6.344064363477633e-07 3.468981925050698e-07 3.9520395785232394e-07 3.5401421426584173e-07 -5.956103722785463e-07 -2.350923502059523e-07 -5.514023324970254e-07 -1.3427832924487225e-06 3.4100778383945463e-06 2.516057635332684e-06
