 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal gpp gpm gmp gmm
intercept 0.000529073043217943 -1.4203403110814706e-08 -2.376549150825248e-05 1.155665990280166e-06 -4.700072444332248e-07 1.9071241361902047e-06 3.177585009126014e-06 1.346726632819905e-06 3.3332374625778977e-07 2.0470320614645952e-06 -4.647344955860433e-07 1.7485276391375567e-06 -5.006441740289505e-07 -8.057862029727359e-07 -1.4946832727074978e-06 -2.060796730158213e-06 4.052374281529168e-07 -2.2471702795313088e-06 -6.246831995573853e-07 7.972890931808593e-07 -1.0707144910433547e-06 -8.326330927497852e-06 3.799608012554969e-05 2.923952518526397e-05 -5.847064875221378e-05 -1.1587996207146787e-05 2.036981572705379e-05 -6.934467142812083e-05
PC1 -1.4203403110815776e-08 1.8554428188235531e-06 -1.5458902680103456e-06 -2.657459560403775e-07 -9.940399038716562e-08 -2.2138908024750819e-07 1.1481690811715864e-07 4.72118832572276e-08 5.240940340551872e-09 3.920446801238372e-08 1.0868104647005139e-07 1.67682714188615e-08 5.585431041357018e-07 -1.0569769759156283e-07 -2.782179945040596e-07 -7.052863738258792e-07 -6.254282386956314e-07 2.8371221438705745e-07 3.4246323443291134e-08 1.4822219981114032e-07 3.6057526471146174e-08 6.378643600577042e-07 -3.4220778962244787e-06 1.4227260229461041e-06 3.763537015984065e-07 3.5086524256117027e-06 1.0925578094469923e-06 -4.980401435950883e-06
PC2 -2.376549150825248e-05 -1.5458902680103456e-06 4.5740579253057235e-05 9.697843708197753e-07 1.4676286046407456e-06 -6.332251327156275e-07 -4.205115828269675e-07 -7.134612692086954e-07 1.1969201244058527e-06 -2.5911898753420747e-07 -1.1586131151395509e-07 -1.560246339254173e-07 -1.2590519517553849e-06 8.603832883871214e-07 -1.172379185756278e-06 3.933917332680479e-08 1.38740293196242e-07 6.179154391650992e-07 1.189239331653178e-07 -6.508800567221879e-07 -3.2417653785924665e-07 3.2899904554679527e-06 3.7546870803761398e-06 -3.0678634995756022e-06 -5.8956272206665395e-06 -1.007557762119085e-05 1.0462131115346464e-06 7.826520258257457e-06
PC3 1.1556659902801656e-06 -2.6574595604037753e-07 9.69784370819776e-07 3.767547035513065e-06 2.1907305831242531e-07 1.214613110517442e-06 8.642379624039066e-08 5.07119819566702e-07 -1.543893371009273e-07 -9.441622434770019e-07 -6.882914395264447e-08 4.513565098350625e-07 8.554344847149836e-08 -7.509146014501448e-07 1.3703467953174448e-07 -5.2676251910009554e-08 2.4725508951940916e-07 -4.644284765401231e-07 -5.132071681014451e-07 4.314168013158163e-07 1.0563703670521101e-07 5.524484300221438e-07 1.5265222530758245e-06 -3.0601310890888382e-06 6.228349341810404e-07 -6.208078458484416e-06 -3.157287513210708e-06 3.735249007171571e-07
PC4 -4.7000724443322476e-07 -9.940399038716559e-08 1.4676286046407454e-06 2.190730583124253e-07 7.03690401746821e-06 1.7570412299521868e-06 -3.224918539683785e-07 2.2200893820070104e-07 -1.311468030127936e-06 4.0741057336248937e-07 2.451168553626203e-07 2.9143312294736215e-07 -9.741036761968434e-07 -5.755136545280897e-07 4.496886977662955e-09 -8.69532765837481e-08 7.790375338684942e-08 1.2288615862301658e-07 -5.210861545537018e-07 -2.1219258726852706e-07 1.282526354448396e-07 1.1117041393909715e-06 -3.2312469353451017e-06 -7.62187414864613e-07 5.174380974196421e-07 -2.5358326457387975e-06 9.417483223822654e-07 -3.7156827660608883e-06
PC5 1.9071241361902057e-06 -2.21389080247508e-07 -6.332251327156274e-07 1.2146131105174422e-06 1.757041229952187e-06 1.4745961406244578e-05 3.6507402021147617e-07 1.147929922960297e-06 -9.300128155138831e-07 -5.77048495982208e-07 -5.404093830088762e-07 -9.494600005459569e-07 4.31579523350187e-07 -1.4283893555866266e-06 5.866762519635988e-07 1.412651990359119e-07 -4.142587143941265e-08 7.645580290511039e-07 -2.0497514293226813e-07 2.803932161158477e-07 -6.939219834927873e-08 -2.3285126180451643e-06 5.069079537309591e-06 2.177616789037025e-06 1.5598481837423624e-06 -7.635480310808174e-06 -4.263478790637849e-06 -6.994747255474661e-06
PC6 3.1775850091260156e-06 1.1481690811715868e-07 -4.205115828269681e-07 8.642379624039079e-08 -3.2249185396837875e-07 3.650740202114763e-07 1.4303366109385118e-05 -9.445539497917913e-08 2.3541075137439154e-07 2.2746443650950003e-07 3.7037831854209844e-08 -3.284633485372028e-07 -1.5494672135422678e-07 -2.2076896815339404e-07 -2.548829534101195e-07 -1.9348407289276657e-07 -5.504623050753843e-08 3.1103525100922704e-07 -4.174356756983686e-07 -2.7698690902580174e-07 -4.783638485641091e-07 -2.713896909896174e-06 6.002572301182667e-06 -1.5703420192451346e-06 -1.8057553684480497e-05 5.6019655988307e-06 1.9845911755837359e-07 6.153318885552135e-07
PC7 1.3467266328199054e-06 4.7211883257227566e-08 -7.134612692086947e-07 5.071198195667019e-07 2.220089382007011e-07 1.147929922960297e-06 -9.445539497917905e-08 1.2266496506368088e-05 1.0210271096684132e-06 -2.327321387824513e-07 -1.2455501464663942e-07 1.4553196204245908e-06 3.48113656693916e-07 3.27173098878125e-07 -5.227202069740632e-07 -5.72311693135228e-07 4.845901291304818e-08 -5.071594074033854e-07 8.686882776719074e-08 1.0866129573699983e-07 -3.7746039839196673e-07 -3.360357427583234e-06 5.3783158927873555e-06 1.487856687811148e-06 -1.4368875754018598e-05 4.417643121260187e-06 1.678131934080682e-05 -7.520480093632664e-06
PC8 3.3332374625778977e-07 5.240940340551938e-09 1.196920124405852e-06 -1.5438933710092742e-07 -1.3114680301279358e-06 -9.300128155138832e-07 2.3541075137439151e-07 1.0210271096684132e-06 1.3752710295245496e-05 4.178254865702521e-07 5.547369681906988e-07 -8.424206586870254e-07 2.3266188187806732e-07 -1.4424329232377522e-07 -5.154175174819525e-07 -4.888930323868527e-07 3.9352199672413215e-07 1.4396381011462733e-07 -7.955474683409411e-07 -1.7361266109639663e-07 1.5633797153208302e-07 -5.504314703717226e-07 5.886735319615427e-06 2.083219135999364e-06 -5.00026856257385e-06 -3.2311845057634754e-06 -3.1438620132813444e-06 2.639351546276528e-06
PC9 2.047032061464595e-06 3.9204468012383696e-08 -2.5911898753420736e-07 -9.441622434770019e-07 4.074105733624895e-07 -5.770484959822082e-07 2.274644365095002e-07 -2.3273213878245115e-07 4.178254865702522e-07 1.1559310973851664e-05 -3.088089945969744e-07 6.584121618594609e-08 -4.132169476183188e-07 1.3454709886831918e-07 -7.852113769647966e-07 4.125690680397654e-07 2.0651737991358202e-07 5.552531342983697e-07 -3.9654699456870034e-07 -2.224008369659555e-07 -7.603546794025279e-07 -1.608065111610199e-06 6.89533562717181e-07 6.271039739339035e-07 8.634963487694944e-06 -1.0981347485272604e-05 2.36461584312581e-06 -6.2819027066776435e-06
PC10 -4.647344955860447e-07 1.0868104647005138e-07 -1.1586131151395516e-07 -6.882914395264427e-08 2.451168553626201e-07 -5.40409383008876e-07 3.703783185421005e-08 -1.2455501464663934e-07 5.547369681906993e-07 -3.0880899459697445e-07 1.2169107991579429e-05 -5.143068190284092e-07 6.356396375582291e-08 -3.1120645365782833e-07 -1.5186040545649112e-07 2.3290668456741218e-07 -3.9531937915658743e-07 1.9668860563541303e-07 2.756035965179858e-07 4.959075152483419e-07 2.0269229769361695e-07 1.7590924358739625e-06 5.892502127384944e-06 8.743290768226183e-08 6.114298311130072e-07 -1.107027138723092e-06 -6.129081938500751e-06 2.4972816817457737e-06
PC11 1.7485276391375578e-06 1.6768271418861424e-08 -1.560246339254169e-07 4.5135650983506234e-07 2.9143312294736205e-07 -9.494600005459571e-07 -3.2846334853720305e-07 1.4553196204245912e-06 -8.424206586870256e-07 6.584121618594617e-08 -5.143068190284091e-07 1.145026455583118e-05 -2.8576242151048538e-08 -2.1449541655011658e-07 -5.867236078839317e-07 4.2023265504354156e-07 2.0447186669541516e-07 4.2104532007295335e-07 -6.356241057147156e-08 6.333534829055206e-07 1.5314224764799697e-07 -3.5261911273725555e-06 5.841671969892502e-06 -8.42364298068611e-08 -3.671468227211339e-06 -6.573022165521608e-06 1.1286957039707762e-05 -4.318181720541456e-06
