 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal
intercept 0.0005943045746648614 -1.0457170300965578e-07 -2.37331176420011e-05 1.1688480274704825e-06 -1.61304642486766e-07 1.1299468566000965e-06 2.6282375467860437e-06 1.1126893780266497e-06 2.2136191118013798e-07 2.1869547786905932e-06 -7.702347220186175e-07 1.1240263332489414e-06 -3.21238552644469e-07 -1.1624856215885758e-06 -1.3674482920155986e-06 -2.119628451477248e-06 7.22615446803724e-07 -2.2873709993445716e-06 -9.823712080883187e-07 1.1665877170188033e-06 -1.3713809917566716e-06 -9.237823287561929e-06 6.606547493451992e-06 1.8414141675170434e-06
PC1 -1.0457170300965636e-07 2.0446638655678545e-06 -1.5758423200155388e-06 -2.695679467740064e-07 -9.494857074937737e-08 -2.5382366117541144e-07 1.1200376157718319e-07 5.246201371798765e-08 1.2355973997893725e-08 1.866829826109989e-09 1.3153433976862684e-07 1.9936995802349753e-08 5.991315150431046e-07 -1.3206461453910837e-07 -2.779940084000249e-07 -7.284507901263012e-07 -6.498007090052138e-07 2.875964721850045e-07 4.6812045636239256e-08 1.7673991789538635e-07 3.6064364688184936e-08 3.487277890221494e-07 -1.923585420331383e-06 2.984525821480815e-07
PC2 -2.37331176420011e-05 -1.5758423200155395e-06 4.74359523851908e-05 9.665443572775291e-07 1.4090878606645003e-06 -5.311277539602419e-07 -5.602901761927306e-07 -7.815294370175286e-07 1.2403037809739445e-06 -2.2468398801458512e-07 4.4022509878462914e-08 -1.8444931837866195e-07 -1.2659956944374301e-06 8.262110250579212e-07 -1.1457320825746363e-06 3.0600355520514266e-08 2.1569811267560572e-07 7.393110212480338e-07 1.1745034261336863e-07 -6.40883352221286e-07 -2.862488886704509e-07 4.449495074702597e-06 -2.5310517860271415e-06 -1.6753558540486439e-06
PC3 1.1688480274704827e-06 -2.695679467740062e-07 9.665443572775287e-07 4.15129224257187e-06 2.0005922902885462e-07 1.2480403287130551e-06 5.354840049004597e-08 4.965770192899635e-07 -1.8264172890056677e-07 -9.664249280267988e-07 -1.1085950433337596e-07 4.486669209739774e-07 4.1582356958314206e-08 -7.825210606110464e-07 1.2143437403862638e-07 -1.0288847834704197e-08 2.44298141357063e-07 -4.746301351276698e-07 -5.45540424783086e-07 4.5446221576620885e-07 9.082323297192905e-08 7.002892293248564e-07 -8.880941973462025e-07 -4.548476347250187e-06
PC4 -1.613046424867648e-07 -9.494857074937734e-08 1.4090878606645e-06 2.0005922902885462e-07 7.763865838058534e-06 1.7266242167072313e-06 -3.7716050475342675e-07 2.9117861648660523e-07 -1.3561375505635656e-06 4.12393326416441e-07 3.041160834142643e-07 2.8214735469511346e-07 -1.0163100973595754e-06 -6.075347167277183e-07 4.6252536789396526e-08 -4.0340143188088264e-08 9.70721726814549e-08 3.4682928186363604e-08 -5.501197975019729e-07 -1.9169980185051115e-07 9.251621876903338e-08 7.6417683457309e-07 -3.900868499405173e-06 -1.5431625085308513e-06
PC5 1.1299468566000959e-06 -2.5382366117541107e-07 -5.311277539602423e-07 1.2480403287130547e-06 1.7266242167072309e-06 1.5648486535141036e-05 3.3531390343156384e-07 1.0697044982068468e-06 -9.552570529443774e-07 -6.082283395811381e-07 -5.245482520862909e-07 -1.0377855129474936e-06 5.163909693508319e-07 -1.382860881179079e-06 5.798914259563139e-07 1.0854545337169665e-07 -1.1245096395921614e-07 8.295661698754631e-07 -2.4013978013758137e-07 2.822779652496259e-07 -6.433057401103467e-08 -2.1748917522720253e-06 2.232450842289929e-06 -2.9393556274196233e-06
PC6 2.628237546786045e-06 1.1200376157718299e-07 -5.6029017619273e-07 5.354840049004614e-08 -3.77160504753427e-07 3.353139034315638e-07 1.4992123361641069e-05 -1.60569076901359e-07 1.9460181312725277e-07 2.186140123231054e-07 1.2667983623293238e-08 -3.138647175274614e-07 -1.2952706224053023e-07 -1.9784184463763965e-07 -2.1906631988138014e-07 -1.6436496264882162e-07 -1.107315374946806e-07 3.131978429540583e-07 -3.502773583163508e-07 -2.8819787985186017e-07 -5.236988117816759e-07 -2.815496512334223e-06 1.0486423059357608e-06 -2.5424247177798855e-06
PC7 1.1126893780266472e-06 5.2462013717987654e-08 -7.81529437017528e-07 4.965770192899634e-07 2.91178616486605e-07 1.0697044982068473e-06 -1.605690769013591e-07 1.2817701750269767e-05 1.064581192104582e-06 -2.769156559327343e-07 -1.40471935572599e-07 1.3907525193963734e-06 4.447270117178673e-07 2.887411126663104e-07 -4.777313235749194e-07 -5.13872685733533e-07 1.3331759191437858e-08 -5.666188754446976e-07 7.67971629373832e-08 1.261095800120568e-07 -4.770147331153092e-07 -4.1883778142727715e-06 2.9863900983398324e-06 4.618241604324305e-06
PC8 2.213619111801353e-07 1.2355973997893649e-08 1.2403037809739443e-06 -1.8264172890056696e-07 -1.356137550563566e-06 -9.552570529443776e-07 1.9460181312725288e-07 1.0645811921045818e-06 1.4429886083536955e-05 4.3483858081009175e-07 5.585129051672869e-07 -8.730771360382461e-07 2.611691903182443e-07 -1.8947985787737198e-07 -5.24997895885068e-07 -4.822125711170672e-07 3.940649098999507e-07 7.198044019290701e-08 -8.387503176589086e-07 -1.7719828443964514e-07 1.3251221996063718e-07 -2.0019822508345974e-07 2.735126802217681e-06 1.1563663147564708e-06
PC9 2.186954778690594e-06 1.8668298261097958e-09 -2.246839880145855e-07 -9.66424928026799e-07 4.1239332641644073e-07 -6.082283395811379e-07 2.1861401232310524e-07 -2.7691565593273403e-07 4.3483858081009207e-07 1.2081694785159112e-05 -2.047941992853586e-07 4.064810460111806e-09 -4.523689203218828e-07 1.1395452658164882e-07 -8.958623791680208e-07 4.136234328523957e-07 3.3284285479315475e-07 5.389033245680282e-07 -4.91435897338943e-07 -2.355583096917833e-07 -7.622777969897466e-07 -1.4331534706166123e-06 -1.614696067820415e-07 -1.111625286075435e-06
PC10 -7.702347220186158e-07 1.3153433976862676e-07 4.4022509878463616e-08 -1.1085950433337602e-07 3.041160834142643e-07 -5.245482520862912e-07 1.2667983623293177e-08 -1.4047193557259882e-07 5.585129051672869e-07 -2.0479419928535882e-07 1.2748098399373926e-05 -5.225416503699584e-07 6.016032773678343e-08 -3.5566242763692257e-07 -1.0732854842662324e-07 2.209927344021623e-07 -3.806653160671296e-07 1.459873864385771e-07 2.2095835529684654e-07 5.100461964102444e-07 1.8604402612655653e-07 2.2302337608747164e-06 5.472918034244938e-06 -1.530980989805132e-06
PC11 1.12402633324894e-06 1.9936995802349762e-08 -1.8444931837866132e-07 4.4866692097397757e-07 2.821473546951132e-07 -1.0377855129474934e-06 -3.138647175274616e-07 1.3907525193963726e-06 -8.730771360382457e-07 4.064810460112067e-09 -5.225416503699584e-07 1.1995220040892624e-05 -4.671670101938345e-08 -2.181122504802347e-07 -5.728348918598366e-07 4.5442961944824795e-07 2.1390814136761655e-07 4.6356022818176854e-07 -7.186576335194344e-08 6.791011515942976e-07 1.7162435434274663e-07 -4.015202526340375e-06 2.408231757247427e-06 2.1859612572793247e-06
PC12 -3.2123855264446817e-07 5.991315150431044e-07 -1.26599569443743e-06 4.158235695831424e-08 -1.0163100973595752e-06 5.163909693508324e-07 -1.295270622405301e-07 4.447270117178672e-07 2.611691903182445e-07 -4.523689203218827e-07 6.016032773678379e-08 -4.6716701019383636e-08 1.1044440829644586e-05 1.234806971654637e-07 3.10288587644977e-08 -4.058154962947868e-07 1.6215792980103355e-07 -1.3857659512114898e-07 -1.1919925377893518e-07 -1.0884478127145563e-07 -6.347988831581849e-07 -3.349646378028271e-06 6.529109920965189e-06 6.537381898818724e-07
