 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal gpp gpm gmp gmm
intercept 0.0007619879938705173 1.5200746488191904e-07 -2.1871644149529975e-05 1.7800263832690153e-06 1.0445350055751315e-06 2.7954730435217e-07 2.5790139009138272e-06 2.472248995722245e-06 -3.762496546690842e-07 2.5440172856480827e-06 -1.2637014898693358e-06 5.025540249575313e-07 -4.5454527658416646e-07 -2.0317776549821997e-06 -1.4082322110675735e-06 -1.8563928387639534e-06 1.1938037543887426e-06 -1.1161342708446327e-06 -6.540701457583579e-07 4.3848799053045186e-07 -5.895925496057179e-07 -1.0861560978037999e-05 5.117428968616381e-05 4.956788584044148e-05 -6.954923524680292e-05 -1.9753732397680852e-05 -2.0664321826781497e-06 -9.981999158056027e-05
PC1 1.5200746488191795e-07 2.515500798649133e-06 -1.5755625968505929e-06 -3.5545390056590397e-07 -5.3295490995642965e-08 -2.964528802266444e-07 6.334578414183248e-08 1.1182701473719604e-07 3.3544883653667706e-08 -2.4797274196991423e-08 1.5467846057624557e-07 -1.4487374631120878e-08 5.75529848452732e-07 -1.394651232498089e-07 -2.59992262740784e-07 -7.002078499222038e-07 -5.922236253488805e-07 2.2763216422482202e-07 3.116965487084479e-08 1.579368635120997e-07 6.815738821931517e-09 -9.535894899961309e-08 -3.6616488652777755e-06 2.9366665655578283e-06 9.229364953590256e-07 3.623780236522506e-06 5.464689683616514e-07 -6.754087857592331e-06
PC2 -2.1871644149529992e-05 -1.5755625968505933e-06 4.663935141181102e-05 8.811512505944217e-07 1.3211690275160393e-06 -5.108992984257414e-07 -4.4725138504861634e-07 -4.809448030084125e-07 1.1173734094870398e-06 -3.4326112591922093e-07 4.558527667003094e-08 4.4802648203586574e-08 -9.553955062082352e-07 8.55584687876784e-07 -9.898275591887343e-07 3.456474768389426e-08 1.8350459802273778e-07 7.637797173476242e-07 1.446356278853135e-07 -4.2850842998842703e-07 -2.1262236679301314e-07 3.874686903687274e-06 5.058491339957326e-06 -3.3478833066670875e-06 -9.300936005229959e-06 -1.0077612432379035e-05 2.441548276633921e-06 5.049225944955199e-06
PC3 1.7800263832690145e-06 -3.554539005659039e-07 8.811512505944215e-07 4.890609425918759e-06 1.5485533645870502e-07 1.20379882736401e-06 4.185516040259856e-08 4.377372881142008e-07 -2.3234542797266892e-07 -9.091722648099225e-07 -9.495150339872579e-08 4.4352232137944174e-07 5.868435842218762e-08 -7.439551506996666e-07 1.327746287490053e-07 -2.994264353182441e-08 2.6460803259302915e-07 -3.326122383320149e-07 -5.066330487982438e-07 3.74735465776429e-07 1.0510462049561075e-07 4.792740717905239e-07 1.8970842953769577e-06 -2.724021764811025e-06 7.295548654948846e-07 -8.054116785464435e-06 -3.3801338405910757e-06 -3.980902196967687e-07
PC4 1.0445350055751296e-06 -5.3295490995642945e-08 1.3211690275160397e-06 1.5485533645870526e-07 9.090223402559025e-06 1.5568577913374585e-06 -4.1893328281221365e-07 2.3072852802786337e-07 -1.2783132491792176e-06 4.825978115638815e-07 3.4946136578936227e-07 2.42355175258505e-07 -1.0503230378074311e-06 -6.306605074426719e-07 9.396912266842271e-08 4.8134820698476665e-09 6.369651164711082e-08 -8.716311891184573e-08 -4.455518944676125e-07 -1.2711351182077186e-07 8.47570584251175e-08 1.3705273243931538e-06 -4.4043377928308514e-06 -3.240164913708195e-06 3.373726466129942e-06 -2.15542801437543e-06 2.6456458153336513e-06 -1.1848607643703032e-07
PC5 2.7954730435217126e-07 -2.964528802266443e-07 -5.10899298425742e-07 1.2037988273640104e-06 1.5568577913374585e-06 1.6293534037908182e-05 3.809092512020563e-07 9.115847775687928e-07 -7.018995409886318e-07 -5.276692793814429e-07 -3.64764571038956e-07 -8.203934901835984e-07 5.958858555238257e-07 -1.1767042688118437e-06 5.109676636455204e-07 8.559405796663797e-08 -1.1579974552656435e-07 7.641067184739751e-07 -1.5709995667578644e-07 1.4672681914830948e-07 -1.5821014155922065e-07 -1.9497488739036146e-06 4.120914736205973e-06 7.379158330672916e-07 4.509328689938531e-06 -7.905860711354668e-06 -2.7326752592399422e-06 -5.325756434710457e-06
PC6 2.57901390091383e-06 6.334578414183244e-08 -4.472513850486167e-07 4.1855160402598444e-08 -4.189332828122138e-07 3.809092512020561e-07 1.531690380392917e-05 -3.0342690442152156e-09 3.000228485738589e-07 1.5511180784063756e-07 1.0240983212959427e-07 -3.370462249578952e-07 -1.3484762125668003e-08 -1.7825054211863626e-07 -1.9494793793345473e-07 -1.2996918803577948e-07 -4.459477886161525e-08 3.1359446479713194e-07 -4.327784393642259e-07 -2.7353680199142685e-07 -5.298674003067605e-07 -2.4888790596173138e-06 5.2821406607560086e-06 -1.9991075511116915e-06 -1.7434753290400383e-05 5.089272452546972e-06 1.5301150913885577e-06 -8.274311635239598e-07
PC7 2.4722489957222444e-06 1.1182701473719605e-07 -4.809448030084123e-07 4.37737288114201e-07 2.3072852802786366e-07 9.115847775687923e-07 -3.0342690442151213e-09 1.3062831773305817e-05 9.078465224281788e-07 -2.669658834631033e-07 -1.742462473748834e-07 1.235922735774898e-06 3.893809858578146e-07 2.8017005586628245e-07 -3.366730692009022e-07 -5.003857676298216e-07 1.361390695514885e-07 -3.934982817728234e-07 5.1965602104469373e-08 3.941444671947313e-08 -4.5839215233200683e-07 -4.30105801280848e-06 5.551788116146342e-06 1.3055637841531323e-06 -1.257237950114024e-05 4.711437136323651e-06 1.444926704412169e-05 -7.1311089223686255e-06
PC8 -3.7624965466908447e-07 3.354488365366785e-08 1.1173734094870402e-06 -2.3234542797266913e-07 -1.2783132491792176e-06 -7.018995409886323e-07 3.000228485738586e-07 9.078465224281793e-07 1.44133806372105e-05 3.224673484773832e-07 3.928779763772764e-07 -7.699224433036322e-07 4.080631810436922e-07 -1.4657525207936528e-07 -5.016476192580147e-07 -4.258933019849564e-07 3.638581573200138e-07 1.097589389050167e-07 -7.290021472150685e-07 -2.542819253767127e-07 1.2736037697210804e-07 -2.58180359690418e-07 5.7564790122215715e-06 1.7023629199330172e-06 -2.6457297808809553e-06 -3.943532276932687e-06 -4.663732444946519e-06 2.339388563288308e-06
PC9 2.544017285648087e-06 -2.4797274196991314e-08 -3.4326112591922125e-07 -9.091722648099228e-07 4.82597811563882e-07 -5.276692793814425e-07 1.5511180784063754e-07 -2.669658834631029e-07 3.2246734847738297e-07 1.2419259016772568e-05 -2.0859310381619634e-07 -1.3686028359938913e-08 -4.257297297068125e-07 1.0505004462540506e-07 -7.751809036098192e-07 4.5768015738251536e-07 3.7278847576105685e-07 4.0011693023386383e-07 -5.192619741449126e-07 -2.7757189986593276e-07 -7.324198950488761e-07 -8.504571375206473e-07 2.8085252798428493e-07 2.990628483935662e-07 9.744489410039825e-06 -9.591653919891936e-06 1.9174607177538944e-06 -5.912471014050262e-06
PC10 -1.2637014898693352e-06 1.5467846057624544e-07 4.558527667003124e-08 -9.49515033987258e-08 3.494613657893623e-07 -3.6476457103895616e-07 1.0240983212959435e-07 -1.742462473748832e-07 3.928779763772766e-07 -2.0859310381619652e-07 1.253777923684991e-05 -5.034879132774195e-07 -2.932719250152682e-08 -3.7223317441998325e-07 -1.649049604383727e-08 2.0148802530888824e-07 -3.583829225595469e-07 8.580913114001006e-08 1.5697510530778715e-07 4.391263557241748e-07 9.315453311818116e-08 2.3492757176714862e-06 4.853613205144788e-06 -5.686861654783711e-07 1.5230082677906668e-06 -3.0590173790848604e-07 -5.7929587316265305e-06 3.4847072508072505e-06
