 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband
intercept 0.0005960490917805163 -1.6976354817857433e-07 -2.373763979886271e-05 1.2325674842052309e-06 -1.6414199406767464e-07 1.1237996780508879e-06 2.5760530652369986e-06 1.0874416784464712e-06 1.7094218182266954e-07 2.19801037643143e-06 -8.084138761883054e-07 1.0967043705448071e-06 -3.9576324311113395e-07 -1.1117377329638716e-06 -1.3813581747328344e-06 -2.1662067097984397e-06 7.659891981379502e-07 -2.304262725432518e-06 -9.752300956792391e-07 1.1705289241630053e-06 -1.347620724715339e-06 -7.6218608609813424e-06
PC1 -1.6976354817857414e-07 2.09996445265237e-06 -1.5456815254608453e-06 -3.2011741279983026e-07 -8.493912833213425e-08 -2.836616712970067e-07 1.1829066487920622e-07 6.024510466032783e-08 4.849286059564368e-08 -1.812350184820802e-08 1.7163218055399677e-07 7.462030707130193e-09 6.330013547145208e-07 -1.7830477556435758e-07 -2.774002695582934e-07 -7.013289417711609e-07 -6.414231967603676e-07 2.9240088929282865e-07 4.79658210164155e-08 1.8650370589349422e-07 4.258054684235442e-08 5.522123466267015e-06
PC2 -2.373763979886271e-05 -1.5456815254608455e-06 4.746512031782826e-05 9.361522440855857e-07 1.41674806465036e-06 -5.3771098119635e-07 -5.419738865242115e-07 -7.609467378952545e-07 1.2585000776811137e-06 -2.290552053944163e-07 5.094943869615558e-08 -1.737317051034163e-07 -1.2357912850035085e-06 8.045811268738141e-07 -1.143337105249663e-06 4.8019229439793474e-08 1.9985643988872371e-07 7.496234848418765e-07 1.1155698746018336e-07 -6.419060485066395e-07 -2.909186564306353e-07 3.3427882976125173e-06
PC3 1.2325674842052309e-06 -3.201174127998305e-07 9.361522440855857e-07 4.175870386641826e-06 1.6902601492184689e-07 1.2565109559163268e-06 2.371156021672605e-08 5.129630204124847e-07 -1.984163279056535e-07 -9.624555841675521e-07 -1.2525198221328187e-07 4.6621688791020777e-07 2.7533116649754183e-08 -7.401111939330126e-07 8.705081222301652e-08 -2.1811873445340747e-08 2.2532242488836515e-07 -4.850826212969853e-07 -5.467557702408854e-07 4.745744077107545e-07 1.1407544153959652e-07 -4.98109016596337e-06
PC4 -1.641419940676748e-07 -8.493912833213425e-08 1.4167480646503595e-06 1.690260149218468e-07 7.764298473714046e-06 1.7136762291353038e-06 -3.851432864654154e-07 3.0731037483886384e-07 -1.3276169020987233e-06 3.984835793252486e-07 3.5055574835495267e-07 2.826195274514771e-07 -9.809270027099755e-07 -6.327691913488216e-07 3.099398608412626e-08 -1.1770750904890275e-08 8.593188872455204e-08 3.3771127994104247e-08 -5.41899034441316e-07 -1.643532997220844e-07 1.0732965238889274e-07 1.9539702774327215e-06
PC5 1.1237996780508877e-06 -2.836616712970068e-07 -5.377109811963494e-07 1.2565109559163272e-06 1.7136762291353045e-06 1.5657990283665196e-05 3.018854165672577e-07 1.07077829246403e-06 -9.704706884529278e-07 -6.095035262118719e-07 -5.449300880079225e-07 -1.0368599838936593e-06 4.853803591224134e-07 -1.3443597175349516e-06 5.518847460516081e-07 8.691157752977733e-08 -1.052657818073277e-07 8.154966456530453e-07 -2.45274260806168e-07 2.923256834570161e-07 -3.8715729947460936e-08 -3.531115184299366e-06
PC6 2.5760530652369974e-06 1.1829066487920622e-07 -5.419738865242109e-07 2.3711560216725783e-08 -3.851432864654153e-07 3.0188541656725755e-07 1.4973775187304012e-05 -1.5460371930379825e-07 2.0622921275725176e-07 2.001409985332954e-07 2.520375507335865e-08 -3.2524260685119267e-07 -1.3877012048147558e-07 -1.941521211984964e-07 -2.482319033905831e-07 -1.6538979576104708e-07 -9.280359266934123e-08 3.006916472995319e-07 -3.5367495076598436e-07 -2.670436239255071e-07 -4.895061975859757e-07 4.3034552868358784e-07
PC7 1.087441678446473e-06 6.024510466032784e-08 -7.609467378952555e-07 5.129630204124845e-07 3.073103748388639e-07 1.0707782924640303e-06 -1.5460371930379807e-07 1.2801439364561602e-05 1.057533345082573e-06 -2.759762942936397e-07 -1.3924675721108775e-07 1.370534877063659e-06 4.2860236355602716e-07 2.7978984336405196e-07 -4.5280523799189636e-07 -5.224741310473348e-07 4.102962955164984e-08 -5.66069961774265e-07 8.204368593832883e-08 1.1196494238158057e-07 -4.906062225051018e-07 4.6174630389985244e-07
PC8 1.709421818226714e-07 4.849286059564373e-08 1.2585000776811128e-06 -1.984163279056534e-07 -1.327616902098724e-06 -9.704706884529283e-07 2.0622921275725215e-07 1.0575333450825734e-06 1.4442505626283398e-05 4.3206286228203246e-07 5.384489315914533e-07 -8.831577436202116e-07 2.502692637927657e-07 -2.008126910150393e-07 -5.118344955513794e-07 -4.89917635451022e-07 4.1408545614582303e-07 7.431941970819774e-08 -8.495780435529965e-07 -1.9851435918219123e-07 1.2562234725569026e-07 2.826932763789234e-06
PC9 2.1980103764314306e-06 -1.8123501848207888e-08 -2.2905520539441656e-07 -9.624555841675521e-07 3.9848357932524865e-07 -6.095035262118719e-07 2.0014099853329526e-07 -2.759762942936394e-07 4.3206286228203246e-07 1.2091218113519403e-05 -1.976284915038375e-07 3.4950543940258328e-09 -4.582804219100874e-07 1.2640571639544684e-07 -9.110379467537681e-07 4.121508927459353e-07 3.340923801875058e-07 5.311625044340356e-07 -4.888728986160275e-07 -2.2205967530392006e-07 -7.484560513120373e-07 -1.8276441875064763e-06
PC10 -8.084138761883061e-07 1.7163218055399663e-07 5.0949438696155656e-08 -1.2525198221328187e-07 3.5055574835495246e-07 -5.449300880079225e-07 2.5203755073358453e-08 -1.3924675721108794e-07 5.384489315914535e-07 -1.976284915038376e-07 1.2683645658018536e-05 -5.232843490450322e-07 1.839964566908674e-08 -3.4097612206526324e-07 -9.861373765017014e-08 1.8866641895139615e-07 -3.599559030778545e-07 1.4537589480068077e-07 1.9031711890967773e-07 4.6933418978550917e-07 1.788887491980278e-07 2.028112592500101e-06
PC11 1.0967043705448052e-06 7.462030707130238e-09 -1.737317051034165e-07 4.6621688791020756e-07 2.8261952745147703e-07 -1.03685998389366e-06 -3.2524260685119304e-07 1.3705348770636594e-06 -8.831577436202117e-07 3.4950543940258266e-09 -5.232843490450323e-07 1.1994712989170566e-05 -6.748269892482952e-08 -2.0887365414354128e-07 -5.669084396022803e-07 4.4251273434237334e-07 2.3324347461419576e-07 4.578744860816347e-07 -6.58177973405026e-08 6.787820097633277e-07 1.7461629993847934e-07 -1.4472169756799766e-06
