 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal gpp gpm gmp gmm
intercept 0.0006019005816155156 -2.3301642809815192e-07 -2.4177591435393914e-05 1.3985606859454493e-06 2.5841359829140165e-07 1.6931934821700696e-06 2.4405116558035634e-06 1.0209461090134533e-06 3.789476545413801e-07 1.8255432604888682e-06 -7.703574355232205e-07 1.1577551258150108e-06 -1.0426399502165872e-07 -1.2833653265517686e-06 -1.5680895215390938e-06 -1.8265160469793551e-06 1.2809690924992175e-06 -2.313178061989624e-06 -1.217648843615866e-06 1.1455514752115509e-06 -1.6775686424885112e-06 -6.0449639531184395e-06 -1.9636509429042844e-05 2.0097674696449646e-06 8.617954563416464e-05 -6.448105639850562e-05 -4.3028285400321976e-05 5.514091777026956e-05
PC1 -2.3301642809815134e-07 2.072389704655412e-06 -1.5914014337282613e-06 -2.960968143551988e-07 -1.0402576678503022e-07 -2.73150819210653e-07 1.1057023280870288e-07 3.860802953722707e-08 3.1018402734754345e-08 1.2264459853428301e-08 1.2324386352814672e-07 2.7179888536458388e-08 6.235922949459563e-07 -1.6105160123794075e-07 -2.678283436317303e-07 -7.307381025232792e-07 -6.668166543880648e-07 2.8952463424161026e-07 7.236493213890945e-08 1.7946549090812576e-07 4.9800412858623946e-08 3.230678112237681e-07 8.955045870271747e-07 2.729477233887619e-06 -6.304977936965942e-07 4.310944780929188e-06 -4.266911044295177e-06 -4.1867987855865547e-07
PC2 -2.4177591435393914e-05 -1.5914014337282609e-06 4.77556618118299e-05 9.047239944999692e-07 1.3494454848479492e-06 -5.21897009706156e-07 -4.179132431701921e-07 -8.097656290479149e-07 1.184161266806488e-06 -1.111932890125772e-07 4.8693667242638956e-08 -2.482277925590528e-07 -1.2999247680815088e-06 8.463852884742772e-07 -1.2159243461135546e-06 -7.574604846888373e-08 1.571180144738134e-07 7.424590155251285e-07 1.28429968539545e-07 -6.802562819072842e-07 -2.895004058471099e-07 3.2086597040969266e-06 8.492937894378678e-08 -4.358877702429611e-06 -1.5251745422345686e-05 4.687403802447753e-06 2.2453890575508863e-05 1.6758388107001791e-06
PC3 1.3985606859454495e-06 -2.960968143551988e-07 9.047239944999686e-07 4.204759530184012e-06 2.0637655256582975e-07 1.2505789337220715e-06 -1.038850925418546e-08 5.387560126954229e-07 -1.7878828541824068e-07 -1.023211006032788e-06 -5.5669129422416295e-08 4.826062182660166e-07 4.761190502803954e-08 -7.406715736035545e-07 9.78926641241198e-08 2.9956093358651385e-09 2.500772993347957e-07 -4.971163699903914e-07 -5.797169632639996e-07 4.936243876115587e-07 1.1197550601850553e-07 -1.2066139224771056e-06 -2.9984374525186835e-06 -1.995799972362391e-06 8.632387739597424e-07 -2.8375713726218256e-06 -4.072585462774023e-06 1.5963214554703155e-06
PC4 2.584135982914024e-07 -1.0402576678503014e-07 1.3494454848479486e-06 2.0637655256582964e-07 7.83730129611413e-06 1.7805119632729115e-06 -3.7595254282676026e-07 2.933007943704625e-07 -1.3225625418751676e-06 4.024842273515988e-07 3.352565144660832e-07 2.8997648609528657e-07 -9.395198866957339e-07 -6.427352467146302e-07 -7.811113492368415e-11 -1.4807379681017982e-08 1.2971724173698335e-07 3.384908365429499e-08 -5.297826804549265e-07 -1.7637665939804468e-07 7.37115377901672e-08 -6.569480753937687e-07 -4.709423504177455e-06 -2.4818641231066807e-06 8.297986909835542e-06 3.159653061743898e-06 -6.11777897254071e-06 9.47008662178149e-06
PC5 1.693193482170069e-06 -2.7315081921065295e-07 -5.218970097061564e-07 1.2505789337220709e-06 1.7805119632729117e-06 1.5771106169154304e-05 3.161117592228815e-07 1.0473880626818749e-06 -9.194039315041592e-07 -6.223226540440215e-07 -5.266338087601795e-07 -1.0675666897143564e-06 5.178266708269357e-07 -1.360557018536488e-06 4.852726405571871e-07 1.0624309109133575e-07 -1.9393340306662117e-08 8.248301253789713e-07 -2.8464946449814226e-07 2.7839945240398154e-07 -8.806104232143863e-08 -6.745778522637022e-07 1.0249321515843608e-06 -3.6319939169888975e-06 2.230604345684135e-06 -8.207766173757095e-06 -1.4149515579122735e-06 1.3958776890984992e-05
PC6 2.440511655803567e-06 1.1057023280870281e-07 -4.17913243170192e-07 -1.0388509254185616e-08 -3.7595254282676073e-07 3.1611175922288133e-07 1.5097575573253314e-05 -1.7196736542367553e-07 1.698950055036936e-07 2.7840456510027334e-07 1.647462916367516e-08 -3.834557859071084e-07 -1.350742942510348e-07 -2.0571233051576716e-07 -3.0918793094064156e-07 -2.2741381753906164e-07 -9.133044147631672e-08 3.0697285393511387e-07 -3.179175362386291e-07 -2.975661875798177e-07 -5.052320939896353e-07 1.8214985241651314e-06 -4.382382387624637e-06 -6.241436810608282e-06 -1.4637337205908353e-06 8.273431081184612e-06 1.3231938228549068e-05 5.119889366112077e-06
PC7 1.0209461090134533e-06 3.86080295372271e-08 -8.097656290479139e-07 5.387560126954229e-07 2.933007943704624e-07 1.0473880626818742e-06 -1.719673654236752e-07 1.2910516629556831e-05 1.0517268366550086e-06 -3.079497554777593e-07 -1.1608827437462953e-07 1.399938451928253e-06 4.2715741554980243e-07 3.014604918819906e-07 -3.957523934458432e-07 -4.774712232349611e-07 6.793530233950551e-09 -5.62280837427601e-07 6.850369439124667e-08 1.3468935328779687e-07 -4.906150882628345e-07 4.08828955920708e-06 -2.2539857554680776e-06 -5.676952524113923e-06 5.237400948120021e-06 -3.143815517569233e-06 2.6291088173817083e-06 -7.082820235113409e-06
PC8 3.789476545413808e-07 3.101840273475439e-08 1.184161266806488e-06 -1.7878828541824084e-07 -1.3225625418751682e-06 -9.194039315041598e-07 1.6989500550369324e-07 1.0517268366550082e-06 1.4497273944926065e-05 4.348971098805713e-07 5.013683341854025e-07 -8.676769590197597e-07 2.513810052745937e-07 -1.839079289283846e-07 -5.137702875319514e-07 -4.679742674307584e-07 4.3233121796284917e-07 8.651242299647516e-08 -8.619155686269303e-07 -1.9841214193264386e-07 1.1134464215474645e-07 -1.5078660431779472e-07 5.636336285178733e-06 8.927713839378135e-07 -3.776097130212739e-07 -4.4968515813844535e-06 -7.6160160143927085e-06 4.558300774652168e-06
PC9 1.8255432604888684e-06 1.2264459853428283e-08 -1.1119328901257707e-07 -1.0232110060327877e-06 4.024842273515987e-07 -6.223226540440219e-07 2.784045651002735e-07 -3.079497554777591e-07 4.3489710988057075e-07 1.2191178110682423e-05 -2.0966697010108093e-07 -5.723610720312516e-08 -4.650815789551588e-07 1.1644369218347082e-07 -9.685804323789205e-07 3.520802974605221e-07 3.346680787625401e-07 5.462283574636088e-07 -4.5394002246483223e-07 -2.4638722108295814e-07 -7.427916882123146e-07 -6.208897813712584e-09 2.1847579027845696e-06 -4.219352248960578e-06 -1.0545681895745937e-05 9.262304180450204e-06 8.726515476619384e-06 5.779929619765261e-06
PC10 -7.70357435523221e-07 1.2324386352814658e-07 4.86936672426395e-08 -5.5669129422416216e-08 3.352565144660828e-07 -5.266338087601796e-07 1.647462916367527e-08 -1.1608827437462961e-07 5.013683341854028e-07 -2.0966697010108099e-07 1.2751152197463935e-05 -5.031336970756228e-07 -3.713066066423534e-09 -2.8266815191956024e-07 -8.837216110191488e-08 1.5838077606227855e-07 -3.8468118529306216e-07 1.2339993889666502e-07 1.6514062501058714e-07 4.805343214858682e-07 1.7693346164706244e-07 1.3129241609365401e-06 -3.537247269032067e-06 -3.607978662612587e-06 -3.982731405244273e-06 -1.4869181434903414e-06 2.468835423541833e-06 -5.2852391800123e-07
PC11 1.1577551258150137e-06 2.7179888536458523e-08 -2.482277925590536e-07 4.826062182660169e-07 2.899764860952865e-07 -1.0675666897143562e-06 -3.834557859071082e-07 1.3999384519282526e-06 -8.6767695901976e-07 -5.723610720312517e-08 -5.031336970756225e-07 1.2058937916729576e-05 -5.38086737756384e-08 -2.143787024970919e-07 -5.091505573488185e-07 4.628780168020702e-07 2.235651714184935e-07 4.389760636121828e-07 -8.979124560904425e-08 6.949580717674804e-07 1.9081636298002953e-07 2.150686305791279e-06 -2.2608204724972572e-06 2.4035828623822597e-06 3.6904859541469743e-06 -2.197943824460401e-06 -9.755253556477195e-06 -3.6601269039391446e-06
PC12 -1.0426399502165877e-07 6.235922949459561e-07 -1.299924768081509e-06 4.761190502803946e-08 -9.39519886695734e-07 5.178266708269362e-07 -1.3507429425103472e-07 4.2715741554980227e-07 2.5138100527459385e-07 -4.650815789551588e-07 -3.7130660664232313e-09 -5.380867377563859e-08 1.1057960756150656e-05 1.1052543089489161e-07 2.75756274247198e-08 -4.2998172990229254e-07 2.3019257437724922e-07 -1.4848980794538776e-07 -1.2247789759309535e-07 -1.405601867734367e-07 -6.480185307348764e-07 2.8174032646598453e-07 -4.6315793889933274e-06 -6.746287069097984e-07 9.68049284766111e-06 2.7628458612313466e-06 -5.279423535255367e-06 4.1973793349357084e-06
PC13 -1.28336532655177e-06 -1.6105160123794075e-07 8.463852884742775e-07 -7.406715736035541e-07 -6.427352467146305e-07 -1.3605570185364885e-06 -2.0571233051576682e-07 3.014604918819905e-07 -1.839079289283848e-07 1.1644369218347104e-07 -2.826681519195605e-07 -2.143787024970919e-07 1.1052543089489149e-07 1.1451343477350099e-05 -6.198656350425477e-07 9.831064532482653e-07 2.632120854790195e-07 1.6691266067504393e-07 -2.2536032055163552e-07 6.91279464410635e-08 1.6713074609744597e-07 7.933448473718165e-07 2.4944230935244947e-06 -3.5102570284644926e-06 -1.0462280320568084e-05 -2.8342453030858002e-06 2.305215357959971e-06 6.557732920478261e-07
PC14 -1.5680895215390946e-06 -2.678283436317306e-07 -1.2159243461135559e-06 9.789266412411992e-08 -7.811113492390213e-11 4.852726405571873e-07 -3.091879309406416e-07 -3.957523934458432e-07 -5.137702875319513e-07 -9.685804323789207e-07 -8.837216110191487e-08 -5.091505573488183e-07 2.757562742471965e-08 -6.198656350425476e-07 1.195789391995026e-05 -1.683490858491559e-07 6.378687594914224e-08 -7.354150552070996e-08 1.20032708863406e-07 -1.0366077588452269e-07 3.8036595911038295e-08 3.6286768572966575e-06 -1.3616602145283772e-06 2.6561983554916536e-06 3.399948486768576e-06 -1.8344592063408264e-06 -6.420335967272828e-06 -1.1047925605732949e-05
PC15 -1.8265160469793547e-06 -7.30738102523279e-07 -7.574604846888439e-08 2.9956093358651203e-09 -1.4807379681017947e-08 1.0624309109133587e-07 -2.2741381753906132e-07 -4.774712232349611e-07 -4.6797426743075865e-07 3.5208029746052184e-07 1.5838077606227868e-07 4.628780168020701e-07 -4.2998172990229254e-07 9.83106453248266e-07 -1.6834908584915607e-07 1.1441460171738266e-05 4.7307960752626766e-07 -6.911472253421264e-07 -2.3651577840562572e-07 -1.395868295373312e-07 2.4051407507944822e-08 -4.2168349833013705e-06 4.513524648257007e-06 2.9155244192663076e-06 1.3744568890521202e-05 -1.143343097087678e-05 -2.5169990946037063e-06 -6.8194061424528195e-06
PC16 1.2809690924992177e-06 -6.668166543880649e-07 1.5711801447381402e-07 2.500772993347956e-07 1.2971724173698338e-07 -1.9393340306662372e-08 -9.13304414763167e-08 6.793530233950159e-09 4.3233121796284927e-07 3.346680787625405e-07 -3.846811852930623e-07 2.2356517141849374e-07 2.301925743772491e-07 2.632120854790195e-07 6.378687594914212e-08 4.7307960752626766e-07 1.1613721843173519e-05 -4.785586304612169e-07 -2.9174589497513285e-08 -5.980183303622605e-07 -1.5060945934047404e-07 -2.8153524585650674e-06 3.919745902599061e-07 1.9404318310321026e-07 6.408275613956663e-06 -3.9367972674011765e-06 -3.463913312872659e-06 9.12560531615633e-06
PC17 -2.3131780619896226e-06 2.8952463424161037e-07 7.424590155251279e-07 -4.971163699903915e-07 3.384908365429492e-08 8.248301253789713e-07 3.069728539351139e-07 -5.622808374276013e-07 8.651242299647497e-08 5.462283574636092e-07 1.2339993889666513e-07 4.38976063612183e-07 -1.4848980794538773e-07 1.6691266067504338e-07 -7.35415055207099e-08 -6.911472253421263e-07 -4.785586304612172e-07 1.0461337350038971e-05 3.7728653163316425e-07 -1.8262365881193165e-07 7.811282594578298e-08 -2.4173187867924314e-06 3.6468168518698484e-06 -6.376664614555651e-07 1.0502320181431365e-06 -9.886443392084632e-07 2.6964666382278767e-06 -3.359206590713464e-08
PC18 -1.2176488436158663e-06 7.236493213890948e-08 1.2842996853954517e-07 -5.797169632639994e-07 -5.297826804549262e-07 -2.8464946449814205e-07 -3.1791753623862886e-07 6.850369439124642e-08 -8.619155686269305e-07 -4.539400224648322e-07 1.6514062501058696e-07 -8.97912456090441e-08 -1.2247789759309527e-07 -2.2536032055163542e-07 1.2003270886340596e-07 -2.3651577840562575e-07 -2.9174589497513308e-08 3.772865316331643e-07 1.0424882176036879e-05 -1.9434807576307263e-07 1.697225211944983e-08 -2.521220115960494e-06 -1.463911880290375e-06 2.004406247006515e-07 1.5867235833886385e-06 9.934007708873665e-06 2.571434700023927e-06 -9.465866304024022e-07
