 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal
intercept 0.0005274835004286894 -1.9402891516003285e-07 -2.3264074577695954e-05 1.0803697945054125e-06 -5.585340628631406e-07 1.670559732296005e-06 2.6976497230026837e-06 4.832453367801755e-07 3.384084229450507e-07 1.930151026333047e-06 -3.6524660988570863e-07 1.4298326061973605e-06 -3.901895762915067e-07 -6.925246853198726e-07 -1.2765047577361163e-06 -2.184159148027886e-06 5.087497867305176e-07 -2.567361518300309e-06 -1.0358489380926901e-06 1.1480535513554074e-06 -1.409725779609934e-06 -5.878580226334908e-06 -9.528212838404252e-06 5.633681781341308e-06
PC1 -1.9402891516003193e-07 1.8507821044331237e-06 -1.5118610749830875e-06 -2.5709658856333785e-07 -1.1938825186504422e-07 -2.1532766873079088e-07 1.3733525645915812e-07 1.631223332996291e-08 2.0468206342908995e-08 3.326702882648547e-08 1.1121338324575642e-07 2.427990501860498e-08 5.918596925633915e-07 -1.4174234900252595e-07 -2.7633710302840374e-07 -6.927198059658843e-07 -6.479777003421465e-07 3.085749243006653e-07 5.950113866663201e-08 1.7314834417572446e-07 4.488804533174854e-08 3.726157371122477e-07 1.7980906346619212e-06 1.2746883214669243e-06
PC2 -2.3264074577695957e-05 -1.511861074983087e-06 4.580565649390974e-05 9.369463027058181e-07 1.3960329942032804e-06 -5.692038146555398e-07 -4.980102492110915e-07 -8.129292222168544e-07 1.213256856028557e-06 -1.7165745739742773e-07 -2.4950242174393568e-08 -2.1832653105809864e-07 -1.2924524561953318e-06 7.582738687359683e-07 -1.197941998275049e-06 -1.580617892615594e-08 1.9561643069272074e-07 6.669330485296741e-07 9.049062668768661e-08 -7.202223922938086e-07 -3.1418412295215047e-07 3.298347245726099e-06 -2.226248697601357e-06 3.4195366259073512e-06
PC3 1.0803697945054125e-06 -2.570965885633378e-07 9.369463027058179e-07 3.826520626947716e-06 2.0121794201540088e-07 1.1842310988251807e-06 2.025974500013698e-08 5.546471231100805e-07 -1.640848560782567e-07 -9.941833967351116e-07 -5.259952357253388e-08 4.6308472323526003e-07 4.3098102120275376e-08 -7.148448603744087e-07 9.115939807435625e-08 -1.6685756292180752e-08 2.20316812208493e-07 -5.222487730673521e-07 -5.542362062729796e-07 4.944302821176875e-07 1.1952447641721774e-07 -1.2053305207449302e-06 -3.641470002854255e-06 -2.7235221149371846e-06
PC4 -5.5853406286314e-07 -1.1938825186504428e-07 1.3960329942032812e-06 2.012179420154009e-07 6.986405888552415e-06 1.7120016069115688e-06 -3.5440189242890496e-07 2.8007462116474984e-07 -1.309529234256292e-06 3.563356781026864e-07 3.08097598301941e-07 2.879466601882887e-07 -9.458418251156421e-07 -5.733541795115531e-07 7.501849174529428e-09 -3.203137527638142e-08 7.016457425219533e-08 1.0922300102420807e-07 -5.360777011604464e-07 -1.688838451740333e-07 1.2737121124435117e-07 -7.182320102124266e-07 8.471707048740881e-08 -3.602491825680058e-07
PC5 1.670559732296005e-06 -2.1532766873079112e-07 -5.692038146555396e-07 1.184231098825181e-06 1.7120016069115688e-06 1.4711762056617396e-05 2.8062252856617577e-07 1.1181768487543851e-06 -9.710141937181343e-07 -6.413986651264164e-07 -5.600845869047436e-07 -1.0246507735366893e-06 4.172144700607212e-07 -1.3985148208815794e-06 5.426828089836514e-07 1.108207780268218e-07 -6.183495812867904e-08 7.72208678494479e-07 -2.5040329387489546e-07 3.3488496219642174e-07 -1.1387433303495171e-08 -1.1922876976479943e-06 4.157359870147849e-08 1.7035299471865155e-07
PC6 2.697649723002685e-06 1.3733525645915815e-07 -4.980102492110917e-07 2.025974500013708e-08 -3.5440189242890496e-07 2.8062252856617587e-07 1.421645355469444e-05 -1.7799904273828228e-07 1.8360292778113935e-07 2.1547051095396605e-07 -1.1997995041588483e-08 -3.1802285657133126e-07 -1.6469013168041103e-07 -2.2096273694730988e-07 -2.515660852369719e-07 -1.8261244774881945e-07 -9.134883987741242e-08 2.8267029141778193e-07 -3.336457786157484e-07 -2.6562116500427943e-07 -4.7129744730629145e-07 1.8584817904403177e-06 1.0574687746885687e-07 9.076889431622103e-07
PC7 4.832453367801758e-07 1.6312233329962895e-08 -8.129292222168546e-07 5.546471231100806e-07 2.8007462116475e-07 1.1181768487543851e-06 -1.7799904273828239e-07 1.2228984896799096e-05 1.0380729560251296e-06 -2.5142930771507643e-07 -1.0689500669529905e-07 1.4003046256928633e-06 3.9229129773701916e-07 3.2939197424807e-07 -4.42765079359761e-07 -5.031390922528389e-07 -1.6867935756563573e-08 -5.606353992285318e-07 7.886017374576985e-08 1.3125125386061052e-07 -4.558188340723592e-07 4.489651271493794e-06 -1.7698954228768209e-06 -7.349148092151187e-06
PC8 3.3840842294505066e-07 2.0468206342909104e-08 1.213256856028557e-06 -1.6408485607825664e-07 -1.3095292342562917e-06 -9.71014193718134e-07 1.8360292778113964e-07 1.03807295602513e-06 1.3810440660663912e-05 4.805647228615194e-07 5.310207654315276e-07 -8.881920294641304e-07 1.822945664914366e-07 -1.8805467629191687e-07 -4.947215954122063e-07 -4.7318321620097463e-07 4.046257386708793e-07 1.0310692132797043e-07 -8.158159497575995e-07 -1.6599933169134282e-07 1.1564770239325181e-07 -5.801525200105989e-07 4.045403718891384e-06 -6.608814300826068e-07
PC9 1.9301510263330485e-06 3.326702882648556e-08 -1.7165745739742773e-07 -9.941833967351122e-07 3.5633567810268646e-07 -6.413986651264166e-07 2.1547051095396602e-07 -2.514293077150766e-07 4.805647228615193e-07 1.1473620912402113e-05 -2.4553968734086505e-07 2.033913808217934e-08 -4.2751348956548046e-07 9.283380115454771e-08 -8.929279306137249e-07 3.89344417295859e-07 2.7868141047680076e-07 5.676121748781878e-07 -4.424213691136962e-07 -1.9841883618445216e-07 -7.152354993898253e-07 3.1706007832998324e-08 2.4482975733661443e-06 9.74589655310381e-07
PC10 -3.65246609885705e-07 1.1121338324575632e-07 -2.495024217439367e-08 -5.2599523572533866e-08 3.080975983019408e-07 -5.600845869047441e-07 -1.1997995041588419e-08 -1.0689500669529905e-07 5.310207654315278e-07 -2.455396873408651e-07 1.2254534160325142e-05 -4.819622558378203e-07 1.9267290259316248e-08 -2.487406318769608e-07 -1.200921407088814e-07 1.678411879704759e-07 -3.7807390211056894e-07 1.5370626907868093e-07 1.9796500898315815e-07 4.629798620572038e-07 1.9766736897182862e-07 1.6371155891377996e-06 -5.1926215591567e-06 -3.1779307505573846e-06
PC11 1.4298326061973608e-06 2.4279905018605012e-08 -2.1832653105809925e-07 4.630847232352598e-07 2.8794666018828874e-07 -1.0246507735366898e-06 -3.180228565713313e-07 1.4003046256928635e-06 -8.881920294641309e-07 2.0339138082179592e-08 -4.819622558378203e-07 1.139820632304643e-05 -7.04398149311931e-08 -2.342328571203672e-07 -5.958293185319785e-07 4.376692976144856e-07 2.2235305289004063e-07 4.343491471015172e-07 -1.2375057593097346e-07 6.424213046263819e-07 1.391695210235749e-07 2.4552720629901287e-06 -3.019831088244006e-06 -2.081433711875354e-06
PC12 -3.9018957629151054e-07 5.918596925633918e-07 -1.2924524561953318e-06 4.309810212027537e-08 -9.458418251156419e-07 4.1721447006072176e-07 -1.646901316804112e-07 3.9229129773701927e-07 1.8229456649143678e-07 -4.2751348956548046e-07 1.9267290259317e-08 -7.043981493119337e-08 1.0430229524651962e-05 2.1012832014718043e-07 7.638208281524198e-08 -3.761028534933378e-07 2.1356949040123043e-07 -1.0990737907358174e-07 -1.1845643104583134e-07 -1.2362587409535433e-07 -5.938178967570092e-07 4.361915616647831e-07 -1.2575481614769727e-07 -3.714741838926639e-07
PC13 -6.925246853198726e-07 -1.417423490025259e-07 7.582738687359685e-07 -7.148448603744086e-07 -5.73354179511553e-07 -1.3985148208815788e-06 -2.2096273694730986e-07 3.293919742480702e-07 -1.8805467629191698e-07 9.283380115454785e-08 -2.487406318769608e-07 -2.3423285712036742e-07 2.1012832014718061e-07 1.0865889814734145e-05 -5.967123023872409e-07 9.786008518551868e-07 3.075219075999839e-07 1.3718576362747532e-07 -2.3189624457889137e-07 8.7236890096672e-08 1.0432284972187148e-07 8.424034582725142e-07 -2.6762865402362968e-06 -3.274338874367955e-06
PC14 -1.2765047577361142e-06 -2.7633710302840395e-07 -1.1979419982750497e-06 9.115939807435624e-08 7.50184917452958e-09 5.426828089836515e-07 -2.5156608523697203e-07 -4.4276507935976123e-07 -4.947215954122069e-07 -8.929279306137248e-07 -1.2009214070888134e-07 -5.95829318531979e-07 7.638208281524194e-08 -5.967123023872409e-07 1.1332486207185823e-05 -2.431284796956702e-07 1.377609448516487e-07 -9.662486218644824e-08 1.2560428034980044e-07 -1.5599401056891124e-07 -5.6692566367663694e-08 3.6898219534859544e-06 -2.1818366576004857e-06 -3.0844524391905314e-06
PC15 -2.1841591480278863e-06 -6.927198059658844e-07 -1.5806178926155837e-08 -1.668575629218102e-08 -3.2031375276381366e-08 1.1082077802682132e-07 -1.8261244774881985e-07 -5.03139092252839e-07 -4.731832162009749e-07 3.8934441729585945e-07 1.678411879704759e-07 4.3766929761448563e-07 -3.7610285349333784e-07 9.78600851855188e-07 -2.431284796956708e-07 1.0840163094801913e-05 4.5023572104858155e-07 -6.810582683231162e-07 -2.7136280634315023e-07 -1.7346138453806125e-07 1.0801898179010956e-08 -4.300019614513167e-06 4.96196122138615e-06 -3.6862420913273006e-07
PC16 5.087497867305139e-07 -6.479777003421467e-07 1.9561643069272048e-07 2.2031681220849296e-07 7.016457425219559e-08 -6.18349581286789e-08 -9.134883987741209e-08 -1.686793575656336e-08 4.04625738670879e-07 2.786814104768008e-07 -3.7807390211056884e-07 2.223530528900407e-07 2.1356949040123048e-07 3.07521907599984e-07 1.3776094485164864e-07 4.5023572104858187e-07 1.1041778652948198e-05 -4.89399673855014e-07 -8.68001687489573e-09 -5.244833772456325e-07 -4.5904434247761675e-08 -2.8797359834144976e-06 1.7815222496587317e-06 1.8295335410864302e-06
PC17 -2.5673615183003097e-06 3.0857492430066545e-07 6.66933048529674e-07 -5.222487730673523e-07 1.0922300102420793e-07 7.722086784944795e-07 2.826702914177818e-07 -5.60635399228532e-07 1.0310692132797051e-07 5.676121748781883e-07 1.5370626907868087e-07 4.343491471015171e-07 -1.0990737907358188e-07 1.3718576362747524e-07 -9.662486218644825e-08 -6.810582683231165e-07 -4.89399673855014e-07 9.974639215320874e-06 3.6361398091552043e-07 -1.6570181272493764e-07 4.036610522951052e-08 -2.6656561531477673e-06 3.950575714003141e-06 3.5032272494993825e-07
PC18 -1.0358489380926897e-06 5.950113866663198e-08 9.049062668768635e-08 -5.542362062729797e-07 -5.360777011604462e-07 -2.5040329387489567e-07 -3.336457786157481e-07 7.886017374577002e-08 -8.158159497575999e-07 -4.424213691136959e-07 1.979650089831582e-07 -1.2375057593097333e-07 -1.1845643104583158e-07 -2.3189624457889118e-07 1.2560428034980041e-07 -2.713628063431504e-07 -8.68001687489579e-09 3.6361398091552043e-07 9.882671172841635e-06 -1.483457862790103e-07 -1.7044228666408614e-08 -2.001362749148483e-06 2.613000387281462e-06 1.565461163132288e-06
PC19 1.1480535513554079e-06 1.7314834417572457e-07 -7.202223922938091e-07 4.944302821176876e-07 -1.688838451740335e-07 3.3488496219642143e-07 -2.656211650042795e-07 1.3125125386061036e-07 -1.6599933169134293e-07 -1.9841883618445194e-07 4.6297986205720396e-07 6.424213046263823e-07 -1.2362587409535425e-07 8.723689009667217e-08 -1.5599401056891118e-07 -1.7346138453806107e-07 -5.244833772456325e-07 -1.6570181272493764e-07 -1.4834578627901018e-07 1.0151438670536143e-05 6.494060176952428e-07 -1.133650813332514e-06 3.91634230505894e-08 -9.29363156802045e-07
PC20 -1.4097257796099317e-06 4.488804533174832e-08 -3.141841229521501e-07 1.1952447641721792e-07 1.2737121124435152e-07 -1.1387433303495113e-08 -4.712974473062914e-07 -4.558188340723592e-07 1.1564770239325169e-07 -7.152354993898245e-07 1.976673689718287e-07 1.391695210235751e-07 -5.938178967570095e-07 1.0432284972187133e-07 -5.6692566367663555e-08 1.080189817901133e-08 -4.590443424776163e-08 4.0366105229510416e-08 -1.7044228666408978e-08 6.494060176952427e-07 9.266280642667794e-06 1.3901823084302131e-07 7.479110749729924e-08 5.928374264914156e-07
proband -5.878580226334871e-06 3.7261573711224643e-07 3.298347245726097e-06 -1.2053305207449255e-06 -7.182320102124273e-07 -1.192287697647994e-06 1.858481790440317e-06 4.489651271493791e-06 -5.801525200106015e-07 3.170600783299785e-08 1.6371155891377994e-06 2.4552720629901266e-06 4.361915616647844e-07 8.4240345827251e-07 3.6898219534859565e-06 -4.300019614513166e-06 -2.879735983414495e-06 -2.665656153147764e-06 -2.0013627491484856e-06 -1.1336508133325123e-06 1.3901823084302248e-07 0.0009333861974695519 -0.0004570649197869076 -0.0004604775922240118
paternal -9.528212838404281e-06 1.798090634661924e-06 -2.2262486976013586e-06 -3.641470002854258e-06 8.471707048740876e-08 4.157359870147805e-08 1.0574687746885675e-07 -1.7698954228768175e-06 4.0454037188913865e-06 2.448297573366142e-06 -5.192621559156699e-06 -3.0198310882440035e-06 -1.2575481614769753e-07 -2.676286540236293e-06 -2.1818366576004853e-06 4.961961221386147e-06 1.7815222496587292e-06 3.950575714003138e-06 2.6130003872814636e-06 3.916342305058953e-08 7.47911074972982e-08 -0.0004570649197869076 0.000740016513292464 0.0002413406997683941
maternal 5.633681781341279e-06 1.2746883214669256e-06 3.4195366259073546e-06 -2.723522114937187e-06 -3.6024918256800426e-07 1.7035299471865255e-07 9.076889431622121e-07 -7.349148092151186e-06 -6.608814300826035e-07 9.745896553103796e-07 -3.1779307505573846e-06 -2.0814337118753515e-06 -3.7147418389266495e-07 -3.2743388743679544e-06 -3.0844524391905344e-06 -3.6862420913272815e-07 1.8295335410864306e-06 3.503227249499369e-07 1.5654611631322904e-06 -9.29363156802045e-07 5.92837426491415e-07 -0.000460477592224012 0.00024134069976839423 0.0007224081091172092
