 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal
intercept 0.000522430555440747 -2.0848596418500931e-07 -2.355430104621682e-05 1.0151992805070917e-06 -5.394990843710404e-07 1.4515162350877557e-06 2.8231573276085566e-06 8.285853142385487e-07 3.347176642778986e-07 1.8189938719609493e-06 -5.402013885326232e-07 1.5245170227536483e-06 -4.7132775014243586e-07 -7.968118342896516e-07 -1.4938503509036187e-06 -2.1868576847361665e-06 1.2459542346287316e-07 -2.5801826050044734e-06 -7.290367668239656e-07 1.1287186390657158e-06 -1.2081262459028672e-06 -2.348806094279247e-06 -1.5864546723709998e-05 2.3503196250932184e-05
PC1 -2.0848596418500833e-07 1.8367385761785798e-06 -1.5250375530874752e-06 -2.5382988892313744e-07 -1.296492103214138e-07 -2.0955369955950747e-07 1.145218867973359e-07 3.011252791067228e-08 2.676629628950822e-08 4.7705573509506143e-08 1.428287853507212e-07 2.5931343037703835e-08 5.848469063355284e-07 -1.2808946399597984e-07 -2.7845975632451535e-07 -6.831316832271791e-07 -6.20494551622502e-07 3.032004196362867e-07 3.417310915018244e-08 1.8700450082863217e-07 4.5521462887552935e-08 4.0224825615666416e-07 2.672018700378167e-06 -3.9109209978438833e-07
PC2 -2.3554301046216823e-05 -1.5250375530874748e-06 4.56003377683385e-05 9.364270707300425e-07 1.4728434773946066e-06 -6.615154447029491e-07 -4.259726319918675e-07 -7.05133859097632e-07 1.1831579923780946e-06 -2.796071612040653e-07 -1.3304164372306225e-07 -1.9038083619843581e-07 -1.26829331530293e-06 8.436192542103257e-07 -1.1792750097119464e-06 4.182382973637293e-08 9.791282116041909e-08 6.036621936458011e-07 1.0640313531894127e-07 -6.810629155399316e-07 -3.684137469592478e-07 3.5363491541559783e-06 -3.2300197015198307e-06 1.234887475406873e-06
PC3 1.015199280507092e-06 -2.5382988892313754e-07 9.364270707300431e-07 3.7019818549123395e-06 2.0024384682261423e-07 1.1748371077268805e-06 6.414081490717436e-08 5.538434815813317e-07 -1.6885801788736034e-07 -9.714888608525217e-07 -6.76019385120096e-08 4.4956143999259396e-07 6.623275921303517e-08 -7.208225238021198e-07 9.57841554863735e-08 -5.2421674283844605e-08 2.526399455227165e-07 -4.892218039899576e-07 -5.278254151369895e-07 4.5497716418483963e-07 1.3092532218382507e-07 -5.102424341431259e-07 -2.0444750428379726e-07 -1.811558253633569e-06
PC4 -5.394990843710395e-07 -1.2964921032141384e-07 1.4728434773946061e-06 2.0024384682261428e-07 6.958384151264093e-06 1.736985212646401e-06 -3.261768521648189e-07 2.421576598260397e-07 -1.304597072408289e-06 3.719722185173395e-07 2.8067589690993794e-07 2.8652806783695256e-07 -9.38871203135796e-07 -5.458038329060632e-07 -1.360406296111943e-08 -7.70094574351381e-08 3.658793059984647e-08 1.0505098022389439e-07 -5.302275301938987e-07 -1.7924523072198905e-07 1.5056100604711633e-07 1.8030880395592603e-06 -3.611699529269424e-06 -1.5150027385302997e-06
PC5 1.4515162350877593e-06 -2.0955369955950747e-07 -6.615154447029493e-07 1.1748371077268807e-06 1.736985212646401e-06 1.4635867166947402e-05 3.3313317530174945e-07 1.1783399573962295e-06 -9.683386673990428e-07 -6.163917924744201e-07 -5.465651900242966e-07 -9.651058537947912e-07 3.81822659359804e-07 -1.3915659740652181e-06 5.466415832667302e-07 1.3511519073846485e-07 6.4032531285628484e-09 7.306581052658148e-07 -2.3880749248747716e-07 3.2965271433790647e-07 -4.0938102875100706e-08 -7.883436197124582e-07 1.2244262334619945e-06 -3.7747454532137607e-06
PC6 2.8231573276085566e-06 1.1452188679733577e-07 -4.259726319918678e-07 6.414081490717442e-08 -3.2617685216481884e-07 3.3313317530174934e-07 1.4131323656710545e-05 -1.5101691510242073e-07 2.115444042025492e-07 2.5565199232216074e-07 4.072013374270853e-08 -3.421210052604966e-07 -1.6378284420754575e-07 -1.8847791839930406e-07 -2.3538573840551648e-07 -1.5937363437489274e-07 -9.036987894732791e-08 2.6034765148062653e-07 -3.9809210311838253e-07 -2.234906600980236e-07 -4.750340120134204e-07 -1.4854334803901963e-07 -4.1699492266888984e-07 -3.421746689326857e-07
PC7 8.285853142385497e-07 3.011252791067226e-08 -7.051338590976319e-07 5.538434815813315e-07 2.421576598260396e-07 1.1783399573962287e-06 -1.5101691510242078e-07 1.210391230599624e-05 1.0109925600501245e-06 -2.1346994808568478e-07 -8.188863879770949e-08 1.3894684860873823e-06 3.583257218282906e-07 3.3100500776152385e-07 -4.720519321408589e-07 -5.518086939511727e-07 1.6725235910912795e-08 -5.138719646694059e-07 7.685209781509732e-08 1.1280584607753762e-07 -4.0720634120658617e-07 4.146323633342416e-06 -3.005174222360594e-06 -3.502662365073808e-06
PC8 3.3471766427789845e-07 2.67662962895081e-08 1.1831579923780946e-06 -1.6885801788736013e-07 -1.3045970724082885e-06 -9.683386673990424e-07 2.115444042025494e-07 1.0109925600501245e-06 1.370465962277577e-05 4.216051247397019e-07 5.253702573506335e-07 -8.583836993898757e-07 1.9446135817662232e-07 -1.5915574051662504e-07 -5.03523758339352e-07 -5.004506815092895e-07 4.016463517444656e-07 1.3414029118467524e-07 -7.976920057963735e-07 -1.703290369555287e-07 1.2956890154541285e-07 1.2095317921816972e-06 5.625096591958948e-07 2.183786344366226e-06
PC9 1.8189938719609487e-06 4.7705573509506084e-08 -2.7960716120406503e-07 -9.714888608525215e-07 3.7197221851733963e-07 -6.163917924744202e-07 2.556519923221609e-07 -2.1346994808568491e-07 4.216051247397019e-07 1.1454189160351774e-05 -2.834121169853017e-07 3.5155647043407207e-08 -4.25690510538214e-07 1.1151182691799858e-07 -8.452286901211852e-07 3.957192726926639e-07 2.5032864949900147e-07 5.680093893240288e-07 -4.274068354749342e-07 -2.034183941537963e-07 -7.393470877753143e-07 -8.096035141705109e-07 1.3866211568013633e-06 -1.7080170912356787e-06
PC10 -5.402013885326258e-07 1.428287853507213e-07 -1.3304164372306177e-07 -6.760193851200962e-08 2.806758969099381e-07 -5.465651900242971e-07 4.072013374270825e-08 -8.188863879770942e-08 5.253702573506339e-07 -2.834121169853016e-07 1.207318871646127e-05 -4.944698751051585e-07 -5.132077573016913e-09 -2.5731126328862266e-07 -1.442167889323349e-07 2.0314437548730117e-07 -3.61064981155744e-07 1.912574965815244e-07 2.5337867074170694e-07 4.6361151710107094e-07 1.9921724811665423e-07 2.02918122344562e-06 5.398252778767463e-07 -2.312059385409629e-06
PC11 1.5245170227536477e-06 2.593134303770382e-08 -1.9038083619843513e-07 4.4956143999259417e-07 2.8652806783695256e-07 -9.651058537947912e-07 -3.4212100526049666e-07 1.3894684860873823e-06 -8.583836993898755e-07 3.515564704340717e-08 -4.944698751051584e-07 1.1339395179276283e-05 -4.562300617972832e-08 -2.574798040460146e-07 -6.082250945946033e-07 4.169094342063962e-07 2.2733006923069998e-07 4.3223910169271496e-07 -8.74847383448024e-08 6.194743188667876e-07 1.2989064066404792e-07 -4.161077764103114e-07 1.0902245717444335e-08 -4.980478485308091e-07
PC12 -4.7132775014243517e-07 5.848469063355286e-07 -1.26829331530293e-06 6.623275921303516e-08 -9.388712031357962e-07 3.818226593598039e-07 -1.6378284420754575e-07 3.583257218282907e-07 1.9446135817662274e-07 -4.256905105382138e-07 -5.132077573016767e-09 -4.562300617972843e-08 1.0347291064488224e-05 2.0854413420237134e-07 7.275645249586907e-08 -3.54795512753085e-07 2.497611763792078e-07 -8.487704724177647e-08 -1.2123402344191786e-07 -1.6295517448593683e-07 -5.650097396264086e-07 -8.126308235945365e-07 -7.570562955610873e-08 1.3425426884845608e-06
PC13 -7.968118342896522e-07 -1.2808946399597952e-07 8.436192542103256e-07 -7.2082252380212e-07 -5.458038329060632e-07 -1.3915659740652185e-06 -1.8847791839930398e-07 3.3100500776152327e-07 -1.5915574051662494e-07 1.1151182691799873e-07 -2.5731126328862224e-07 -2.5747980404601483e-07 2.0854413420237118e-07 1.0877964441186812e-05 -6.009769825786082e-07 9.831231805354103e-07 2.751613555297261e-07 9.953649586330368e-08 -2.1194366255124552e-07 4.417930936843637e-08 7.55388883429928e-08 5.0615848508799155e-06 -7.023477231468143e-06 -6.801807957030912e-06
