 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal gpp gpm gmp gmm
intercept 0.0006352681103543807 -2.5794342229034724e-07 -2.3664237103248994e-05 1.2052327991266433e-06 3.5094367657625344e-07 4.3198046809258524e-07 2.834023173246863e-06 1.7508641676039912e-06 1.0393765646202435e-07 2.398098606303251e-06 -1.2942478140050172e-06 9.543365491355727e-07 -3.6913667152963014e-07 -1.499750177137646e-06 -1.942355954037729e-06 -2.1749569771873476e-06 3.916773706690031e-07 -2.271562051664515e-06 -1.2280767759342732e-06 1.2772238160787055e-06 -9.691990817746708e-07 -3.1547334666203416e-06 -1.8660221297083416e-06 -2.8839210663536396e-05 -6.419357830507995e-06 -5.844173449450794e-05 6.733132766965592e-05 6.683294943291956e-05
PC1 -2.5794342229034745e-07 2.1673415652942596e-06 -1.6088144172528208e-06 -3.049603090172534e-07 -1.1196090732097208e-07 -2.668413024781696e-07 8.2557279411115e-08 7.57371860027329e-08 4.14752438745401e-08 4.534085419091803e-09 1.9033704371861316e-07 1.2377544053781606e-08 6.173138620729072e-07 -1.5400839985713914e-07 -2.7233622315318e-07 -7.192714961266396e-07 -6.167483572396937e-07 2.7788825973888875e-07 7.04559295417972e-08 2.1117841250465791e-07 2.5960961814760258e-08 5.366018967562865e-07 1.0020472559141587e-06 -9.159886651456611e-07 -1.6230675622211196e-07 5.16011187451505e-06 2.262000813216493e-06 -2.1530335381319676e-06
PC2 -2.3664237103248987e-05 -1.608814417252821e-06 4.749479859969316e-05 9.241691704876162e-07 1.40847422089849e-06 -6.054129438358461e-07 -4.638281991665932e-07 -6.180825042145566e-07 1.1989038198894884e-06 -3.360411656631196e-07 -7.585935688460174e-08 -7.759784539918606e-08 -1.1535315316121265e-06 9.223999963746364e-07 -1.0817501792774418e-06 4.4525850233249345e-08 9.913498271297606e-08 6.793905734359347e-07 1.2512384857721127e-07 -5.798599866898576e-07 -3.4106478331441577e-07 3.0767932944946845e-06 -1.374064066748859e-06 3.0020235862965204e-06 -1.0744793805146096e-06 -1.975197659963447e-06 7.778369531659351e-07 -3.850735991533067e-06
PC3 1.2052327991266435e-06 -3.0496030901725333e-07 9.241691704876163e-07 4.276582920856255e-06 1.975168502555114e-07 1.222378816994901e-06 2.536569807844414e-08 4.928049214559538e-07 -2.390261610114214e-07 -9.709581144010451e-07 -8.006175331964704e-08 4.517383317766978e-07 5.257705566558565e-08 -7.638348168488983e-07 1.0290248760660013e-07 -2.212116335853791e-08 2.832180623406683e-07 -4.331841002154548e-07 -5.412361793408747e-07 4.277794858356068e-07 1.1770017082521005e-07 -7.195974502520787e-07 -1.431743019100834e-06 -9.026955538795851e-08 3.3749481089469664e-06 6.77483737910686e-07 -5.519414605298151e-06 7.667768782459183e-07
PC4 3.509436765762559e-07 -1.1196090732097207e-07 1.4084742208984894e-06 1.9751685025551145e-07 8.170609431306343e-06 1.7699360723809166e-06 -3.8163260864459254e-07 2.211193114057408e-07 -1.331295842049728e-06 4.687460355870764e-07 3.358790405952171e-07 2.631049534295362e-07 -9.65978239000743e-07 -6.473681349521211e-07 -1.4658033786152341e-09 -5.864646403048923e-08 7.224656537466539e-08 8.32137720403964e-09 -5.437683773825045e-07 -1.7085789050303135e-07 1.2704769800195548e-07 1.986883955003106e-06 -5.424461177084991e-06 -4.50500690360863e-06 -2.314440876368864e-06 6.016550791543747e-06 -5.312455666573012e-06 1.1942912351786872e-05
PC5 4.3198046809258376e-07 -2.6684130247816967e-07 -6.05412943835845e-07 1.2223788169949014e-06 1.7699360723809168e-06 1.594880343801932e-05 3.8268263817053295e-07 1.061793066941482e-06 -9.243053458001252e-07 -5.942530135943229e-07 -4.865358752662712e-07 -9.547922635042187e-07 5.207380579337632e-07 -1.3078443300347373e-06 5.624597294774589e-07 9.849157557025245e-08 -1.6505945504341414e-08 7.995701157052557e-07 -2.343843433783348e-07 2.56452410138853e-07 -7.222310358388848e-08 -4.10164241027744e-07 3.633714060910709e-06 -2.8864126672199028e-06 -1.3915832231672824e-05 7.577585252838979e-06 -4.117295087579123e-06 3.262017086297038e-06
PC6 2.8340231732468643e-06 8.25572794111149e-08 -4.638281991665937e-07 2.536569807844418e-08 -3.8163260864459276e-07 3.8268263817053285e-07 1.5187939923956433e-05 -9.18555342003228e-08 2.8894122132385545e-07 2.4328299312663545e-07 7.420281106897676e-08 -3.4582091031806286e-07 -9.512044053771804e-08 -1.652425081694064e-07 -2.3490839774601277e-07 -1.8860573395344726e-07 -1.0201198226511928e-07 2.669053691580225e-07 -4.4909457031396463e-07 -2.1832848955814672e-07 -4.7666124858065496e-07 -5.788862142958751e-09 3.1468215542408603e-06 -5.107160921619058e-06 -1.1544193637492012e-05 -1.0152949550473723e-06 1.0803017097604868e-05 3.0743255302394202e-06
PC7 1.7508641676039912e-06 7.573718600273284e-08 -6.180825042145563e-07 4.928049214559542e-07 2.2111931140574088e-07 1.0617930669414826e-06 -9.185553420032263e-08 1.297947007328209e-05 1.0089873709746606e-06 -2.5778984911206756e-07 -1.2793558061538294e-07 1.3642592877877047e-06 4.0477897920798174e-07 3.708824487579855e-07 -4.123460992381257e-07 -5.238904355923916e-07 2.8487837953880953e-08 -5.134013562867744e-07 1.9467468676482634e-08 9.78641624726961e-08 -4.809482379100118e-07 3.3004816058411262e-06 3.397273469556588e-06 -2.1519391869985584e-06 -4.530077358972613e-06 -1.0784766723679442e-05 7.296848538606371e-06 -7.394803909174435e-06
PC8 1.0393765646201896e-07 4.147524387454007e-08 1.1989038198894886e-06 -2.390261610114212e-07 -1.3312958420497285e-06 -9.243053458001249e-07 2.889412213238555e-07 1.0089873709746606e-06 1.4486313491710223e-05 4.0395284383359234e-07 4.508464116149247e-07 -8.546438052428554e-07 2.8625808245926555e-07 -1.6536566973827158e-07 -5.272004671627196e-07 -4.838066013186074e-07 3.785194594811096e-07 1.1835650400710099e-07 -8.167312671752377e-07 -2.2225093772160622e-07 1.5070305799125202e-07 1.2838278715202234e-06 -7.943586919394941e-10 -1.3759692516240392e-06 -9.464039219010999e-07 1.4287308649490203e-07 5.286906205708291e-06 3.7122088296314723e-06
PC9 2.398098606303252e-06 4.534085419091787e-09 -3.3604116566311973e-07 -9.709581144010447e-07 4.687460355870763e-07 -5.942530135943227e-07 2.432829931266355e-07 -2.5778984911206713e-07 4.039528438335928e-07 1.2263818183032472e-05 -2.3271675633010372e-07 -1.3911922599086552e-08 -4.5051874780827965e-07 9.988662855547669e-08 -8.908370355992962e-07 4.2443226836963397e-07 3.593019050424895e-07 5.163165236223641e-07 -4.982193018879176e-07 -2.4430742515166403e-07 -7.584218237831806e-07 -5.956187501941767e-07 1.5672969903911047e-06 -4.076880942398772e-06 -1.4804742332374607e-06 -5.4812634579216493e-08 1.6538243841544023e-06 4.5690502135147865e-06
PC10 -1.2942478140050187e-06 1.903370437186131e-07 -7.585935688460097e-08 -8.0061753319647e-08 3.3587904059521675e-07 -4.865358752662708e-07 7.420281106897687e-08 -1.2793558061538288e-07 4.5084641161492506e-07 -2.3271675633010356e-07 1.2649484537018566e-05 -5.000397916341773e-07 -1.2328121815982247e-08 -3.079847268544782e-07 -6.147208717540325e-08 1.9076967172165625e-07 -3.647713978114527e-07 1.3261418573232249e-07 2.546721074897119e-07 4.784889949829872e-07 1.53799418324574e-07 2.000539379279496e-06 -2.867425457133115e-06 -3.0579771613610358e-06 -6.301923910504953e-07 9.168743754026758e-06 2.1168994061172782e-06 -2.464816492410746e-06
PC11 9.54336549135574e-07 1.2377544053781679e-08 -7.759784539918664e-08 4.5173833177669795e-07 2.6310495342953617e-07 -9.54792263504218e-07 -3.45820910318063e-07 1.3642592877877053e-06 -8.546438052428555e-07 -1.3911922599086636e-08 -5.000397916341771e-07 1.2132398126333318e-05 -2.6878778945066113e-08 -1.9976218980625478e-07 -5.175204653654137e-07 4.205254862245795e-07 2.4361443391737785e-07 4.556516944941838e-07 -2.750896005310213e-08 6.587332239578016e-07 1.7951348546100574e-07 -8.198770324914533e-07 2.7839865073655453e-06 1.2774952721262742e-06 -4.613046047005867e-06 -3.4540154818703606e-07 -2.028878193037271e-06 -2.0645246261807344e-06
PC12 -3.691366715296309e-07 6.173138620729072e-07 -1.153531531612126e-06 5.257705566558567e-08 -9.659782390007423e-07 5.207380579337633e-07 -9.512044053771769e-08 4.0477897920798185e-07 2.862580824592652e-07 -4.5051874780827986e-07 -1.2328121815982308e-08 -2.6878778945066288e-08 1.1102427805149419e-05 8.94878345960999e-08 5.480287346400509e-09 -4.6422709736415447e-07 2.3260896570531345e-07 -1.2743551191404639e-07 -1.4324072297400745e-07 -1.8217165008440572e-07 -6.037369218341314e-07 -9.386681098563321e-07 -5.654119906332216e-08 -7.955617263874344e-07 -4.30027858402601e-06 3.7123709590775688e-06 4.4924280777221906e-07 4.423629447861461e-06
PC13 -1.4997501771376467e-06 -1.5400839985713914e-07 9.223999963746358e-07 -7.638348168488983e-07 -6.47368134952121e-07 -1.3078443300347375e-06 -1.6524250816940665e-07 3.708824487579851e-07 -1.6536566973827155e-07 9.988662855547666e-08 -3.0798472685447855e-07 -1.997621898062544e-07 8.948783459609983e-08 1.1638744515459055e-05 -5.816572913625552e-07 1.0054338751235943e-06 2.1166654229421043e-07 1.4865877500898055e-07 -1.6454538712800843e-07 1.6373743175507055e-08 1.5144159503970684e-07 5.091667363876871e-06 -2.5741744616011264e-06 -3.2755755042572775e-06 -6.237677085400826e-06 -4.485481920835125e-06 2.1465039166535362e-06 -9.057543213095124e-06
PC14 -1.9423559540377297e-06 -2.723362231531802e-07 -1.081750179277441e-06 1.0290248760660002e-07 -1.465803378614996e-09 5.624597294774589e-07 -2.349083977460131e-07 -4.123460992381256e-07 -5.272004671627197e-07 -8.90837035599296e-07 -6.147208717540333e-08 -5.175204653654138e-07 5.480287346400253e-09 -5.81657291362555e-07 1.2004256320695821e-05 -1.8054062726175653e-07 1.0538478318160665e-07 -3.948804402207474e-08 1.8946342427265965e-07 -1.0964480964693877e-07 2.9105770212717573e-08 2.078601101506947e-06 -1.6671428709861759e-06 1.2949501768665443e-06 -3.553575578660807e-06 4.492452317293514e-06 -2.6677380265654656e-06 -6.696922808433772e-06
PC15 -2.174956977187346e-06 -7.192714961266396e-07 4.45258502332494e-08 -2.2121163358537875e-08 -5.864646403048905e-08 9.849157557025274e-08 -1.8860573395344718e-07 -5.23890435592392e-07 -4.838066013186073e-07 4.244322683696344e-07 1.9076967172165622e-07 4.205254862245788e-07 -4.6422709736415437e-07 1.0054338751235936e-06 -1.8054062726175676e-07 1.136452108376205e-05 4.558569439185325e-07 -6.861534700518616e-07 -1.9170579737749e-07 -1.6769902957016768e-07 6.713450963955412e-08 -2.856580541244399e-07 1.925276963487173e-06 2.8003745256181783e-06 7.765463591867368e-06 -6.082648297517226e-06 -7.103706983357347e-06 -3.4135716493882166e-06
