 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal
intercept 0.000645536764277342 2.703349681195031e-08 -2.4338209113320877e-05 1.1955503796730366e-06 3.072541224190233e-07 6.67314882012522e-07 2.7185542620839765e-06 1.360090641585699e-06 -4.494519488863282e-07 2.1527085267480834e-06 -1.1368916665362243e-06 8.260739303592867e-07 -5.718645952317151e-07 -1.46693746491787e-06 -1.6828593457902038e-06 -2.031678885001845e-06 5.349369020785552e-07 -1.99972768019249e-06 -5.252094988724555e-07 9.691780864910274e-07 -8.219804497764441e-07 -3.5578960619475235e-06 -2.1025143086305502e-05 2.1767293896817646e-05
PC1 2.703349681195083e-08 2.2183707075651823e-06 -1.5675805471466134e-06 -3.337776987334007e-07 -1.0300556503202379e-07 -2.5088080012493844e-07 9.007206345132649e-08 8.139208115779011e-08 7.993473947282954e-08 2.2223420809313003e-08 1.5391361516829355e-07 7.601842752091522e-09 6.124091711052934e-07 -1.6225521996961221e-07 -2.9131037215749154e-07 -7.225876333091383e-07 -6.422432423538086e-07 2.747094924935625e-07 3.84736908686605e-08 1.961970287263633e-07 4.350160421376554e-08 4.577118505916645e-07 2.9963737166930705e-06 -3.615171285066942e-07
PC2 -2.4338209113320887e-05 -1.5675805471466132e-06 4.7939711059454884e-05 9.042193769210386e-07 1.4790634977487517e-06 -6.398893101728455e-07 -5.007559185561598e-07 -5.530314026741324e-07 1.172463003701108e-06 -3.604184785764009e-07 -3.5033959469276904e-08 -1.1685156916996663e-07 -1.198142451240445e-06 8.674539827835226e-07 -1.1437018365643853e-06 7.76152416761641e-08 9.581794325480117e-08 7.264853406137145e-07 1.9549094716762793e-07 -5.157210904231698e-07 -3.0866634504328656e-07 3.0936947115716643e-06 -2.5239286737750633e-06 2.0645865583657288e-06
PC3 1.1955503796730373e-06 -3.337776987334008e-07 9.042193769210394e-07 4.334463593894023e-06 1.8292938782587527e-07 1.2837971652185932e-06 4.147657381723632e-08 5.070411730539024e-07 -2.134806328373668e-07 -1.0017985629330203e-06 -8.582615791410212e-08 4.5567578962666635e-07 1.0662454413899123e-07 -7.566192017202575e-07 1.0795727993491136e-07 -2.659595326845011e-08 2.4579279989274956e-07 -4.357546163593858e-07 -5.500362096071011e-07 4.429244175046989e-07 1.364961675582358e-07 -7.978917672277947e-07 -4.4107126910148747e-08 -1.9408574408391273e-06
PC4 3.0725412241902304e-07 -1.0300556503202367e-07 1.479063497748752e-06 1.8292938782587516e-07 8.36075128105846e-06 1.7336031242325517e-06 -3.9288651669849776e-07 2.601692367978866e-07 -1.2862978240894168e-06 4.054575202701933e-07 3.6677080885622893e-07 3.1754514266079204e-07 -1.0138731391439488e-06 -6.361555902516456e-07 2.0192120206368095e-08 -5.2841268953913585e-08 4.4015627839982085e-08 -1.1662523206000608e-08 -5.165571195002665e-07 -1.5392169552277118e-07 1.4544122890646633e-07 2.095854896520774e-06 -4.119049240004804e-06 -1.9465613935194956e-06
PC5 6.673148820125243e-07 -2.5088080012493844e-07 -6.398893101728453e-07 1.2837971652185935e-06 1.7336031242325517e-06 1.612723005820417e-05 3.8402365837642356e-07 1.1575758059949951e-06 -8.441515915956556e-07 -5.727981258657862e-07 -4.749564502363674e-07 -9.412675668710712e-07 5.049367382183422e-07 -1.3313664510758696e-06 5.264863652008267e-07 9.779127832249437e-08 -3.0563567220703976e-08 7.542621897893747e-07 -1.9333576284509352e-07 2.5364646718766475e-07 -1.1172525008602364e-07 -5.800176107684066e-07 1.2138479376207477e-06 -3.447414264992324e-06
PC6 2.7185542620839757e-06 9.007206345132629e-08 -5.007559185561599e-07 4.147657381723661e-08 -3.9288651669849723e-07 3.840236583764237e-07 1.5315259418440232e-05 -5.2488036328523236e-08 2.3683185929506428e-07 2.64063822388868e-07 6.025486466360313e-08 -3.7007656716529486e-07 -1.0111716340797355e-07 -1.0511638737332948e-07 -2.4342849813940845e-07 -1.5829931499614932e-07 -1.2074779799324478e-07 3.014541841101712e-07 -4.0837498945235645e-07 -2.106546588749336e-07 -5.394532233829094e-07 -3.4338818677371516e-08 -5.756042753309451e-07 -6.642998798405755e-07
PC7 1.3600906415856987e-06 8.13920811577901e-08 -5.53031402674132e-07 5.070411730539024e-07 2.6016923679788636e-07 1.1575758059949947e-06 -5.2488036328522944e-08 1.3051661061027535e-05 9.403691051485875e-07 -2.0691059307294933e-07 -1.2328666138562665e-07 1.2984087645004783e-06 3.484039014409126e-07 2.873836234256109e-07 -4.0971790730936917e-07 -5.50624369992977e-07 5.640512595647803e-08 -4.811071740020747e-07 8.787564310302406e-08 7.399112475185825e-08 -4.5519812648006225e-07 3.3331786181360007e-06 -2.6186837069901536e-06 -2.6630174963763656e-06
PC8 -4.4945194888632703e-07 7.993473947282963e-08 1.1724630037011077e-06 -2.1348063283736684e-07 -1.2862978240894177e-06 -8.441515915956557e-07 2.368318592950644e-07 9.403691051485881e-07 1.4655005538774916e-05 3.7444446492466606e-07 4.0912157676510167e-07 -8.46384421943449e-07 3.1758134121458363e-07 -1.131162518752715e-07 -5.122088169190923e-07 -4.5972762617584665e-07 3.522989241727839e-07 1.2862181814222022e-07 -8.231838791808899e-07 -2.076062307997109e-07 9.216931955850368e-08 1.0715572953010288e-06 1.4273172654405633e-07 2.1128852542206942e-06
PC9 2.1527085267480855e-06 2.222342080931308e-08 -3.604184785764008e-07 -1.0017985629330207e-06 4.054575202701932e-07 -5.727981258657859e-07 2.640638223888678e-07 -2.0691059307294926e-07 3.744444649246661e-07 1.249727591887305e-05 -2.415607313711094e-07 -2.777712979316543e-08 -4.2698295871176566e-07 7.728113570300278e-08 -8.370927149471025e-07 4.306475797442687e-07 3.6177319228923393e-07 5.368094536667147e-07 -4.820641454652818e-07 -2.6251152949407233e-07 -7.549337164034527e-07 -3.552579625021846e-07 1.4007330675813483e-06 -1.851762704122866e-06
