 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband
intercept 0.0011008102451700627 -7.960389185127909e-08 -4.353702188014692e-05 4.152225363758556e-07 6.304766947004814e-07 2.076783292244537e-06 5.578246401369279e-06 2.524601599276727e-06 -2.8944286192914364e-06 3.0831914848307737e-06 -1.3266741344525078e-06 -1.0227015992596304e-06 -1.8213530843623962e-06 -4.7518464519058904e-07 -3.156772691507676e-06 -3.1922250960747177e-06 -9.869429677895932e-07 -1.8754817864159905e-06 -2.552890175384405e-07 -1.0889403779340367e-06 -2.3931227930757387e-06 -4.015741357831355e-05
PC1 -7.960389185127952e-08 3.6696743824942266e-06 -2.549633747078553e-06 -3.5002319518936195e-07 4.923493157789877e-08 -3.361790134843517e-07 1.8510331587684943e-08 2.228477328958033e-07 2.543413155339978e-07 3.0860299080679358e-09 2.767552694058714e-07 -1.1162078398263763e-07 1.144125060988501e-06 -3.8750871843388825e-07 -5.88599537879507e-07 -1.2799690419315995e-06 -8.43095900480988e-07 2.5109159543147294e-07 2.438250008863916e-07 5.079489665856221e-07 3.318753357874103e-07 2.6498671951972604e-06
PC2 -4.353702188014693e-05 -2.549633747078553e-06 7.671485694027837e-05 2.2621631280407023e-06 1.6075970512485265e-06 -4.585332322944494e-07 -1.527938915639399e-06 -1.5413600397581309e-06 7.712447738724484e-07 -1.1131568342180296e-06 -1.0326917379409868e-06 1.4564882510122132e-07 -2.10367877240295e-06 2.1610859481568606e-06 -4.530418777367214e-08 4.931470459102103e-07 5.66297470933914e-07 1.054774442037277e-06 1.5756507391009743e-08 -7.50310770326637e-07 -1.4217965143504903e-06 4.670583307475884e-06
PC3 4.152225363758567e-07 -3.500231951893618e-07 2.2621631280407027e-06 7.772702119975654e-06 3.442504321563606e-07 2.1046281291610663e-06 -3.9117846210246485e-07 1.2229532850280699e-06 -5.082119475736956e-07 -1.4905562105469105e-06 -2.3693885142438706e-07 7.236290227631503e-07 3.055863273466948e-08 -1.3176100113760459e-06 1.332307758379309e-07 2.998033116729833e-07 6.5596159342214e-07 -1.0570548660506377e-06 -7.469780771084294e-07 8.092965505993115e-07 3.510526708320793e-07 1.8643143062857897e-05
PC4 6.304766947004799e-07 4.923493157789843e-08 1.6075970512485265e-06 3.442504321563605e-07 1.3144165894824602e-05 2.6619313102494077e-06 -2.9951370372573275e-07 7.625953177260663e-08 -2.061091908315169e-06 7.751008912827711e-07 4.0984905886793513e-07 9.225213453695143e-07 -1.378560211486198e-06 -1.1750291362703816e-06 4.4543204161197885e-07 1.5301102246849047e-08 4.7875467162339e-07 -9.553388062179445e-08 -8.703421273409887e-07 -1.4669476155510745e-07 9.962048249974219e-08 -4.706691465960483e-06
PC5 2.076783292244534e-06 -3.361790134843515e-07 -4.5853323229444897e-07 2.104628129161065e-06 2.6619313102494073e-06 2.5225196667984025e-05 9.600430631229254e-07 9.362456461274202e-07 -1.4635512711043127e-06 -1.4975470882145731e-06 -5.121358636270249e-07 -1.4699693031120587e-06 7.745032864282596e-07 -1.80273116270525e-06 2.6808083131779517e-07 6.012221443643614e-07 -3.600545358116526e-07 5.545769051938163e-07 -1.8474293083491454e-07 1.192008470164663e-07 -2.7461266398958157e-07 -2.3367591149200362e-07
PC6 5.578246401369276e-06 1.8510331587685095e-08 -1.5279389156393968e-06 -3.911784621024641e-07 -2.995137037257335e-07 9.60043063122925e-07 2.2709754619591487e-05 -3.5026090575502673e-08 2.3435429477347715e-07 7.221373240711348e-07 6.228467111896283e-07 -2.1848976049942425e-07 -3.189524342573382e-07 -3.4035904863972433e-07 -6.063752583173375e-07 7.603993435597234e-07 -6.742267355668754e-07 4.022963157962773e-07 -5.039825722423381e-07 -6.003459884938172e-07 -1.0165651732292799e-06 -2.3641929333395465e-06
PC7 2.524601599276726e-06 2.2284773289580314e-07 -1.5413600397581324e-06 1.2229532850280694e-06 7.62595317726068e-08 9.362456461274201e-07 -3.502609057550209e-08 2.0830641225244952e-05 1.2079148817388624e-06 9.013051122315799e-08 1.8571721565158513e-07 1.860682583757169e-06 1.5448517745706507e-07 2.1213652100253628e-07 1.0040159577599267e-07 -8.504706884492394e-07 6.089503822687962e-07 -1.4849725562598989e-06 -1.852466085375365e-07 3.8012151083745344e-07 -2.0967770989216907e-07 4.736930915241389e-06
PC8 -2.894428619291439e-06 2.54341315533998e-07 7.712447738724468e-07 -5.082119475736956e-07 -2.061091908315169e-06 -1.4635512711043127e-06 2.3435429477347686e-07 1.2079148817388637e-06 2.3514190776535864e-05 7.645271649485566e-07 7.511513329840893e-07 -1.0060415130016758e-06 1.0634217973323055e-06 -5.768911215629471e-07 -1.4404675768682282e-06 -1.2794489059844018e-06 9.480384844940695e-07 1.1575264211238518e-06 -8.5300248474511e-07 -1.3146735051381289e-06 4.5331333402820704e-07 -2.5502702210482523e-06
PC9 3.083191484830774e-06 3.0860299080677112e-09 -1.1131568342180287e-06 -1.4905562105469103e-06 7.75100891282771e-07 -1.497547088214573e-06 7.221373240711356e-07 9.013051122315796e-08 7.645271649485566e-07 1.9294102098179502e-05 -4.973566513907808e-07 9.304396015732655e-08 -7.7606012296964e-07 -2.4142555317597774e-07 -7.577205651058594e-07 5.241010731319889e-08 8.445071852422175e-07 9.147217852741807e-07 -7.071453012157631e-07 -9.483899976224153e-07 -1.1459394697977776e-06 4.746833022894341e-06
PC10 -1.326674134452512e-06 2.7675526940587134e-07 -1.0326917379409863e-06 -2.369388514243867e-07 4.098490588679351e-07 -5.121358636270254e-07 6.22846711189628e-07 1.8571721565158534e-07 7.511513329840896e-07 -4.973566513907811e-07 2.034950090411632e-05 -3.9601040226636294e-07 -4.924055930850038e-07 -2.178253927031554e-07 -6.55428063016451e-08 6.267237625316154e-07 -6.925861469002205e-07 6.694575949453104e-07 2.416846006094731e-07 8.979433276937506e-09 -1.5612859617489544e-07 -6.335063167736311e-06
PC11 -1.02270159925963e-06 -1.1162078398263768e-07 1.456488251012216e-07 7.236290227631502e-07 9.225213453695147e-07 -1.4699693031120578e-06 -2.1848976049942402e-07 1.860682583757168e-06 -1.0060415130016762e-06 9.304396015732628e-08 -3.9601040226636363e-07 1.9012330837422975e-05 1.6622262045395827e-07 -5.607982798674247e-07 -8.241701995025645e-07 8.033329911084893e-07 6.911426078901074e-07 4.369262744748925e-07 -5.448266948419891e-07 5.463460467483683e-07 4.4813874825723146e-07 -1.7677831646233137e-06
PC12 -1.821353084362399e-06 1.1441250609885013e-06 -2.103678772402949e-06 3.0558632734669174e-08 -1.3785602114861982e-06 7.7450328642826e-07 -3.1895243425733853e-07 1.544851774570645e-07 1.063421797332304e-06 -7.760601229696394e-07 -4.924055930850042e-07 1.662226204539583e-07 1.8646961714635683e-05 -2.57025853597071e-07 -9.39713732175984e-07 -1.1720715380028844e-06 2.9555011896666897e-07 -6.105707745362729e-07 -2.701255898019046e-07 -3.2248013479587573e-07 -4.2748559851389573e-07 -3.3395227513244725e-06
