 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal gpp gpm gmp gmm
intercept 0.001090283109728302 2.976477929140118e-08 -4.3317551627749886e-05 9.008939854158189e-07 8.824876333308684e-07 1.926778106944126e-06 5.538400511480861e-06 2.136423793077169e-06 -2.9630699415419064e-06 2.972549787452036e-06 -1.5769990509719428e-06 -1.1802440853552618e-06 -1.7755853864190114e-06 -5.832023557498971e-07 -3.2006091474826395e-06 -3.190202077523102e-06 -9.405636553083053e-07 -2.016258947410983e-06 -2.10873803576223e-07 -9.957472787285155e-07 -2.1528405922920047e-06 -5.5309701360378346e-05 1.9242674369233815e-05 -2.3181086728591404e-05 -4.2450344154865144e-05 4.8769140670522865e-05 9.946160264300476e-05 -3.543431466950148e-05
PC1 2.976477929140289e-08 3.7645702109003842e-06 -2.629602408568887e-06 -1.399906995892475e-07 -2.2589915632256694e-08 -3.3688887535406066e-07 -4.069747625208108e-09 2.551585860643849e-07 2.76685073546077e-07 1.5243499862441966e-07 3.6789643661441567e-07 -1.3109916196030902e-07 1.1554191894230858e-06 -4.173557153693894e-07 -6.535385556875921e-07 -1.2938442488913647e-06 -8.290650542573592e-07 2.985363297893347e-07 1.8353443556852475e-07 5.225875810689738e-07 3.8456564349379134e-07 -5.967091261022846e-06 6.690735023770717e-06 8.172771756388318e-06 5.40601592806211e-06 4.614451431682191e-06 -8.44943070025069e-06 8.575236558264668e-06
PC2 -4.331755162774989e-05 -2.629602408568888e-06 7.696529058589289e-05 2.1939646661623796e-06 1.5546549148164098e-06 -4.7589484355783377e-07 -1.3393417157772606e-06 -1.5443196371213294e-06 4.932865490738825e-07 -1.2815637624237693e-06 -1.0537926430997037e-06 1.8818050674043403e-07 -2.018007282506894e-06 2.269205732246168e-06 5.378346745229081e-08 4.6856565680309993e-07 8.616642153485955e-07 8.250176968488284e-07 -1.4554487296308985e-08 -8.180459690731376e-07 -1.6630587315241932e-06 6.322137809728796e-06 -2.2501775120120785e-05 1.2851815894054605e-05 3.354549216109771e-05 -2.0838666093709086e-05 2.93351820864259e-05 -3.1363059702210296e-05
PC3 9.0089398541582e-07 -1.3999069958924802e-07 2.1939646661623784e-06 8.091070116820281e-06 2.3477403375326862e-07 2.0295935274760574e-06 -4.3853113443617356e-07 1.2037244816725022e-06 -5.236748057541106e-07 -1.2768494307041249e-06 -1.6172808861456203e-07 6.726663671227774e-07 9.195156654958435e-08 -1.3316666698575982e-06 1.768042838797718e-08 2.778960882905769e-07 7.201676464042237e-07 -1.020535559839644e-06 -8.216242500498553e-07 8.443929747026898e-07 4.49242681256865e-07 3.3127869110681323e-06 9.01614260667204e-06 1.1211932044351773e-05 -1.666547342015273e-06 1.4928383654569866e-05 5.852845791287844e-06 8.984582180019339e-06
PC4 8.824876333308659e-07 -2.2589915632256506e-08 1.5546549148164083e-06 2.3477403375326775e-07 1.3246896955304745e-05 2.718538532013892e-06 -2.7485300960650313e-07 -2.1959778351199843e-08 -2.0303919627913553e-06 7.236281144001337e-07 3.3780185456237394e-07 8.627861592684864e-07 -1.4581124095448532e-06 -1.2921903214973551e-06 4.7608003215145767e-07 -3.125973995296131e-08 3.7332250565286504e-07 -1.0450275680552626e-07 -8.381522708995295e-07 -2.537718859498372e-07 7.98416629588851e-08 -3.01251627066409e-06 1.5430751007464916e-05 -8.366705474438662e-06 -8.841134953981967e-06 -1.6199970871152907e-05 2.0485474901158425e-05 -1.9881875126210313e-05
PC5 1.9267781069441227e-06 -3.368888753540607e-07 -4.7589484355783335e-07 2.0295935274760557e-06 2.7185385320138938e-06 2.5323678941332616e-05 9.81731026961678e-07 9.584391670809908e-07 -1.4266830102667692e-06 -1.5366313999567378e-06 -4.151273191242933e-07 -1.430110586851904e-06 6.559989597367249e-07 -1.9785695694413288e-06 3.581965022336993e-07 5.691411734665781e-07 -4.1782189908133795e-07 5.673808208946515e-07 -1.7598146153238207e-07 1.1663990776758055e-07 -3.4583133144590073e-07 1.4588654563495544e-06 1.912021586718875e-06 -1.587526532152802e-05 2.5713349009881904e-05 -2.4795835403780416e-05 5.634583033074132e-06 1.5575240468049606e-05
PC6 5.5384005114808615e-06 -4.069747625208102e-09 -1.339341715777259e-06 -4.385311344361731e-07 -2.748530096065034e-07 9.817310269616778e-07 2.2642875720323257e-05 -1.1546160264449312e-08 1.8122416550745423e-07 6.214083611207658e-07 6.39247965446607e-07 -1.961063716478605e-07 -3.177244477288123e-07 -3.311878213154157e-07 -5.589373382561186e-07 7.269956786476082e-07 -6.063245269511824e-07 3.3250935902858123e-07 -5.087348695129356e-07 -5.993176265808254e-07 -1.0843282802610103e-06 -5.367125531866999e-07 -7.627886978409265e-06 1.076150342912669e-06 2.224607859617475e-05 -5.445334560176709e-06 4.153788111780808e-06 -1.4765342852872745e-05
PC7 2.1364237930771658e-06 2.5515858606438464e-07 -1.544319637121329e-06 1.2037244816725018e-06 -2.1959778351199472e-08 9.584391670809908e-07 -1.1546160264449335e-08 2.0766288874213664e-05 1.2234887523511412e-06 1.2045664802181425e-07 2.763015563105926e-07 1.8821459734833235e-06 1.6635044040871228e-07 2.420434093773219e-07 8.959813724210179e-08 -8.498615850917185e-07 6.219578300225031e-07 -1.449813024130476e-06 -2.1322556764708277e-07 4.032948284192599e-07 -2.2967211262169918e-07 4.978892720887129e-06 -6.112173962503049e-06 6.0718833866407134e-06 1.6277747751725844e-05 -1.6629123828741253e-06 -2.1865618911186022e-05 8.566278611146063e-06
PC8 -2.9630699415419073e-06 2.7668507354607737e-07 4.932865490738831e-07 -5.236748057541108e-07 -2.0303919627913574e-06 -1.4266830102667686e-06 1.8122416550745365e-07 1.2234887523511429e-06 2.3438831119659706e-05 8.207637091966226e-07 7.831503811708222e-07 -1.0073660679901476e-06 1.0139418459913883e-06 -6.249277825103502e-07 -1.4559623376114913e-06 -1.2681685317631336e-06 8.275540316691152e-07 1.2279516146615797e-06 -8.392807185855549e-07 -1.2898953449083302e-06 5.192786666624562e-07 -1.9831811534587463e-06 7.384767943346496e-06 -4.425622848444476e-06 -7.253804617720501e-06 2.2303252365400065e-06 -1.4779643616389756e-05 1.223582011510295e-05
PC9 2.9725497874520397e-06 1.5243499862441934e-07 -1.2815637624237689e-06 -1.2768494307041247e-06 7.236281144001331e-07 -1.5366313999567384e-06 6.214083611207654e-07 1.2045664802181343e-07 8.207637091966225e-07 1.9442734334863253e-05 -3.897317437507685e-07 4.1478020269752666e-08 -7.704529921539479e-07 -2.8712278259019405e-07 -8.696644131756042e-07 1.5042504981371812e-08 7.902295122880972e-07 1.0245468195173216e-06 -7.829179601391601e-07 -1.0157017680842177e-06 -1.0742944729343113e-06 -6.707954681741787e-06 2.054992142827531e-05 1.8456355862841017e-05 -9.919106726894579e-06 -8.02208270199591e-06 -1.8764748900916194e-05 9.748243120757257e-06
