 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal
intercept 0.000620328245075198 1.7480933863766392e-07 -2.4403664877013458e-05 1.3612471012377292e-06 -9.228118167082957e-08 8.798212789215431e-07 2.7306864516560936e-06 1.287569988012713e-06 -4.981269619814026e-07 2.349688483134761e-06 -9.190191870967601e-07 9.762374625668211e-07 -5.998606183187656e-07 -1.268537258525119e-06 -1.693448024066661e-06 -1.8743705241143325e-06 6.961427032283718e-07 -2.0518505071886507e-06 -6.783087317392827e-07 1.0010657309814065e-06 -9.553773389931836e-07 -1.233190385154653e-05 -3.022847858021665e-07 2.1974287151573712e-05
PC1 1.7480933863766284e-07 2.1798299874858313e-06 -1.6078409780755948e-06 -1.7927534015457863e-07 -1.1730573192692788e-07 -2.5941847700117945e-07 8.758592011869649e-08 9.476552752902149e-08 5.548283778945179e-08 9.872219646317383e-08 1.6170037159870565e-07 -3.0184822064528186e-08 5.870719813668736e-07 -1.3880174908494247e-07 -3.036009227366295e-07 -7.122160579925128e-07 -6.64793429416911e-07 2.6003102157031573e-07 5.459562267282627e-09 1.4868571300455778e-07 5.0832829631754175e-08 -2.4497355578803736e-06 5.7497284896343655e-06 4.197841464657509e-06
PC2 -2.4403664877013454e-05 -1.6078409780755952e-06 4.792140652409645e-05 8.680401421648902e-07 1.4183857364366167e-06 -6.559473008734328e-07 -5.02985432878625e-07 -6.105298473730758e-07 1.1291621699255087e-06 -3.8757596398417473e-07 -7.394456286399062e-08 -7.435699160500831e-08 -1.1855007084345346e-06 9.105644613184471e-07 -1.1537896961942613e-06 1.1105037458213337e-07 1.7314758845278514e-07 6.939814332531354e-07 2.1135961404225001e-07 -5.372602142150716e-07 -3.8380152437864327e-07 3.5380758903395146e-06 -9.833885172707704e-06 2.9664287557845493e-06
PC3 1.3612471012377288e-06 -1.7927534015457876e-07 8.680401421648902e-07 4.6296326408904895e-06 8.242253376455884e-08 1.2076087095179592e-06 4.285916783311085e-09 5.601854510095903e-07 -2.55766864268885e-07 -8.005871008498419e-07 -6.597912596813052e-08 3.5807085717853545e-07 2.585967643377758e-08 -7.604650288083593e-07 7.293755959343776e-08 6.181278913310707e-08 2.5864095381702623e-07 -4.912748729330208e-07 -6.225444923425436e-07 3.638116425419127e-07 1.3094089231553487e-07 7.010415834204613e-07 1.1591768774130782e-05 1.0542578116418249e-05
PC4 -9.228118167082811e-08 -1.1730573192692775e-07 1.418385736436616e-06 8.242253376455893e-08 8.177322824594635e-06 1.7991872673138218e-06 -3.6307121715274323e-07 2.422709570288617e-07 -1.2411536072266997e-06 3.6748179397834973e-07 3.599335053842638e-07 3.1648542574043065e-07 -1.0059031418195482e-06 -6.949424383299947e-07 8.691118776320608e-09 -1.0819832526153574e-07 1.3131664088274875e-08 6.174724467638604e-08 -5.065930877943252e-07 -1.3382487084544738e-07 1.7785968122622316e-07 -1.9720741076431126e-06 2.511260008039495e-06 -6.319484570099108e-06
PC5 8.79821278921544e-07 -2.594184770011794e-07 -6.55947300873433e-07 1.2076087095179592e-06 1.799187267313822e-06 1.5944266645261415e-05 3.8566488380583766e-07 1.1650329375092225e-06 -8.348097543118225e-07 -6.151441298108454e-07 -4.978279147898122e-07 -9.678807552154007e-07 4.873433702227167e-07 -1.3919039234738805e-06 5.359871631792479e-07 5.8805773726323123e-08 -6.876577977032829e-08 7.760927645503647e-07 -2.0290046655113868e-07 2.8258926136532077e-07 -7.167380965637368e-08 -1.7859341845735189e-06 2.1190418665826003e-06 -3.200744265710531e-06
PC6 2.730686451656089e-06 8.758592011869653e-08 -5.029854328786244e-07 4.285916783311368e-09 -3.630712171527433e-07 3.856648838058377e-07 1.5196903012480975e-05 -7.614887584134867e-08 2.5170380731014795e-07 2.5116334594259837e-07 5.7733859622732215e-08 -3.622764857648112e-07 -1.1481354881705219e-07 -1.3732960619303097e-07 -2.4214897844999576e-07 -1.8073243415487806e-07 -1.2732882459868597e-07 3.099113867605749e-07 -4.06871575779069e-07 -2.0348135624365354e-07 -5.169978009474838e-07 -8.907573602227163e-07 2.791701910074565e-07 -1.555832976870246e-06
PC7 1.287569988012714e-06 9.476552752902134e-08 -6.105298473730754e-07 5.601854510095905e-07 2.4227095702886163e-07 1.1650329375092235e-06 -7.61488758413487e-08 1.2936141848297446e-05 9.585580366891482e-07 -1.8627213936461287e-07 -1.2374682441988323e-07 1.3166263717640083e-06 3.4899546457441727e-07 2.6455991676713915e-07 -4.3973761668577426e-07 -5.430644380073287e-07 4.8346961007687936e-08 -4.874512614074127e-07 8.784377185095551e-08 7.240423387498002e-08 -4.597664526321723e-07 2.1797910224153777e-07 1.7280978153198625e-06 5.426492716774806e-07
PC8 -4.981269619814054e-07 5.548283778945159e-08 1.1291621699255097e-06 -2.557668642688846e-07 -1.241153607226699e-06 -8.348097543118219e-07 2.5170380731014784e-07 9.585580366891478e-07 1.458993009727532e-05 3.7380695454630126e-07 4.388863861407808e-07 -8.54110528051175e-07 2.892404742311733e-07 -1.2310697092762664e-07 -5.057775266681626e-07 -4.909432366377604e-07 3.2597867452160185e-07 1.462944747807844e-07 -8.14133764008991e-07 -2.01908679519013e-07 1.2134039286199416e-07 -4.321867013302163e-07 1.7316966556148141e-06 -4.594882630506821e-06
PC9 2.3496884831347574e-06 9.872219646317395e-08 -3.8757596398417526e-07 -8.005871008498417e-07 3.6748179397835016e-07 -6.151441298108447e-07 2.511633459425984e-07 -1.862721393646125e-07 3.7380695454630147e-07 1.2488334258766292e-05 -2.277691596759482e-07 -8.045345790647801e-08 -4.6910033696293383e-07 8.221664700452667e-08 -8.708160356437288e-07 4.484185470936385e-07 3.3607292720772053e-07 5.316751443876496e-07 -5.247482907954081e-07 -3.072670334238868e-07 -7.516396478674324e-07 -4.028101441030426e-06 8.134186188737425e-06 7.268032083124015e-06
PC10 -9.190191870967639e-07 1.6170037159870567e-07 -7.394456286399138e-08 -6.59791259681303e-08 3.5993350538426346e-07 -4.978279147898127e-07 5.773385962273199e-08 -1.237468244198832e-07 4.388863861407809e-07 -2.2776915967594802e-07 1.2697228514626826e-05 -5.302000291675985e-07 -3.476880624994283e-08 -3.098108053829984e-07 -1.0330562701696374e-07 2.0232750379435722e-07 -4.0145201414116655e-07 1.5657935736414517e-07 2.0205120304742065e-07 4.825932814557732e-07 1.6635462919086973e-07 -3.5828454710312226e-06 3.0421168061421332e-06 1.7697521277857887e-06
PC11 9.762374625668218e-07 -3.018482206452824e-08 -7.43569916050082e-08 3.5807085717853555e-07 3.164854257404305e-07 -9.678807552154014e-07 -3.622764857648113e-07 1.316626371764008e-06 -8.541105280511756e-07 -8.04534579064778e-08 -5.302000291675987e-07 1.2269059710171678e-05 -7.190372182071683e-09 -2.0115383352972996e-07 -5.213883008178546e-07 3.571412633662705e-07 2.497167279179336e-07 4.2412428951188484e-07 2.822776650043015e-08 6.759355831515502e-07 1.7688199480109132e-07 2.4869659779588542e-06 -5.699694474248143e-06 -2.081030018761418e-06
PC12 -5.998606183187661e-07 5.870719813668736e-07 -1.1855007084345344e-06 2.5859676433777286e-08 -1.0059031418195482e-06 4.873433702227162e-07 -1.1481354881705211e-07 3.489954645744172e-07 2.8924047423117333e-07 -4.6910033696293346e-07 -3.4768806249942584e-08 -7.190372182071692e-09 1.1153840757005135e-05 1.2340369155656428e-07 3.047827493057945e-08 -4.4821664991261844e-07 2.7518156653132367e-07 -1.4280212347839927e-07 -1.5754958271147474e-07 -1.5644746291277444e-07 -5.989505337049219e-07 4.26398983369044e-07 -4.00342273734437e-06 -3.739579062682077e-07
PC13 -1.2685372585251186e-06 -1.3880174908494244e-07 9.105644613184474e-07 -7.604650288083597e-07 -6.949424383299946e-07 -1.391903923473881e-06 -1.3732960619303097e-07 2.645599167671397e-07 -1.2310697092762653e-07 8.221664700452652e-08 -3.098108053829982e-07 -2.0115383352973015e-07 1.234036915565641e-07 1.1522176401588661e-05 -6.920754226823985e-07 1.0216579187923743e-06 3.2008904108438875e-07 1.3721348381221818e-07 -1.403519499678542e-07 1.8714738878723552e-08 8.570469918561171e-08 5.28593786851335e-07 -2.3083497323842184e-06 2.5070160849394487e-06
