 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal gpp gpm gmp gmm
intercept 0.0008042792368856428 5.9552922940531963e-08 -2.3744285996185547e-05 1.8460900397990288e-06 1.259357559493768e-06 -2.468865472190216e-07 2.4388074183345296e-06 1.9864820352538605e-06 -1.350901549632872e-06 2.6870400996458014e-06 -1.1846815988558866e-06 1.097622585176157e-07 -6.930031140277815e-07 -1.78615058793338e-06 -1.4078575279247259e-06 -1.817044136476781e-06 1.4764529014172733e-06 -1.7913520813765934e-06 -1.2116558179916324e-06 3.6457700361137677e-07 -5.63232423652767e-07 -1.1122634625635322e-05 1.343591508448701e-05 5.575922353084385e-05 9.960098220640191e-06 -1.9452946586445006e-05 2.479273272852694e-05 -7.926385120161816e-05
PC1 5.9552922940532215e-08 2.746762629605995e-06 -1.6203660528823011e-06 -2.005045657884548e-07 -1.0466290812884239e-07 -2.2978834807144274e-07 6.213443794592597e-08 1.438905219977441e-07 6.301430662804409e-08 5.972405415320183e-08 2.1370225481865942e-07 -3.589633323582461e-08 6.482905327360283e-07 -1.7512258424025234e-07 -2.95003681452065e-07 -6.993190475277633e-07 -6.63448037735249e-07 2.623071221000965e-07 1.7046224735121748e-08 1.7621450973669337e-07 5.6784139732702904e-08 -2.27482148974574e-06 4.082397528981724e-06 3.96633014117429e-06 4.288286327702932e-06 2.9540933066063243e-06 -3.8078013622031116e-06 4.390710048106937e-06
PC2 -2.3744285996185554e-05 -1.6203660528823003e-06 4.9541945677222496e-05 9.096609780599535e-07 1.4371973163346875e-06 -6.379313344422454e-07 -5.324666543862925e-07 -4.162602684973595e-07 7.978857709241164e-07 -6.059271245349094e-07 8.8957901601027e-08 -9.280463166685096e-08 -9.566810819738416e-07 7.989420196006011e-07 -9.091719039362226e-07 1.7976204705760052e-07 2.1234776953626768e-07 6.377469498441218e-07 1.6566217305208018e-07 -1.1630730086099151e-07 -2.914035136717995e-07 3.6186416913407466e-06 -1.1774189780775324e-05 3.4379255339368535e-06 1.2420790719712183e-05 -5.870976293742413e-06 1.3076678022422703e-05 -1.508140674050276e-05
PC3 1.8460900397990286e-06 -2.0050456578845455e-07 9.096609780599535e-07 5.663374794394786e-06 -2.2742063829215533e-08 1.1602107207643253e-06 -6.282070687391549e-08 5.423096078314998e-07 -2.581186672592217e-07 -8.10467093965023e-07 -8.226555106893337e-08 3.6335341151346827e-07 9.242417869712491e-09 -7.377073154846385e-07 1.1325373131826785e-07 9.175546089464811e-08 2.527199952603194e-07 -4.0714682115481343e-07 -6.346584453852651e-07 3.977925885234527e-07 1.9404639244104056e-07 5.238693145412467e-07 1.0254094658374176e-05 8.59151270397876e-06 -6.108483834861605e-07 8.48054456559266e-06 3.581970672955157e-06 5.277011930073383e-06
PC4 1.259357559493768e-06 -1.0466290812884275e-07 1.4371973163346883e-06 -2.274206382921539e-08 9.837617698552797e-06 1.7004604371494634e-06 -4.266654951110013e-07 1.5488088553867227e-07 -1.3060137449172248e-06 4.970683002216605e-07 4.212111523908439e-07 2.411405292147833e-07 -1.0858479128880331e-06 -7.485843323578016e-07 1.0946683482960003e-07 -1.121192062767412e-07 7.1435656545327e-08 -1.6124715163110176e-08 -4.506642295440028e-07 -1.591834089276913e-07 1.0228618679464457e-07 -2.249066717321757e-06 9.541865373931436e-06 -4.7138365374404245e-06 -4.414084241443764e-06 -9.942707899897723e-06 6.473115448902993e-06 -1.049001528836699e-05
PC5 -2.468865472190203e-07 -2.2978834807144277e-07 -6.379313344422458e-07 1.160210720764326e-06 1.700460437149464e-06 1.7141876045370805e-05 3.9685048142420237e-07 1.0088289920281608e-06 -6.248938784773198e-07 -4.963055250274588e-07 -1.9978443764531725e-07 -9.160423724787925e-07 7.047579093931071e-07 -1.2488867383532726e-06 4.14112763288281e-07 -3.338067637233069e-09 -1.408815675261311e-07 8.813020119734557e-07 -1.669574317128846e-07 1.3047821981383287e-07 -2.290767509359942e-07 -2.1265567625668677e-06 6.524795725985033e-06 -2.8488828367190886e-06 1.0204193147771624e-05 -1.9215852830167744e-05 -3.918297365433006e-06 5.231858287283443e-06
PC6 2.4388074183345313e-06 6.213443794592591e-08 -5.324666543862927e-07 -6.282070687391596e-08 -4.2666549511100146e-07 3.9685048142420274e-07 1.5983361794635242e-05 2.3794009322289208e-08 1.436922720555913e-07 1.6057527117744138e-07 1.2758071641475615e-07 -3.7905051601149235e-07 -6.216939085358708e-08 -1.334228404246881e-07 -2.621639365181939e-07 -1.8541267861569381e-07 -3.7431068986982644e-08 2.70245443916479e-07 -4.039260001418601e-07 -3.1183524151534036e-07 -6.361848870343413e-07 -1.1866498030046014e-06 -2.707234761479304e-06 1.6961127433677539e-06 1.3681266484215276e-05 -5.380237124294259e-06 4.097944814209284e-06 -1.1462358317737741e-05
PC7 1.9864820352538593e-06 1.4389052199774423e-07 -4.1626026849736003e-07 5.423096078314993e-07 1.5488088553867254e-07 1.0088289920281602e-06 2.379400932228881e-08 1.3661820765296827e-05 9.705531228069258e-07 -3.260727890073585e-07 -1.193546124202369e-07 1.135920297945893e-06 3.4737859154788807e-07 1.5212793076597926e-07 -3.743427567077069e-07 -4.51635655194471e-07 1.0509385507510996e-07 -4.7385361398038177e-07 1.0180828519032741e-07 6.620499382256487e-09 -4.5184102054180965e-07 4.527569815896137e-07 -2.570410181406577e-06 1.4251451545391968e-06 1.2756947858147612e-05 -1.087746063830654e-06 -8.925424233851516e-06 5.622225789666156e-06
PC8 -1.3509015496328688e-06 6.301430662804416e-08 7.978857709241157e-07 -2.581186672592219e-07 -1.3060137449172255e-06 -6.248938784773199e-07 1.4369227205559127e-07 9.705531228069262e-07 1.5150192278986363e-05 3.389249891233213e-07 3.530297562571385e-07 -8.409671326281486e-07 3.599678913666354e-07 -1.2648786479739814e-07 -5.381817342069355e-07 -4.55127262717549e-07 2.549075160218762e-07 1.0942419796574148e-07 -7.848160237568535e-07 -2.2336003101566732e-07 8.846707283850267e-08 -9.263193028160337e-07 2.1212729637898305e-07 -5.083778435044043e-06 -5.161990857329394e-06 8.34420086265887e-06 -9.425577391256543e-06 8.418337889936443e-06
PC9 2.687040099645802e-06 5.97240541532014e-08 -6.059271245349087e-07 -8.104670939650226e-07 4.970683002216608e-07 -4.963055250274587e-07 1.605752711774411e-07 -3.2607278900735856e-07 3.3892498912332113e-07 1.3202114549996065e-05 -1.2691659214967295e-07 -6.088168093075598e-08 -4.460667372271069e-07 7.516598672482427e-08 -9.145559935605966e-07 4.234366530832078e-07 4.48730016193554e-07 4.7411607485875124e-07 -6.773979471383445e-07 -4.102818387841321e-07 -7.232624265528444e-07 -3.3587596571592117e-06 1.485312189551365e-05 9.637959191443857e-06 -1.0094215424249808e-05 -4.724640498127912e-06 -3.0342723046776363e-06 -1.150236667146722e-06
