 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal
intercept 0.0007391295335690358 8.783019615275315e-08 -2.404529942098649e-05 1.8443513002956035e-06 5.619262156272997e-07 2.8524995673587347e-07 2.4291056382202862e-06 2.1190317624025102e-06 -5.526147637992044e-07 2.5674718019476627e-06 -1.179814570873024e-06 4.3634517182944655e-07 -5.136941275776513e-07 -1.838050715015297e-06 -1.9568562484432587e-06 -1.8626102517972975e-06 1.3443489423786943e-06 -1.610275446096215e-06 -8.016083611407927e-07 7.739245508675123e-07 -9.469730212519795e-07 -1.5089345833606148e-05 4.74461258752725e-06 2.765381669077014e-05
PC1 8.783019615275257e-08 2.546140934170932e-06 -1.634933738379299e-06 -2.0420310506202627e-07 -8.508065721838722e-08 -3.1001576750477416e-07 9.319248319435693e-08 9.340689783554774e-08 6.366891658011611e-08 9.111089877004741e-08 1.723228410352701e-07 -2.9587908055574302e-08 5.988518273994747e-07 -1.587070956647564e-07 -2.919192780287672e-07 -7.038071695642388e-07 -6.678175639113481e-07 2.3144158080528304e-07 8.253108473746807e-09 1.749268326022843e-07 5.048208051512396e-08 -2.424352096019045e-06 6.549677237924256e-06 4.65331676564825e-06
PC2 -2.4045299420986487e-05 -1.6349337383792997e-06 4.904783511433286e-05 8.012064334221143e-07 1.3688191428316755e-06 -6.538968787005767e-07 -6.071342354192557e-07 -5.313460458000043e-07 1.0058339571217703e-06 -4.298744402813086e-07 -3.494413400453828e-08 1.1071316227918446e-08 -1.048206094725433e-06 1.0090002384616808e-06 -1.2211403780946765e-06 2.725205415482856e-07 2.3084959868525037e-07 7.15032593067616e-07 1.449924157904433e-07 -4.5296068363212024e-07 -3.784410794794366e-07 4.4284358560846e-06 -1.1114930596185798e-05 3.461847862793278e-06
PC3 1.844351300295605e-06 -2.04203105062026e-07 8.01206433422114e-07 5.313776202789784e-06 3.932374101554469e-08 1.2303626170178658e-06 -6.435192482773712e-09 5.878322041051284e-07 -2.702663958537429e-07 -8.141135739291637e-07 -7.606657111435161e-08 3.236877600594619e-07 2.595045923516321e-08 -7.560965138045614e-07 1.0827542776633502e-07 6.32006436566933e-08 2.994967486855919e-07 -4.4979530797737923e-07 -6.122600585053971e-07 3.5503517983496513e-07 1.2060396182852663e-07 7.227134043690062e-07 1.3039452623849262e-05 1.203245626753219e-05
PC4 5.619262156273023e-07 -8.508065721838724e-08 1.3688191428316755e-06 3.9323741015544956e-08 9.253850229962919e-06 1.7192135344443484e-06 -4.3116331929244615e-07 2.308509079375791e-07 -1.2383383253638969e-06 4.2767572835679144e-07 3.8263698163910356e-07 3.131637104241967e-07 -1.060958667793958e-06 -7.119419659616761e-07 6.296090766275678e-08 -7.503567496905802e-08 5.4888068994447675e-09 -1.8931089360327483e-08 -4.7124006356753213e-07 -9.335455390324736e-08 1.544711566096188e-07 -2.3048692278388976e-06 2.7178946137392367e-06 -6.787873780775698e-06
PC5 2.8524995673587384e-07 -3.1001576750477395e-07 -6.538968787005766e-07 1.2303626170178664e-06 1.7192135344443484e-06 1.690004248847993e-05 4.0426851418305024e-07 1.113705090350843e-06 -7.241922441816892e-07 -6.07615516885002e-07 -3.9733931415921936e-07 -9.724642499216506e-07 5.456235017022632e-07 -1.2667118175877005e-06 4.947028636094376e-07 6.374266054867524e-08 -1.002834962884037e-07 7.587488488263491e-07 -1.2227412142048874e-07 2.001902137453629e-07 -1.1005697893877553e-07 -1.7092059638238435e-06 2.6537395515099914e-06 -3.407600833513218e-06
PC6 2.429105638220285e-06 9.319248319435691e-08 -6.071342354192557e-07 -6.435192482773451e-09 -4.311633192924461e-07 4.0426851418304987e-07 1.5887233981178398e-05 -5.0435397540458754e-08 2.7526580201150617e-07 2.1445598971363183e-07 1.337089251427729e-07 -3.91685405510206e-07 -7.433684777853826e-08 -1.8921510419034866e-07 -2.0760722069930198e-07 -1.3872698447928194e-07 -1.6316957402856099e-07 2.8751471834184966e-07 -3.76437479816645e-07 -2.036145998562964e-07 -5.648158520316332e-07 -1.4741178160117753e-06 7.724857015901143e-07 -1.101186166508444e-06
PC7 2.11903176240251e-06 9.340689783554786e-08 -5.313460458000043e-07 5.878322041051285e-07 2.3085090793757904e-07 1.1137050903508426e-06 -5.043539754045861e-08 1.3543403376858078e-05 9.589483834370437e-07 -2.6439448203213845e-07 -1.1591338335947837e-07 1.1879268640464211e-06 3.54307749323251e-07 2.495204687045551e-07 -3.701525431145561e-07 -5.294356812241966e-07 1.3557933644293047e-07 -4.34299634678313e-07 1.0935916904656737e-07 2.4457757572640384e-08 -4.650648981263874e-07 3.9848025847311845e-07 1.8607478974251595e-06 5.972412664309632e-07
PC8 -5.526147637992037e-07 6.366891658011595e-08 1.005833957121771e-06 -2.702663958537426e-07 -1.2383383253638969e-06 -7.241922441816897e-07 2.7526580201150686e-07 9.589483834370435e-07 1.51051440285013e-05 3.087664372472191e-07 3.519890990428893e-07 -7.944559567601019e-07 4.351673893713634e-07 -1.0298616666247787e-07 -5.336979128712701e-07 -5.604087518200399e-07 3.744765494856608e-07 1.7178390586732013e-07 -7.813444924542102e-07 -1.9857710365537742e-07 1.3494568432485637e-07 -8.659989888343153e-07 1.8656072255846738e-06 -4.5798873323720255e-06
PC9 2.567471801947663e-06 9.111089877004732e-08 -4.298744402813088e-07 -8.141135739291639e-07 4.276757283567915e-07 -6.07615516885002e-07 2.1445598971363178e-07 -2.6439448203213834e-07 3.087664372472194e-07 1.3050689702351404e-05 -2.301183458088283e-07 -5.631391011689859e-08 -4.491993323157476e-07 4.4519977471331365e-08 -8.701718697265374e-07 4.6534958313304917e-07 3.848586262851418e-07 4.696272790842615e-07 -5.792866064842644e-07 -3.0416975602918364e-07 -7.187276661371383e-07 -4.216078595484977e-06 8.482362343756034e-06 7.305661638498714e-06
