 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal
intercept 0.00161776589212239 -6.4597708217343135e-06 -6.644227364635484e-05 2.4988655834421746e-06 8.861866853782113e-08 6.187506981881426e-06 1.076109088269927e-05 3.3392856970871445e-06 1.0982288412927586e-05 -3.180950591894481e-06 1.5710233176123714e-06 2.6637587308906346e-06 3.92401227521516e-06 -8.027392069137789e-06 -1.053446275502629e-05 -4.218474346166813e-06 1.2263632540167244e-05 -3.852452500795933e-08 4.575696152024142e-06 7.381015185041021e-06 -5.479657392197988e-06 2.0714354238944532e-05 1.2945622602853488e-05 1.3623980520216788e-05
PC1 -6.459770821733997e-06 6.245237497873384e-06 -3.852234138813196e-06 -2.65343577909515e-07 -4.0135766561340007e-07 8.549238986048168e-08 -1.6430555236676453e-07 -2.914498882919681e-07 3.490325908283556e-07 1.4925010238949385e-07 9.603379217068214e-07 -1.1782168262398407e-07 1.978087606477367e-06 -5.121561825288338e-07 -7.17255473277903e-07 -1.9043408346505925e-06 -2.2511874962888582e-06 7.85258228663224e-07 -1.3383194440206456e-07 6.848473719606817e-07 1.0468687411076878e-06 2.4615705469994976e-06 9.385344998392312e-06 9.394599998004097e-06
PC2 -6.644227364635487e-05 -3.852234138813205e-06 0.00012883048302390516 3.8229050642983725e-06 3.881025725600158e-06 -1.4131608720993083e-06 -8.042462012519024e-07 -3.189497007391909e-09 1.7933897511889797e-06 1.0524814228552956e-06 -4.452679491905122e-07 -4.024384767955855e-07 -1.8178831161629816e-06 3.2072988661664497e-06 3.6886456082376126e-06 -6.451158686809926e-07 -1.8727234860529831e-06 3.2227262978524185e-06 2.4263635909638685e-06 -3.1914553268235886e-06 -2.289802477543055e-06 6.713984392218561e-06 -5.220120729994409e-06 4.8717983780543485e-06
PC3 2.498865583442178e-06 -2.653435779095145e-07 3.822905064298367e-06 1.3409849934552468e-05 2.184321119614286e-07 4.700679258930876e-06 -5.549464763676764e-07 3.5559736815269096e-06 1.5617938902781267e-06 -2.0337392769692897e-06 -2.2613019068953093e-07 -6.035978909809885e-07 1.1634304779524156e-06 -3.453511821041435e-06 1.9203980428576054e-07 -1.2289751350005693e-06 1.3222830611499211e-06 -1.9090889598417495e-06 -1.4333606582228295e-06 1.8672633612489592e-06 1.4480240653469416e-06 5.6392490736631656e-06 2.178621960028961e-06 -1.96354534374066e-06
PC4 8.861866853781494e-08 -4.013576656134009e-07 3.881025725600157e-06 2.1843211196142873e-07 2.1168839859655015e-05 4.850879545898141e-06 -1.6493852582870094e-06 1.4401296149981824e-06 -3.1860390983922955e-06 7.758125507174244e-07 1.0376695458305169e-06 1.946562720520808e-06 -3.9166816913152e-06 -1.5938299115254265e-06 8.896249081852312e-07 1.2668695474372584e-06 -1.868437768102297e-07 1.0225557520176909e-07 -4.3115162285486784e-07 -5.479878817872967e-07 -7.282090253198331e-07 -1.4379532742728807e-06 4.3341439141324975e-06 1.913837569845429e-05
PC5 6.1875069818814245e-06 8.549238986048231e-08 -1.4131608720993087e-06 4.7006792589308745e-06 4.850879545898141e-06 4.710940143943744e-05 1.2222430231272966e-06 7.920824178891178e-06 -1.1944107335059254e-06 -2.6312966803378234e-06 1.3172442794956653e-07 -1.3662926710237927e-06 1.3399734078965612e-06 -4.721368428042224e-06 1.8652716238263964e-07 1.872411539035526e-07 4.4612860876041135e-07 1.932018556451221e-06 9.20853428101209e-08 1.4005712219381499e-06 -8.296056929838466e-07 -5.518668000859077e-06 2.064288103330366e-05 2.098561716007696e-05
PC6 1.0761090882699264e-05 -1.6430555236676652e-07 -8.04246201251898e-07 -5.549464763676763e-07 -1.6493852582870096e-06 1.2222430231272957e-06 4.280833929395486e-05 -5.978758781044628e-07 -2.372362860349868e-07 8.859985930547121e-07 -1.786380319584453e-06 -6.380054308153516e-07 -1.3911479710187605e-06 9.250382146275991e-07 -3.199394154097948e-07 1.6331266283537147e-06 -5.114048063931655e-07 1.0343668133487893e-06 -1.7353036750921714e-06 -3.33178369981593e-06 -8.656912386651691e-07 1.2112604869805881e-05 -2.7888063050862543e-05 -9.507749843741177e-06
PC7 3.339285697087121e-06 -2.9144988829196955e-07 -3.1894970073876217e-09 3.5559736815269113e-06 1.4401296149981797e-06 7.920824178891178e-06 -5.978758781044628e-07 3.777621452736194e-05 3.237030420029764e-06 -1.942399693315562e-06 -7.250702310461472e-07 3.167570165954805e-06 3.1632858431166003e-06 4.457775251240652e-07 -5.455033213232563e-07 -1.169009706778429e-06 1.641536474039831e-06 -1.5732867438104105e-06 1.00941701032738e-06 -4.893323776430048e-07 -1.2426981909803934e-06 -3.519405694898396e-05 1.817066169961421e-05 2.4447096210852526e-05
PC8 1.0982288412927597e-05 3.490325908283558e-07 1.7933897511889788e-06 1.5617938902781257e-06 -3.1860390983922985e-06 -1.1944107335059265e-06 -2.3723628603498577e-07 3.2370304200297617e-06 4.342381479652069e-05 1.5771360475988903e-07 3.4454959018131e-06 -3.703454252789883e-06 2.961326461949513e-07 -1.5174353210350542e-06 -4.706142921752946e-07 -1.5650100988650847e-06 1.1453290442275128e-06 -2.008031548831608e-06 -4.695567936068181e-06 6.354869907923498e-07 1.168658422002215e-06 5.759449478734515e-06 -6.572219224962265e-06 2.9658883487769875e-06
PC9 -3.1809505918944767e-06 1.492501023894939e-07 1.0524814228552981e-06 -2.0337392769692893e-06 7.758125507174242e-07 -2.631296680337825e-06 8.859985930547101e-07 -1.942399693315559e-06 1.5771360475988985e-07 3.340878750790621e-05 -2.744031229839578e-06 1.171055953853146e-06 -1.2180566051177518e-06 6.915169857636201e-07 -2.3146632446647457e-06 1.7175788459809816e-06 2.575735408655501e-07 2.187623646934793e-06 -1.2850540499603768e-06 -1.8955376783774063e-06 -3.0999079123945006e-06 5.7583363879095266e-06 -1.2433428346803212e-05 1.9584818680640415e-05
PC10 1.5710233176123983e-06 9.603379217068216e-07 -4.452679491905122e-07 -2.2613019068953162e-07 1.0376695458305162e-06 1.317244279495661e-07 -1.7863803195844523e-06 -7.250702310461462e-07 3.445495901813102e-06 -2.744031229839578e-06 3.815162562230276e-05 -5.337375439160595e-08 6.312557127378997e-07 -1.8469670323729612e-06 -1.0154135014455332e-06 4.354438129226014e-07 -2.4022715938518628e-06 4.923442170256869e-07 7.48399552779731e-08 1.752655314613281e-06 1.5301274093823324e-06 -7.514397905931738e-06 9.948275183995132e-06 5.171715198554632e-06
PC11 2.6637587308906317e-06 -1.1782168262398361e-07 -4.024384767955837e-07 -6.035978909809876e-07 1.9465627205208084e-06 -1.3662926710237944e-06 -6.380054308153535e-07 3.167570165954806e-06 -3.703454252789881e-06 1.1710559538531467e-06 -5.3373754391605625e-08 3.218725938401468e-05 4.639794557098152e-07 1.6491128161773945e-08 -1.9615852604762806e-06 2.615855779687949e-06 1.7465519904494353e-06 8.40780948275645e-07 5.046597651432863e-07 6.509724221763035e-07 -3.6230846796336643e-07 1.684109169662741e-06 1.3161458737301988e-05 -1.0188941602913897e-05
PC12 3.9240122752149894e-06 1.978087606477368e-06 -1.8178831161629786e-06 1.1634304779524162e-06 -3.9166816913152e-06 1.3399734078965622e-06 -1.3911479710187575e-06 3.1632858431165986e-06 2.9613264619495295e-07 -1.2180566051177537e-06 6.312557127378996e-07 4.6397945570981354e-07 3.115820028178181e-05 2.4468080091268894e-07 -8.826243390319136e-07 -2.3293907035087038e-06 1.1659649030539884e-06 -3.942262235516562e-07 -9.38827667011542e-08 5.729361445643516e-07 8.174101781990627e-07 -4.644640489682821e-07 3.227728243867417e-05 1.2013814016333431e-05
PC13 -8.027392069137792e-06 -5.121561825288354e-07 3.2072988661664556e-06 -3.453511821041434e-06 -1.593829911525427e-06 -4.721368428042224e-06 9.250382146275981e-07 4.4577752512406553e-07 -1.5174353210350536e-06 6.915169857636218e-07 -1.8469670323729625e-06 1.6491128161772056e-08 2.4468080091268973e-07 3.323812430392875e-05 -4.714913088911071e-07 4.250669815734903e-06 4.4541940064450723e-07 4.794657624869027e-07 -2.972753057181109e-07 -1.3191980641517076e-06 4.339203409347657e-07 5.852549446130117e-06 -8.527743055629584e-06 1.2849193962620147e-05
PC14 -1.0534462755026295e-05 -7.172554732779037e-07 3.6886456082376105e-06 1.9203980428576035e-07 8.89624908185233e-07 1.865271623826399e-07 -3.199394154097958e-07 -5.455033213232579e-07 -4.7061429217529554e-07 -2.314663244664745e-06 -1.0154135014455309e-06 -1.96158526047628e-06 -8.826243390319138e-07 -4.7149130889110844e-07 3.2142329561939836e-05 -1.175147178887922e-06 -2.2749368693182326e-06 -2.6058492966114956e-07 2.8580609992160496e-07 4.9054489181906107e-08 -8.712842381860963e-07 1.6233486759851915e-06 2.5349160292529872e-06 -1.195759450842885e-06
PC15 -4.218474346166944e-06 -1.9043408346505927e-06 -6.451158686809891e-07 -1.2289751350005691e-06 1.2668695474372586e-06 1.872411539035513e-07 1.6331266283537137e-06 -1.1690097067784275e-06 -1.5650100988650837e-06 1.7175788459809854e-06 4.354438129226007e-07 2.61585577968795e-06 -2.3293907035087017e-06 4.250669815734904e-06 -1.175147178887922e-06 3.102524786580945e-05 2.1793944452771105e-06 -9.545759941282299e-07 -8.078967538627735e-07 -3.1176775371039097e-06 -2.1621627467338905e-06 6.6254897800032705e-06 -1.2824511972142657e-05 3.197682195511156e-07
PC16 1.2263632540167068e-05 -2.2511874962888582e-06 -1.872723486052981e-06 1.3222830611499207e-06 -1.8684377681022964e-07 4.4612860876041093e-07 -5.114048063931672e-07 1.6415364740398294e-06 1.1453290442275158e-06 2.5757354086554885e-07 -2.4022715938518602e-06 1.746551990449434e-06 1.1659649030539871e-06 4.454194006445062e-07 -2.27493686931823e-06 2.1793944452771093e-06 3.131479335162341e-05 -1.4963744019187612e-06 -8.46500984024278e-08 -1.896559366261271e-06 -4.552777321080171e-07 -1.2925593136726323e-05 5.263242701696826e-06 1.823571522975175e-05
PC17 -3.8524525007974603e-08 7.852582286632242e-07 3.2227262978524185e-06 -1.9090889598417482e-06 1.0225557520176832e-07 1.93201855645122e-06 1.0343668133487897e-06 -1.5732867438104097e-06 -2.0080315488316074e-06 2.187623646934793e-06 4.923442170256876e-07 8.407809482756453e-07 -3.9422622355165563e-07 4.794657624869024e-07 -2.6058492966115015e-07 -9.545759941282294e-07 -1.496374401918759e-06 2.980367599010097e-05 9.937020641073695e-07 -2.399069034712625e-07 -1.3092116235511415e-06 -1.8984097587365529e-06 -5.945792337621444e-06 -4.4412809364893034e-06
PC18 4.575696152024145e-06 -1.3383194440206453e-07 2.426363590963869e-06 -1.4333606582228293e-06 -4.311516228548683e-07 9.208534281012082e-08 -1.735303675092172e-06 1.0094170103273807e-06 -4.69556793606818e-06 -1.2850540499603808e-06 7.483995527797474e-08 5.046597651432861e-07 -9.388276670115114e-08 -2.9727530571811103e-07 2.858060999216053e-07 -8.078967538627745e-07 -8.465009840242707e-08 9.937020641073686e-07 2.8987647916876674e-05 8.55933825877676e-08 3.9635514554858534e-07 -3.660065445410016e-06 4.704287839011536e-06 1.1997399428850696e-05
PC19 7.381015185041053e-06 6.848473719606856e-07 -3.1914553268235924e-06 1.8672633612489585e-06 -5.479878817872968e-07 1.40057122193815e-06 -3.33178369981593e-06 -4.89332377643004e-07 6.354869907923492e-07 -1.895537678377406e-06 1.7526553146132807e-06 6.509724221763041e-07 5.729361445643525e-07 -1.319198064151708e-06 4.905448918190519e-08 -3.1176775371039106e-06 -1.896559366261272e-06 -2.399069034712619e-07 8.55933825877665e-08 3.114784962430839e-05 2.9176598963237964e-06 4.706254654385943e-06 -6.500572472859427e-06 -6.295048741610959e-07
PC20 -5.479657392197976e-06 1.0468687411076885e-06 -2.2898024775430575e-06 1.448024065346939e-06 -7.282090253198345e-07 -8.296056929838479e-07 -8.656912386651674e-07 -1.2426981909803961e-06 1.1686584220022142e-06 -3.0999079123944993e-06 1.5301274093823333e-06 -3.623084679633662e-07 8.174101781990639e-07 4.3392034093476743e-07 -8.71284238186097e-07 -2.1621627467338892e-06 -4.55277732108018e-07 -1.30921162355114e-06 3.9635514554858364e-07 2.917659896323796e-06 2.9639210218944342e-05 3.8090612643141257e-06 -9.814587676520516e-06 -1.8929059530261313e-05
proband 2.0714354238945464e-05 2.4615705469995094e-06 6.7139843922185656e-06 5.639249073663166e-06 -1.4379532742728638e-06 -5.5186680008590855e-06 1.2112604869805861e-05 -3.519405694898397e-05 5.759449478734489e-06 5.7583363879095605e-06 -7.514397905931744e-06 1.6841091696627285e-06 -4.644640489682967e-07 5.8525494461301215e-06 1.6233486759851851e-06 6.6254897800032875e-06 -1.2925593136726328e-05 -1.8984097587365523e-06 -3.6600654454100036e-06 4.706254654385951e-06 3.8090612643140787e-06 0.0026892100020404985 -0.0012119768845864362 -0.0013806532429020983
paternal 1.2945622602853319e-05 9.38534499839231e-06 -5.2201207299944086e-06 2.1786219600289594e-06 4.334143914132484e-06 2.0642881033303665e-05 -2.7888063050862513e-05 1.817066169961421e-05 -6.572219224962251e-06 -1.2433428346803237e-05 9.948275183995135e-06 1.3161458737301987e-05 3.227728243867418e-05 -8.52774305562958e-06 2.534916029252988e-06 -1.2824511972142669e-05 5.263242701696819e-06 -5.945792337621451e-06 4.704287839011522e-06 -6.500572472859457e-06 -9.814587676520497e-06 -0.0012119768845864362 0.002149185608985654 0.0006147771367524817
maternal 1.3623980520216725e-05 9.39459999800409e-06 4.871798378054357e-06 -1.9635453437406598e-06 1.913837569845429e-05 2.0985617160076966e-05 -9.507749843741172e-06 2.4447096210852536e-05 2.965888348777014e-06 1.9584818680640387e-05 5.171715198554639e-06 -1.0188941602913897e-05 1.201381401633345e-05 1.2849193962620139e-05 -1.1957594508428767e-06 3.197682195510943e-07 1.8235715229751754e-05 -4.44128093648931e-06 1.1997399428850686e-05 -6.295048741611034e-07 -1.8929059530261286e-05 -0.001380653242902099 0.0006147771367524821 0.0021926952969071097
