 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal
intercept 0.000544628218001323 -9.286945699876495e-08 -2.3869001687353492e-05 1.110832392428088e-06 -3.5959218189750635e-07 1.4056761087710718e-06 2.7102491592677217e-06 9.21689133499288e-07 1.7049118680639545e-09 1.9059256064673354e-06 -4.809646308541319e-07 1.4499020357519223e-06 -7.69189421652934e-07 -8.362656059777274e-07 -1.3615381640761857e-06 -1.961200988315058e-06 4.429851670534125e-07 -2.607196724562099e-06 -4.9933885892904e-07 1.050388045910294e-06 -1.1182536645241868e-06 6.4565423864006645e-06 -9.344784646875218e-06 8.312983794283388e-08
PC1 -9.286945699876562e-08 1.9332044804418477e-06 -1.5406417165490625e-06 -2.928672564619233e-07 -1.3316002424849802e-07 -2.225267179986722e-07 7.674118443830902e-08 5.124835650339894e-08 2.01889134277561e-08 -5.260749627001335e-09 1.3213274970493557e-07 7.623532559516369e-08 6.015094797661599e-07 -1.1227323975363667e-07 -3.1354051443695513e-07 -6.801597979762494e-07 -6.246055162454418e-07 2.7862385109694915e-07 6.879218126657287e-08 1.9536003830296746e-07 3.773580848276545e-08 8.007014527836002e-07 -3.5737319064376108e-06 -3.413152852337534e-06
PC2 -2.386900168735349e-05 -1.5406417165490627e-06 4.649289485589956e-05 9.435668973709733e-07 1.4313290846409778e-06 -6.415010724703296e-07 -4.243289210129697e-07 -7.151764279385547e-07 1.1489875021031492e-06 -2.169371985068222e-07 -4.91316505417232e-09 -2.32956296360799e-07 -1.3102267219627436e-06 8.30309322352649e-07 -1.2258742735476766e-06 6.103126584407407e-08 1.2277143399847846e-07 6.763902457550547e-07 1.5109035290976468e-07 -6.950882764947672e-07 -3.6208885572696614e-07 9.078016794358759e-07 2.1955025984630758e-06 -2.1630165800581686e-06
PC3 1.1108323924280868e-06 -2.928672564619233e-07 9.435668973709726e-07 3.865603761903339e-06 2.271056440869422e-07 1.1999586139657008e-06 8.777964811039685e-08 5.498818527758786e-07 -1.7797728291312063e-07 -9.558144814467897e-07 -7.908426181504472e-08 4.356480013076481e-07 6.425526055780304e-08 -7.724674439873139e-07 1.19862720360071e-07 -3.13597567041818e-08 2.1775473469210196e-07 -4.993175407657669e-07 -5.558647169506853e-07 4.728675860293389e-07 1.1378689657247862e-07 -3.368474446946669e-06 2.7951718590504934e-06 4.961587679533852e-06
PC4 -3.5959218189750677e-07 -1.3316002424849788e-07 1.4313290846409782e-06 2.2710564408694227e-07 7.241731946797485e-06 1.7671492337895782e-06 -3.2654284488104207e-07 2.8376601407547995e-07 -1.3227484170346007e-06 3.6688827827027045e-07 3.2086120140833366e-07 2.5990727583877016e-07 -9.591271990061066e-07 -6.209415135388147e-07 2.5845809147174596e-08 -4.364771425684175e-08 2.957681810465636e-08 1.1056262778021599e-07 -4.92032872385647e-07 -1.7676218083163592e-07 1.25639821316577e-07 -1.7974550986829746e-06 2.1806373714772676e-06 3.182109563753115e-06
PC5 1.4056761087710716e-06 -2.2252671799867217e-07 -6.415010724703296e-07 1.1999586139657013e-06 1.7671492337895776e-06 1.4994821715552888e-05 3.807910345489836e-07 1.1982614583003272e-06 -9.569462160158772e-07 -6.188562128505669e-07 -5.731409319616232e-07 -9.786407643895228e-07 3.9871620218808525e-07 -1.4625373090517957e-06 5.598591573219768e-07 1.3840416177572289e-07 -4.5713436082196316e-08 7.695843001828992e-07 -2.4143769807236524e-07 3.1111646149982204e-07 -4.599337877597526e-08 -3.2912055945162082e-06 2.700488721234524e-06 1.9910672243770736e-06
PC6 2.710249159267722e-06 7.674118443830896e-08 -4.2432892101296965e-07 8.777964811039712e-08 -3.26542844881042e-07 3.807910345489834e-07 1.4612159893129261e-05 -1.275226802855204e-07 1.7551001828159552e-07 2.864426400673481e-07 2.1267896830273733e-10 -4.322523897977707e-07 -1.749347196298593e-07 -2.084399435502953e-07 -1.9156455232358432e-07 -1.540848830508163e-07 -9.354561236146633e-08 3.3062137737928674e-07 -4.2026919160484126e-07 -2.9864698162723795e-07 -4.3900195262044966e-07 -1.3188482602479453e-06 3.922955974380861e-06 4.650266512682752e-06
PC7 9.216891334992884e-07 5.12483565033989e-08 -7.151764279385552e-07 5.498818527758783e-07 2.837660140754799e-07 1.1982614583003274e-06 -1.2752268028552006e-07 1.2384844750017951e-05 1.0305061946008002e-06 -2.0852961520680257e-07 -6.538724968176248e-08 1.3579089924727663e-06 4.111194403477985e-07 2.5380679448541154e-07 -4.635337043082914e-07 -4.885383321764285e-07 -2.332466369166779e-08 -5.551727305520549e-07 8.970332799816902e-08 1.3233168812996355e-07 -4.5941773800538297e-07 -1.356878104839582e-06 -1.6051881923911666e-06 3.350802929652939e-06
PC8 1.704911868068651e-09 2.0188913427755928e-08 1.1489875021031488e-06 -1.7797728291312052e-07 -1.3227484170346007e-06 -9.569462160158775e-07 1.755100182815957e-07 1.0305061946008002e-06 1.4060195577547044e-05 4.818892064168743e-07 4.923617781796979e-07 -8.803246423314411e-07 2.540714982431885e-07 -1.592605766458236e-07 -4.871572478707025e-07 -4.7324153216365753e-07 4.1592000154410653e-07 6.470007559328141e-08 -8.790796525017034e-07 -1.5236772545705566e-07 1.0928347308485476e-07 1.1580428654688898e-06 -3.22968898033428e-06 1.7986941034529137e-06
PC9 1.9059256064673358e-06 -5.260749627001211e-09 -2.1693719850682244e-07 -9.558144814467903e-07 3.668882782702705e-07 -6.18856212850567e-07 2.8644264006734824e-07 -2.0852961520680286e-07 4.818892064168743e-07 1.1752721377227693e-05 -2.768469126094528e-07 -6.795731911151818e-09 -4.569449265757528e-07 7.898769895246137e-08 -8.647695397093856e-07 3.8822715937320403e-07 2.5185614979367076e-07 5.725246375172656e-07 -5.228750384172176e-07 -2.0050752570096562e-07 -7.325898741983212e-07 -1.7163580058114955e-06 3.627967083993507e-06 2.317842226587124e-06
