 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband
intercept 0.000621928033047809 9.023245307496134e-08 -2.4549452432002427e-05 1.2228651663980596e-06 7.071759576234253e-08 9.359537605592135e-07 2.7878016920443045e-06 1.2906872206803805e-06 -3.9173498012522883e-07 2.25004707179504e-06 -9.636203537029302e-07 9.547940398903265e-07 -6.232455101222897e-07 -1.3436943174518478e-06 -1.6417651727921697e-06 -1.934281770847239e-06 5.856142561878763e-07 -2.021280222526428e-06 -5.956592945750079e-07 1.0208431598035895e-06 -8.980452435293509e-07 4.640478375321493e-06
PC1 9.023245307496071e-08 2.1496502265066583e-06 -1.5751109198060326e-06 -3.227232000809017e-07 -1.0092771632716835e-07 -2.423287253312629e-07 8.305526181129608e-08 8.158622833827462e-08 6.65091830511081e-08 1.1726503482652562e-08 1.5034638149263147e-07 3.11226675110586e-08 6.199563033140204e-07 -1.379832583424904e-07 -2.9999776557328114e-07 -7.307311229604281e-07 -6.535844709829253e-07 2.615054789181492e-07 4.4947909287174736e-08 2.0771688316933124e-07 4.080695946807157e-08 -2.8831228538689556e-06
PC2 -2.4549452432002437e-05 -1.575110919806033e-06 4.7883268051757815e-05 9.375238869866288e-07 1.4855381380713247e-06 -6.187795040916551e-07 -4.870299069199012e-07 -5.952342889116561e-07 1.1752482512001761e-06 -3.3497286730852996e-07 -4.9469716125613445e-08 -1.3302363223806285e-07 -1.2290393989367136e-06 8.730271857606689e-07 -1.1579901638099562e-06 7.932903548574099e-08 1.0650820642676264e-07 7.224785661366926e-07 1.886716029741272e-07 -5.672180295601575e-07 -3.3139769541293223e-07 1.034116855585743e-06
PC3 1.2228651663980596e-06 -3.2272320008090174e-07 9.37523886986629e-07 4.218031988053532e-06 1.871412229090819e-07 1.2588730299731253e-06 4.7597060331998235e-08 5.12953641813286e-07 -1.9828463025094768e-07 -1.0083452550048161e-06 -8.824936029940572e-08 4.517498453281923e-07 1.007420529764672e-07 -7.725432201135751e-07 1.0845852461270198e-07 -3.523917881042396e-08 2.43183271844869e-07 -4.46131825596238e-07 -5.536766727027027e-07 4.5018137259510166e-07 1.3883534897087258e-07 7.781860682998197e-07
PC4 7.071759576234175e-08 -1.0092771632716832e-07 1.4855381380713245e-06 1.871412229090818e-07 8.122967758270098e-06 1.7509531088612614e-06 -3.8133973599246685e-07 2.473170680934038e-07 -1.2938820230550833e-06 4.1226405202405e-07 3.511833025891832e-07 3.098092116260533e-07 -1.006672342620538e-06 -6.650100846329992e-07 4.760215395199006e-09 -5.421990982948969e-08 6.031642625120249e-08 3.046176272414224e-08 -5.221580432292032e-07 -1.60809191364841e-07 1.4094504099118846e-07 1.0624459923336532e-06
PC5 9.35953760559212e-07 -2.423287253312632e-07 -6.187795040916542e-07 1.2588730299731261e-06 1.750953108861262e-06 1.595724762935888e-05 3.6526830883792813e-07 1.1700015615359885e-06 -8.659486119884244e-07 -6.03665813932474e-07 -5.022109432294173e-07 -9.521075262001312e-07 4.947939058419872e-07 -1.3743096206357398e-06 5.270384701634038e-07 9.212284044066153e-08 -3.385261443851025e-08 7.552669441418423e-07 -2.0303384363198378e-07 2.8908200014305433e-07 -9.748264766565989e-08 -1.7764079111581098e-06
PC6 2.787801692044305e-06 8.305526181129612e-08 -4.870299069199001e-07 4.759706033199829e-08 -3.813397359924667e-07 3.652683088379283e-07 1.5233479008810234e-05 -7.423890677874858e-08 2.4057885665784934e-07 2.7441389686727145e-07 5.124987449789882e-08 -3.842714932672576e-07 -1.1961196450415208e-07 -1.2921243498757246e-07 -2.3572276077274427e-07 -1.653741486072379e-07 -1.2310485127806798e-07 3.041621500761083e-07 -4.15862844672162e-07 -2.314066663221484e-07 -5.262139548072723e-07 2.579236802260072e-06
PC7 1.29068722068038e-06 8.158622833827462e-08 -5.952342889116563e-07 5.129536418132857e-07 2.47317068093404e-07 1.170001561535988e-06 -7.423890677874851e-08 1.2956798498244989e-05 9.610443795220757e-07 -2.1052608227359786e-07 -1.260775635855756e-07 1.3333611689368898e-06 3.6036138461682535e-07 2.6651177213029663e-07 -4.38225332272309e-07 -5.519498994256808e-07 5.3756244230020294e-08 -4.847954595495877e-07 9.571087747230024e-08 8.548005331462932e-08 -4.635480551159928e-07 -4.1587476023415547e-07
PC8 -3.9173498012522576e-07 6.650918305110805e-08 1.175248251200175e-06 -1.982846302509479e-07 -1.2938820230550835e-06 -8.659486119884242e-07 2.405788566578494e-07 9.61044379522076e-07 1.4583931981982117e-05 4.0004373706512485e-07 4.3435101292038016e-07 -8.565646219540443e-07 2.94479292530207e-07 -1.0141312056356691e-07 -5.111696346359779e-07 -4.5970780558832024e-07 3.5925881160084026e-07 1.285643534926752e-07 -8.269231971156421e-07 -2.1730870775995282e-07 9.698022377032645e-08 4.1137390679023705e-07
PC9 2.2500470717950393e-06 1.1726503482652483e-08 -3.349728673085299e-07 -1.008345255004816e-06 4.1226405202405e-07 -6.036658139324734e-07 2.744138968672716e-07 -2.1052608227359754e-07 4.000437370651248e-07 1.2398844333143958e-05 -2.5547750101893944e-07 -3.176058321021684e-08 -4.3132625509653275e-07 8.013116490952983e-08 -8.436504176841441e-07 4.1651120495567163e-07 3.328623372966069e-07 5.433764810609612e-07 -4.747865447700603e-07 -2.662011972293672e-07 -7.598483292040378e-07 1.5052353434050855e-06
