 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal gpp gpm gmp gmm
intercept 0.0006295150536364241 9.249392838945473e-09 -2.4509504413637688e-05 1.3312445116841744e-06 1.9996509821588378e-07 9.632175910800462e-07 2.6934319548196848e-06 1.5442739075945043e-06 -3.021018059130138e-07 1.967238257430762e-06 -1.0050466278623242e-06 1.2671390212133599e-06 -2.037928160260641e-07 -1.3354090226044402e-06 -1.269080523344243e-06 -2.3140273567231717e-06 5.046349432441918e-07 -1.8738693000182044e-06 -3.951016885924035e-07 1.067679188822811e-06 -8.040745980854971e-07 1.026758483545828e-05 -5.9003223337259044e-05 -3.534485225003551e-05 9.012029134789494e-05 1.8291591087724213e-06 -6.986055930832011e-07 7.84174460998878e-05
PC1 9.249392838944103e-09 2.1961445942934874e-06 -1.5858467128816012e-06 -3.560793123150375e-07 -1.2066381515946686e-07 -2.404788319734323e-07 5.254885194556593e-08 8.130304082313678e-08 5.1933211810868323e-08 -1.795727836930217e-08 1.428182906976449e-07 5.532449196716824e-08 6.1462391301053e-07 -1.380394375541972e-07 -3.4567366926897327e-07 -7.269669880554904e-07 -6.247926785429917e-07 2.487947180561463e-07 5.781814684413349e-08 2.0909198451972912e-07 3.976154362886751e-08 7.636089654315556e-07 -4.453898695058038e-06 -2.206719818016415e-06 -3.292589884773863e-07 2.699564101065016e-06 -1.8386537538742585e-07 -4.339187001015028e-06
PC2 -2.450950441363768e-05 -1.5858467128816014e-06 4.805027091533054e-05 9.62634115706051e-07 1.521841660261083e-06 -6.063738758069645e-07 -5.03588429328009e-07 -5.917459845094161e-07 1.1584695021703776e-06 -3.221868090615068e-07 -8.315675350663425e-08 -1.0738546754403372e-07 -1.2574771343948316e-06 8.980489374981887e-07 -1.162489059491645e-06 6.468752469112364e-08 6.75307772557696e-08 7.504345835335564e-07 2.1875147931677583e-07 -5.713402229623297e-07 -3.348469333853017e-07 1.1690033067638097e-06 3.388758795180805e-07 -6.801633503587541e-06 -5.634777244503111e-06 5.9812321358850256e-06 5.828130353392666e-06 6.478327942569179e-06
PC3 1.3312445116841755e-06 -3.5607931231503764e-07 9.626341157060508e-07 4.307861386898849e-06 2.3533843199974445e-07 1.3009961486761791e-06 5.751928508584968e-08 5.598633469689393e-07 -2.1952614329012503e-07 -1.0054268992411026e-06 -1.0818966256681891e-07 4.236223101038237e-07 8.984802112702442e-08 -7.833538681920327e-07 1.4939824665599847e-07 -5.622831805581086e-08 1.821825059777011e-07 -4.189070570372275e-07 -5.600381010090486e-07 4.52644587560595e-07 1.285906778918889e-07 -3.034962238028766e-06 1.2092282330211351e-07 3.018929923964431e-06 -2.62352413250275e-06 8.49552812888883e-06 -3.1733168975348e-06 7.455163532967197e-06
PC4 1.9996509821588444e-07 -1.2066381515946691e-07 1.5218416602610834e-06 2.3533843199974435e-07 8.22452648921086e-06 1.810240315661054e-06 -3.6720045673984137e-07 2.8845520463817876e-07 -1.3471223160896157e-06 4.28232490970432e-07 3.2308677304336084e-07 3.02882994794531e-07 -1.0154862586496582e-06 -6.842392464477494e-07 2.6244601181997162e-09 -8.222032187442837e-08 1.761980799135162e-08 4.88739409641365e-08 -5.207768070980067e-07 -1.574174020209445e-07 1.4693655942208295e-07 -1.9297328850142637e-06 -8.750190681190495e-07 -4.914204804889625e-07 -3.947762485999644e-07 8.327278496054317e-06 8.214420173744042e-06 2.50320252665269e-07
PC5 9.632175910800458e-07 -2.404788319734324e-07 -6.063738758069641e-07 1.300996148676179e-06 1.8102403156610538e-06 1.6085341140716363e-05 3.6567922705115796e-07 1.2195488314805933e-06 -9.592204850031793e-07 -6.291910560906904e-07 -5.297449076844054e-07 -9.563692657176796e-07 4.808027447074046e-07 -1.4147896778023085e-06 5.06623813774304e-07 6.210256293059622e-08 -5.367931260620379e-08 7.837798612657966e-07 -2.2186153636331211e-07 2.90799090405864e-07 -9.057903322050404e-08 -3.522316366265173e-06 -3.4033948221905023e-06 1.2976482866667902e-06 3.5893615197006874e-06 1.2521667534470543e-05 4.037317607830199e-07 -3.6336431001134498e-06
PC6 2.6934319548196822e-06 5.254885194556597e-08 -5.03588429328009e-07 5.751928508584947e-08 -3.6720045673984137e-07 3.65679227051158e-07 1.5319350613595872e-05 -8.222640089962388e-08 2.487729414322705e-07 3.1404653860917484e-07 7.176514014548917e-08 -4.2431248099280765e-07 -1.0958073350195214e-07 -1.4480785063419394e-07 -2.1755915372781282e-07 -1.5668734941207258e-07 -1.284778175481593e-07 2.989859403863383e-07 -4.463598120733432e-07 -2.3088811608959729e-07 -5.208139271633725e-07 -1.3310420751664167e-06 5.904829418192463e-06 5.1238197425327895e-06 1.1232958202532266e-06 -5.540431644182797e-06 2.9373798634086273e-06 -3.964888525885265e-06
PC7 1.5442739075945041e-06 8.130304082313687e-08 -5.91745984509416e-07 5.598633469689389e-07 2.8845520463817865e-07 1.2195488314805929e-06 -8.222640089962422e-08 1.3055631302325108e-05 9.320892599591989e-07 -2.4374967351778634e-07 -1.4612368931681544e-07 1.3293373752343936e-06 3.77783238454864e-07 2.4395603859491205e-07 -4.2766122967570695e-07 -5.850471485405027e-07 2.7720103456610728e-08 -4.7661274624687896e-07 1.02204130290461e-07 9.431693202669475e-08 -4.676839709781656e-07 -1.3288016216789845e-06 -7.2062173778932915e-06 2.278522685821603e-06 3.569483456206151e-06 9.48537359683541e-06 -1.5524538596966204e-06 2.807154226922691e-06
PC8 -3.0210180591301535e-07 5.193321181086837e-08 1.1584695021703764e-06 -2.1952614329012524e-07 -1.3471223160896161e-06 -9.592204850031793e-07 2.4877294143227035e-07 9.320892599591991e-07 1.4741113984712768e-05 4.2737042878749385e-07 4.658050771150836e-07 -8.676324894032107e-07 3.314956164711927e-07 -6.127007112625927e-08 -4.650396572700185e-07 -4.355778846097678e-07 3.6525967922423993e-07 9.574569251582247e-08 -8.034774499762634e-07 -2.1506104312049792e-07 8.443639397490198e-08 1.1666770823207246e-06 2.2052101905704432e-06 6.698632317348808e-07 -3.12510963241248e-06 -1.3540967951468933e-05 -1.0214793456229222e-06 7.153627542365592e-06
PC9 1.967238257430764e-06 -1.795727836930204e-08 -3.221868090615072e-07 -1.0054268992411035e-06 4.282324909704319e-07 -6.291910560906908e-07 3.1404653860917463e-07 -2.4374967351778645e-07 4.2737042878749385e-07 1.2505647755321928e-05 -2.5025630812879667e-07 -6.671661674812497e-08 -4.532963223025025e-07 9.456532353697136e-08 -8.449341932892894e-07 4.4542154615410634e-07 3.143480837136192e-07 5.333329486347807e-07 -4.828521533608753e-07 -2.71030010161745e-07 -7.641707985907618e-07 -1.640051976081909e-06 9.50733846170392e-06 1.3561681236439167e-06 -9.095796818515512e-06 -5.937761629593563e-06 8.68204637251114e-06 -2.5259570311106197e-06
