 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal gpp gpm gmp gmm
intercept 0.0006714544283037881 -6.872654068378176e-08 -2.4001342751255207e-05 1.5505763316690036e-06 8.371435840303965e-07 4.17586273714768e-07 2.557822017307725e-06 1.338686811479519e-06 -5.34962866840246e-07 2.245823954459913e-06 -8.973426695050619e-07 8.449470502213247e-07 -2.6762628078694456e-07 -1.395229256715234e-06 -1.6435273822847285e-06 -1.8779780540976782e-06 6.642741889282796e-07 -1.6850823287259932e-06 -8.550201325240403e-07 1.1016117536036697e-06 -1.1505567291823902e-06 2.4307184017790404e-06 -4.818877085166332e-05 -4.607435165709419e-05 3.859746800821026e-05 4.03541956954194e-05 4.237840102328602e-06 8.99583932427368e-05
PC1 -6.872654068378195e-08 2.2795827432163177e-06 -1.6138628191253937e-06 -3.367326898620654e-07 -9.722955435711849e-08 -2.520344760940649e-07 5.683342222161169e-08 1.2189563337390177e-07 7.058862332065425e-08 1.1518630187639164e-08 1.8220108342294276e-07 2.601263516226126e-08 6.175001397642502e-07 -1.2380435944545364e-07 -2.6458186427974183e-07 -7.2372408626473e-07 -6.609937391233861e-07 2.3633640282217386e-07 5.4140822281852554e-08 2.1039893874521145e-07 3.53189839686808e-08 7.271289123308702e-08 2.1450726494801257e-07 3.5937499134011706e-06 -9.663711076716997e-08 1.7153557631198533e-06 3.2079644660713927e-06 -3.699161572431355e-06
PC2 -2.4001342751255203e-05 -1.6138628191253942e-06 4.786703532423129e-05 9.67039537598126e-07 1.368936588222307e-06 -6.013483547592781e-07 -4.658922757909608e-07 -5.962849794718763e-07 1.209508265239784e-06 -4.0854404484883e-07 -1.0223548008853188e-07 -6.591294292065754e-08 -1.1616937553641318e-06 8.522083886037839e-07 -1.105007831775684e-06 7.928688522400713e-08 1.3718646999555536e-07 7.02107355256925e-07 1.489275352512571e-07 -5.056864656612785e-07 -3.173824031174596e-07 -7.111889853326498e-06 1.471029150163535e-05 4.657480379663144e-06 -8.826432914833047e-06 -9.55445433007207e-06 -6.334795565511941e-06 3.536748855682094e-06
PC3 1.5505763316690032e-06 -3.3673268986206544e-07 9.670395375981264e-07 4.514436836431708e-06 1.7048007213812976e-07 1.2256691720493826e-06 8.401414669484829e-08 4.571071499152882e-07 -1.6821727104878225e-07 -1.0115223521292493e-06 -1.3069974593217448e-07 4.5021992919638027e-07 7.281814011172037e-08 -7.786128077685845e-07 1.0854013368106663e-07 -3.6120767396265854e-08 2.801924317448839e-07 -3.959567863030644e-07 -5.739985773850924e-07 4.868506881677984e-07 9.614816724877185e-08 -5.951893056795235e-07 2.9291432942892344e-06 3.783290504045872e-06 3.258714050768971e-06 -1.3446783260156087e-06 -1.3471434631214854e-05 6.1406345881035394e-06
PC4 8.371435840303953e-07 -9.72295543571185e-08 1.3689365882223062e-06 1.7048007213812995e-07 8.590295451721921e-06 1.712817645453547e-06 -4.4868210462127895e-07 2.4660338969259206e-07 -1.3674695089567226e-06 4.528815803269112e-07 3.77267509072001e-07 2.737007016826665e-07 -1.0207160617484692e-06 -6.698283956107607e-07 5.555068623759633e-08 -4.32248483469879e-08 7.454074242494627e-08 -1.0212295615263098e-08 -4.888119061563231e-07 -1.3741182194027126e-07 1.1835689835677783e-07 6.396023132072742e-07 -7.776399365425353e-06 -4.8312262909828994e-06 -5.729375033532813e-06 1.600302184447843e-05 -2.2332063169855306e-06 6.105005127677423e-06
PC5 4.175862737147679e-07 -2.5203447609406534e-07 -6.013483547592778e-07 1.225669172049383e-06 1.7128176454535466e-06 1.6192064091260077e-05 3.489665877844806e-07 1.1026009370749213e-06 -8.243127302378496e-07 -5.831336476685421e-07 -4.512457311576242e-07 -9.30020117730647e-07 5.079369241966522e-07 -1.292383891510849e-06 5.525129425001678e-07 9.048865072739346e-08 -7.635044067865288e-08 7.541355295219849e-07 -1.8884427276370058e-07 2.731759629914151e-07 -9.629735663721135e-08 -5.298713870987019e-07 -3.3272440159342266e-07 4.250029307380013e-06 2.1435750511968123e-06 5.3377975399447725e-06 3.8777719627879453e-07 -5.161377705913168e-06
PC6 2.5578220173077254e-06 5.6833422221611664e-08 -4.6589227579096073e-07 8.401414669484818e-08 -4.486821046212792e-07 3.489665877844803e-07 1.5427567459805114e-05 -1.3397469942910814e-07 2.9647593136869256e-07 2.1760606116886537e-07 5.409137020649651e-08 -3.656696664472852e-07 -5.875228099148444e-08 -1.4760990050939991e-07 -2.5054258860915574e-07 -1.246746372424263e-07 -7.998408226140864e-08 3.1886334568196957e-07 -4.6859005828600993e-07 -2.3332722288625618e-07 -5.527190757177976e-07 2.5036122682489105e-06 2.225748275692606e-07 -2.080456073398388e-06 1.2111058890675446e-05 -8.561279335936424e-06 -7.742259412203998e-06 3.620553432770021e-06
PC7 1.338686811479517e-06 1.218956333739016e-07 -5.962849794718762e-07 4.5710714991528853e-07 2.466033896925921e-07 1.102600937074921e-06 -1.3397469942910859e-07 1.3120116641488182e-05 9.791689621910042e-07 -2.2024511939197152e-07 -1.0071925505205266e-07 1.3126430978880426e-06 3.6375379909286274e-07 2.5577729084007187e-07 -3.8250991189953903e-07 -5.37227702176238e-07 6.576762898945891e-08 -5.004666841265866e-07 1.050766086948983e-07 7.226752475672856e-08 -4.485796876123108e-07 -1.1443583688123471e-06 2.7482745598702507e-06 4.08602399581543e-06 -3.6105288474260264e-06 2.2290353847905204e-06 5.321171153054913e-06 -1.1525272682047033e-05
PC8 -5.349628668402474e-07 7.05886233206543e-08 1.2095082652397847e-06 -1.6821727104878243e-07 -1.3674695089567218e-06 -8.243127302378496e-07 2.964759313686921e-07 9.791689621910044e-07 1.4701610211297203e-05 3.70480123222848e-07 3.7024932861045524e-07 -8.152326412119884e-07 3.25182326436277e-07 -1.1977014983401784e-07 -4.957475873023216e-07 -4.6312396585414153e-07 3.743460223004505e-07 1.1217470024317665e-07 -8.216331761321165e-07 -1.7269926608362763e-07 1.0365476125195108e-07 -8.80600530329323e-07 5.592994287627043e-06 1.0534153079343842e-05 2.0425324696035816e-06 -5.158036261227208e-06 -1.0980758221061018e-05 -7.780732224798614e-07
PC9 2.2458239544599093e-06 1.1518630187639265e-08 -4.0854404484883065e-07 -1.01152235212925e-06 4.5288158032691107e-07 -5.831336476685426e-07 2.1760606116886545e-07 -2.202451193919718e-07 3.7048012322284795e-07 1.250214234407859e-05 -2.1199157875067351e-07 -3.530148609768263e-08 -4.239271939549822e-07 1.053931529289683e-07 -8.485272541288033e-07 4.09276966249538e-07 3.776560582175462e-07 4.969217248159701e-07 -4.956418348521833e-07 -2.6786230900593387e-07 -7.528186855759289e-07 3.0608270186559313e-06 -6.377749087734535e-06 1.9536797896417993e-06 4.351861849764848e-06 1.578836453132108e-06 8.062932793583038e-07 -7.153751619262507e-06
