 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal
intercept 0.0007419355349411655 5.8676972824862906e-08 -2.4210367127297174e-05 1.6684442887624556e-06 7.419499484120184e-07 2.527105825562834e-07 2.3484902915223407e-06 2.1633915348552618e-06 -2.8332432524225565e-07 2.3323506023036076e-06 -1.2799811962705519e-06 4.6322104621976394e-07 -2.986356169065847e-07 -2.0491192395824643e-06 -1.6181306649398638e-06 -1.9508405184828213e-06 1.5277457729773066e-06 -1.7353826643082522e-06 -5.530992598242577e-07 8.219971254773364e-07 -8.534473220131946e-07 1.469039438710336e-05 8.949377041054193e-06 -4.549603631469938e-05
PC1 5.867697282486304e-08 2.6014793912009407e-06 -1.7247155452528336e-06 -3.1898424708401626e-07 -4.13206415683523e-08 -2.7243163854021466e-07 1.35362661075324e-07 9.991288728948455e-08 1.4443835537584906e-07 -3.4629021239889586e-08 2.0237988794878694e-07 -1.547700903780564e-08 5.926127821246091e-07 -8.460084706444607e-08 -2.299693848926631e-07 -7.622494723008413e-07 -6.81114939789107e-07 2.0726861139566136e-07 -3.5784636148160453e-10 1.7070433316620116e-07 3.980307842704914e-08 1.3279516334155434e-07 -7.746318541084962e-06 -4.976246056931277e-06
PC2 -2.4210367127297177e-05 -1.724715545252833e-06 4.9136128779031796e-05 8.055794348700107e-07 1.4155969510842178e-06 -6.355402390593188e-07 -6.245980646333143e-07 -5.440889530438935e-07 9.833002206994331e-07 -3.246883054418461e-07 -5.503992277126312e-08 -9.613219242850246e-09 -1.0258552169850485e-06 8.799169052696475e-07 -1.308141215080165e-06 2.620220652836822e-07 1.9209411596919478e-07 7.876194007082428e-07 1.8683623628408358e-07 -4.324697027158574e-07 -3.42418985722643e-07 4.974961059479321e-06 6.5088109490115595e-06 3.887356363152687e-06
PC3 1.6684442887624562e-06 -3.1898424708401615e-07 8.055794348700106e-07 4.872390978211352e-06 1.6012943207120648e-07 1.2811831707289094e-06 3.307676796828797e-08 5.476868794048836e-07 -1.7842061561471075e-07 -1.0412611720247722e-06 -7.812620415931399e-08 4.045787129717423e-07 1.024152072039721e-07 -7.465413546212876e-07 1.7252681980670438e-07 -4.7172893995349036e-08 2.9626153353155604e-07 -4.273387379985257e-07 -5.52971133759485e-07 4.331341567704198e-07 1.2635680232152367e-07 -5.085848578269401e-07 -1.9019180290932935e-06 -3.1949005869937123e-06
PC4 7.41949948412018e-07 -4.132064156835232e-08 1.4155969510842176e-06 1.601294320712065e-07 9.189104898966286e-06 1.6765553556189171e-06 -4.491642327396919e-07 2.4193488029464276e-07 -1.2784250523537988e-06 4.538248369124298e-07 3.7674272172654187e-07 3.120824752430564e-07 -1.0757796176074226e-06 -6.690045043726567e-07 6.940098449893373e-08 -2.3464746335899786e-08 4.7513152518534445e-08 -5.3855689305958445e-08 -4.936890753156188e-07 -1.1820576273333938e-07 1.2737002187040365e-07 -7.429358351400901e-07 -8.521534097106097e-07 -7.005404964641727e-07
PC5 2.527105825562825e-07 -2.7243163854021477e-07 -6.355402390593184e-07 1.2811831707289096e-06 1.6765553556189176e-06 1.691428836741011e-05 4.177215489269149e-07 1.1216508254945586e-06 -7.353242604208325e-07 -6.102211180281512e-07 -3.8790835733023036e-07 -9.713788670330875e-07 5.273100518396741e-07 -1.2105731091055226e-06 4.808585280297824e-07 7.396980814293518e-08 -9.565962080189846e-08 7.477694062775943e-07 -1.4395965681452083e-07 1.774817817779364e-07 -1.4223189524855561e-07 1.3581003073103227e-06 -4.500526869889471e-06 5.096154297000458e-07
PC6 2.348490291522342e-06 1.353626610753241e-07 -6.245980646333138e-07 3.307676796828773e-08 -4.4916423273969193e-07 4.177215489269152e-07 1.5921188258535238e-05 -4.1238329949445084e-08 2.7972233178122977e-07 2.0908813419543507e-07 1.4881512475134088e-07 -3.9998002296091694e-07 -9.801197980891081e-08 -1.401299472711501e-07 -2.194672385601006e-07 -1.427592968289745e-07 -1.7857686068817795e-07 2.842810833488617e-07 -3.9656897854872855e-07 -2.238881326188877e-07 -5.860407787539144e-07 1.4069677890812044e-06 -4.7610731046089336e-06 2.6537140099377875e-07
PC7 2.1633915348552618e-06 9.991288728948433e-08 -5.440889530438931e-07 5.476868794048837e-07 2.41934880294643e-07 1.1216508254945584e-06 -4.123832994944519e-08 1.3556746037013464e-05 9.75902300547635e-07 -2.953258587553156e-07 -1.1027478458859713e-07 1.1926894439921955e-06 3.585042667027639e-07 2.603884295533952e-07 -3.4956104259849266e-07 -5.464239151527214e-07 1.421289767604565e-07 -4.40286786368384e-07 1.0987351836049334e-07 2.500730664739577e-08 -4.6528145566616413e-07 -8.56236768539857e-08 -1.1071130261619787e-06 -1.9076199595941515e-06
PC8 -2.833243252422546e-07 1.444383553758491e-07 9.833002206994331e-07 -1.7842061561471072e-07 -1.2784250523537988e-06 -7.353242604208324e-07 2.7972233178122956e-07 9.759023005476353e-07 1.5134767359808077e-05 3.021042190082455e-07 3.655363858468264e-07 -8.074621527978682e-07 4.275252031024645e-07 -4.736621078156366e-08 -5.044535121071403e-07 -5.571844209229831e-07 4.05303046629486e-07 1.3724120250689193e-07 -8.111127040401822e-07 -2.3729500603703326e-07 1.0880840313820398e-07 2.3229557224409397e-06 -4.787726670922838e-06 -5.447618471973007e-06
PC9 2.332350602303608e-06 -3.4629021239889884e-08 -3.246883054418459e-07 -1.041261172024772e-06 4.538248369124299e-07 -6.102211180281513e-07 2.090881341954349e-07 -2.9532585875531563e-07 3.0210421900824517e-07 1.2971270726062036e-05 -2.7404008445700516e-07 5.21572306338197e-09 -3.971713010597668e-07 2.297315116249043e-08 -8.661649075816415e-07 4.5585745883945835e-07 3.9535331781241346e-07 4.904033473880424e-07 -5.106984721041403e-07 -2.3787424969497635e-07 -7.259243684808545e-07 -3.415627398422631e-07 3.0397009947342644e-06 2.277198539429444e-06
