 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal gpp gpm gmp gmm
intercept 0.0005322232017018999 3.822599304337705e-08 -2.3489800756311643e-05 1.1922857330105754e-06 -5.503650358924323e-07 1.5067741104715011e-06 2.479630378681564e-06 8.334662800142232e-07 1.0707296990378338e-06 1.7241113848845325e-06 -8.767088200621533e-07 1.334680471556791e-06 -4.000776276341402e-07 -6.808501707616297e-07 -9.397412393234276e-07 -2.1544222179402507e-06 5.303583470677514e-07 -2.467484517403357e-06 -1.449540955953325e-06 1.0902687952209462e-06 -1.1026011423694397e-06 1.569851045452048e-05 2.093797433820197e-05 2.7992139916573433e-05 4.237249692968583e-05 -5.163004651704049e-05 -6.465021582041684e-05 -0.00010688317437218703
PC1 3.822599304337825e-08 1.914091959375595e-06 -1.6469036243694526e-06 -2.0010321488089816e-07 -8.712654481308e-08 -2.007366281976655e-07 1.4422637357533997e-07 2.5396830346385843e-08 9.911270840395152e-08 -2.3808111567506913e-08 1.6793326898019284e-07 -8.845010577454636e-09 5.620922588116908e-07 -5.2664243075080725e-08 -2.2291188902883679e-07 -7.437854253137891e-07 -6.720873651296619e-07 2.7851041233685085e-07 -1.331562179458394e-08 1.280063529305784e-07 4.357852819730964e-08 6.084963769733355e-07 -6.2125456933264455e-06 -2.4284705663353957e-06 1.1329724332370219e-06 4.608226302674366e-07 -4.148918653298126e-06 -4.926559566252199e-07
PC2 -2.348980075631167e-05 -1.6469036243694523e-06 4.5863355407535085e-05 9.146790770416161e-07 1.3400217932960586e-06 -5.032075541399984e-07 -4.990883132011989e-07 -7.323293122246373e-07 1.1711733118859064e-06 -1.1578541766505152e-07 -3.696144025973707e-08 -1.966485248020023e-07 -1.26026888563767e-06 7.102875478195432e-07 -1.3044923617876817e-06 2.5128385755778804e-08 2.2776746565775406e-07 7.002034315468339e-07 1.9464193883403638e-07 -6.407636551921914e-07 -3.4030166132170426e-07 4.686204978189767e-06 -1.6833022483580094e-06 -7.398223804878164e-07 1.2569741430868008e-05 2.7577058850832442e-06 1.2370374338495807e-05 -3.761371070690256e-06
PC3 1.1922857330105742e-06 -2.0010321488089813e-07 9.146790770416166e-07 3.7694249713203406e-06 2.089399149409833e-07 1.1917737521996823e-06 5.451970266465447e-08 5.681930872283099e-07 -1.121334898638767e-07 -9.7412317958787e-07 -1.0670727287962284e-07 4.460192319846978e-07 3.7921327888685826e-08 -7.321620035666697e-07 9.855931739139123e-08 -2.8004193421059756e-08 2.336101553774586e-07 -5.197147647980299e-07 -5.64798584348252e-07 4.524068600509504e-07 1.2425710702252212e-07 -4.64581928489264e-07 8.682513418244399e-07 -1.9800211139914338e-06 9.828392208409558e-07 -5.988624081592399e-06 1.6702746470198963e-06 -1.677118494894423e-06
PC4 -5.503650358924336e-07 -8.712654481307992e-08 1.340021793296059e-06 2.0893991494098343e-07 6.963087278358909e-06 1.6848970936612194e-06 -3.6199178343907905e-07 2.409371169835141e-07 -1.2918431316641616e-06 3.4704208514918226e-07 3.0702287381439094e-07 2.625822128804698e-07 -9.197270954605462e-07 -5.654287733615702e-07 2.518340114365641e-08 -2.2781033176858098e-08 7.672230196955982e-08 8.76101772333716e-08 -5.272689492393926e-07 -2.1434898409869356e-07 1.2202686835940639e-07 -1.272710818456016e-06 -9.52428793040296e-07 -2.264064734515372e-07 5.4618974006896306e-06 -3.8247056397548984e-06 -8.015830083575707e-06 5.526899854054641e-06
PC5 1.506774110471503e-06 -2.0073662819766518e-07 -5.032075541399978e-07 1.1917737521996826e-06 1.684897093661219e-06 1.4766489455195946e-05 3.7376467470413356e-07 1.2270888313704267e-06 -9.320353800417888e-07 -6.341058446119752e-07 -5.55531364556762e-07 -1.010882364048391e-06 3.471741434164624e-07 -1.3417092528344468e-06 4.776715447806313e-07 3.8192194085825744e-08 -8.505029286889498e-08 7.821381440805385e-07 -2.973659725856739e-07 3.149923765903636e-07 -3.208516617967647e-08 2.683932331628715e-07 -4.577371153604387e-06 -9.330503764220452e-07 7.810773703253532e-06 -7.452485302048135e-06 1.558685891261418e-05 -8.01993754989686e-06
PC6 2.479630378681565e-06 1.4422637357534e-07 -4.990883132011994e-07 5.451970266465428e-08 -3.6199178343907926e-07 3.737646747041331e-07 1.4188503712533878e-05 -1.1494970206811274e-07 2.0378996644503297e-07 2.031863749863947e-07 1.720253012449895e-08 -3.1275443891835767e-07 -2.104252549425983e-07 -1.6001836592594214e-07 -2.9504966778141293e-07 -2.2429334608531895e-07 -1.116712118191141e-07 3.042416094720317e-07 -3.661249195815264e-07 -2.724833529237004e-07 -4.929658958895754e-07 1.4517100375576104e-06 -4.284781500061146e-06 -1.401929932343956e-06 1.672827889668427e-06 -2.890549848222462e-06 9.785567720442946e-06 -3.545018122921533e-06
PC7 8.334662800142231e-07 2.5396830346385906e-08 -7.323293122246362e-07 5.681930872283105e-07 2.409371169835142e-07 1.2270888313704265e-06 -1.1494970206811276e-07 1.2224961152363713e-05 1.0610561243212167e-06 -2.3502976762598322e-07 -1.5243632479934651e-07 1.4123446582916834e-06 3.4366908508785073e-07 3.1747969099281933e-07 -4.876386997980225e-07 -5.615594664809382e-07 1.87854106274645e-08 -5.543449697581166e-07 4.2689767145789295e-08 1.2825691196276796e-07 -4.404076589494159e-07 1.646959871018098e-07 1.5673689399082994e-06 -4.00932679146472e-06 1.7992441083068571e-06 -7.756405150489162e-06 1.7326026206252663e-05 -1.2049726452393765e-05
PC8 1.0707296990378355e-06 9.911270840395158e-08 1.1711733118859073e-06 -1.1213348986387691e-07 -1.2918431316641612e-06 -9.320353800417893e-07 2.037899664450327e-07 1.0610561243212169e-06 1.3855815309155162e-05 4.103549159581747e-07 5.909722240877999e-07 -9.300628355518823e-07 1.4360952855578356e-07 -9.377559461554432e-08 -4.462166192230693e-07 -5.881761635614296e-07 3.7391499580796324e-07 4.7798772707192556e-08 -9.028167095459411e-07 -2.076837777396085e-07 1.243647340767381e-07 3.2223164221071727e-06 -9.765296239124538e-06 -2.7603436954150956e-06 9.460593013128077e-06 1.046724745200103e-06 -2.4204951018333892e-06 -7.96952275124471e-06
PC9 1.7241113848845348e-06 -2.380811156750696e-08 -1.157854176650519e-07 -9.741231795878701e-07 3.4704208514918247e-07 -6.341058446119751e-07 2.0318637498639484e-07 -2.3502976762598272e-07 4.1035491595817453e-07 1.142767880989747e-05 -2.3544994250592773e-07 5.79935952310847e-08 -4.0737417016449905e-07 6.912160377834189e-08 -9.101301152584231e-07 4.083411616149253e-07 2.938195831869191e-07 5.589642053671862e-07 -4.077566165490529e-07 -1.7115525722684843e-07 -7.1943077561698e-07 -1.6166244464553773e-06 3.7258432505039333e-06 1.2337188852430324e-08 9.459511792945769e-08 -1.6203781387957007e-06 3.8882295163547275e-06 2.317135432586825e-06
