 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal
intercept 0.0007568162904748829 -6.849130314939808e-08 -2.3616016711656793e-05 1.9072039027270697e-06 9.409412593561891e-07 -7.043530135671603e-08 2.1979336577516123e-06 2.4002837653659784e-06 -1.468784539765804e-07 2.5304481724808646e-06 -1.174734717246856e-06 4.4447185944803694e-07 -2.4591873037215e-07 -2.002440704701295e-06 -1.3784811774830034e-06 -2.135491264906597e-06 1.4128785195168919e-06 -1.7567242398483024e-06 -7.216747272589456e-07 8.826972672954369e-07 -8.378474376435753e-07 6.188869345689713e-06 1.2074132703464498e-05 -4.289561247058871e-05
PC1 -6.84913031493989e-08 2.5363001997590454e-06 -1.6579099331691855e-06 -3.625092481390214e-07 -5.261736105023287e-08 -2.7826983198029647e-07 1.2939402679363564e-07 8.13153516156655e-08 8.325894307740574e-08 -2.0732289224460786e-08 2.1067914240083954e-07 4.095428458775595e-09 6.103674186043756e-07 -1.019604372153644e-07 -2.5878518481783583e-07 -7.424964083571322e-07 -6.387900112569152e-07 2.2975238619361567e-07 5.270117741785186e-09 1.7647502021279462e-07 1.411937791907259e-08 5.5520163329685875e-08 -4.85333191590045e-06 -2.091464582149327e-06
PC2 -2.36160167116568e-05 -1.6579099331691853e-06 4.823965583742095e-05 8.705323196633459e-07 1.351327115773493e-06 -5.783808003005641e-07 -5.351294174677471e-07 -5.479969402269794e-07 1.037627637696678e-06 -3.132325823140211e-07 -9.204478751606512e-08 9.25037828614701e-09 -9.86019668572095e-07 8.765716871886699e-07 -1.0703012716235617e-06 1.0108290404590491e-07 1.0100639720098475e-07 7.781739056777856e-07 1.9804332555456855e-07 -4.12735837543406e-07 -3.1697377823143884e-07 8.493516567484547e-06 7.319773372674978e-07 2.513499560153504e-06
PC3 1.9072039027270703e-06 -3.6250924813902146e-07 8.705323196633457e-07 4.892130856126656e-06 1.452426590031357e-07 1.2004524104717028e-06 2.0403227238469585e-09 5.056699366369306e-07 -2.3718214264484846e-07 -9.726403001782993e-07 -8.44829427725067e-08 4.373325242967117e-07 6.957669270401019e-08 -7.895273153997984e-07 1.0999475633658096e-07 -4.121454980839637e-08 3.108412361215284e-07 -3.8153088264353797e-07 -5.318004772733981e-07 4.088160185206088e-07 1.2043410036206966e-07 -5.921171320107215e-07 2.7833045483554384e-06 -2.0718866565912636e-06
PC4 9.409412593561887e-07 -5.261736105023283e-08 1.3513271157734938e-06 1.452426590031359e-07 9.168571447053655e-06 1.6565909103993701e-06 -4.035024511230186e-07 2.500490964298887e-07 -1.3188163036256312e-06 4.84258131045159e-07 3.827895727168762e-07 2.6012013273283017e-07 -1.062978064042175e-06 -6.439465161231936e-07 6.262524368989443e-08 5.867218666657144e-09 5.343466378211641e-08 -6.531248023425395e-08 -4.900669186206167e-07 -1.3083815937213566e-07 9.805710446512462e-08 -1.1838990038782062e-06 -1.3014469061800723e-06 2.974493041957884e-07
PC5 -7.043530135671272e-08 -2.782698319802964e-07 -5.783808003005641e-07 1.2004524104717028e-06 1.65659091039937e-06 1.6683574337404766e-05 4.235059472053887e-07 9.725642407886085e-07 -7.479800661247739e-07 -6.024806675172126e-07 -4.049658790838084e-07 -8.879758270238837e-07 5.602923961729841e-07 -1.1902831724997941e-06 5.023147095558934e-07 6.196558532201747e-08 -7.904599201277547e-08 7.708139872086593e-07 -2.116393682054328e-07 1.9620805495678133e-07 -1.3037732611126323e-07 1.6510204273264434e-07 -4.0250979509586865e-06 2.210326454114556e-07
PC6 2.197933657751615e-06 1.293940267936356e-07 -5.35129417467747e-07 2.0403227238471756e-09 -4.035024511230188e-07 4.2350594720538895e-07 1.578125814331225e-05 -1.0938284584995267e-07 3.517719931158494e-07 2.053166189567676e-07 1.6945745481968155e-07 -3.553782324936918e-07 -5.7605328629304284e-08 -1.1019252799348136e-07 -1.9141453923294686e-07 -1.7213186583861355e-07 -9.212555983245216e-08 2.7549343194481665e-07 -4.752678612538428e-07 -2.6752002981159997e-07 -5.526747170994974e-07 2.1260584720480284e-06 -8.257055919859849e-06 -4.330576523362019e-06
PC7 2.400283765365978e-06 8.131535161566542e-08 -5.479969402269788e-07 5.056699366369305e-07 2.5004909642988843e-07 9.725642407886092e-07 -1.093828458499525e-07 1.3398886220486567e-05 9.95755630765129e-07 -2.771578605461244e-07 -1.2959806514942862e-07 1.2397857695111987e-06 4.344629975981102e-07 2.233008487065177e-07 -3.602152899713517e-07 -5.483719354503188e-07 1.4794442124907209e-07 -4.186090985108829e-07 7.892894440277356e-08 5.603470412439722e-08 -4.895636971837887e-07 3.1642667988744516e-07 1.760512000082075e-06 -4.153421196750207e-07
PC8 -1.4687845397658402e-07 8.325894307740582e-08 1.0376276376966783e-06 -2.3718214264484838e-07 -1.3188163036256314e-06 -7.479800661247742e-07 3.5177199311584976e-07 9.957556307651291e-07 1.4921602522248867e-05 3.398871193939888e-07 4.290055708320047e-07 -8.054396929834241e-07 3.726319472342024e-07 -9.60255062004886e-08 -4.94095083558882e-07 -5.211256442583131e-07 4.235120707707764e-07 9.245063726997147e-08 -8.044431909861288e-07 -3.0740268495628274e-07 1.1095548897457095e-07 1.662376546813491e-06 -4.892082327601656e-06 -6.302116201766613e-06
PC9 2.530448172480862e-06 -2.0732289224460726e-08 -3.132325823140204e-07 -9.726403001782995e-07 4.84258131045159e-07 -6.024806675172126e-07 2.0531661895676752e-07 -2.771578605461243e-07 3.3988711939398905e-07 1.2752829809708229e-05 -2.1133222194230352e-07 -3.9409618734358213e-08 -4.4441480346909124e-07 9.565777933546177e-08 -8.446001853837886e-07 4.5912487092650235e-07 4.117303872502073e-07 4.346378463004616e-07 -5.45608347362664e-07 -2.789456390041922e-07 -7.545269342524397e-07 1.3094228026464617e-06 1.8753408470536648e-07 -1.4358110204812293e-06
PC10 -1.1747347172468546e-06 2.1067914240083964e-07 -9.204478751606516e-08 -8.448294277250653e-08 3.8278957271687616e-07 -4.0496587908380844e-07 1.694574548196815e-07 -1.295980651494285e-07 4.2900557083200454e-07 -2.1133222194230405e-07 1.288829725133536e-05 -4.801872035791688e-07 -5.733331398343033e-08 -2.903332727124144e-07 -2.4912356587816894e-09 1.5386316448669438e-07 -3.426311030145452e-07 6.636091212043868e-08 1.215908367208499e-07 4.11749808213842e-07 9.922340900252808e-08 3.035439860628337e-07 -3.862397316543925e-06 -4.7515793196497755e-06
PC11 4.444718594480363e-07 4.0954284587754786e-09 9.25037828614624e-09 4.373325242967119e-07 2.601201327328298e-07 -8.879758270238836e-07 -3.553782324936917e-07 1.2397857695111993e-06 -8.05439692983424e-07 -3.9409618734358445e-08 -4.801872035791689e-07 1.2590618658635053e-05 -1.1300291164689238e-08 -1.5451148998110868e-07 -4.5171526689297745e-07 3.8420651844224945e-07 2.4589429465627594e-07 4.6455593271122306e-07 3.7373118137792135e-08 6.539679170581629e-07 2.3992222876612164e-07 1.9803327111668828e-07 -1.1091084327850657e-06 -5.2356169295205924e-08
PC12 -2.4591873037214977e-07 6.103674186043755e-07 -9.860196685720947e-07 6.957669270401004e-08 -1.062978064042175e-06 5.602923961729841e-07 -5.760532862930426e-08 4.3446299759811025e-07 3.7263194723420254e-07 -4.444148034690911e-07 -5.7333313983430476e-08 -1.1300291164689118e-08 1.1532293980131531e-05 -1.5442787202732286e-08 -3.375828289550756e-08 -5.232128496473015e-07 2.3465300663057243e-07 -1.6137368826718125e-07 -1.484559363491051e-07 -1.7435129290665006e-07 -6.143969716968323e-07 1.5438329267264965e-06 2.667537310759727e-06 -3.4238753540831275e-06
PC13 -2.0024407047012937e-06 -1.0196043721536402e-07 8.765716871886691e-07 -7.89527315399798e-07 -6.439465161231931e-07 -1.1902831724997937e-06 -1.1019252799348167e-07 2.233008487065181e-07 -9.602550620048841e-08 9.565777933546181e-08 -2.9033327271241473e-07 -1.545114899811084e-07 -1.5442787202732296e-08 1.1906400768752465e-05 -6.359909489859903e-07 9.607043271481824e-07 1.825739556915514e-07 1.961331610605937e-07 -1.2308437089045901e-07 -4.2899895916894036e-10 1.8933702185786273e-07 -1.9392868308160453e-07 -5.298753269553529e-06 1.526311304655815e-08
PC14 -1.3784811774830004e-06 -2.587851848178357e-07 -1.070301271623563e-06 1.0999475633658121e-07 6.262524368989444e-08 5.02314709555893e-07 -1.9141453923294665e-07 -3.6021528997135196e-07 -4.940950835588825e-07 -8.446001853837888e-07 -2.4912356587816584e-09 -4.5171526689297745e-07 -3.375828289550753e-08 -6.359909489859906e-07 1.2340796093690487e-05 -1.2185916291921038e-07 6.379070198968564e-08 -5.267987612858317e-09 1.5945685589753392e-07 -9.07396124716349e-08 1.2701488255211098e-07 -1.6135218633042967e-06 8.414591706809273e-07 -2.7655110990774626e-06
PC15 -2.135491264906596e-06 -7.424964083571325e-07 1.0108290404590487e-07 -4.1214549808396275e-08 5.8672186666572585e-09 6.196558532201727e-08 -1.721318658386138e-07 -5.483719354503187e-07 -5.211256442583137e-07 4.591248709265024e-07 1.538631644866949e-07 3.842065184422494e-07 -5.232128496473019e-07 9.60704327148183e-07 -1.2185916291921028e-07 1.1715249001564971e-05 3.6369781598347007e-07 -6.698170915151571e-07 -8.818494211011548e-08 -1.0259005630746745e-07 1.3706525528940642e-07 -5.056261959222959e-06 6.51247464345698e-06 6.239057703930565e-06
PC16 1.4128785195168876e-06 -6.387900112569152e-07 1.0100639720098519e-07 3.108412361215285e-07 5.343466378211647e-08 -7.904599201277573e-08 -9.212555983245235e-08 1.4794442124907232e-07 4.235120707707763e-07 4.1173038725020726e-07 -3.4263110301454527e-07 2.458942946562759e-07 2.3465300663057243e-07 1.8257395569155147e-07 6.379070198968577e-08 3.6369781598346965e-07 1.1949835176269587e-05 -4.082257100384941e-07 -2.59093677564482e-09 -6.679720782692911e-07 -2.1325853565633605e-07 1.3250257107232686e-06 1.1706580552309855e-06 -4.371987168501762e-06
PC17 -1.7567242398483035e-06 2.2975238619361567e-07 7.781739056777867e-07 -3.815308826435378e-07 -6.531248023425336e-08 7.708139872086596e-07 2.754934319448165e-07 -4.186090985108824e-07 9.245063726997107e-08 4.346378463004615e-07 6.636091212043873e-08 4.645559327112232e-07 -1.6137368826718165e-07 1.9613316106059385e-07 -5.26798761285831e-09 -6.698170915151572e-07 -4.082257100384939e-07 1.0761810366214559e-05 3.68076631371046e-07 -1.569306236287605e-07 1.1750552316234162e-07 1.2659873839043433e-06 -1.202741349953724e-06 1.6586496121766556e-06
PC18 -7.216747272589463e-07 5.27011774178511e-09 1.9804332555456847e-07 -5.318004772733981e-07 -4.900669186206168e-07 -2.116393682054324e-07 -4.7526786125384245e-07 7.89289444027737e-08 -8.04443190986129e-07 -5.45608347362664e-07 1.2159083672085022e-07 3.737311813779227e-08 -1.4845593634910518e-07 -1.2308437089045925e-07 1.594568558975343e-07 -8.818494211011555e-08 -2.5909367756449556e-09 3.68076631371046e-07 1.0779044075769406e-05 -2.290337923678504e-07 6.66788756286877e-08 1.0177515450525054e-06 2.9896738688811256e-06 1.0481696719700013e-06
PC19 8.826972672954381e-07 1.7647502021279462e-07 -4.1273583754340675e-07 4.088160185206085e-07 -1.308381593721358e-07 1.962080549567812e-07 -2.6752002981159987e-07 5.6034704124397386e-08 -3.074026849562827e-07 -2.7894563900419176e-07 4.11749808213842e-07 6.539679170581628e-07 -1.7435129290665006e-07 -4.289989591686983e-10 -9.073961247163493e-08 -1.0259005630746727e-07 -6.679720782692907e-07 -1.5693062362876044e-07 -2.2903379236785018e-07 1.0933767294688097e-05 5.954189935860272e-07 -7.134776008704881e-07 1.914798864387813e-06 4.1371604267288415e-06
PC20 -8.378474376435745e-07 1.4119377919072587e-08 -3.1697377823143916e-07 1.2043410036206974e-07 9.805710446512473e-08 -1.3037732611126283e-07 -5.526747170994977e-07 -4.89563697183789e-07 1.1095548897457066e-07 -7.5452693425244e-07 9.922340900252825e-08 2.3992222876612164e-07 -6.143969716968322e-07 1.8933702185786265e-07 1.270148825521111e-07 1.370652552894066e-07 -2.132585356563358e-07 1.1750552316234172e-07 6.66788756286881e-08 5.954189935860273e-07 1.0141818567436657e-05 -3.293057899613913e-06 1.9832629724227563e-06 2.504918904871412e-06
proband 6.1888693456896875e-06 5.5520163329687404e-08 8.493516567484558e-06 -5.921171320107225e-07 -1.183899003878203e-06 1.6510204273264479e-07 2.126058472048027e-06 3.164266798874438e-07 1.662376546813495e-06 1.3094228026464602e-06 3.035439860628334e-07 1.9803327111669307e-07 1.543832926726492e-06 -1.9392868308160472e-07 -1.6135218633042965e-06 -5.056261959222959e-06 1.3250257107232682e-06 1.2659873839043456e-06 1.017751545052508e-06 -7.134776008704876e-07 -3.2930578996139106e-06 0.0009256440490454036 -0.00047645401943962 -0.00047354968834878756
paternal 1.2074132703464508e-05 -4.853331915900449e-06 7.319773372674914e-07 2.7833045483554376e-06 -1.301446906180077e-06 -4.0250979509586865e-06 -8.257055919859847e-06 1.760512000082078e-06 -4.8920823276016594e-06 1.875340847053671e-07 -3.862397316543924e-06 -1.109108432785069e-06 2.667537310759732e-06 -5.2987532695535265e-06 8.414591706809297e-07 6.512474643456978e-06 1.1706580552309862e-06 -1.2027413499537268e-06 2.9896738688811235e-06 1.91479886438781e-06 1.983262972422754e-06 -0.0004764540194396197 0.0009530653731056971 0.0002458912194715018
maternal -4.2895612470588706e-05 -2.0914645821493292e-06 2.5134995601534953e-06 -2.0718866565912628e-06 2.974493041957885e-07 2.2103264541145563e-07 -4.330576523362016e-06 -4.1534211967502054e-07 -6.302116201766614e-06 -1.4358110204812263e-06 -4.751579319649773e-06 -5.2356169295209776e-08 -3.4238753540831284e-06 1.52631130465602e-08 -2.765511099077463e-06 6.239057703930569e-06 -4.371987168501761e-06 1.6586496121766534e-06 1.048169671969997e-06 4.137160426728841e-06 2.5049189048714088e-06 -0.00047354968834878767 0.000245891219471502 0.000981552504049761
