 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal gpp gpm gmp gmm
intercept 0.0007545229613968698 -7.682404322437074e-09 -2.467593123786863e-05 1.6160101039650322e-06 8.807887899930222e-07 6.044150753441595e-07 2.4485629500639707e-06 2.3417771118981605e-06 -9.130126813959749e-08 2.453616338603979e-06 -1.523681437511101e-06 4.667003928939432e-07 -5.013906315530608e-07 -2.1300909450763404e-06 -1.7983696351128382e-06 -2.3941477343918995e-06 1.6716902444601447e-06 -1.3567897457020347e-06 -8.596685523055147e-07 5.529899660643812e-07 -6.255686672277431e-07 6.167290221065103e-06 4.500543737932341e-05 3.585346179008464e-05 9.979786868706432e-06 -6.49622042623795e-05 -8.222057472974114e-05 -0.0001253504983976445
PC1 -7.682404322437859e-09 2.549205579298123e-06 -1.6303032327585482e-06 -3.8389226077720495e-07 -4.440006173004716e-08 -2.8833276009567935e-07 1.6001539923382094e-07 4.9451195471262765e-08 1.3950926834295083e-07 2.8029409553594336e-10 2.065053029806745e-07 5.168459560794365e-09 6.204205867605696e-07 -1.1106778051816168e-07 -2.647632976411959e-07 -7.589991503650597e-07 -6.684986638195087e-07 2.3244027022517453e-07 1.3337394056779117e-08 1.945393653071813e-07 3.86485607074877e-08 9.017701441298579e-08 -7.073425532238408e-06 -1.3982680885011893e-06 2.0364228333696166e-06 3.3018669920056957e-06 -1.9602826729510278e-06 -3.845842421201456e-07
PC2 -2.4675931237868634e-05 -1.630303232758548e-06 4.961490549097854e-05 8.671598318066015e-07 1.4805409153990096e-06 -5.609910706827188e-07 -6.083519403317565e-07 -4.618717519298684e-07 1.0846345073541755e-06 -4.231616043635199e-07 1.860324247537056e-08 -1.045044524267424e-07 -1.104795385895408e-06 1.085960741289297e-06 -1.3018926239162616e-06 1.958365415606382e-07 1.3485897205590138e-07 7.191495267870607e-07 1.449664041480577e-07 -3.8633606368195704e-07 -3.205935828090721e-07 8.036341551577786e-06 -1.3494072139628852e-05 2.0394407822195755e-07 3.506519816315232e-05 4.389525353861967e-06 1.4132680067721287e-05 -1.0957340266873289e-05
PC3 1.6160101039650327e-06 -3.838922607772047e-07 8.671598318066013e-07 4.903019478530358e-06 1.557168907489018e-07 1.2694968082861188e-06 6.451859460860739e-09 5.527608984921553e-07 -2.19877005187008e-07 -1.0164373545617773e-06 -8.454972711906577e-08 4.18240337493386e-07 1.2479910140735599e-07 -7.803997967655324e-07 1.3891534758910735e-07 -2.998112632206736e-08 3.116249109680978e-07 -4.2290982174859015e-07 -5.263810796293406e-07 4.35916806442345e-07 1.178684175305912e-07 -4.2005452097031715e-07 3.4201006341768758e-06 -3.4388542148208587e-06 2.4652463048361214e-06 -4.3738180644751015e-06 1.1700562325638417e-06 3.0214635076916537e-06
PC4 8.807887899930205e-07 -4.4400061730047126e-08 1.480540915399009e-06 1.5571689074890176e-07 9.282790239521298e-06 1.6980017827487883e-06 -4.4113492563698795e-07 2.3470995811857937e-07 -1.2615468055841713e-06 4.5984728683840367e-07 4.137707123876693e-07 3.0716713078083836e-07 -1.1000525104756642e-06 -6.334409361133706e-07 3.53335312702057e-08 -3.669372897470578e-08 4.47256418667534e-08 -5.446228968953916e-08 -4.966860074168824e-07 -1.305181895808404e-07 1.3969972069582373e-07 -8.201043072458327e-07 -3.66671518866357e-06 2.256656280268362e-06 1.4125222028544268e-05 -7.553530047532636e-06 -5.686885523200207e-06 -3.0647025967465285e-07
PC5 6.044150753441614e-07 -2.883327600956795e-07 -5.609910706827188e-07 1.2694968082861188e-06 1.698001782748788e-06 1.7039595582071776e-05 4.7326403766662067e-07 1.1783843641782482e-06 -7.129698279222256e-07 -6.127559962158151e-07 -4.0795565084252785e-07 -9.569644386564235e-07 4.86481363805481e-07 -1.1736328703644923e-06 4.668955833376326e-07 2.049084687005053e-08 -7.038285974078609e-08 7.537816395736415e-07 -1.6606160995360963e-07 1.8806080806816204e-07 -1.1342395695549697e-07 5.082770319828503e-07 -2.4634521834677274e-06 1.0711977538452574e-06 6.1391496948002186e-06 -9.597783345214536e-06 9.367126429687829e-06 -1.2529038633809678e-05
PC6 2.448562950063973e-06 1.6001539923382129e-07 -6.083519403317567e-07 6.451859460860696e-09 -4.4113492563698784e-07 4.732640376666201e-07 1.6075285378238955e-05 -2.671137678102302e-08 3.522435389127909e-07 2.070820098340633e-07 1.9029915095640972e-07 -3.869107063918476e-07 -1.1728021413521711e-07 -8.852653450778328e-08 -2.0438335833962581e-07 -2.0940014723363192e-07 -1.5366081565752998e-07 2.707175703536949e-07 -4.35739516427053e-07 -2.2905820321844737e-07 -5.855344664750845e-07 1.476817714231672e-06 -9.367401467869462e-06 -5.516453588037122e-06 2.004880885754729e-06 -6.279833134107502e-07 9.780951728188808e-06 -6.100184779279744e-06
PC7 2.3417771118981597e-06 4.945119547126266e-08 -4.6187175192986757e-07 5.527608984921559e-07 2.347099581185792e-07 1.1783843641782484e-06 -2.6711376781023416e-08 1.3668527742996478e-05 9.454027987182175e-07 -2.8786649591968073e-07 -1.5765941244906167e-07 1.2127618145300758e-06 3.319915673083368e-07 2.667384262277521e-07 -3.898523580369141e-07 -5.768702161315517e-07 1.583555898285045e-07 -4.242827122219622e-07 1.0850670994788515e-07 3.752541585921912e-08 -4.556879917627765e-07 3.3477613202447145e-07 5.069163993653121e-06 -7.221518602523548e-07 1.2662342752117665e-06 -1.0304074507400702e-05 1.1485477162671049e-05 -9.488492423592861e-06
PC8 -9.130126813960535e-08 1.395092683429508e-07 1.0846345073541763e-06 -2.1987700518700804e-07 -1.2615468055841709e-06 -7.129698279222261e-07 3.5224353891279024e-07 9.454027987182175e-07 1.5253509059848706e-05 3.101494837162188e-07 4.2572264118769067e-07 -8.167971848332006e-07 4.3516417889320514e-07 -4.343425087140933e-09 -5.142185944309779e-07 -6.069444876360329e-07 4.1796879506351424e-07 1.3735408516639276e-07 -8.431543684232306e-07 -2.3986288991204286e-07 1.1617230555650195e-07 1.306999299232551e-06 -1.0717243546806246e-05 -4.412110078789641e-06 1.0556005366396872e-05 4.813365725567554e-06 -9.956257767315626e-07 -6.379263357872629e-06
PC9 2.4536163386039793e-06 2.8029409553616184e-10 -4.2316160436351947e-07 -1.0164373545617776e-06 4.598472868384037e-07 -6.127559962158154e-07 2.0708200983406316e-07 -2.8786649591968057e-07 3.101494837162191e-07 1.3006287095060841e-05 -2.6396490760652636e-07 5.528227812043028e-09 -4.002971718104658e-07 2.1090202532277874e-08 -8.498217214157401e-07 4.4660968805141345e-07 4.026771210360212e-07 4.814478663602281e-07 -5.187698337025116e-07 -2.6768530199599993e-07 -7.390627019764551e-07 1.2014508742988963e-06 2.572051550586843e-06 -1.245975564040526e-06 -3.661490252372814e-06 -2.9360068495583875e-06 -2.531615601132163e-06 3.2648335219220657e-06
