 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal gpp gpm gmp gmm
intercept 0.0005263717472230532 -1.7047252984932214e-07 -2.37930218298079e-05 1.023075138861e-06 -6.363601487111785e-07 1.6977793750260318e-06 2.6469160178170293e-06 8.240022527736555e-07 8.193456282097642e-07 1.966039897693014e-06 -7.200823823039997e-07 1.4376703058966671e-06 -3.835019177349924e-07 -1.0668746783288897e-06 -1.1605070556192107e-06 -2.568633683091071e-06 8.930249460114595e-07 -2.1767122986220277e-06 -1.1899653057773906e-06 8.869498174290414e-07 -1.2048351006121363e-06 1.0116818688283293e-05 3.6683766646129075e-05 2.3616841562002945e-05 -5.142889371818856e-06 -4.179703010717604e-05 -6.346205684429129e-05 -9.196338288626566e-05
PC1 -1.704725298493224e-07 1.842130599972173e-06 -1.5483803149120495e-06 -2.4097046600762506e-07 -1.0199331345936858e-07 -1.9012343744419777e-07 1.8379962432117348e-07 4.171006819359221e-09 6.820365810099155e-08 1.3777627579729919e-08 1.6788670389734735e-07 2.412958884821173e-08 5.731203096211747e-07 -7.723631834451818e-08 -2.6545233644625723e-07 -7.310289168490682e-07 -6.507909377076209e-07 3.0075548839906247e-07 1.9361356154923945e-08 1.536550549855609e-07 4.384191602817807e-08 4.017199031183136e-07 -5.036044576766075e-06 -1.1922175410286123e-06 1.2281406365101262e-06 2.0722509717754538e-06 -1.2097833341956612e-06 -2.8788285510811506e-07
PC2 -2.3793021829807907e-05 -1.5483803149120497e-06 4.5920665778793256e-05 9.682561379436135e-07 1.4147035620336266e-06 -5.329755960967475e-07 -5.628967775074537e-07 -7.175048721077432e-07 1.2360064706686034e-06 -2.201748643349415e-07 -9.13412287797711e-10 -2.822547876608694e-07 -1.304994030891022e-06 8.931474018687106e-07 -1.2556914823249431e-06 3.017383877825923e-08 1.5332572946055675e-07 6.337324859825996e-07 1.427008709849833e-07 -5.891601840220472e-07 -3.290854386793793e-07 7.867148671671582e-06 -1.2198095872493637e-05 -8.583282813504257e-07 2.8636278118525627e-05 4.531578613329123e-06 1.357857603664464e-05 -7.22828766891588e-06
PC3 1.023075138861e-06 -2.4097046600762517e-07 9.68256137943614e-07 3.738563960283833e-06 1.9742918625300416e-07 1.1602104965630403e-06 2.3883857149932053e-08 5.507983321060935e-07 -1.5238191837644488e-07 -9.474659572951131e-07 -9.271232653445176e-08 4.4821209068185424e-07 6.013959223245466e-08 -7.592887992158549e-07 8.491403782174972e-08 -9.774239013522532e-09 2.4135629418498457e-07 -5.294782533061352e-07 -5.244997709587457e-07 4.704485372087937e-07 1.1967809641460757e-07 -3.7298105129198014e-07 2.9793329461359165e-06 -2.4935981494556056e-06 1.5172575041688324e-06 -3.6100858909127896e-06 1.6123955743069536e-06 1.6625972620690853e-06
PC4 -6.363601487111789e-07 -1.0199331345936852e-07 1.4147035620336255e-06 1.9742918625300427e-07 6.931935448342091e-06 1.7404198335840677e-06 -3.321858885427335e-07 2.6092514599312264e-07 -1.278340329830285e-06 3.5464187635511346e-07 3.429754648032197e-07 2.790740961059412e-07 -9.764568284425582e-07 -5.14581789551351e-07 -1.5093547653004292e-08 -6.585678413577046e-08 6.605653002070454e-08 1.0761861861869454e-07 -5.479514487818529e-07 -2.025188241183232e-07 1.4310024977166423e-07 -1.2019314966802591e-06 -3.0206569398116904e-06 1.4057243561985072e-06 1.1769532133740794e-05 -7.636671337391602e-06 -3.881444305434686e-06 1.199998902500822e-06
PC5 1.6977793750260324e-06 -1.901234374441978e-07 -5.32975596096748e-07 1.1602104965630405e-06 1.740419833584067e-06 1.4670236449239508e-05 3.672627660489366e-07 1.1964917118090357e-06 -9.407860241050478e-07 -6.449444077280009e-07 -5.638419264833674e-07 -9.961496101561472e-07 3.053065585605082e-07 -1.3156361614906114e-06 5.060378168903577e-07 3.790704116916966e-08 -6.950488006271417e-08 7.823722609714246e-07 -2.9877626829769004e-07 3.371646464200129e-07 1.4060859392432034e-08 -5.671422637105896e-07 -1.9238072662816965e-06 1.5785915863178207e-06 5.519158007520979e-06 -1.078041125917723e-05 9.711014698488899e-06 -9.011788382736751e-06
PC6 2.64691601781703e-06 1.8379962432117364e-07 -5.628967775074549e-07 2.388385714993181e-08 -3.3218588854273384e-07 3.6726276604893664e-07 1.4209225427718934e-05 -1.3877851137318202e-07 2.85434047417321e-07 1.9441241997205315e-07 5.126402423971779e-08 -3.1123895279642785e-07 -2.1746857435135045e-07 -1.0846211946443477e-07 -2.533610728581464e-07 -2.7941832811397693e-07 -8.874063797196711e-08 2.8517620513370115e-07 -4.057293630665705e-07 -2.86848196500727e-07 -4.778553006322761e-07 2.5620682835527236e-06 -8.177447854138331e-06 -5.7797902388516125e-06 -2.006456398508294e-06 3.196050499148044e-07 9.257038133043763e-06 -4.637973654056761e-06
PC7 8.240022527736566e-07 4.171006819359256e-09 -7.175048721077441e-07 5.507983321060934e-07 2.6092514599312227e-07 1.196491711809036e-06 -1.387785113731816e-07 1.2138310900220976e-05 1.020480653580923e-06 -2.3430344823384723e-07 -1.6923693862634644e-07 1.3971694783653998e-06 3.4240610406465705e-07 3.091530283321993e-07 -4.879339807243935e-07 -5.536693679537547e-07 2.5104995336564304e-08 -5.41386266052764e-07 7.490207692131022e-08 1.4327331744832557e-07 -4.2859655477117094e-07 9.025201930510122e-07 4.239898587075579e-06 -1.3168254772636668e-06 3.389718736532377e-07 -8.090312945609904e-06 1.1608141752885153e-05 -1.135893370514216e-05
PC8 8.193456282097652e-07 6.82036581009916e-08 1.236006470668603e-06 -1.5238191837644483e-07 -1.2783403298302852e-06 -9.407860241050476e-07 2.8543404741732106e-07 1.0204806535809236e-06 1.3824461133476939e-05 4.3657743723947604e-07 6.468890308936017e-07 -9.093570320489057e-07 1.7256956805290249e-07 -7.250858606037538e-08 -4.664604982456312e-07 -6.185706319242079e-07 4.2001654961839964e-07 5.772084837642267e-08 -8.957754154804861e-07 -2.0553962600185248e-07 1.1863736561179226e-07 2.5188611211056572e-06 -1.0982440807640104e-05 -5.1739414684814e-06 8.470343861479133e-06 5.622807484657487e-06 -1.406222443836995e-07 -6.888141839095718e-06
PC9 1.966039897693014e-06 1.3777627579729863e-08 -2.201748643349417e-07 -9.474659572951126e-07 3.5464187635511357e-07 -6.449444077280004e-07 1.9441241997205341e-07 -2.343034482338473e-07 4.3657743723947546e-07 1.1363319836600936e-05 -2.24043717449692e-07 4.707783340858453e-08 -4.1066936385277157e-07 7.975070207473588e-08 -8.842265157436748e-07 3.8162581547916746e-07 2.8435641066289083e-07 5.538260972684672e-07 -4.310679556849408e-07 -2.0654316997101623e-07 -7.210526234090407e-07 4.222074638353114e-07 3.0980844704291105e-06 -2.1752442073497406e-06 -2.4108511085930054e-06 -4.211093236223771e-06 -3.696400386657531e-07 3.841689441252175e-06
PC10 -7.200823823039983e-07 1.6788670389734748e-07 -9.134122877987177e-10 -9.271232653445198e-08 3.429754648032196e-07 -5.638419264833678e-07 5.1264024239717745e-08 -1.6923693862634654e-07 6.468890308936016e-07 -2.2404371744969177e-07 1.221400841658626e-05 -5.291053546427998e-07 3.748083856941532e-08 -1.8556173386107775e-07 -1.2772116110981807e-07 1.478201504159423e-07 -3.6010650540140276e-07 1.1603948836539644e-07 1.9294503866906512e-07 4.0404362243668023e-07 1.871042219408973e-07 -2.564955134181302e-07 -8.215140517774315e-06 -7.13177623259799e-06 1.0668669839675142e-05 2.0296583302582473e-06 3.069336301000395e-07 7.085073592534721e-06
PC11 1.4376703058966682e-06 2.4129588848211725e-08 -2.822547876608697e-07 4.4821209068185414e-07 2.7907409610594085e-07 -9.961496101561474e-07 -3.112389527964277e-07 1.3971694783653998e-06 -9.093570320489058e-07 4.707783340858476e-08 -5.291053546428e-07 1.1290708298325584e-05 -8.894716354037406e-08 -2.7560076402361186e-07 -6.173316490391551e-07 4.6215286133512816e-07 2.3373789609571522e-07 4.6261589780158215e-07 -1.1510120660688166e-07 6.342878803026138e-07 1.3713288672320716e-07 -9.047227938832477e-07 4.015976516911033e-06 6.258111641005991e-07 -5.629873835078818e-06 -3.981535950761495e-06 2.45437316275788e-06 -2.1150846305512266e-07
PC12 -3.8350191773499397e-07 5.73120309621175e-07 -1.3049940308910227e-06 6.013959223245464e-08 -9.764568284425582e-07 3.0530655856050815e-07 -2.174685743513508e-07 3.424061040646571e-07 1.7256956805290233e-07 -4.1066936385277173e-07 3.7480838569415614e-08 -8.894716354037396e-08 1.0421222604281029e-05 1.577659621593826e-07 1.1605822023493332e-07 -3.2732039396576287e-07 2.404004192812513e-07 -1.426623309679628e-07 -7.867216886280399e-08 -1.2943006162884515e-07 -6.160419700801901e-07 1.4737672085196272e-06 1.3379783129250727e-06 -5.993790519954657e-06 -4.418847881133919e-06 8.853592347344948e-06 -3.2401995678739908e-06 7.88467627601528e-06
PC13 -1.0668746783288895e-06 -7.723631834451814e-08 8.931474018687105e-07 -7.592887992158552e-07 -5.145817895513505e-07 -1.3156361614906116e-06 -1.0846211946443479e-07 3.091530283321988e-07 -7.250858606037526e-08 7.975070207473629e-08 -1.8556173386107756e-07 -2.7560076402361223e-07 1.5776596215938225e-07 1.0886654026582927e-05 -6.232201841839894e-07 8.974960885154084e-07 2.910392718455844e-07 1.059612756413708e-07 -2.7727460878006137e-07 7.226458232696766e-08 1.0675919301721448e-07 2.712744276475087e-07 -1.1891196159965809e-05 -2.686845551545351e-06 1.499281354512778e-05 -1.6728594229784895e-07 7.389634776319126e-06 -2.8604925388083144e-06
PC14 -1.1605070556192086e-06 -2.654523364462572e-07 -1.255691482324943e-06 8.491403782174986e-08 -1.509354765300431e-08 5.060378168903576e-07 -2.5336107285814677e-07 -4.879339807243933e-07 -4.6646049824563115e-07 -8.842265157436747e-07 -1.27721161109818e-07 -6.173316490391547e-07 1.1605822023493324e-07 -6.232201841839892e-07 1.1234484925928176e-05 -2.237736604708668e-07 1.653125726848746e-07 -1.0687918911482312e-07 1.2893239808987612e-07 -1.6553485647107302e-07 -6.662495895315233e-08 -1.6642450815027122e-06 7.66170811244538e-07 -1.8845711939392517e-06 -4.2950013813149025e-06 5.786532836197207e-06 -6.478325010789231e-07 1.2958008777222248e-06
PC15 -2.5686336830910715e-06 -7.310289168490681e-07 3.017383877825912e-08 -9.77423901352276e-09 -6.585678413577038e-08 3.790704116916955e-08 -2.7941832811397646e-07 -5.536693679537549e-07 -6.185706319242077e-07 3.8162581547916794e-07 1.4782015041594278e-07 4.621528613351278e-07 -3.273203939657629e-07 8.974960885154088e-07 -2.2377366047086674e-07 1.0822886366867157e-05 4.05503890407074e-07 -7.247314058379151e-07 -2.343543757621359e-07 -1.3910202330039862e-07 1.010443462249133e-08 -5.759569865582171e-06 7.054617304820987e-06 4.739920041924172e-06 -4.789823730317483e-06 4.618027893319524e-06 -2.461533800889944e-06 8.393043862118557e-06
PC16 8.930249460114623e-07 -6.507909377076207e-07 1.5332572946055617e-07 2.413562941849844e-07 6.605653002070429e-08 -6.950488006271473e-08 -8.874063797196697e-08 2.510499533656433e-08 4.200165496183997e-07 2.843564106628909e-07 -3.601065054014022e-07 2.3373789609571495e-07 2.4040041928125146e-07 2.9103927184558494e-07 1.6531257268487392e-07 4.0550389040707403e-07 1.0975091829098598e-05 -5.023718941072285e-07 -1.989565370369327e-08 -5.461067311438487e-07 -4.0753717990720944e-08 8.54305797980678e-07 3.208298904843025e-06 -3.4487695507152585e-06 -4.0944329720126767e-07 -3.846033253351125e-06 -9.10265932576183e-07 -1.5113880789540486e-06
PC17 -2.176712298622027e-06 3.0075548839906284e-07 6.337324859825987e-07 -5.294782533061354e-07 1.0761861861869454e-07 7.823722609714246e-07 2.851762051337012e-07 -5.41386266052764e-07 5.772084837642275e-08 5.538260972684672e-07 1.160394883653964e-07 4.6261589780158226e-07 -1.426623309679626e-07 1.059612756413706e-07 -1.0687918911482308e-07 -7.247314058379159e-07 -5.023718941072288e-07 9.916829227880991e-06 3.4449551621239926e-07 -1.6134245235296298e-07 5.0373683331004766e-08 1.887732885881205e-06 2.263615408201479e-06 5.530789581909147e-06 -5.555504473955083e-06 -3.69748434440069e-06 -3.7101581776720714e-06 -6.234113814928617e-06
PC18 -1.1899653057773915e-06 1.9361356154923962e-08 1.4270087098498312e-07 -5.244997709587456e-07 -5.479514487818535e-07 -2.987762682976905e-07 -4.057293630665707e-07 7.49020769213102e-08 -8.957754154804856e-07 -4.31067955684941e-07 1.9294503866906502e-07 -1.1510120660688175e-07 -7.867216886280389e-08 -2.7727460878006126e-07 1.2893239808987636e-07 -2.3435437576213594e-07 -1.9895653703693304e-08 3.4449551621239926e-07 9.832432212834999e-06 -1.221397695189634e-07 -3.7144598263784096e-08 1.702703820121228e-06 3.061033449724603e-06 1.5354316274915333e-07 -1.0127218974513588e-06 2.8298306753390516e-07 -2.414116211120997e-06 5.934171346180076e-06
PC19 8.869498174290419e-07 1.5365505498556086e-07 -5.89160184022047e-07 4.7044853720879385e-07 -2.025188241183234e-07 3.371646464200127e-07 -2.8684819650072715e-07 1.432733174483254e-07 -2.055396260018524e-07 -2.0654316997101634e-07 4.040436224366802e-07 6.342878803026137e-07 -1.2943006162884536e-07 7.226458232696774e-08 -1.655348564710733e-07 -1.3910202330039846e-07 -5.461067311438487e-07 -1.6134245235296298e-07 -1.2213976951896337e-07 1.0115575632733517e-05 6.560083821228417e-07 -8.695045928417411e-07 1.271773697741611e-06 3.4467777068986316e-06 -7.942444851082789e-07 4.22464010567087e-06 6.037052204280373e-06 -3.851740802456452e-06
PC20 -1.204835100612137e-06 4.384191602817798e-08 -3.290854386793792e-07 1.1967809641460735e-07 1.431002497716643e-07 1.4060859392431859e-08 -4.778553006322766e-07 -4.285965547711711e-07 1.1863736561179257e-07 -7.210526234090409e-07 1.8710422194089737e-07 1.3713288672320708e-07 -6.160419700801904e-07 1.0675919301721446e-07 -6.662495895315249e-08 1.010443462249134e-08 -4.075371799072098e-08 5.03736833310051e-08 -3.7144598263783904e-08 6.560083821228409e-07 9.19763952297424e-06 -2.974954522203791e-06 1.4653825615684848e-06 4.832812651403047e-06 2.4983793892858437e-06 -2.0505937477402574e-06 -1.5087186751678668e-06 -5.429602444546608e-06
