 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal gpp gpm gmp gmm
intercept 0.000527918722822849 7.154914628839106e-09 -2.393688945217529e-05 9.317459648657476e-07 -5.260899356754493e-07 1.5260751452106343e-06 2.976613250368928e-06 9.968706958905031e-07 9.348804681799672e-08 1.8318746167786052e-06 -7.126632357217196e-07 1.8070699694431268e-06 -6.164762991077706e-07 -1.0520531139618556e-06 -1.5839547516341643e-06 -2.002405787252952e-06 4.1924348247483705e-07 -2.632282794091364e-06 -7.51221870318992e-07 1.0835208048746604e-06 -1.4829841681274532e-06 -1.151925298256124e-05 1.37535635792957e-05 -1.228643158566436e-05 3.516973323848977e-05 -1.271307801120367e-05 3.8246815194099974e-05 1.074775992063113e-05
PC1 7.154914628839772e-09 1.8726382352121525e-06 -1.5440255441982232e-06 -2.801556972381162e-07 -6.412880567031314e-08 -2.2624983232746037e-07 1.154538473105953e-07 6.816482434942421e-08 1.9267120403073596e-08 3.0788801452725126e-08 1.5698231847231863e-07 5.41401203518942e-08 6.124602101385168e-07 -1.0976158723592971e-07 -3.035465352724786e-07 -6.856633904684717e-07 -6.071949594735625e-07 2.5173836686587954e-07 4.0990710835627185e-08 1.656419287383456e-07 4.4783403384304735e-08 2.0635538312926425e-08 1.5289047336498526e-06 -9.768487345973281e-07 -4.1190809559072686e-06 -9.55691769466621e-07 6.458077564447911e-06 2.7039093409597295e-06
PC2 -2.3936889452175286e-05 -1.5440255441982236e-06 4.590173479086147e-05 9.646284583211533e-07 1.4620083944041932e-06 -6.434616745469196e-07 -3.917918562821351e-07 -7.384999142467815e-07 1.1570025681415802e-06 -2.367286115733741e-07 -9.889850925146227e-08 -2.556504855053586e-07 -1.2649502149988359e-06 8.708856173617486e-07 -1.1784966738479434e-06 3.834569761385793e-08 1.017148419604087e-07 5.986866901844684e-07 1.2540284105016003e-07 -7.245770647824699e-07 -3.854327748339377e-07 -5.092235738731789e-06 -6.2902177515068095e-06 -2.4531856712787377e-06 3.279136202565386e-06 6.735759282867001e-06 -1.8563545813802939e-06 5.272952748963855e-06
PC3 9.317459648657478e-07 -2.801556972381162e-07 9.646284583211527e-07 3.777086558308264e-06 9.52614637368924e-08 1.1659375252260265e-06 7.913575694054826e-08 5.55839869689627e-07 -1.1237159564304548e-07 -9.676148804475305e-07 -1.0334350038436805e-07 4.142494667531755e-07 5.978769600911335e-08 -7.065896970148858e-07 1.1295517782088065e-07 -4.274385576348525e-08 2.013308497362846e-07 -4.3535981580799264e-07 -5.531565450300425e-07 4.882970626318746e-07 1.5599198440820935e-07 -2.6075345756707042e-08 -5.849895419837175e-07 2.509410902332116e-06 3.3708123265084646e-06 -7.095134684398345e-06 -5.509863438982492e-06 -3.6378012633714614e-06
PC4 -5.26089935675448e-07 -6.41288056703131e-08 1.4620083944041932e-06 9.526146373689239e-08 7.309747449628284e-06 1.7458638157174452e-06 -3.689482914446744e-07 1.9715847446689287e-07 -1.2996098395375487e-06 4.0569642983331133e-07 3.7112619894212816e-07 2.7012599118560113e-07 -9.012641790214362e-07 -6.042190296338369e-07 -1.0698205048091262e-07 -1.4269448418525934e-07 1.4122576737885137e-07 2.1659882803353856e-08 -5.019672194203133e-07 -2.2170166351351283e-07 1.279080618285244e-07 3.5832635541379272e-06 -7.891689979196626e-06 1.1458378466937066e-07 -2.022890516243347e-06 1.711751388194225e-05 9.067355678143288e-07 1.1234012679249153e-05
PC5 1.5260751452106362e-06 -2.2624983232746024e-07 -6.434616745469208e-07 1.1659375252260259e-06 1.7458638157174452e-06 1.4705247283865228e-05 3.076003507108381e-07 1.1574587154801275e-06 -9.58418699055869e-07 -6.334269368577389e-07 -5.516115423510762e-07 -9.82016285647436e-07 3.9600577400628957e-07 -1.4162448396470995e-06 5.537700947113917e-07 1.0821378367703992e-07 -1.1952932969739905e-08 7.402022458416508e-07 -2.1937290547666608e-07 3.4146225332768365e-07 -2.3711991807861162e-08 2.5074772563914683e-06 -1.44606655950133e-06 -4.612194019493819e-07 -1.6423639161290943e-06 2.3237982068205832e-06 1.6056099456233954e-07 -3.3671274240922612e-06
PC6 2.976613250368928e-06 1.1545384731059529e-07 -3.917918562821352e-07 7.913575694054814e-08 -3.689482914446745e-07 3.076003507108382e-07 1.4326504412007195e-05 -1.7200511979104192e-07 2.5352246707095427e-07 2.453077362764686e-07 -2.4435135238681004e-09 -3.8068404263488586e-07 -1.8534478371313443e-07 -2.1436498160585324e-07 -2.733245668537997e-07 -1.5089565651488348e-07 -1.054232197601893e-07 2.785504140963605e-07 -4.2695007816248206e-07 -2.3741101070903727e-07 -4.83510420975759e-07 7.139940851120462e-07 -1.0519369655271882e-06 -6.7500077867915945e-06 5.853273537193145e-06 -6.507365082075632e-06 -3.4585812507689706e-06 1.1992325874039892e-05
PC7 9.968706958905036e-07 6.816482434942412e-08 -7.384999142467819e-07 5.558398696896272e-07 1.9715847446689284e-07 1.1574587154801275e-06 -1.720051197910417e-07 1.2228135237674341e-05 1.0273031709729954e-06 -2.2355959124036002e-07 -8.183826495103763e-08 1.4429457997794285e-06 3.870093825306086e-07 3.1275781577353417e-07 -4.87346762790893e-07 -5.137857694023652e-07 3.964817571442822e-08 -5.169867933776892e-07 7.208104979281182e-08 1.2479602854361812e-07 -4.251420995413943e-07 -4.275638552033347e-06 5.607175835937831e-06 4.37188926528329e-06 -3.95038394589331e-06 -7.02298511790995e-06 6.715208589537704e-06 -3.515179187960549e-06
PC8 9.348804681799519e-08 1.926712040307359e-08 1.1570025681415808e-06 -1.1237159564304543e-07 -1.2996098395375487e-06 -9.584186990558694e-07 2.5352246707095474e-07 1.0273031709729958e-06 1.387186682275101e-05 4.652722242532637e-07 4.925752372827644e-07 -9.040731014942675e-07 1.9009257368942306e-07 -8.608448894547026e-08 -5.310703479059185e-07 -5.001120215485783e-07 3.596908381058459e-07 1.696464668081254e-07 -8.571153504339186e-07 -1.5987581178056002e-07 1.4723032718441678e-07 2.3467048612291127e-06 -2.3581592048684823e-06 5.849184609468271e-06 6.4433631455871705e-06 -8.588220862758644e-06 -1.1731264795745665e-05 3.2582113629093876e-06
PC9 1.831874616778606e-06 3.0788801452725106e-08 -2.3672861157337383e-07 -9.676148804475307e-07 4.056964298333115e-07 -6.334269368577395e-07 2.453077362764688e-07 -2.2355959124036018e-07 4.6527222425326354e-07 1.1546338476083966e-05 -2.899868210209307e-07 -1.6498870181855637e-08 -4.144944652126898e-07 1.4146282906763234e-07 -8.548136342751038e-07 3.648154235284261e-07 2.2160118830093637e-07 5.625392431285673e-07 -4.3423376265691305e-07 -2.051522818849284e-07 -7.334500336049152e-07 -7.72277520359132e-09 -5.454818634714061e-06 3.438467643936917e-06 4.857762233086372e-06 2.2054364780783815e-06 -3.88863643452673e-06 -1.2534170992031444e-06
PC10 -7.126632357217192e-07 1.5698231847231847e-07 -9.889850925146116e-08 -1.0334350038436794e-07 3.7112619894212864e-07 -5.516115423510758e-07 -2.443513523868049e-09 -8.18382649510379e-08 4.925752372827639e-07 -2.899868210209305e-07 1.2232153952700444e-05 -4.955276444408124e-07 4.176366898084326e-08 -2.4206425568403185e-07 -1.5005964505740053e-07 1.8929915822871888e-07 -3.288543105526112e-07 1.384458651638779e-07 2.7874814815924525e-07 4.37763333052252e-07 2.1682703734370584e-07 -1.8314230789514467e-06 8.551808016100481e-07 4.8092151107428074e-08 -1.4489431781384042e-05 8.903905666112158e-06 2.0905312397674822e-06 3.3073983294041614e-06
PC11 1.8070699694431268e-06 5.4140120351894225e-08 -2.5565048550535865e-07 4.142494667531754e-07 2.7012599118560124e-07 -9.820162856474362e-07 -3.8068404263488565e-07 1.442945799779429e-06 -9.040731014942674e-07 -1.649887018185568e-08 -4.955276444408121e-07 1.151485645593858e-05 -4.939642264379069e-08 -3.0544096200664154e-07 -5.958148845802176e-07 4.549014897564604e-07 2.604517935023984e-07 4.164332166105458e-07 -9.20210361779054e-08 6.423551602946326e-07 1.0098814956849217e-07 -3.213182326048719e-06 1.0899353993888376e-05 2.00549404912355e-06 -6.281507921627687e-06 -3.6666788773660808e-06 7.222669667995556e-06 -3.763197085351025e-06
