 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal gpp gpm gmp gmm
intercept 0.000876938689474443 1.4601032986184178e-07 -1.9302153442658657e-05 1.6287948365329422e-06 1.7552284303234283e-06 -4.7588075647007447e-07 2.094917716164261e-06 2.180207345552565e-06 -1.2201543159354752e-06 2.0203078174279666e-06 -1.5686634004080758e-06 -3.2741034508709936e-07 -3.7429289516407575e-07 -2.344126650930933e-06 -1.2405098181247303e-06 -1.4470006004483971e-06 1.3795040966902255e-06 -9.942283953304374e-07 -5.145638711628278e-07 4.546542550123967e-07 -4.6625287466951314e-07 -7.091534914078048e-06 2.2046042229887317e-06 -6.934721239165842e-05 3.672155420426415e-05 -2.6684276743772e-05 7.969604231352174e-05 4.1536720655829835e-05
PC1 1.4601032986184085e-07 2.8726384521489744e-06 -1.3745876301414587e-06 -3.882857666918112e-07 3.2042610006100185e-08 -2.9110908638119043e-07 4.529811679717349e-08 1.246913399321624e-07 6.875161954265489e-08 -5.3384625161104536e-08 1.741432621963459e-07 9.014715785800843e-09 5.432090350883045e-07 -1.3163346098311006e-07 -2.603583479614891e-07 -5.892601256760397e-07 -5.072392367797994e-07 1.4463062915824653e-07 3.599262298490074e-08 1.662461982673096e-07 3.094789824078487e-08 -1.6478817634050564e-07 2.288638084186501e-06 -1.12793595641657e-06 -6.370274571860448e-06 -1.937802081651302e-06 9.722771699185376e-06 2.941957295513273e-06
PC2 -1.9302153442658654e-05 -1.3745876301414591e-06 4.10247784448748e-05 6.836024910763635e-07 1.1371367541214467e-06 -5.7339852987338e-07 -5.375504861671182e-07 -1.6816138628052296e-07 8.069370491228823e-07 -3.155153451334908e-07 4.2938016217547266e-08 7.080061781016324e-08 -6.696927880546288e-07 6.861474094725899e-07 -8.227722620409524e-07 1.2094371083561334e-07 2.1171035129582285e-07 7.184826029659804e-07 1.6242519493018047e-07 -1.9247638705720232e-07 -2.2720071290029121e-07 -3.1350553960838514e-06 -2.63519927391158e-06 -2.4459624340162514e-06 -1.5925473107431188e-07 9.153290128128557e-06 -7.722092765413077e-07 6.3289131399242925e-06
PC3 1.6287948365329422e-06 -3.8828576669181097e-07 6.836024910763632e-07 5.360290597378941e-06 -2.7181257290434432e-08 1.036727493628359e-06 7.127524056465205e-09 3.875897421593037e-07 -2.14934930947497e-07 -8.042431509334631e-07 -1.0121069337748486e-07 3.12912470172663e-07 6.111386897727329e-08 -5.812293944649375e-07 1.1579175704105246e-07 -2.9222575929817514e-08 1.998914226272137e-07 -2.0850669722235678e-07 -4.7645794542127896e-07 3.262179845411948e-07 1.1555636205474675e-07 -1.1750096499811516e-07 -1.7351505843632154e-06 1.6608301496459349e-06 4.090680292073329e-06 -9.001387193297461e-06 -6.631524157973788e-06 -4.076331216048252e-06
PC4 1.7552284303234283e-06 3.2042610006100304e-08 1.1371367541214463e-06 -2.7181257290434604e-08 9.719202751772777e-06 1.1852513280351626e-06 -4.468311860873121e-07 1.25355005035948e-07 -1.0189191497354664e-06 3.8702604359779693e-07 4.25690961000594e-07 2.5415396045886734e-07 -9.396063340378212e-07 -5.664696044284979e-07 4.391237707780459e-08 1.4199888030523683e-08 1.383905082172742e-08 -1.8909994081013853e-07 -2.836829830601554e-07 -9.634291348928041e-08 7.682418402724089e-08 2.2531420315696082e-06 -7.4561581219717525e-06 1.708875809207348e-06 -1.906767602801528e-06 1.7928891921764935e-05 2.292262904644625e-06 1.026160436247787e-05
PC5 -4.7588075647007484e-07 -2.911090863811903e-07 -5.733985298733799e-07 1.0367274936283587e-06 1.1852513280351626e-06 1.5088993143788432e-05 3.6849481664780565e-07 7.519205924955263e-07 -3.685248966861612e-07 -4.7057433919569434e-07 -2.263843186913451e-07 -5.315309185959225e-07 5.473194017821773e-07 -8.598624660026554e-07 3.623044127777658e-07 1.0727417018743027e-08 -6.761995188167303e-08 5.988626853201776e-07 -4.881621157799425e-08 8.017667442244826e-08 -1.8299225191640067e-07 3.4050542954562973e-07 -6.071361085249458e-07 1.7407057418436555e-06 1.3652267507524847e-06 1.6699416742774328e-06 -9.31487757914016e-07 -7.307731722387155e-06
PC6 2.094917716164262e-06 4.529811679717345e-08 -5.375504861671173e-07 7.127524056465165e-09 -4.4683118608731216e-07 3.684948166478053e-07 1.3893136535375691e-05 1.1839449250370924e-08 2.6613050977016646e-07 6.915518399078122e-08 9.576801610402665e-08 -3.757484414528811e-07 1.2662896114546468e-07 -1.082675567078097e-07 -1.7511516839760268e-07 -5.081861460857539e-08 -8.282156666990969e-08 2.8882822521119194e-07 -3.4205725863663037e-07 -1.9698759290216991e-07 -5.477888420211364e-07 1.0532470399097756e-06 -3.963725072763273e-07 -6.587709907702385e-06 3.331784508957889e-06 -6.4371647703039254e-06 -2.834442310118579e-06 1.191557713192427e-05
PC7 2.180207345552564e-06 1.2469133993216256e-07 -1.6816138628052216e-07 3.8758974215930377e-07 1.253550050359475e-07 7.519205924955263e-07 1.1839449250371026e-08 1.1883877808040443e-05 6.543877665250141e-07 -1.8981023371014292e-07 -1.4058188370161413e-07 8.846493430965654e-07 3.0074290928000077e-07 1.1616216684072493e-07 -1.6927134670043576e-07 -4.1108689375121273e-07 1.7114023706932369e-07 -2.2312408212385066e-07 8.846123782370305e-08 -2.3932290452037686e-08 -3.708544853554642e-07 -4.19931844025969e-06 5.105941539190828e-06 1.687432372853688e-06 -5.2055411502083125e-06 -5.199452332168286e-06 7.272382239676494e-06 -2.865047116380336e-06
PC8 -1.2201543159354754e-06 6.875161954265472e-08 8.069370491228822e-07 -2.1493493094749672e-07 -1.0189191497354669e-06 -3.6852489668616137e-07 2.6613050977016583e-07 6.543877665250141e-07 1.298862055619846e-05 2.61906922052087e-07 1.8174285470005136e-07 -6.684830814301381e-07 4.779541533714957e-07 -1.5009162199852392e-08 -4.4392185747283235e-07 -4.086825720604753e-07 2.554976272006165e-07 1.018997963645348e-07 -6.194389613347299e-07 -1.9939611738222536e-07 5.535880756045832e-08 2.5342796136512587e-06 -5.372592499365707e-07 6.412671026406701e-06 2.3436164465279896e-06 -4.575089371786986e-06 -1.2329269789208221e-05 1.3570294172638213e-06
PC9 2.0203078174279687e-06 -5.338462516110451e-08 -3.1551534513349087e-07 -8.042431509334631e-07 3.8702604359779703e-07 -4.705743391956951e-07 6.915518399078091e-08 -1.8981023371014287e-07 2.619069220520874e-07 1.1440154524230494e-05 -2.286132881128831e-07 -5.617926070949975e-08 -3.066368545499026e-07 6.323346944683025e-08 -6.423774552180111e-07 3.465650470723069e-07 3.7387838206206154e-07 3.696096190695121e-07 -5.748048047621879e-07 -2.1735767525761405e-07 -5.375084985199567e-07 3.01835308676405e-06 -6.643471736221251e-06 4.376262431371163e-06 4.13093588165048e-06 2.1871405508552256e-07 -4.2291393928427474e-06 -5.340832910930916e-06
