 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband
intercept 0.0006866833919508763 5.711692916099444e-08 -2.436483659475085e-05 1.4605004020247814e-06 4.985555943962524e-07 5.319746251645792e-07 2.4716346096239324e-06 1.8703080531949654e-06 -3.9344583158096236e-07 2.293741577148458e-06 -1.1285515248273744e-06 7.096444224183537e-07 -5.583373414634403e-07 -1.6898622353766906e-06 -1.7056949251822245e-06 -2.0287897057927066e-06 9.595647229628825e-07 -1.7873906939865787e-06 -5.906731948486891e-07 1.0498575161924685e-06 -8.017232689377653e-07 -5.214313795919001e-07
PC1 5.711692916099547e-08 2.3264404432308835e-06 -1.591115549524982e-06 -3.5345019449937483e-07 -6.358241627172857e-08 -2.7327465410646194e-07 8.626086173518315e-08 7.53223779409735e-08 6.432629019246838e-08 6.795305927698943e-09 1.5037420143666005e-07 5.598337297161066e-09 6.220844615601796e-07 -1.4681841581139426e-07 -2.8647996600764663e-07 -7.248891018647624e-07 -6.588138882273586e-07 2.501954555095362e-07 3.855010517760325e-08 1.9130733843281538e-07 3.582242040631113e-08 1.2599514791813841e-06
PC2 -2.4364836594750855e-05 -1.591115549524982e-06 4.835590817751042e-05 9.218610857223214e-07 1.3981072593842596e-06 -6.049886250034008e-07 -4.757176893849354e-07 -5.694042632721764e-07 1.1014412840925303e-06 -3.340209675521507e-07 -1.8727045324771292e-08 -7.966781342245512e-08 -1.1330898470732035e-06 9.143250481045028e-07 -1.078337866451229e-06 1.2725888281808764e-07 8.579657904906244e-08 7.419594946753696e-07 1.821779602856831e-07 -5.066347379327971e-07 -3.225129293425766e-07 -4.738268129644784e-06
PC3 1.460500402024781e-06 -3.5345019449937494e-07 9.218610857223217e-07 4.562496126118789e-06 1.3629279909114453e-07 1.2603961943232377e-06 3.1705663733709926e-08 5.261530199821385e-07 -2.1925885663964087e-07 -1.0075729477333631e-06 -7.822626795608566e-08 4.454385810733348e-07 9.41406992474342e-08 -7.732841221264147e-07 1.1180760639804311e-07 -3.605779654923574e-08 2.650635527588046e-07 -4.1458952472191605e-07 -5.52931444177421e-07 4.358272872959768e-07 1.2775137376774732e-07 -2.7276780334962503e-06
PC4 4.985555943962533e-07 -6.35824162717284e-08 1.398107259384259e-06 1.3629279909114464e-07 8.77980276140639e-06 1.7227806946717678e-06 -4.2545715840104285e-07 2.2393234570488743e-07 -1.2809716253718373e-06 4.3824282640937517e-07 3.564369618370544e-07 3.1664319372696634e-07 -1.038887661369314e-06 -6.959900410135999e-07 -2.2551348448668459e-10 -4.456049615544477e-08 7.20796736762781e-08 -1.799202580693199e-08 -4.93919351602443e-07 -1.27803813477156e-07 1.375734696202904e-07 6.348189570913378e-06
PC5 5.319746251645799e-07 -2.7327465410646194e-07 -6.04988625003401e-07 1.2603961943232375e-06 1.7227806946717671e-06 1.642793794957023e-05 3.848450216985171e-07 1.0980498966564102e-06 -8.062786883903614e-07 -5.871294563212555e-07 -4.6965469680174603e-07 -9.324454722524578e-07 5.392960281049786e-07 -1.3132796476725623e-06 5.171479283288115e-07 8.266658570836354e-08 -5.169446234152452e-08 7.604043742880768e-07 -1.905556362490132e-07 2.399017976179798e-07 -1.1532058457352092e-07 6.631259843699929e-07
PC6 2.471634609623931e-06 8.626086173518306e-08 -4.757176893849354e-07 3.1705663733709694e-08 -4.2545715840104296e-07 3.848450216985166e-07 1.5565481608273082e-05 -7.067533504822767e-08 2.455525215587934e-07 2.481838406235073e-07 7.816876794211276e-08 -3.7453451022246204e-07 -7.83068160205812e-08 -1.1903647050781121e-07 -2.2420337375885082e-07 -1.299269336648434e-07 -1.2208006750776787e-07 2.963168220807262e-07 -4.231396971136401e-07 -2.1971530463063887e-07 -5.4291396278445e-07 -1.2020126122948142e-06
PC7 1.8703080531949643e-06 7.532237794097342e-08 -5.694042632721765e-07 5.261530199821383e-07 2.2393234570488687e-07 1.0980498966564095e-06 -7.06753350482281e-08 1.3304385584459845e-05 9.82914831889176e-07 -2.4734864390886487e-07 -1.1090584980797163e-07 1.280916651649535e-06 3.8340468111665623e-07 2.432315360116393e-07 -4.0517668764214153e-07 -5.722156326521169e-07 1.1122604441413187e-07 -4.559327781068631e-07 9.074107975821768e-08 6.496866506047584e-08 -4.805805890621903e-07 -2.2537080301187365e-06
PC8 -3.934458315809609e-07 6.432629019246817e-08 1.1014412840925305e-06 -2.1925885663964106e-07 -1.2809716253718364e-06 -8.062786883903616e-07 2.455525215587935e-07 9.82914831889175e-07 1.4847011677482205e-05 3.554139679253232e-07 3.9818475479215455e-07 -8.320811718474919e-07 3.398113332517652e-07 -1.2027383656748129e-07 -5.314648160140899e-07 -4.80803602094555e-07 3.88739452216186e-07 1.221572641821298e-07 -8.045207159208959e-07 -2.327160396056365e-07 1.037577272181117e-07 2.029079428431494e-06
PC9 2.2937415771484587e-06 6.795305927698931e-09 -3.340209675521505e-07 -1.0075729477333625e-06 4.38242826409375e-07 -5.871294563212558e-07 2.481838406235072e-07 -2.4734864390886503e-07 3.5541396792532306e-07 1.2678920324519758e-05 -2.404896346712128e-07 -3.559491480076663e-08 -4.3517731556238817e-07 8.481895446853617e-08 -8.398528223873384e-07 4.4923617949138883e-07 3.6704023377090717e-07 5.037476487858978e-07 -5.103615280695372e-07 -2.715777417406332e-07 -7.562067516196104e-07 -1.46471354334915e-08
