 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal gpp gpm gmp gmm
intercept 0.000645095080480118 2.561098060504478e-07 -2.4460111192769977e-05 1.10109970732523e-06 1.6341241228666517e-07 6.892004621824487e-07 2.950410472551543e-06 1.4489961655448247e-06 -7.139296204019861e-07 2.061165848015297e-06 -1.295466063216194e-06 1.0616742335752274e-06 -7.107211478409117e-07 -1.7601409102234893e-06 -1.7694125999183946e-06 -1.8093014384646136e-06 7.597995006151979e-07 -2.0424831735734085e-06 -4.780955074060753e-07 9.147173127667773e-07 -1.0173024507464772e-06 -1.0035481394560683e-05 1.1301962074924346e-05 -2.9649567038775814e-05 3.853411895944052e-05 -2.0266546295685357e-05 5.5085728385358124e-05 1.731555651188995e-05
PC1 2.5610980605044777e-07 2.241045409317087e-06 -1.5772712023737163e-06 -3.595151874305379e-07 -3.519309142907541e-08 -2.7051443394761874e-07 8.990699080249021e-08 1.174060612719793e-07 7.16127360369279e-08 5.18771291175034e-09 1.6963085282103294e-07 3.628340445708037e-08 6.394599839606927e-07 -1.3822688877890588e-07 -3.1649469931557414e-07 -7.147382751044485e-07 -6.241089443203439e-07 2.235110955216457e-07 5.005307972260852e-08 1.7428401974748248e-07 4.6698343630273906e-08 -2.7456610324623673e-08 1.7701578563686669e-06 -1.0766184504690957e-06 -5.1792347065584046e-06 -1.1123113509803127e-06 8.046628297975754e-06 2.88131730490752e-06
PC2 -2.446011119276997e-05 -1.5772712023737163e-06 4.795550514279336e-05 9.24179559708321e-07 1.4808328449333301e-06 -6.257385214559851e-07 -4.7261979348183527e-07 -5.719631569164069e-07 1.1323303911752848e-06 -3.36499888553248e-07 -4.100287369495905e-09 -1.5004763578164989e-07 -1.1908539525984584e-06 8.776439819435768e-07 -1.1441605325457308e-06 7.828443090811125e-08 1.1014842047751012e-07 7.047454518755335e-07 2.0625963523550234e-07 -5.572251163028631e-07 -3.4164082415875145e-07 -4.580535848850873e-06 -4.9899836358930435e-06 -2.2948134784127532e-06 2.8732321455539607e-06 7.071314755808194e-06 -1.1346447660269453e-06 5.375683039003265e-06
PC3 1.1010997073252285e-06 -3.595151874305379e-07 9.241795597083214e-07 4.381713196581874e-06 7.193451006998006e-08 1.2735531127829112e-06 6.023295829708987e-08 5.143311390781185e-07 -1.6192935729661973e-07 -9.859317541485814e-07 -1.1613665696804191e-07 4.151831635601244e-07 9.684088408121998e-08 -7.349594468372248e-07 1.2666021753818257e-07 -2.104469533194319e-08 1.9909412654736196e-07 -3.8336162326019033e-07 -5.707919565818356e-07 4.7344166982237614e-07 1.6071165989386233e-07 -1.254657850568057e-07 -9.96084175129236e-07 2.3824343494385583e-06 3.754926128841633e-06 -7.958458431604297e-06 -6.22743109631356e-06 -3.770344420060113e-06
PC4 1.6341241228666487e-07 -3.519309142907551e-08 1.4808328449333297e-06 7.193451006998001e-08 8.618052639226062e-06 1.7247806478016445e-06 -4.3829733226377766e-07 2.0423001044675242e-07 -1.276753201726033e-06 4.317936623479081e-07 4.380386426357847e-07 3.187876344584917e-07 -9.679227312870195e-07 -6.788548359446523e-07 -6.293825007375583e-08 -1.0814659635529424e-07 1.291167450245822e-07 -8.706596307324034e-08 -4.88694541484739e-07 -1.9127772137577991e-07 1.2525951585047144e-07 3.3312032427057547e-06 -8.075657981552767e-06 7.896718757381927e-07 -2.3235600199319052e-06 1.8591354568763458e-05 1.6639760899219554e-06 1.1028960373646622e-05
PC5 6.892004621824488e-07 -2.705144339476188e-07 -6.257385214559849e-07 1.2735531127829116e-06 1.7247806478016442e-06 1.610653003215934e-05 3.470258385380014e-07 1.1418192711550273e-06 -8.381470991582117e-07 -5.784606127093522e-07 -4.818956121986123e-07 -9.498879663557713e-07 5.077995808737494e-07 -1.3440781457968352e-06 5.43854283428485e-07 7.458613198028337e-08 -4.915575590004428e-08 7.65155973377983e-07 -1.8275806091156217e-07 2.67449392598224e-07 -9.705751827892581e-08 1.7379457411849993e-06 -9.027426565897459e-07 8.687985755602443e-07 -1.5309566495726396e-06 2.5242059772077745e-06 -5.245205198873188e-07 -5.588680732029503e-06
PC6 2.9504104725515426e-06 8.990699080249043e-08 -4.7261979348183554e-07 6.023295829709008e-08 -4.382973322637776e-07 3.4702583853800165e-07 1.5415274619024482e-05 -7.558367156343073e-08 2.6324504862958764e-07 2.437069996876541e-07 2.3294301237282734e-08 -4.0759787712907485e-07 -1.2357391104119078e-07 -1.393064828581826e-07 -2.755915212602297e-07 -1.4600819340769626e-07 -1.3112441092816108e-07 3.1614031220487497e-07 -4.287088383357875e-07 -2.2343477496310543e-07 -5.413565830952562e-07 8.952247649916105e-07 -1.1126066914439928e-06 -7.722428843462896e-06 5.771139291508264e-06 -6.943196948381796e-06 -3.681359525540165e-06 1.3390674618813277e-05
PC7 1.4489961655448255e-06 1.1740606127197915e-07 -5.719631569164068e-07 5.143311390781184e-07 2.0423001044675253e-07 1.1418192711550267e-06 -7.558367156343084e-08 1.310323288618778e-05 9.394688865375467e-07 -2.1615160401102184e-07 -1.149136199987546e-07 1.3487236729593463e-06 3.71215520763638e-07 2.841326457862726e-07 -4.1755610905804696e-07 -5.087617124374623e-07 7.816747764284174e-08 -4.837620696729981e-07 9.166664191138136e-08 8.481850459513366e-08 -4.63471875793245e-07 -4.7340443430387775e-06 5.929740042258887e-06 3.816827598311837e-06 -5.070844524184034e-06 -7.263972406370602e-06 7.775703158922818e-06 -4.093928195382841e-06
PC8 -7.139296204019862e-07 7.161273603692785e-08 1.1323303911752845e-06 -1.6192935729662002e-07 -1.2767532017260328e-06 -8.381470991582114e-07 2.632450486295873e-07 9.394688865375463e-07 1.4727238566406457e-05 4.2119563372944347e-07 3.8974952460914044e-07 -8.837831737801933e-07 3.1104516579083804e-07 -5.092935258973828e-08 -5.349530095936929e-07 -4.6138720927026457e-07 3.207626773599557e-07 1.6363393001215294e-07 -8.629465613015049e-07 -1.872971562910395e-07 1.1374822956297321e-07 2.7439702466129463e-06 -1.963887640282006e-06 6.5252493867351975e-06 4.933521872687628e-06 -7.849701687206598e-06 -1.2371813951872129e-05 2.5188067529437182e-06
PC9 2.0611658480152975e-06 5.187712911750264e-09 -3.3649988855324824e-07 -9.859317541485816e-07 4.317936623479086e-07 -5.784606127093516e-07 2.4370699968765393e-07 -2.1615160401102192e-07 4.2119563372944325e-07 1.2521619178021139e-05 -2.485878512794142e-07 -7.187959680048486e-08 -4.1088061919329054e-07 1.173536225828925e-07 -8.406962749730066e-07 3.990992673348309e-07 3.2888616938018317e-07 5.397073685952488e-07 -4.819245671862972e-07 -2.567061608660737e-07 -7.394588410927107e-07 1.2547401222214605e-06 -6.452293868146244e-06 4.254282723680187e-06 4.868362494055186e-06 1.6388829943431062e-06 -4.209026660681926e-06 -3.0673729950461273e-06
