 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal
intercept 0.00021601746238013121 2.9845002253155526e-07 -2.2895233122105717e-06 -3.6509007226611747e-07 -3.0081691571151424e-07 -2.1099374498289255e-07 7.435342441025718e-09 4.5184323666557026e-07 5.894171571134078e-08 7.633216624962404e-07 5.2931419444552494e-08 1.372231295294039e-07 -6.637983667314744e-08 2.539451856060814e-07 -3.1995199468166416e-08 -4.704954092231006e-07 -2.6241624331230504e-07 1.4178804822757715e-07 -2.3293069176324233e-07 6.356395564802668e-07 2.913559549348298e-08 8.79668505459156e-06 -1.2879537373341412e-05 -6.009430322498805e-06
PC1 2.9845002253155516e-07 7.090665606562493e-07 -6.059403533204881e-07 4.311868131173943e-08 -6.943915084775728e-08 -2.7187926422067867e-08 9.88253304791984e-09 3.5702690373174896e-08 9.159130540183522e-08 -1.893265020076187e-08 4.179975952485021e-08 -2.834372376181258e-08 2.2152428678640076e-07 1.111925359181469e-08 -1.0416111635422756e-07 -1.7092193493937934e-07 -1.5217645999154036e-07 2.981243222921161e-08 5.891766617125416e-08 3.132731774627911e-08 1.3238612102568092e-08 -1.1225389093220483e-07 7.193303148980709e-07 1.3147576329768714e-06
PC2 -2.2895233122105713e-06 -6.059403533204883e-07 1.714538011841015e-05 2.0433557562043345e-07 5.843517437878093e-07 -1.8506369415035163e-07 -8.643665025260129e-08 1.9824769574186376e-08 9.638355032149742e-08 4.462802397448189e-09 -1.676558658391915e-08 6.398391074809435e-08 -2.0430318597813714e-07 1.5367277002652004e-08 -1.6335862233950542e-07 8.584004900306488e-08 -1.6738584955216423e-07 1.8372152150702176e-07 -1.2248756427076926e-08 -8.25994627008139e-09 -1.9705338053846422e-08 2.8799361734982214e-07 2.7672763295684585e-07 1.1073402820644041e-06
PC3 -3.650900722661177e-07 4.311868131173948e-08 2.0433557562043335e-07 1.5287627274555693e-06 2.744985732475692e-08 2.4919171932473556e-07 1.2093382770908763e-08 6.389935460568876e-08 -5.856088735813755e-08 -3.246079232703038e-07 3.4588622214182066e-08 1.3479544867871196e-07 5.733500369098242e-08 -1.7459577541986506e-07 4.953735794656246e-12 1.808001310861608e-11 5.535279903252021e-09 -1.1053228851748676e-07 -1.4073543304127296e-07 1.0956512490974129e-07 3.523380248839804e-08 -2.9847264138418757e-07 -9.67679539061654e-07 -3.246494733748136e-08
PC4 -3.008169157115137e-07 -6.943915084775726e-08 5.843517437878095e-07 2.7449857324756914e-08 2.6728899568508584e-06 4.3643582819296566e-07 -2.0624772771296682e-07 -1.7862332330085733e-08 -3.7467399620334926e-07 2.3654323189671036e-07 8.399481319054864e-08 9.89058873057149e-08 -1.9873791327753277e-07 2.3349605747264454e-08 -1.1023735065678814e-07 -3.148498229498568e-08 7.844622221058644e-08 1.2264360821503072e-08 -9.536791292631345e-08 -6.873630674260632e-08 -1.3971958843161774e-08 -4.180677811363784e-08 -1.0361101279155157e-07 -2.8094928290920646e-07
PC5 -2.109937449828924e-07 -2.7187926422067837e-08 -1.8506369415035173e-07 2.4919171932473556e-07 4.3643582819296577e-07 4.8196349034265875e-06 5.641739056889672e-08 5.072941600826069e-07 -3.97419520259593e-09 -6.279272013532598e-08 -8.58846213856902e-08 -3.004281683517238e-07 1.6275482374324324e-07 -2.690931955828635e-07 1.737048142562516e-08 5.842860196438446e-08 -6.251220730121469e-08 2.533303089395345e-07 -1.0640859765190034e-07 8.653159361662534e-08 6.572674855345079e-08 -5.620399448769783e-07 7.327970373114759e-07 5.2180109887054877e-08
PC6 7.435342441025873e-09 9.88253304791983e-09 -8.643665025260129e-08 1.209338277090872e-08 -2.0624772771296677e-07 5.6417390568896577e-08 5.772976350712974e-06 1.6308573061752712e-08 -5.741660048280286e-10 1.0605405237489797e-07 -1.6456084032330962e-08 -1.3574733550585094e-07 2.2767615114061932e-08 -1.9548712095283937e-07 -1.376426478306449e-08 -2.7018106548367328e-08 -2.3031657264262753e-08 2.407699684137891e-07 -5.76623259398652e-08 -3.4994223897741194e-08 -8.489600159757925e-08 1.2973955198582508e-06 9.431808027333699e-07 -1.0588955408412459e-07
PC7 4.518432366655693e-07 3.5702690373174876e-08 1.9824769574186313e-08 6.389935460568873e-08 -1.786233233008576e-08 5.072941600826068e-07 1.6308573061752735e-08 4.766586196260681e-06 2.4682181755192816e-07 -6.891490887650674e-08 -3.13110833732752e-08 3.8785826344993647e-07 7.35368205752843e-08 2.937715642738312e-07 -5.739282095826962e-08 -1.7141689157107682e-07 -1.2326631620215973e-07 -2.7646766186116175e-08 6.520804073072185e-08 -4.7491984221391206e-08 -1.0875139186797438e-07 -1.557415221148089e-06 9.93271406100933e-07 5.83744681463224e-07
PC8 5.8941715711340543e-08 9.159130540183525e-08 9.63835503214974e-08 -5.856088735813757e-08 -3.746739962033494e-07 -3.97419520259586e-09 -5.741660048279664e-10 2.4682181755192827e-07 4.832378963593687e-06 3.3094038948860276e-09 1.6578783959120187e-07 -2.2782823172081515e-07 8.789288829512363e-08 -5.985163765043332e-08 5.674512505848412e-08 -1.087557834560022e-07 3.136778080128264e-08 9.296746048000333e-08 -3.4162764929748656e-08 -3.243271921365235e-08 9.140840261478368e-08 -8.880975418742559e-07 1.01082719510636e-06 5.756199101675668e-07
PC9 7.63321662496241e-07 -1.8932650200761895e-08 4.4628023974483735e-09 -3.246079232703038e-07 2.365432318967104e-07 -6.279272013532614e-08 1.06054052374898e-07 -6.891490887650678e-08 3.3094038948860987e-09 4.574074972221541e-06 -4.9392637839134747e-08 -1.5085708147873303e-07 -5.5657839342039474e-08 -1.4891560439855068e-07 -7.30529417091297e-08 8.233704251122948e-09 8.80066945396802e-08 1.3777278236142462e-07 -1.4951825207644432e-07 -6.314345472698036e-08 -8.042395716835711e-08 3.596125434395429e-07 -2.8863959204076645e-07 -5.543867243416675e-07
PC10 5.293141944455194e-08 4.1799759524850224e-08 -1.6765586583919106e-08 3.4588622214182046e-08 8.399481319054864e-08 -8.588462138569032e-08 -1.6456084032330975e-08 -3.13110833732752e-08 1.6578783959120195e-07 -4.93926378391348e-08 4.234673892207714e-06 -2.3163868709125835e-07 1.5445262231072953e-07 -1.9870300758172823e-07 -1.0667333557269737e-07 -6.107935349584753e-08 -1.6153384025779943e-07 2.1348386542053303e-08 1.8003535218363708e-07 1.4899986852814174e-07 6.40750076304517e-08 -8.023206928284104e-08 4.2997661220545984e-07 -2.7139290393493707e-07
PC11 1.3722312952940361e-07 -2.8343723761812555e-08 6.398391074809422e-08 1.3479544867871204e-07 9.890588730571493e-08 -3.0042816835172373e-07 -1.357473355058509e-07 3.8785826344993647e-07 -2.278282317208152e-07 -1.50857081478733e-07 -2.3163868709125838e-07 4.120283739537663e-06 -4.2751901999399314e-08 -5.843029254092155e-08 -1.37678619264809e-07 9.188809770583931e-08 1.1380233357129955e-08 1.8089832419381468e-07 -1.3663551428921469e-08 7.859519845786756e-08 1.630553306037565e-07 -1.3775305417066786e-06 1.3092378405990782e-06 1.8590619928335652e-06
PC12 -6.63798366731477e-08 2.2152428678640074e-07 -2.0430318597813687e-07 5.733500369098241e-08 -1.9873791327753282e-07 1.6275482374324322e-07 2.2767615114061925e-08 7.35368205752844e-08 8.789288829512365e-08 -5.565783934203958e-08 1.544526223107295e-07 -4.275190199939934e-08 3.972846241371763e-06 2.1383166061325192e-08 -1.783952506668017e-08 -7.953497628532566e-08 -1.1148809922932234e-07 -3.5466346974888156e-08 5.8170787892517856e-08 -8.531303946105095e-08 -9.861416225710772e-08 -7.534500412341395e-07 9.154166185049088e-07 -4.284680671359671e-08
PC13 2.5394518560608143e-07 1.1119253591814664e-08 1.5367277002652004e-08 -1.74595775419865e-07 2.3349605747264434e-08 -2.6909319558286357e-07 -1.9548712095283937e-07 2.9377156427383127e-07 -5.985163765043347e-08 -1.4891560439855087e-07 -1.9870300758172817e-07 -5.8430292540921455e-08 2.1383166061325232e-08 3.77679972736873e-06 -4.795943205561509e-08 1.8680012077489953e-07 7.426921425141441e-08 3.9122372531854334e-08 -1.473166833868666e-07 6.321609570494779e-08 2.6781038059675558e-08 1.0953956509957004e-06 -9.20946611708148e-07 4.3388500039712663e-07
PC14 -3.199519946816658e-08 -1.0416111635422759e-07 -1.6335862233950534e-07 4.953735794683601e-12 -1.1023735065678814e-07 1.7370481425625087e-08 -1.3764264783064524e-08 -5.7392820958269693e-08 5.674512505848412e-08 -7.305294170912968e-08 -1.0667333557269739e-07 -1.3767861926480894e-07 -1.7839525066680237e-08 -4.795943205561506e-08 4.143611559970208e-06 -3.5294187106133534e-08 -5.6891715865209264e-08 -2.3273285784168492e-08 9.807831288802613e-08 1.1210632499507744e-07 -3.562605029546304e-08 8.67160870235334e-07 -6.726149452346618e-07 -7.391639189982219e-07
PC15 -4.704954092231005e-07 -1.7092193493937923e-07 8.58400490030648e-08 1.808001310865815e-11 -3.148498229498569e-08 5.8428601964384493e-08 -2.7018106548367322e-08 -1.7141689157107687e-07 -1.0875578345600224e-07 8.23370425112289e-09 -6.107935349584754e-08 9.188809770583922e-08 -7.953497628532561e-08 1.8680012077489956e-07 -3.5294187106133554e-08 3.896418830028518e-06 1.5204984440389867e-07 -1.7230204813997894e-07 -1.3474235838706622e-07 1.0576311240564307e-07 6.777190904234555e-08 5.793813296125227e-07 4.312852872551143e-07 4.257889602682225e-08
PC16 -2.6241624331230514e-07 -1.5217645999154028e-07 -1.6738584955216405e-07 5.535279903252022e-09 7.844622221058646e-08 -6.251220730121472e-08 -2.3031657264262733e-08 -1.2326631620215973e-07 3.136778080128263e-08 8.800669453968022e-08 -1.6153384025779948e-07 1.1380233357130018e-08 -1.1148809922932234e-07 7.426921425141445e-08 -5.68917158652092e-08 1.520498444038986e-07 4.009181900630688e-06 -1.496251801024641e-08 -6.903179768761878e-08 -1.1660542205898268e-07 -7.01476448578705e-08 8.84919529785679e-07 -3.1053212669636696e-07 6.656309014198406e-08
PC17 1.417880482275772e-07 2.981243222921159e-08 1.8372152150702176e-07 -1.1053228851748674e-07 1.2264360821503125e-08 2.5333030893953457e-07 2.40769968413789e-07 -2.7646766186116224e-08 9.29674604800033e-08 1.377727823614246e-07 2.1348386542053293e-08 1.8089832419381468e-07 -3.5466346974888255e-08 3.91223725318544e-08 -2.327328578416844e-08 -1.723020481399789e-07 -1.4962518010246417e-08 3.6655214964082846e-06 -2.6269984365706522e-08 -5.1719158743421785e-08 -1.7250729999628884e-08 2.980981178965823e-07 -1.694775363665166e-07 2.2396546266514195e-07
