 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal gpp gmp
intercept 0.000706109729078059 1.4922716085191569e-06 -3.276002673972058e-06 -2.563877574111545e-07 -3.326406176640203e-07 -3.3087483630146947e-06 2.3800344998976766e-06 1.1197587621536585e-07 -3.733202316819368e-07 2.359447107306926e-06 -7.633067908061241e-07 -7.6729574355868e-07 -3.1108139035037894e-06 2.7294913500227806e-06 -3.0259491120758806e-06 -3.0916786767891443e-06 -2.1708254100320277e-06 -2.428094956363358e-07 5.985427848123637e-07 9.351034961703006e-07 1.7704087604669985e-06 1.2147463101950926e-05 8.609669299394394e-05 -0.00024427286470990895 7.730497132497666e-05
PC1 1.492271608519155e-06 2.3574528831500313e-06 -1.902289326548095e-06 -9.383499396259819e-08 -3.182550172669756e-08 -1.1573627378853155e-07 -9.643457378705134e-08 2.8483619824057535e-09 1.0494299866903442e-07 -6.894921870205917e-08 -3.195512565233568e-09 -2.631208439066632e-07 7.372304087163204e-07 -4.840699780376785e-08 -4.654099934932554e-07 -7.523407348946515e-07 -4.613053180031255e-07 5.288625854341009e-08 7.747049069681459e-08 3.3237526067699085e-07 8.297198304375193e-08 2.905049865885155e-06 -5.392831791915614e-06 1.1419980667978518e-05 3.692469456763382e-08
PC2 -3.2760026739720507e-06 -1.9022893265480947e-06 5.064598698282579e-05 1.2935739877814565e-06 1.2848251743078603e-06 -1.3207048110897297e-06 -1.0816925918315817e-06 1.306156947651818e-07 1.2298525267665576e-06 -4.935684623546123e-07 -3.255420448007828e-07 2.3559135955146457e-07 -6.734315675924165e-07 2.5560588839977304e-07 9.872942835620508e-07 -2.5595646274980177e-07 -3.0120398047285647e-07 5.777611034061273e-07 -8.40338732088245e-08 -4.5314256723275543e-07 -7.942355820991817e-07 -3.5973394575876335e-06 3.966024610629174e-06 3.691595055057783e-06 -2.5762640414902386e-06
PC3 -2.56387757411154e-07 -9.383499396259819e-08 1.2935739877814558e-06 4.8905800215196146e-06 2.0270473297053847e-07 1.212028435309811e-06 -2.754528072503608e-07 7.533403731339867e-07 -7.088004912480426e-08 -1.0340288377116742e-06 3.0682156204619585e-07 4.942179135075337e-07 4.178210742884236e-08 -4.317707675575567e-07 2.0734258805900976e-07 -1.864311273194332e-07 2.579453517248105e-09 -3.41189029310348e-07 -3.261435659236052e-07 4.1279567815915393e-07 3.7188748066022565e-07 3.813538425167227e-08 1.82732603673644e-07 -5.773991436570419e-06 -2.1164461270331396e-06
PC4 -3.3264061766401693e-07 -3.1825501726697504e-08 1.28482517430786e-06 2.027047329705386e-07 8.73486646650278e-06 1.9702441107409856e-06 -4.294495308585185e-08 -6.31183748636119e-08 -8.516855979494605e-07 6.472372060227219e-07 1.1343710164981397e-07 5.37887757135571e-07 -7.23705127425776e-07 -1.1771003747088957e-07 -8.209871677027867e-08 -4.8521625552380134e-08 3.6394952657800914e-07 -2.637534012769832e-07 -4.0006315776476213e-07 -5.7424127547950996e-08 1.1138557405765567e-07 6.813199684103866e-07 -3.5058018288242514e-06 1.0089045723197263e-05 -6.066202410473599e-06
PC5 -3.3087483630146892e-06 -1.1573627378853145e-07 -1.3207048110897293e-06 1.2120284353098105e-06 1.9702441107409848e-06 1.654141483138907e-05 7.897799019887902e-07 1.1477615414233392e-06 -5.487819274101999e-07 -7.174834740344056e-07 -5.920094618938356e-08 -1.028275414141531e-06 7.195327594115621e-07 -1.1273786551491354e-06 3.413757590103874e-07 1.4716993786039634e-07 -2.311799767496297e-07 3.0752684889917243e-07 -4.7531893280441437e-07 1.1998732295182578e-07 -1.0555061164872734e-07 4.011132947917287e-07 2.160878639881713e-06 -1.0043418116830652e-05 4.770694041019263e-06
PC6 2.380034499897675e-06 -9.64345737870513e-08 -1.0816925918315814e-06 -2.754528072503608e-07 -4.2944953085851607e-08 7.897799019887899e-07 1.5427642609098532e-05 1.6150492894363792e-07 2.0219417996808968e-07 6.726161321959168e-07 4.806896818861244e-07 -4.851120904569606e-07 -3.2493590105185864e-07 -5.957868121059257e-07 -3.4934388452910033e-07 3.2604746604289825e-07 -2.1530456206744712e-07 4.476736490697908e-07 -3.300230627029099e-07 -1.3353256975568723e-07 -4.596642435859846e-07 -2.947157625055856e-07 -1.6685832393371006e-06 -2.692594850585492e-07 5.458736978827681e-06
PC7 1.1197587621536493e-07 2.848361982405452e-09 1.3061569476518202e-07 7.533403731339866e-07 -6.311837486361165e-08 1.1477615414233394e-06 1.6150492894363795e-07 1.2854484824629768e-05 3.3566702148126594e-07 -3.3749877955568407e-07 8.927064867461736e-09 9.918657150026565e-07 -4.278371961747358e-09 7.335744440841842e-07 1.3524720083994112e-07 -2.875635861571429e-07 -2.058516534594855e-07 -5.592714155317517e-07 -3.589412448416323e-08 1.4141517260958337e-07 1.1087343305464935e-08 -2.3900022413313783e-06 4.625841489819159e-06 -1.106321830497691e-05 -7.393301457697222e-07
PC8 -3.7332023168193823e-07 1.0494299866903451e-07 1.2298525267665587e-06 -7.088004912480447e-08 -8.5168559794946e-07 -5.487819274102001e-07 2.0219417996808968e-07 3.3566702148126674e-07 1.363445240020653e-05 2.0633889790293e-07 -1.419575826703481e-07 -9.248583640271949e-07 3.2711659338278987e-07 5.880612366528633e-08 -1.4556452069850736e-07 -3.7730804551508744e-07 3.542787122620106e-07 6.328367225203396e-07 -1.1120132324593243e-07 -8.494672981046163e-07 5.321408090469937e-07 -3.487100534818821e-06 7.820951328810175e-06 -5.752782623860676e-06 -3.5717044274458744e-06
PC9 2.359447107306925e-06 -6.894921870205918e-08 -4.935684623546122e-07 -1.0340288377116748e-06 6.472372060227221e-07 -7.174834740344063e-07 6.726161321959165e-07 -3.3749877955568455e-07 2.063388979029303e-07 1.2506250623027836e-05 -4.864944539870866e-07 -2.1052531145016114e-07 -3.0924931270104146e-07 -3.760019098481926e-07 -1.9661741373547618e-07 -5.31070587931301e-08 5.35808925710545e-07 5.018376618643494e-07 -5.066299332581755e-07 -5.935207307705453e-07 -2.6749355657828464e-07 1.3034028592714154e-06 4.307224731912594e-06 -4.100882751910297e-06 -2.07014923352632e-06
PC10 -7.633067908061222e-07 -3.195512565233545e-09 -3.2554204480078235e-07 3.0682156204619585e-07 1.1343710164981412e-07 -5.920094618938365e-08 4.806896818861242e-07 8.927064867461767e-09 -1.4195758267034836e-07 -4.864944539870866e-07 1.3049126149051439e-05 -1.8170343435766287e-07 -1.7226669747181705e-07 -3.803110528823425e-09 -4.166377943444974e-07 6.411699018916255e-07 -7.075202486428098e-08 2.6809590601575105e-07 2.153705433963731e-07 1.9284156743074036e-07 -2.8848959801807704e-07 4.7543615092322985e-07 3.5336104677126074e-06 -3.164950362230933e-06 -5.040999714360448e-06
