 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal
intercept 0.0003090531656958642 3.3781217290792125e-07 -2.485737031269288e-06 -4.173645834721786e-07 1.1743940537087986e-07 -5.06379262303699e-07 -3.9954724634018904e-07 9.754501302321905e-07 -1.6430290658486357e-08 8.675564573805985e-07 -5.52428172678557e-08 -4.862418158416426e-07 3.413963828350258e-08 1.1148283462921795e-07 8.265288609151278e-08 -4.881458397712753e-07 -6.372335493568001e-08 2.5660350412755703e-07 -1.7319596400129454e-07 5.412504892683886e-07 4.479338295367632e-07 8.275296510839852e-06 -1.6209816849102536e-05 -8.731234628271368e-06
PC1 3.378121729079211e-07 9.908189742080702e-07 -6.83712684165195e-07 3.7668379846541716e-08 -7.184771834814661e-08 -4.05060466151797e-08 -6.07307755342376e-09 5.840731522928495e-08 1.2125131635981254e-07 -3.723557550154475e-08 4.522888094472279e-08 -3.642753943180597e-08 2.3592009370453191e-07 5.429148922604709e-09 -1.1823792175456331e-07 -1.7631202804198683e-07 -1.3243735574604547e-07 2.066571864773771e-08 5.5187343421401654e-08 3.7332522092074295e-08 2.9264803131964965e-08 -9.883440007587649e-08 8.61357665117816e-07 1.6533636930056226e-06
PC2 -2.4857370312692887e-06 -6.837126841651949e-07 1.8916124662358917e-05 2.3163202881765672e-07 5.830375853179516e-07 -2.837649350999954e-07 -1.3611370504907774e-07 1.047836723222447e-08 3.365478754039934e-08 -2.8011612502036492e-08 -6.5147010761999e-08 1.2421348098869502e-07 -1.216683359583277e-07 3.522412107427214e-08 -7.951345424037004e-08 1.6979160979716137e-07 -1.6674422660067752e-07 1.8005996822547056e-07 4.150092246552531e-08 2.4951940420640623e-09 3.401494909222011e-08 7.026670462405822e-07 1.0931552635221615e-07 1.1862211181908015e-06
PC3 -4.173645834721787e-07 3.766837984654174e-08 2.316320288176569e-07 2.0530663990500064e-06 2.4593666104301653e-08 2.953926196925205e-07 6.3491697568532954e-09 4.4374026015691066e-08 -8.058112300741427e-08 -3.1974717665249713e-07 3.02309977621691e-08 1.201623298676389e-07 7.771672299976629e-08 -1.6958270235189967e-07 2.6167647574098533e-08 -1.694646889298228e-08 -3.766358572424349e-09 -8.875579741157127e-08 -1.3361232530009367e-07 1.0874178905473977e-07 5.1061962775138636e-08 -4.081173465804018e-07 -1.2066313151358393e-06 -1.585252211528637e-07
PC4 1.1743940537087975e-07 -7.18477183481466e-08 5.830375853179514e-07 2.4593666104301663e-08 3.525624146286652e-06 5.17934939925313e-07 -2.0336254454443784e-07 -2.4193209644774004e-08 -3.7501006702622515e-07 2.5684391566746157e-07 8.923445868665268e-08 9.052939825958629e-08 -1.9871772371681883e-07 2.9753714702185755e-08 -7.500987324519446e-08 -5.473397498510331e-08 6.943798737044099e-08 1.7379257732558625e-09 -9.010172332841832e-08 -7.712192358180358e-08 -3.9347171255335706e-08 2.7381444108765574e-07 -3.070238019533062e-07 -5.167407158744414e-07
PC5 -5.063792623036982e-07 -4.050604661517969e-08 -2.837649350999954e-07 2.9539261969252056e-07 5.179349399253132e-07 5.7875252751786235e-06 7.273000410921582e-08 4.951276538878849e-07 -1.1378442154405942e-08 -7.281863984276599e-08 -1.0800813595774346e-07 -3.563591507240379e-07 1.95612366189967e-07 -2.8687739860326303e-07 7.484034089291682e-08 5.364865583130172e-08 -6.224616894249629e-08 2.4773054692175653e-07 -9.430575129055208e-08 9.888435950449659e-08 7.375181877083774e-08 -2.5499893859117347e-07 1.021400642748032e-06 -8.77820103875859e-08
PC6 -3.995472463401888e-07 -6.073077553423768e-09 -1.3611370504907795e-07 6.3491697568532756e-09 -2.0336254454443777e-07 7.273000410921581e-08 6.390665344534665e-06 4.276534338966812e-09 -9.289530439765973e-09 4.0627728676554257e-08 1.855382510203517e-08 -1.5474008336224886e-07 1.0069836702046489e-08 -1.682677603588839e-07 -2.554112870938007e-08 -2.60477954223599e-09 1.793245489958289e-08 2.6639546635713754e-07 -5.332186630023974e-08 -1.9858663878571125e-08 -1.1798380002268677e-07 1.287931903482226e-06 6.560975008284488e-07 9.926486123139562e-09
PC7 9.754501302321924e-07 5.840731522928503e-08 1.0478367232224355e-08 4.437402601569111e-08 -2.419320964477405e-08 4.951276538878849e-07 4.276534338966825e-09 5.337841838150489e-06 2.4824486134857667e-07 -8.915240386887444e-08 -4.546626463191214e-08 3.2513312762479206e-07 6.144636433703828e-08 2.5052458356840527e-07 -2.816323925392808e-08 -1.58693558114094e-07 -9.84880109769352e-08 -2.1580916388420652e-08 4.809848248962709e-08 -6.450308419894025e-08 -1.1696590835905604e-07 -1.5656226937537131e-06 7.551578816413414e-07 2.3615951823319001e-07
PC8 -1.6430290658486284e-08 1.212513163598126e-07 3.365478754039939e-08 -8.058112300741425e-08 -3.750100670262251e-07 -1.1378442154406096e-08 -9.289530439766011e-09 2.482448613485766e-07 5.332584502951116e-06 6.156300789602282e-09 1.5170822588134476e-07 -2.2878132093285675e-07 1.155335394524648e-07 -3.6743176954906084e-08 5.328442962311949e-08 -6.738272381010529e-08 3.416342539191706e-08 6.511683824951085e-08 -3.094372309501294e-08 -7.62692770226525e-08 9.890204254796351e-08 -1.0825478870245123e-06 1.3940603328395573e-06 9.172852202587048e-07
PC9 8.67556457380598e-07 -3.723557550154476e-08 -2.801161250203644e-08 -3.197471766524971e-07 2.568439156674616e-07 -7.281863984276594e-08 4.062772867655425e-08 -8.915240386887448e-08 6.156300789602261e-09 5.067262986300577e-06 9.039084199568023e-09 -1.531867260725967e-07 -3.165287715342443e-08 -9.644400057483829e-08 -7.729405524152855e-08 3.874134354567387e-08 1.4858153508782449e-07 1.2921353916607143e-07 -2.1405310177690477e-07 -1.0544439499174317e-07 -9.687453972531468e-08 2.857421123853747e-07 -2.0698529472798784e-07 -4.177023421129282e-07
PC10 -5.524281726785608e-08 4.52288809447228e-08 -6.514701076199913e-08 3.0230997762169064e-08 8.923445868665259e-08 -1.0800813595774353e-07 1.8553825102035262e-08 -4.546626463191217e-08 1.5170822588134487e-07 9.039084199568115e-09 4.632301491056858e-06 -2.1714303106439807e-07 1.5297858166710012e-07 -1.7641021494214147e-07 -1.3874213027129656e-07 -9.422288753407858e-08 -1.4113141422915903e-07 5.643813921244156e-08 2.0342842711099642e-07 1.3456227914860922e-07 1.970910011761658e-08 5.197932384383661e-08 3.934672770801146e-07 -1.9651602068755631e-07
PC11 -4.862418158416425e-07 -3.64275394318059e-08 1.2421348098869492e-07 1.2016232986763884e-07 9.052939825958623e-08 -3.563591507240381e-07 -1.5474008336224894e-07 3.251331276247918e-07 -2.2878132093285677e-07 -1.5318672607259672e-07 -2.171430310643978e-07 4.594289637772247e-06 -6.639280969233096e-08 -4.454705176221147e-08 -1.0447183918258982e-07 9.337854187043282e-08 1.1801638219870371e-08 1.5090368514884657e-07 -3.08434097903756e-08 8.368274488493152e-08 1.8230661684479572e-07 -1.1974953933539942e-06 1.14264409571064e-06 1.9184646321611615e-06
PC12 3.413963828350214e-08 2.3592009370453194e-07 -1.2166833595832775e-07 7.771672299976623e-08 -1.9871772371681878e-07 1.9561236618996696e-07 1.0069836702046534e-08 6.144636433703821e-08 1.1553353945246474e-07 -3.165287715342439e-08 1.529785816671e-07 -6.639280969233093e-08 4.432836325660509e-06 -3.849478825962333e-09 -1.6499132824258465e-08 -1.1372475060524516e-07 -7.416792008892874e-08 -2.7105607294378633e-08 3.817543209941092e-08 -3.1181076397041503e-08 -4.9457609380692595e-08 -7.269661192947596e-07 7.392044560703411e-07 1.0152711476337512e-08
PC13 1.1148283462921803e-07 5.429148922604689e-09 3.522412107427211e-08 -1.6958270235189983e-07 2.9753714702185854e-08 -2.8687739860326303e-07 -1.6826776035888382e-07 2.505245835684052e-07 -3.67431769549062e-08 -9.644400057483821e-08 -1.7641021494214155e-07 -4.4547051762211566e-08 -3.849478825962373e-09 4.216358291603415e-06 -9.238073071733309e-08 2.2792081456520685e-07 4.8385527216694446e-08 1.530717232341907e-08 -1.1331319634428436e-07 2.596561490663476e-08 5.213184755058997e-08 1.071524744622632e-06 -7.645090631370367e-07 6.399956682478429e-07
PC14 8.265288609151324e-08 -1.1823792175456331e-07 -7.951345424036995e-08 2.6167647574098546e-08 -7.500987324519449e-08 7.484034089291682e-08 -2.5541128709380046e-08 -2.816323925392812e-08 5.328442962311934e-08 -7.72940552415286e-08 -1.3874213027129656e-07 -1.044718391825898e-07 -1.6499132824258415e-08 -9.238073071733306e-08 4.594701848500782e-06 5.992640966735865e-09 -7.599722716370803e-08 -3.2557218061311436e-08 1.003401310903176e-07 1.2024161171735045e-07 1.283382659628663e-08 7.439483519445842e-07 -3.7023255219676516e-07 -5.652701798038025e-07
PC15 -4.881458397712754e-07 -1.7631202804198694e-07 1.6979160979716118e-07 -1.6946468892982306e-08 -5.473397498510324e-08 5.364865583130182e-08 -2.60477954223595e-09 -1.5869355811409398e-07 -6.738272381010532e-08 3.8741343545674046e-08 -9.422288753407869e-08 9.337854187043295e-08 -1.1372475060524518e-07 2.2792081456520678e-07 5.992640966735913e-09 4.361212861192612e-06 1.193992450179067e-07 -1.650126433396571e-07 -7.112319894300083e-08 1.0406452409588256e-07 8.581971315708026e-08 6.394782185291999e-07 3.8135006893882495e-07 4.0385385406036895e-07
PC16 -6.372335493567969e-08 -1.324373557460455e-07 -1.6674422660067733e-07 -3.7663585724244096e-09 6.943798737044099e-08 -6.224616894249623e-08 1.793245489958278e-08 -9.848801097693511e-08 3.416342539191709e-08 1.4858153508782449e-07 -1.4113141422915911e-07 1.180163821987034e-08 -7.41679200889287e-08 4.838552721669447e-08 -7.599722716370792e-08 1.1939924501790666e-07 4.465852294220049e-06 4.341892844653025e-09 -4.4000132090882664e-08 -1.4357130331317029e-07 -9.331984038117306e-08 8.387433416919279e-07 -2.1127629542884765e-07 1.0379722598013213e-07
PC17 2.566035041275572e-07 2.0665718647737686e-08 1.800599682254707e-07 -8.875579741157129e-08 1.7379257732559423e-09 2.4773054692175653e-07 2.663954663571376e-07 -2.158091638842069e-08 6.511683824951086e-08 1.2921353916607145e-07 5.643813921244157e-08 1.5090368514884662e-07 -2.7105607294378742e-08 1.530717232341911e-08 -3.255721806131138e-08 -1.6501264333965717e-07 4.341892844653001e-09 4.0951641921632486e-06 -4.423554112693507e-09 -4.7908914636535765e-08 4.255834339035328e-09 9.432172322976603e-08 8.38532626646151e-08 2.8476053086941577e-07
PC18 -1.7319596400129518e-07 5.518734342140169e-08 4.1500922465525315e-08 -1.3361232530009364e-07 -9.010172332841823e-08 -9.430575129055199e-08 -5.3321866300239745e-08 4.809848248962711e-08 -3.0943723095012946e-08 -2.1405310177690467e-07 2.0342842711099636e-07 -3.0843409790375636e-08 3.817543209941095e-08 -1.1331319634428438e-07 1.003401310903175e-07 -7.112319894300072e-08 -4.4000132090882605e-08 -4.423554112693461e-09 4.133681962422811e-06 -1.724609808637103e-08 4.609585887808353e-08 -6.196415914046639e-07 6.304364832121235e-07 1.2249860131158888e-06
PC19 5.412504892683895e-07 3.7332522092074295e-08 2.4951940420641884e-09 1.087417890547398e-07 -7.712192358180349e-08 9.888435950449648e-08 -1.985866387857116e-08 -6.450308419894028e-08 -7.626927702265254e-08 -1.0544439499174318e-07 1.345622791486093e-07 8.368274488493154e-08 -3.1181076397041556e-08 2.5965614906634783e-08 1.2024161171735055e-07 1.0406452409588253e-07 -1.435713033131702e-07 -4.7908914636535745e-08 -1.7246098086370973e-08 4.160576311945651e-06 1.1168013175235173e-07 -1.1045575075809675e-07 4.247452087978875e-07 4.07740738587763e-07
PC20 4.4793382953676317e-07 2.9264803131964975e-08 3.40149490922201e-08 5.106196277513859e-08 -3.934717125533569e-08 7.37518187708376e-08 -1.1798380002268689e-07 -1.169659083590561e-07 9.89020425479635e-08 -9.687453972531469e-08 1.970910011761664e-08 1.8230661684479567e-07 -4.945760938069247e-08 5.213184755058996e-08 1.2833826596286581e-08 8.581971315708025e-08 -9.331984038117305e-08 4.255834339035213e-09 4.6095858878083473e-08 1.1168013175235174e-07 3.837861549048867e-06 -7.831872220819012e-08 -2.9687287771242066e-07 2.5539041828933237e-07
proband 8.275296510839854e-06 -9.88344000758769e-08 7.026670462405805e-07 -4.0811734658040136e-07 2.738144410876562e-07 -2.5499893859117437e-07 1.2879319034822281e-06 -1.565622693753714e-06 -1.0825478870245123e-06 2.857421123853749e-07 5.197932384383701e-08 -1.1974953933539946e-06 -7.269661192947595e-07 1.0715247446226325e-06 7.439483519445848e-07 6.394782185291999e-07 8.387433416919284e-07 9.432172322976553e-08 -6.19641591404664e-07 -1.104557507580958e-07 -7.831872220819113e-08 0.00034835559916704753 -0.00019320385464673996 -0.00017558642579379715
