 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal gpp gmp
intercept 0.0005251304013976877 7.421025327810653e-07 1.088432164423448e-06 6.7491664373126e-07 1.4460769223429943e-06 -1.8260402043895726e-06 1.8099330379873513e-07 1.6407966710553084e-06 -5.864896937307874e-07 1.9181692216795984e-06 2.459397363554955e-07 6.4820684091583e-07 -2.0977892062724736e-06 1.61024490410548e-06 -1.5610587088564946e-06 -1.3902601326499547e-06 -4.944423639789119e-07 -1.2657344750841955e-07 -1.319322309381571e-07 1.3649548481322034e-06 1.3427971398770778e-06 -1.3729715296800211e-06 7.767126850112157e-05 -0.00015675141634762462 1.282262685093513e-05
PC1 7.421025327810651e-07 1.7616335842112177e-06 -1.2564855475859678e-06 -1.6762553026088613e-07 -9.406250077123475e-08 -1.5906486810338257e-07 3.841692944484214e-09 4.074305694284693e-08 4.321933436726327e-08 -8.705266631658929e-10 7.88089616787748e-09 -1.2178793277154e-07 4.679770666731874e-07 -3.480586610269701e-08 -2.497384498262753e-07 -4.2358944112045786e-07 -3.6645260605980913e-07 1.1530892259810872e-07 2.0809605607843944e-08 1.3739306951464158e-07 -2.1987886007699177e-08 1.3684142235901365e-06 -1.398525773565877e-06 5.9671299995575265e-06 -1.4890260161870822e-06
PC2 1.0884321644234445e-06 -1.2564855475859682e-06 3.3294341000730044e-05 5.037402250374751e-07 9.65815237202002e-07 -7.792794689299978e-07 -2.478001772739994e-07 -6.724409657859188e-08 7.143328080919542e-07 -3.304353165038493e-07 2.470069844886922e-07 1.1082256044136682e-08 -3.763481648098991e-07 1.330856402115869e-07 -1.326673734397323e-07 2.344333402391471e-07 -1.0829750115907084e-07 2.8758916010486063e-07 -1.2042023008219967e-08 -1.1113490420418657e-07 -1.064074320460906e-07 -1.0036454627495847e-06 -1.8158856546893945e-06 6.426441574129114e-06 2.0318678745597445e-06
PC3 6.7491664373126e-07 -1.6762553026088605e-07 5.037402250374749e-07 3.5033780324323355e-06 4.5992094126746095e-08 7.828567642940006e-07 6.048336203593094e-09 2.4349574696715053e-07 -1.3989266771592488e-07 -7.000056098626048e-07 1.6796355187442858e-07 2.3001780788841803e-07 6.760235445144449e-08 -2.8098568401164654e-07 1.873695059487073e-07 -1.4502058998995422e-07 -4.007215280858799e-08 -1.5260828985072022e-07 -2.133690486374348e-07 2.0812199251325907e-07 1.225136956311706e-07 -6.899347694580218e-07 2.264834285740283e-06 -3.910367008742456e-06 -4.969150964549275e-06
PC4 1.4460769223429958e-06 -9.406250077123471e-08 9.65815237202001e-07 4.599209412674611e-08 6.494081826678143e-06 1.1750105704944307e-06 -1.5411127556815305e-07 5.259513635900137e-08 -6.181189596716089e-07 4.7507893252490736e-07 1.5418472889380764e-07 2.3193253079018825e-07 -5.470598508359712e-07 -9.714500617810467e-08 -8.94433287343727e-08 -8.991975277635588e-08 1.9457535428976634e-07 -6.774130505378525e-08 -1.7430819825133662e-07 -1.0243813585749057e-07 -6.096782972105373e-08 5.39638718590797e-07 -1.3619983629051464e-06 2.098735065955387e-06 -2.4369253863689217e-06
PC5 -1.826040204389572e-06 -1.5906486810338254e-07 -7.792794689299978e-07 7.828567642940007e-07 1.1750105704944307e-06 1.1502514220572576e-05 3.012588289181961e-07 7.506143458233497e-07 -2.559561074610622e-07 -2.813513952173501e-07 -1.538790833126551e-07 -7.01293279341756e-07 4.799775531496007e-07 -8.100383533104675e-07 3.6009097655637813e-07 -4.6194209641561006e-08 -9.558944871660003e-08 5.228137200536693e-07 -2.2360202673809986e-07 3.325483282878989e-08 -5.084284437039293e-08 8.564290995249589e-07 2.7844269140046498e-06 -8.68960480782098e-06 2.8496219374913385e-06
PC6 1.8099330379873624e-07 3.841692944484174e-09 -2.478001772739992e-07 6.048336203593098e-09 -1.5411127556815332e-07 3.0125882891819634e-07 1.0814215598838077e-05 2.030525215134817e-08 -1.1701744091473555e-08 2.1506083822154633e-07 1.2480861180770953e-07 -2.9603299356543763e-07 -5.242618562514832e-08 -2.97215272579693e-07 -1.325543809456995e-07 -4.6569073711857055e-08 -7.315740284796108e-08 3.749286272079211e-07 -2.624956046854005e-07 -6.662605136662842e-08 -2.674011741209304e-07 7.604238759888462e-07 -1.7892330734814715e-06 3.752498644011473e-06 9.046617913954761e-07
PC7 1.6407966710553063e-06 4.074305694284702e-08 -6.724409657859154e-08 2.4349574696715043e-07 5.25951363590012e-08 7.506143458233491e-07 2.0305252151347953e-08 8.832014771746961e-06 3.770930727034421e-07 -2.918400218804058e-07 -1.6896684468005252e-07 5.585398844566585e-07 6.389495509605082e-08 4.4968787644834187e-07 -1.1590510613342737e-07 -1.828049542242377e-07 -2.912424660862324e-07 -2.0053555980302448e-07 1.447370949037336e-07 1.8991499832952164e-08 -1.078341822687197e-07 -3.109975789018582e-06 1.4498807325555415e-06 1.0720347075183931e-06 -5.53781938614295e-07
PC8 -5.864896937307902e-07 4.3219334367263314e-08 7.143328080919545e-07 -1.3989266771592482e-07 -6.181189596716088e-07 -2.559561074610622e-07 -1.170174409147358e-08 3.770930727034417e-07 9.430289797710427e-06 2.956886761280092e-07 6.755289451102715e-08 -6.383214652726337e-07 3.414046947557242e-08 1.0646874254326645e-07 -6.294527795480944e-08 -1.741714455126634e-07 7.882411925203972e-08 6.186279010576617e-08 -2.64541261174387e-07 -2.677422666965447e-07 2.445621895222274e-07 -1.8354740873581664e-06 2.0283165679397862e-06 3.83994273292241e-06 -5.75372700359352e-06
PC9 1.9181692216795993e-06 -8.705266631659518e-10 -3.304353165038489e-07 -7.00005609862605e-07 4.750789325249074e-07 -2.8135139521735e-07 2.150608382215464e-07 -2.9184002188040585e-07 2.9568867612800943e-07 8.508145388230352e-06 -2.2303735619516392e-07 -9.140103634536299e-08 -1.2176350564832596e-07 -1.7650989021186314e-07 -3.4391552336195484e-07 6.049136645431377e-09 2.839591661614688e-07 1.7827038197229747e-07 -4.856564503119662e-07 -2.4988049963004123e-07 -2.940003643738023e-07 5.508406376372631e-07 3.55360144695654e-06 -3.0182775898418697e-06 -2.0647747554021066e-06
