(Intercept) covarSEX covarYOB covarYOBsq covarSEX_YOB covarSEX_YOBsq covarPC1 covarPC2 covarPC3 covarPC4 covarPC5 covarPC6 covarPC7 covarPC8 covarPC9 covarPC10 covarPC11 covarPC12 covarPC13 covarPC14 covarPC15 covarPC16 covarPC17 covarPC18 covarPC19 covarPC20 proband maternal gmm gpm
(Intercept) 0.00542852778941282 -13.813089417242 -0.906224425692993 0.899729723113854 27.4490487582776 -13.6391806698136 0.000162639443700265 -0.000132934525716682 -0.000264958678602568 0.00024934032033176 -0.000164142486291927 1.41162327058078e-05 -2.55405099344321e-05 -8.09592860353007e-05 -6.22136958143292e-05 6.78244408642134e-05 0.000116020267664377 2.94990067277024e-05 0.000322643966768545 4.70728481958507e-05 0.000192810452052785 0.000153959181644492 -5.49838689322692e-05 9.70094292401146e-05 0.000228449147102266 -2.573150652765e-05 -0.000167172085358495 0.000159451691507502 8.80928876204306e-06 -0.00034157916995657
covarSEX -13.813089417242 1067845.22495735 22080.7708420747 -21994.5111787275 -2129453.68842502 1061794.47077932 -0.21719628087472 -0.150299466671208 -0.55327639650359 -1.06946457565536 -0.204564348279329 0.515126227710189 0.145571425787111 0.861597877042757 -0.848352304763347 0.25796691581799 0.51910388068703 0.541065826723087 0.962657355386202 -0.982295607516922 0.543682068983178 0.100969481192389 -1.59891395151956 -1.17516572204688 0.575908773542623 0.15505176910664 -0.518229338826855 0.996705165510352 -0.764450521429863 -1.71322607511779
covarYOB -0.906224425692993 22080.7708420747 721.746617561681 -718.941674226827 -44022.6701691287 21945.7980021693 0.000130660224411832 0.00315304142563215 -0.00379237079096346 -0.0780292991130233 0.0037325807816247 0.0309468830452743 -0.0138400581670447 0.0343588925134702 -0.00800893463979195 0.00323000684318427 0.00703029147740702 0.0544608876768321 0.00665230622295111 0.011752653596194 -0.0119168856308805 -0.0367773346922532 -0.0336860472672307 -0.0203155679972632 -0.00366925162857246 -0.0220309194019059 0.00598218142020907 -0.00301968617478828 -0.0377481118318104 -0.0289025872866104
covarYOBsq 0.899729723113854 -21994.5111787275 -718.941674226827 716.159033860382 43851.3928679374 -21860.7623227021 -0.000489487929959838 -0.00300704168410936 0.00386301634247254 0.0776547749918202 -0.00380813222842085 -0.0309960473068766 0.0137203305333984 -0.0342313823290009 0.00804520060276513 -0.00307818448025786 -0.00700395513117798 -0.054319892324866 -0.00655945154587953 -0.0118200343803604 0.0119803285814093 0.0367726496505893 0.0334620239397777 0.0201291522008858 0.00350053242938826 0.0219599883445064 -0.00595069860386733 0.00318491096584633 0.0377364790295845 0.0284737791060292
covarSEX_YOB 27.4490487582776 -2129453.68842502 -44022.6701691287 43851.3928679374 4246540.39719773 -2117457.35805675 0.41628057823251 0.297433081134386 1.10322196898653 2.12854890246703 0.414492973620452 -1.03128833596895 -0.288443385033847 -1.71847628804972 1.6912710895515 -0.508529964766329 -1.04274030303645 -1.07057319315213 -1.90931766378692 1.95738139059371 -1.07287620289355 -0.195493112130035 3.18424399917897 2.33411545581962 -1.15637142370887 -0.315929522068275 1.03590506621523 -1.99402127415898 1.52807426608436 3.42404541788158
covarSEX_YOBsq -13.6391806698136 1061794.47077932 21945.7980021693 -21860.7623227021 -2117457.35805675 1055847.56516374 -0.199313444298207 -0.147200360242884 -0.55003813125287 -1.05929379045283 -0.209936372571725 0.516343836451506 0.142852607098294 0.857026541570979 -0.843106277875452 0.250641012225863 0.52370686850003 0.529670047494117 0.946866242245539 -0.975270626573062 0.52941499296573 0.0946150710870189 -1.58557692004402 -1.15915015246911 0.580540406197849 0.160845505282542 -0.517663729714956 0.997332102178729 -0.763705309327657 -1.71094448365658
covarPC1 0.000162639443700265 -0.21719628087472 0.000130660224411832 -0.000489487929959838 0.41628057823251 -0.199313444298207 0.00304862273872225 -0.000566628300725069 0.000200412767934333 -0.000102455319011567 -0.000179240971949478 3.7213167208124e-05 0.000128003911306056 0.000202186948004668 -6.47275967686383e-05 8.89302935788849e-05 -9.02713638980687e-05 0.000395541032707331 -0.000130460464141849 -0.000176960698886216 -0.000372879728191551 -0.000337513180556844 -3.45723059876008e-06 1.67600511252584e-05 0.000104640551846592 4.66686039542301e-05 0.000109416895891569 9.81029431037098e-06 0.000337332776793088 0.000165350397330816
covarPC2 -0.000132934525716682 -0.150299466671208 0.00315304142563215 -0.00300704168410936 0.297433081134386 -0.147200360242884 -0.000566628300725069 0.00293686441800254 0.000160070242704167 0.00029263433168657 -2.09536373977142e-05 -1.49546196778235e-05 -6.1757048290522e-05 3.17117095219688e-05 -8.48934022655039e-06 -1.52867969527579e-05 -3.42211659362358e-05 -0.000138178339568497 6.52871119658107e-05 -9.55325142470199e-05 4.32387208886827e-05 1.81609579738878e-06 0.000158129135145596 4.13828368402379e-05 -0.000129780472149709 3.53645185741285e-05 -1.50706055556068e-06 -0.000165388373251915 0.000291521829555266 7.13049688541861e-05
covarPC3 -0.000264958678602568 -0.55327639650359 -0.00379237079096346 0.00386301634247254 1.10322196898653 -0.55003813125287 0.000200412767934333 0.000160070242704167 0.00290067522614825 2.91834173906016e-05 0.000408211381899961 -5.29020519252645e-06 0.000118759847258586 -7.57658763150822e-05 -0.000361802052806488 3.4466882459557e-05 0.000120900621885759 7.1703735078448e-05 -0.000350709011527927 -0.000127264566720057 -1.85593876270372e-06 -2.53527045224094e-07 -0.000159949458636436 -0.000273925207923502 0.000140117965104712 4.48921236608741e-05 -0.000107903378152878 0.000267800373790259 -0.000311509773042524 -0.000105262899385578
covarPC4 0.00024934032033176 -1.06946457565536 -0.0780292991130233 0.0776547749918202 2.12854890246703 -1.05929379045283 -0.000102455319011567 0.00029263433168657 2.91834173906016e-05 0.00283649048207345 0.000558862232677769 -0.000184097744811054 0.000106487687962288 -0.000528259600401113 6.17089279308256e-05 7.97879970353381e-05 -7.0857715073706e-06 -0.000233954728726458 -0.000119597705077434 -8.24988342098911e-05 1.96753169222035e-05 8.5927931986505e-05 0.000121499095747077 -0.00014751835833549 -4.99163923162739e-05 4.11784395311332e-05 -2.0352024956791e-05 -0.000267391699702164 0.00016828825942567 0.000227264032868041
covarPC5 -0.000164142486291927 -0.204564348279329 0.0037325807816247 -0.00380813222842085 0.414492973620452 -0.209936372571725 -0.000179240971949478 -2.09536373977142e-05 0.000408211381899961 0.000558862232677769 0.00360215442518875 4.11439733030531e-05 0.000375609545614703 -0.000272524492195399 -7.40875636563473e-05 -0.000123402754294042 -0.00030177865219833 0.000173929470199434 -0.000267816873582625 6.44540590917379e-05 -3.97897629875845e-06 -7.80442570883283e-05 0.000243268866062194 -9.7538724497029e-05 0.000191057203604535 0.00010859341773126 -5.30713112996945e-05 -9.01903272076889e-05 -8.24842679067315e-05 0.000219731489600287
covarPC6 1.41162327058078e-05 0.515126227710189 0.0309468830452743 -0.0309960473068766 -1.03128833596895 0.516343836451506 3.7213167208124e-05 -1.49546196778235e-05 -5.29020519252645e-06 -0.000184097744811054 4.11439733030531e-05 0.00255381941017534 -1.44296831167792e-05 2.83269748215222e-05 2.01326635790573e-05 -3.74053256405061e-06 -3.73779880824529e-05 7.14063459934113e-05 -0.000135306347331047 2.16065413427399e-05 1.6894560067745e-05 -2.40583851303941e-05 0.000137702439761751 -2.56327735101576e-05 -6.42401578203737e-07 -9.68673441383936e-05 0.000165677084449704 -5.90897490098075e-05 3.32883247281039e-05 -2.8622402468666e-05
covarPC7 -2.55405099344321e-05 0.145571425787111 -0.0138400581670447 0.0137203305333984 -0.288443385033847 0.142852607098294 0.000128003911306056 -6.1757048290522e-05 0.000118759847258586 0.000106487687962288 0.000375609545614703 -1.44296831167792e-05 0.00278434567559381 0.000160414200463483 -6.32663466293844e-05 -1.04552752155701e-05 0.000278402452765984 5.31638150470089e-05 0.00017814220289712 -8.48685557174701e-05 -0.000176414090207654 -2.59446714179836e-05 1.04586762478733e-05 -1.00578289970779e-05 -1.56704581163747e-05 -7.31434981099629e-05 -8.19140864030155e-05 1.21813118162952e-05 -0.000284565502640817 0.000252702121808979
covarPC8 -8.09592860353007e-05 0.861597877042757 0.0343588925134702 -0.0342313823290009 -1.71847628804972 0.857026541570979 0.000202186948004668 3.17117095219688e-05 -7.57658763150822e-05 -0.000528259600401113 -0.000272524492195399 2.83269748215222e-05 0.000160414200463483 0.003074965840659 0.000114868246860647 9.00266852371661e-05 -0.000128534068939357 6.5628881878776e-05 5.91983412913717e-06 -2.85648929218748e-05 -0.00012278670144235 5.03942373932766e-05 6.59611013303934e-05 -0.00010871405628928 -8.49849633702815e-05 0.000104712029505577 -2.33621607610765e-05 7.53675589939999e-05 -0.000105865983917409 1.01285277499878e-05
covarPC9 -6.22136958143292e-05 -0.848352304763347 -0.00800893463979195 0.00804520060276513 1.6912710895515 -0.843106277875452 -6.47275967686383e-05 -8.48934022655039e-06 -0.000361802052806488 6.17089279308256e-05 -7.40875636563473e-05 2.01326635790573e-05 -6.32663466293844e-05 0.000114868246860647 0.00278702769712578 -9.84832127969845e-05 -5.6468446436348e-05 -0.000101820008592356 -1.04684248687483e-05 -0.000113917182852345 2.71703493492327e-05 0.000108002934319991 0.000161512841019147 -2.70411421930965e-05 -4.53718769352223e-05 -0.00013273669990709 3.22010924904104e-05 2.56060518477239e-05 -0.00010377745397879 -7.72632356680699e-05
covarPC10 6.78244408642134e-05 0.25796691581799 0.00323000684318427 -0.00307818448025786 -0.508529964766329 0.250641012225863 8.89302935788849e-05 -1.52867969527579e-05 3.4466882459557e-05 7.97879970353381e-05 -0.000123402754294042 -3.74053256405061e-06 -1.04552752155701e-05 9.00266852371661e-05 -9.84832127969845e-05 0.00297956719760512 -6.37971768995464e-05 0.000120936912411661 -0.000136627156667946 -1.76244899686476e-05 -4.21304435122204e-06 -9.98291377286351e-05 7.72634426600427e-05 8.30015298466687e-05 9.06027873061747e-05 5.01591032188433e-07 1.89436985550873e-05 -0.000117667472343733 3.28243525834077e-05 2.17076870963804e-05
covarPC11 0.000116020267664377 0.51910388068703 0.00703029147740702 -0.00700395513117798 -1.04274030303645 0.52370686850003 -9.02713638980687e-05 -3.42211659362358e-05 0.000120900621885759 -7.0857715073706e-06 -0.00030177865219833 -3.73779880824529e-05 0.000278402452765984 -0.000128534068939357 -5.6468446436348e-05 -6.37971768995464e-05 0.00289456904599586 -9.03143193347731e-05 -5.55744659814655e-06 -0.000136089121914654 7.3539300406387e-05 7.00407192972362e-05 5.8829381392018e-05 -1.44347897609512e-06 0.000134860067251466 0.000116593004905337 -0.000114587437871788 0.000158783350434285 -0.00012650319176819 0.000156921931985958
covarPC12 2.94990067277024e-05 0.541065826723087 0.0544608876768321 -0.054319892324866 -1.07057319315213 0.529670047494117 0.000395541032707331 -0.000138178339568497 7.1703735078448e-05 -0.000233954728726458 0.000173929470199434 7.14063459934113e-05 5.31638150470089e-05 6.5628881878776e-05 -0.000101820008592356 0.000120936912411661 -9.03143193347731e-05 0.00270206610624916 3.68716634962578e-05 -2.57070322547238e-05 -8.9676514867061e-05 -1.06080941036787e-05 -4.63890149455975e-05 5.36213045249104e-05 3.20345708033114e-05 -6.66294211227725e-05 -3.11066521067513e-05 -7.574677413686e-05 1.86006949744544e-05 8.97079982126518e-05
covarPC13 0.000322643966768545 0.962657355386202 0.00665230622295111 -0.00655945154587953 -1.90931766378692 0.946866242245539 -0.000130460464141849 6.52871119658107e-05 -0.000350709011527927 -0.000119597705077434 -0.000267816873582625 -0.000135306347331047 0.00017814220289712 5.91983412913717e-06 -1.04684248687483e-05 -0.000136627156667946 -5.55744659814655e-06 3.68716634962578e-05 0.00288863591761631 -8.0873001351029e-05 0.000273442431898257 0.000131805835822512 7.64409041897617e-05 -7.14177339056165e-05 -2.81195030731591e-05 -1.42841333330876e-06 2.14904283044863e-05 0.000209517349575358 -0.00010423952932515 -0.000235163366728209
covarPC14 4.70728481958507e-05 -0.982295607516922 0.011752653596194 -0.0118200343803604 1.95738139059371 -0.975270626573062 -0.000176960698886216 -9.55325142470199e-05 -0.000127264566720057 -8.24988342098911e-05 6.44540590917379e-05 2.16065413427399e-05 -8.48685557174701e-05 -2.85648929218748e-05 -0.000113917182852345 -1.76244899686476e-05 -0.000136089121914654 -2.57070322547238e-05 -8.0873001351029e-05 0.00270886161959628 -1.71107370457564e-06 -1.78972828434886e-05 -1.47737820380049e-05 9.23435827569441e-05 3.42496900581198e-05 -3.96450381076056e-05 1.66553120443622e-05 6.07941987842565e-05 -4.21695779679896e-05 -0.000148385316385654
