 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband maternal gpm gmm
intercept 0.0005582731363790046 -6.375457486955468e-07 -9.812873382568331e-06 -1.7552323671761904e-06 7.046546379829123e-07 -1.0360615366432723e-06 4.231152980086234e-06 -1.048192191948497e-07 1.2600546903101729e-06 2.1345511546315172e-08 4.0570088713122613e-07 3.338953394117428e-06 5.331739744400085e-07 2.6798634473253572e-06 -1.3720839962944354e-07 1.5417135636542088e-06 1.09455723279154e-06 -4.3035139788075224e-07 1.9856380836649135e-06 2.5698228475033497e-06 -7.185622352825462e-07 7.725256813451769e-06 4.12851210957038e-05 -0.0001076137552125935 1.891514990242057e-05
PC1 -6.375457486955472e-07 2.1350412706054963e-06 -1.8163764457698802e-06 1.556213741856389e-07 -1.8579318261569173e-07 -3.895627562900985e-07 1.6259390047869923e-07 1.9152990222536202e-07 3.831164576297389e-07 5.9109133344196916e-08 2.828763767767466e-07 -1.9618020560428239e-07 6.744817715425844e-07 -1.644770408437958e-07 -2.6913476515826366e-07 -6.192148286225172e-07 -4.1326365665257023e-07 2.9705571883046376e-08 -8.510347439982037e-08 1.870023938742905e-07 2.384647716749375e-08 1.7374138758734313e-06 6.401040776046404e-07 2.713340233857589e-06 2.3174987663166715e-06
PC2 -9.812873382568331e-06 -1.8163764457698804e-06 5.072652547532893e-05 8.871028617283048e-07 1.6433280858707523e-06 -5.536130333033108e-07 -4.740899670612324e-07 -1.9376879129524363e-07 5.82378035038148e-07 -2.211341860202332e-07 -1.8187965482456327e-09 -4.854906907679351e-07 -8.942226649090522e-07 6.423746500322652e-07 -7.051592525599408e-08 3.8186894075584406e-07 -6.932553255996755e-07 1.337745927791136e-06 4.147302432109251e-07 -1.3015622526956843e-06 -9.4467063676179e-08 5.319564582201047e-06 -1.8407101205151388e-05 1.5208790842982817e-05 1.748120899956787e-05
PC3 -1.7552323671761908e-06 1.5562137418563878e-07 8.871028617283045e-07 4.643368883600883e-06 5.9319786510792163e-08 1.1768271823456371e-06 1.3726548665182242e-07 4.104089683908064e-07 -1.0624194710661732e-07 -8.091840247764342e-07 1.221023949440449e-08 1.1542797568765013e-07 1.549641215622341e-07 -8.930597947628023e-07 -4.851307236129373e-07 -7.000649000036228e-08 1.0076963421117094e-08 -3.997612948598012e-07 -5.711320517668873e-07 2.6137163825758217e-07 2.0656001536331828e-07 -1.517608704542874e-06 3.079840504150018e-06 -3.623423966332425e-07 -5.219572221824759e-06
PC4 7.04654637982912e-07 -1.8579318261569186e-07 1.6433280858707534e-06 5.9319786510792183e-08 7.066103163243617e-06 1.872472490202324e-06 -7.347409057525256e-07 3.0582626845114753e-07 -1.6484901939759508e-06 2.628464297683734e-07 3.166821764178211e-07 2.3774417243129997e-07 -6.722702346208896e-07 -2.951603762098699e-07 -3.3023421873358576e-07 1.0433954751347295e-07 1.4562577329991465e-07 2.7215221922972504e-07 -3.687021106676304e-07 -7.375826746636624e-08 3.973373463653716e-08 -4.5199987372834895e-07 -6.263859910702381e-06 9.312686796074152e-06 1.2135390802988813e-06
PC5 -1.036061536643269e-06 -3.8956275629009867e-07 -5.536130333033101e-07 1.176827182345637e-06 1.8724724902023242e-06 1.6189565705687817e-05 2.6062039916783125e-07 1.8917758996866745e-06 -1.1225233193767643e-06 -4.2611693732573924e-07 -5.133087402802668e-07 -1.2245405605162923e-06 5.175283981923033e-07 -1.02458068414697e-06 4.254320611849491e-07 1.3464228640783906e-07 -4.542396714601189e-07 9.805162845085475e-07 -8.457362111200963e-08 7.55159942271524e-07 5.512627674254922e-07 -1.2437417815860137e-06 -2.9576351201699643e-07 1.0741903936438875e-05 -9.832860669975639e-06
PC6 4.231152980086234e-06 1.6259390047869926e-07 -4.740899670612324e-07 1.3726548665182247e-07 -7.347409057525256e-07 2.6062039916783146e-07 1.584587952513255e-05 1.099046383406818e-07 -1.0187378737560723e-07 2.496483634464918e-07 -2.846819609393859e-07 1.3123797526135773e-08 9.053202312085226e-08 -6.288258731091775e-07 3.9917141050659095e-07 2.0807021756124125e-07 -1.1971939337348585e-07 1.0113189090467832e-06 -2.056575468810688e-07 -2.864038944702445e-07 -2.3016352482960087e-07 7.133879451187044e-06 -2.4658018270621707e-06 -1.687474237521413e-06 6.500878161995022e-07
PC7 -1.0481921919484891e-07 1.9152990222536197e-07 -1.9376879129524318e-07 4.1040896839080623e-07 3.0582626845114764e-07 1.8917758996866741e-06 1.0990463834068144e-07 1.2692108620673155e-05 5.845264360402037e-07 -4.6729658625588284e-07 2.1919606906773933e-07 1.3088651523648771e-06 2.8478217462950217e-07 6.202361568377773e-07 -2.5195380621806807e-07 -8.626926075485812e-07 -1.699597856823345e-07 2.3188230553068163e-07 1.5714366792634006e-07 -1.657303589940105e-07 -1.4680081377580976e-07 -6.059388864405324e-07 -5.412309776973507e-06 1.1862637246507072e-05 -6.994618029574788e-06
PC8 1.2600546903101745e-06 3.831164576297387e-07 5.823780350381484e-07 -1.0624194710661744e-07 -1.6484901939759506e-06 -1.1225233193767647e-06 -1.0187378737560712e-07 5.845264360402034e-07 1.4670704691513613e-05 2.319301724867013e-07 8.303508499560253e-07 -5.843836269183996e-07 4.3724060997052966e-07 2.1714629488248313e-08 -1.210935884957378e-07 -3.827744998143679e-07 2.769703155539093e-07 -1.3312455858956522e-09 -9.19359323618759e-07 -1.8444856706695693e-07 3.17648082654053e-07 1.2736177515265072e-07 5.290708018979531e-07 1.558103436124158e-06 -1.0566960091908319e-06
PC9 2.1345511546316148e-08 5.910913334419696e-08 -2.2113418602023314e-07 -8.09184024776434e-07 2.628464297683734e-07 -4.261169373257393e-07 2.496483634464919e-07 -4.672965862558826e-07 2.319301724867009e-07 1.2365322596825137e-05 -5.532800173316386e-07 -1.8339438595646132e-07 -2.449476095891978e-07 -2.984661404427584e-08 -4.0836680612648765e-07 1.589946082864068e-07 4.830420549664189e-07 6.430234347460331e-07 -2.3783224917118937e-07 -2.872117356771126e-07 -7.471469039175743e-07 6.280715670936825e-07 3.96445712241446e-07 -6.370687560751583e-06 -1.389161781723907e-06
