 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal gpp gmp
intercept 0.0006733894499730076 1.9709918258631891e-07 -2.426658129052572e-06 8.608177957969805e-07 1.6933129708454386e-06 -4.567821124504815e-06 3.9966771208839265e-06 2.038480504306755e-06 8.950355814959577e-07 1.6114273694039576e-06 1.465617669082493e-07 5.539617701439855e-06 -3.9143262058868766e-06 3.638116050140164e-06 -3.1090882494398338e-06 -1.7358486607023816e-06 3.492046454529928e-08 1.5082441955836124e-06 1.108993363368885e-06 3.4459293976079906e-06 -8.63492882520241e-07 1.737785426176838e-05 0.00011512342180780136 -0.00022175377907999823 -1.5418998161568665e-05
PC1 1.97099182586321e-07 2.4387070142870238e-06 -2.1704925464411886e-06 -1.4791451194981697e-07 -2.8471380870503117e-07 -3.671835899432371e-07 7.01194862577853e-08 -2.1238305898077797e-07 -3.3733913416880214e-08 4.298610216006169e-08 5.672853751315096e-08 -3.0156020653293647e-07 8.323133520842994e-07 7.379426439838597e-08 -5.084059350441378e-07 -7.779289054280263e-07 -7.537481618652286e-07 2.1483345213029815e-07 -4.923279612372111e-09 2.3223319578426667e-07 -4.6711188428876664e-08 3.7007555601312e-06 -1.4545295053995044e-06 5.9076586254530215e-06 -1.1091316710599787e-06
PC2 -2.4266581290525733e-06 -2.170492546441188e-06 5.87703962827492e-05 1.083363624481778e-06 2.1909380871333105e-06 -6.102722370629512e-07 2.054710972694165e-07 -2.0958486735009918e-07 9.825178962338313e-07 -2.825481526986677e-07 5.638928880607881e-07 5.72399549208776e-07 -8.403587887618944e-07 -1.7558284140798276e-07 1.0239758714748986e-06 -3.01532689173717e-07 -1.3204874347989507e-06 1.1887072419278935e-06 -2.7492361873080893e-07 -4.892769393872069e-07 -5.774055548126984e-07 -9.843580689025725e-07 -8.817604177783325e-06 5.304893789155277e-07 1.9723624357676214e-05
PC3 8.608177957969793e-07 -1.47914511949817e-07 1.083363624481778e-06 5.079488255974288e-06 9.083549195415891e-08 1.5310147429353918e-06 1.5531626817834603e-08 7.194754268479641e-07 -1.609844344804416e-07 -1.000588531087669e-06 2.1719360238832878e-07 3.8711075193740453e-07 1.1420165002177365e-07 -7.851805870441811e-07 -2.1497335586663934e-08 -4.351453755998604e-07 1.0552803256568057e-07 -5.406238357611513e-07 -3.665006107043661e-07 3.9434706162342606e-07 2.2569922551607797e-07 6.562702667744601e-07 4.247863041686773e-06 -7.64324571605807e-06 -5.442232733784424e-06
PC4 1.6933129708454342e-06 -2.8471380870503106e-07 2.1909380871333093e-06 9.083549195415895e-08 8.84705907210355e-06 2.237474722529019e-06 -1.8857013957054676e-07 4.1118039523851056e-07 -1.23442652754246e-06 8.501102116941781e-07 -5.377950636969042e-09 5.351291380456491e-07 -1.0282360826596536e-06 -1.7664646589956752e-07 -1.3529408461177853e-07 2.952908408824223e-07 3.4424190629454337e-07 -4.5628758303657434e-08 -2.3807869869251427e-07 -2.287236166994971e-07 -2.9513587505764616e-08 -8.278586915177783e-07 -1.1011990403340487e-06 -1.7411792889366905e-07 -2.0128409957282105e-06
PC5 -4.567821124504819e-06 -3.67183589943237e-07 -6.102722370629518e-07 1.5310147429353922e-06 2.2374747225290193e-06 1.9730496202459627e-05 9.059061304594844e-07 2.6466286388231086e-06 -8.02187308830924e-07 -9.155450955694847e-07 -6.954064983172359e-08 -1.2370218482884967e-06 6.685862408211563e-07 -1.4513266535179812e-06 6.817787149450809e-07 7.751717656973108e-08 -4.5839958124339036e-07 8.959109240172153e-07 -4.782185011961515e-07 -9.498455153136047e-08 -6.625106141337005e-08 -2.7709932089861493e-08 1.0071995943281013e-06 -2.2597876710687758e-05 1.6416609031822177e-05
PC6 3.996677120883926e-06 7.011948625778546e-08 2.054710972694168e-07 1.553162681783444e-08 -1.885701395705465e-07 9.059061304594845e-07 1.8742159247475437e-05 5.199568196606266e-08 -4.645425413831958e-07 7.615052894355323e-07 -2.3298948271250683e-07 -1.786379296683779e-07 -2.192999525610239e-07 -9.199822215506653e-07 1.7745576052451017e-07 -2.1628325485511102e-07 -4.839402310308647e-07 1.2846148662466927e-06 -4.5104258654618315e-07 -4.4949440362723607e-07 -4.128461093271312e-07 2.5498523022226357e-06 -1.1118738889564469e-05 2.121405562625794e-05 5.9015482844322845e-06
PC7 2.0384805043067543e-06 -2.1238305898077794e-07 -2.0958486735009918e-07 7.194754268479642e-07 4.111803952385101e-07 2.6466286388231095e-06 5.199568196606294e-08 1.5506934758372554e-05 5.079851892769218e-07 -7.830314355759412e-07 -2.1041935881006793e-08 1.4656352714061923e-06 3.7309514444853247e-07 1.273063251459097e-06 -4.516387365166808e-07 -9.409005811280454e-08 -5.421084247529519e-07 -2.681065920133441e-07 3.2451571781697955e-07 -2.4056322899191813e-07 -4.542104247633655e-07 -3.8826333576191375e-06 5.271761652263933e-06 -4.776629727316012e-06 3.003325743045697e-06
PC8 8.950355814959607e-07 -3.37339134168804e-08 9.825178962338313e-07 -1.6098443448044166e-07 -1.2344265275424608e-06 -8.021873088309236e-07 -4.6454254138319597e-07 5.079851892769225e-07 1.693478894463809e-05 3.844128095606212e-07 5.79643107941603e-07 -9.65932204592308e-07 5.058522709889133e-08 4.3331404551004366e-07 -2.058567430273429e-07 -1.0435127493685131e-07 -1.2954532895438644e-07 -7.11254275538727e-08 -1.1275248219875917e-06 -4.466762635180872e-08 4.4332497003024633e-07 -2.0318584537057186e-06 7.874348772769269e-06 9.200924976228945e-07 -1.6306411258838097e-05
PC9 1.6114273694039604e-06 4.2986102160061736e-08 -2.825481526986676e-07 -1.0005885310876686e-06 8.501102116941776e-07 -9.155450955694835e-07 7.615052894355319e-07 -7.830314355759401e-07 3.8441280956062184e-07 1.3892146477253336e-05 -1.2684743570866428e-06 -9.802884183919966e-08 -3.869398671073439e-07 -5.037619688813222e-07 -3.32746414617087e-07 -9.758648856455181e-08 9.6763114510634e-08 5.438776808534095e-07 -5.156519211747028e-07 -4.787567492434847e-07 -5.169971321086446e-07 2.1428660433416224e-06 6.393658458993692e-06 -2.8399856137056675e-06 -6.762610541035401e-06
