 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband
intercept 0.00027987155763193575 4.6980453707799366e-07 -2.1265643171863444e-06 -4.7077910116802455e-07 1.132269379203725e-07 -2.789403070578826e-07 -3.948141186396986e-07 7.657747621795646e-07 6.039907716020601e-08 7.95815243688222e-07 -1.1207763163750647e-07 -1.620053771417244e-07 4.224806573722734e-08 8.260195340355065e-08 1.5540072758792477e-07 -5.09994892181584e-07 -1.7066763452117622e-07 3.014836111743984e-07 -1.2131162009321832e-07 6.214865712325903e-07 3.0694141763373716e-07 -5.804071876768138e-07
PC1 4.6980453707799355e-07 8.90225915374796e-07 -6.152112212964275e-07 5.0011571539021324e-08 -6.047988392882029e-08 -4.307284045235909e-08 -1.7968550421911396e-09 4.1484054744497994e-08 9.674556626733782e-08 -2.9998990521458397e-08 4.259879058472649e-08 -4.352799987961844e-08 2.209953853684746e-07 3.2005793346759133e-09 -9.889707736293294e-08 -1.7486758127703974e-07 -1.5134450735414193e-07 2.881614066289498e-08 5.062661367368348e-08 2.852020937338499e-08 1.8718066235969357e-08 7.770374749541171e-07
PC2 -2.126564317186343e-06 -6.152112212964275e-07 1.7496998171835792e-05 1.9767631452395693e-07 5.688949988365687e-07 -2.1931609516330766e-07 -3.372764743949849e-08 -3.671107366249818e-09 1.1889990924872822e-07 8.962408916975852e-08 2.4456882567831117e-09 7.061458772920363e-08 -1.0226467454226188e-07 5.6348225964730893e-08 -1.8590255832066307e-07 1.1540245997113703e-07 -1.7075727930604542e-07 1.5066149038408974e-07 -1.0963340681934326e-08 1.912549750955771e-09 -6.529691067498909e-09 9.193735571216968e-07
PC3 -4.7077910116802434e-07 5.001157153902133e-08 1.9767631452395688e-07 1.876567515046609e-06 1.5736092580751003e-08 2.7254200379055204e-07 1.4045261307489902e-08 5.951136331987339e-08 -5.524660066336092e-08 -3.212221073476841e-07 2.9735483389684257e-08 1.2703047282527191e-07 7.14541110992743e-08 -1.6931602269257485e-07 -4.568960353250352e-09 -1.76828683461502e-08 2.929264033732029e-09 -9.929579862773965e-08 -1.3680274238735404e-07 1.1043238477783412e-07 4.281900545127796e-08 -7.462865212986266e-07
PC4 1.1322693792037231e-07 -6.047988392882026e-08 5.688949988365686e-07 1.5736092580750993e-08 3.2085306768831163e-06 4.121561742964864e-07 -2.1008552251054596e-07 -1.597512197115669e-08 -3.385064598321318e-07 2.2733359818586286e-07 9.82651063559543e-08 8.985447138564217e-08 -2.0949096253143652e-07 2.3897069627857916e-08 -8.151005073110782e-08 -3.2581973651521856e-08 5.26462169385648e-08 7.174093975028655e-10 -7.518166367548098e-08 -6.834747558980249e-08 -3.024476236284434e-08 -1.2101845657647778e-07
PC5 -2.789403070578829e-07 -4.307284045235912e-08 -2.193160951633074e-07 2.7254200379055204e-07 4.1215617429648673e-07 5.253163350696387e-06 3.96812870325211e-08 4.571450765758584e-07 2.4955401367899423e-08 -6.064546251440208e-08 -8.525536035719865e-08 -2.8714714918765995e-07 1.6978937324719504e-07 -2.3369983347940385e-07 3.637793469281858e-08 6.067219677159407e-08 -3.944525325777451e-08 2.245057836760253e-07 -1.0148732291709072e-07 7.815035213270666e-08 6.974931880529699e-08 -2.329630908612984e-08
PC6 -3.9481411863969906e-07 -1.7968550421912078e-09 -3.372764743949829e-08 1.4045261307489943e-08 -2.100855225105461e-07 3.968128703252121e-08 5.9841363784621865e-06 -1.0664845327785209e-08 3.3254093869494224e-09 5.906484125438606e-08 -3.4334357725634315e-09 -1.4067444950785369e-07 1.497164145809315e-08 -1.3665036235176057e-07 -2.4599540771437345e-08 -3.0781623707774307e-09 -1.4095932977565576e-08 2.3954649187522197e-07 -5.4833649195521995e-08 -2.3879473592144203e-08 -1.0050147833506062e-07 1.6107012924000394e-06
PC7 7.657747621795645e-07 4.148405474449796e-08 -3.671107366249851e-09 5.95113633198734e-08 -1.5975121971156644e-08 4.5714507657585844e-07 -1.0664845327785237e-08 4.998944301240598e-06 2.1491513291412594e-07 -8.661686385048166e-08 -3.8775729280023784e-08 3.3344094692435243e-07 7.216157193983877e-08 2.499353273400944e-07 -1.786610834131496e-08 -1.6732079231503319e-07 -9.50660081028497e-08 -3.487135880129685e-08 6.603834547187956e-08 -2.987408157586526e-08 -1.1078207194610398e-07 -1.1091742921554107e-06
PC8 6.039907716020604e-08 9.674556626733773e-08 1.1889990924872831e-07 -5.5246600663360884e-08 -3.3850645983213173e-07 2.495540136789941e-08 3.3254093869493496e-09 2.1491513291412602e-07 5.0208051355152814e-06 7.52151504372966e-09 1.289029599529389e-07 -2.1819828166354546e-07 9.918085832369266e-08 -6.990148937307153e-08 5.29839066599648e-08 -9.150949116901306e-08 4.081449753584535e-08 6.091674163271035e-08 -3.635241306315137e-08 -5.803878520603237e-08 8.60587559385768e-08 -3.759967111113912e-07
PC9 7.958152436882222e-07 -2.999899052145841e-08 8.962408916975853e-08 -3.212221073476841e-07 2.273335981858629e-07 -6.06454625144022e-08 5.906484125438611e-08 -8.661686385048171e-08 7.52151504372965e-09 4.732311301764137e-06 -2.850581702349233e-08 -1.389199824767713e-07 -3.25343395526709e-08 -1.1399911627220311e-07 -4.359476741603212e-08 4.2301414551960215e-08 1.1444209974232177e-07 1.2869414539004628e-07 -1.680391062547328e-07 -7.74528389590534e-08 -8.034103542688576e-08 8.702905785059227e-09
PC10 -1.1207763163750636e-07 4.259879058472647e-08 2.4456882567830414e-09 2.9735483389684303e-08 9.826510635595432e-08 -8.525536035719852e-08 -3.433435772563464e-09 -3.877572928002369e-08 1.2890295995293886e-07 -2.850581702349224e-08 4.3735077296263725e-06 -1.8994421536304924e-07 1.2744932231383714e-07 -1.832319717073729e-07 -1.0352174633619254e-07 -8.11356900789162e-08 -1.5459488891001753e-07 2.8408471302075593e-08 1.5752002460689257e-07 1.4154332163063833e-07 3.992405323833911e-08 9.799205746290954e-08
PC11 -1.620053771417243e-07 -4.3527999879618425e-08 7.061458772920366e-08 1.2703047282527191e-07 8.985447138564212e-08 -2.8714714918765995e-07 -1.4067444950785366e-07 3.3344094692435233e-07 -2.181982816635454e-07 -1.3891998247677123e-07 -1.8994421536304932e-07 4.313352519475465e-06 -6.687319955668019e-08 -4.410119517365558e-08 -9.554269780231845e-08 9.156500752996635e-08 1.2946769730378386e-08 1.5919751912419377e-07 -2.0917272333615125e-08 7.577553912356761e-08 1.5692236859204892e-07 -5.694896176611318e-08
PC12 4.224806573722688e-08 2.2099538536847463e-07 -1.0226467454226163e-07 7.145411109927436e-08 -2.0949096253143628e-07 1.6978937324719515e-07 1.4971641458093167e-08 7.216157193983877e-08 9.918085832369271e-08 -3.2534339552670844e-08 1.2744932231383722e-07 -6.68731995566802e-08 4.182013044325804e-06 1.543078953126162e-08 -2.0646936541160134e-08 -9.682130095052954e-08 -9.474022696189015e-08 -1.0128729103656415e-08 4.035451176290524e-08 -5.566841092712341e-08 -6.589891257796228e-08 -4.103419711568013e-07
PC13 8.260195340355019e-08 3.200579334675946e-09 5.634822596473085e-08 -1.6931602269257485e-07 2.3897069627857892e-08 -2.3369983347940385e-07 -1.3665036235176054e-07 2.499353273400945e-07 -6.990148937307145e-08 -1.1399911627220317e-07 -1.8323197170737284e-07 -4.4101195173655556e-08 1.543078953126158e-08 4.000725156675604e-06 -7.834862481006952e-08 1.8875090539225118e-07 5.815436319583189e-08 1.7450606753556385e-08 -1.090076421578966e-07 4.194377158457193e-08 2.8047260325184247e-08 8.884861603809407e-07
PC14 1.554007275879244e-07 -9.889707736293287e-08 -1.8590255832066333e-07 -4.568960353250329e-09 -8.151005073110786e-08 3.637793469281863e-08 -2.4599540771437365e-08 -1.7866108341315103e-08 5.298390665996468e-08 -4.359476741603212e-08 -1.0352174633619262e-07 -9.554269780231851e-08 -2.0646936541160012e-08 -7.834862481006955e-08 4.316075281643979e-06 -6.9089563423206605e-09 -8.663962341592817e-08 -2.260196325116928e-08 7.53399310991698e-08 1.1374866356401915e-07 -2.4477175798291792e-09 3.8087254845765325e-07
PC15 -5.099948921815837e-07 -1.7486758127703964e-07 1.1540245997113701e-07 -1.768286834615017e-08 -3.2581973651521836e-08 6.067219677159402e-08 -3.0781623707774754e-09 -1.6732079231503319e-07 -9.15094911690129e-08 4.2301414551960274e-08 -8.113569007891615e-08 9.156500752996632e-08 -9.682130095052944e-08 1.887509053922512e-07 -6.908956342320562e-09 4.078478072076685e-06 1.279866097098093e-07 -1.560974419803036e-07 -7.998997707108724e-08 9.321590734591596e-08 8.622904255535076e-08 8.299991946157392e-07
PC16 -1.7066763452117638e-07 -1.5134450735414196e-07 -1.7075727930604553e-07 2.929264033732058e-09 5.2646216938564806e-08 -3.944525325777447e-08 -1.4095932977565478e-08 -9.506600810284975e-08 4.081449753584533e-08 1.1444209974232173e-07 -1.5459488891001745e-07 1.2946769730378317e-08 -9.474022696189024e-08 5.8154363195831733e-08 -8.663962341592807e-08 1.2798660970980933e-07 4.215876914794205e-06 -7.4486796313384256e-09 -4.579645291687048e-08 -1.1410144241709898e-07 -7.3346454087677e-08 7.269398415019353e-07
PC17 3.014836111743985e-07 2.881614066289492e-08 1.506614903840899e-07 -9.929579862773957e-08 7.174093975028835e-10 2.2450578367602527e-07 2.3954649187522186e-07 -3.487135880129689e-08 6.091674163271043e-08 1.286941453900463e-07 2.8408471302075626e-08 1.591975191241937e-07 -1.0128729103656463e-08 1.745060675355631e-08 -2.26019632511693e-08 -1.5609744198030374e-07 -7.4486796313384446e-09 3.841553531053564e-06 -2.028394481650919e-08 -2.5744764858995624e-08 5.145582833425852e-09 2.5775131311785774e-07
PC18 -1.2131162009321835e-07 5.062661367368351e-08 -1.0963340681934344e-08 -1.3680274238735404e-07 -7.518166367548097e-08 -1.0148732291709076e-07 -5.483364919552189e-08 6.603834547187953e-08 -3.6352413063151424e-08 -1.680391062547328e-07 1.5752002460689255e-07 -2.0917272333615092e-08 4.0354511762905244e-08 -1.0900764215789663e-07 7.53399310991698e-08 -7.998997707108728e-08 -4.5796452916870463e-08 -2.0283944816509123e-08 3.869668839759931e-06 -1.3005479871689203e-08 4.301765542109993e-08 1.132166931467243e-07
