 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband
intercept 0.0002675052475570069 4.428540717914968e-07 -2.1951854609233497e-06 -4.649181416538133e-07 9.229787689187547e-09 -2.951321334594005e-07 -3.3300048683024194e-07 7.177795042308778e-07 5.2096231903702935e-08 8.281982384533772e-07 -6.649967014371101e-08 -1.1163636405452064e-07 2.9281340048817766e-08 1.2199672139241427e-07 1.260351206614555e-07 -4.7596012104076086e-07 -2.156190263586305e-07 2.6077405161125254e-07 -1.4522651019696777e-07 6.489818214663773e-07 2.729313938395386e-07 -6.475560001096642e-07
PC1 4.4285407179149704e-07 8.556211925981934e-07 -6.254640813326405e-07 4.8829335510726355e-08 -6.370561387051152e-08 -4.210143660207484e-08 -1.3688438838891622e-09 4.286862391169158e-08 9.829346167804409e-08 -2.7634941851472353e-08 4.4331789683761846e-08 -4.2781300919721444e-08 2.2468820008713514e-07 4.089107974482659e-09 -1.0145549695786484e-07 -1.7802671577143582e-07 -1.5357505954355798e-07 2.945493593377372e-08 5.327707642929622e-08 2.9573027877600796e-08 1.7874511067516704e-08 7.990603728155357e-07
PC2 -2.1951854609233493e-06 -6.254640813326406e-07 1.7722725388068698e-05 2.029030977061915e-07 5.845029614243295e-07 -2.1413908950293589e-07 -4.007421936806494e-08 8.38233936135513e-09 1.1604528083195354e-07 6.583872658392405e-08 -5.605763584059911e-09 6.941712620081176e-08 -1.308735331515873e-07 4.9222165688912654e-08 -1.7956944206419493e-07 1.1450829976736826e-07 -1.6879063709718604e-07 1.540372266813819e-07 -7.921192432542583e-09 -5.991429787174274e-09 -8.543489107934182e-09 9.89594344405996e-07
PC3 -4.649181416538134e-07 4.882933551072637e-08 2.0290309770619147e-07 1.8164483892560536e-06 1.863562447249811e-08 2.7111500427311523e-07 1.3691372375575563e-08 5.954966845455965e-08 -5.854379819634744e-08 -3.2649697373507827e-07 3.2002981750423376e-08 1.3113097566302452e-07 7.086312386939658e-08 -1.7306695865932754e-07 -1.7912975214644928e-09 -1.1896760994623758e-08 2.8732195266590443e-09 -1.0373389364728111e-07 -1.398262134002842e-07 1.1226531275797128e-07 4.258197050436401e-08 -7.71262940963019e-07
PC4 9.229787689187758e-09 -6.370561387051152e-08 5.845029614243298e-07 1.8635624472498117e-08 3.127492218229344e-06 4.235383583176565e-07 -2.1173280522134783e-07 -1.582945854363685e-08 -3.486408459954125e-07 2.3604023953786707e-07 9.722998323318298e-08 9.606395736380234e-08 -2.094988615801175e-07 2.229750313762442e-08 -9.166654629707479e-08 -3.188171156243324e-08 5.507980993996855e-08 3.5281801712154404e-09 -7.766460551628909e-08 -6.868514672321212e-08 -2.4160078043021155e-08 -1.5549077600769517e-07
PC5 -2.951321334594005e-07 -4.2101436602074805e-08 -2.1413908950293594e-07 2.7111500427311523e-07 4.2353835831765664e-07 5.232365737193901e-06 3.4018054864693496e-08 4.792101514263234e-07 2.1232020991370605e-08 -5.403615996759449e-08 -8.287427003178048e-08 -2.986515427381392e-07 1.7448577356623987e-07 -2.409392375764749e-07 3.2913294921423754e-08 6.273506151197545e-08 -4.85581414777719e-08 2.3440363499525308e-07 -1.049219680412904e-07 8.357411555194723e-08 7.279196492275228e-08 -8.176385765860251e-08
PC6 -3.3300048683024226e-07 -1.3688438838891602e-09 -4.007421936806492e-08 1.3691372375575566e-08 -2.1173280522134783e-07 3.4018054864693576e-08 6.036835702919126e-06 -6.753838660751393e-10 3.91883125159038e-09 7.692204139187901e-08 -1.0742314927657288e-10 -1.4360734196615605e-07 1.868795082743367e-08 -1.4588554845894227e-07 -2.3759607686826895e-08 -1.3149423731317578e-08 -1.7400209753428776e-08 2.4452255450471916e-07 -6.098794131565339e-08 -2.5752613022495972e-08 -1.005773043139431e-07 1.6409248151324067e-06
PC7 7.177795042308785e-07 4.2868623911691605e-08 8.382339361355165e-09 5.954966845455968e-08 -1.582945854363688e-08 4.792101514263237e-07 -6.753838660750323e-10 5.030904381356425e-06 2.2515631854405138e-07 -8.091352348688787e-08 -3.9803964423412215e-08 3.4917817035407797e-07 7.115047501160014e-08 2.6473900075864606e-07 -2.7367335846857357e-08 -1.6997818798667875e-07 -1.1023022066571225e-07 -3.396670214624698e-08 6.830464336378334e-08 -3.488623794793085e-08 -1.118234191578125e-07 -1.0987065368187956e-06
PC8 5.209623190370265e-08 9.829346167804405e-08 1.1604528083195367e-07 -5.854379819634739e-08 -3.486408459954124e-07 2.123202099137064e-08 3.918831251590381e-09 2.2515631854405138e-07 5.06272046297428e-06 7.278036480863462e-09 1.3870371662956393e-07 -2.2541239250939217e-07 9.744846149349584e-08 -6.607687405990182e-08 5.757580483747942e-08 -9.278900030209336e-08 3.852414054337979e-08 6.736881550378033e-08 -4.0180478347601066e-08 -5.610575399034101e-08 8.700372174216775e-08 -3.383229254872928e-07
PC9 8.281982384533767e-07 -2.7634941851472333e-08 6.583872658392392e-08 -3.264969737350782e-07 2.360402395378671e-07 -5.40361599675945e-08 7.69220413918789e-08 -8.09135234868879e-08 7.278036480863513e-09 4.7765612748860355e-06 -3.5964558764995235e-08 -1.446388876301086e-07 -4.280526260754038e-08 -1.2828195264086166e-07 -5.2957590647662546e-08 3.3547983446203525e-08 1.1578746963983307e-07 1.3192072049304218e-07 -1.6425251335230913e-07 -7.992317939645918e-08 -8.414427611086479e-08 2.5084510766417485e-08
