 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal
intercept 0.0002680202359944229 3.9715292103551973e-07 -2.220313791196259e-06 -4.289632458802935e-07 2.3335581103212285e-08 -3.1614880962541784e-07 -3.5318228588961204e-07 6.883553747128233e-07 8.356528648490992e-09 8.402104360738015e-07 -7.454763766726098e-08 -1.7354184922735139e-07 3.820749190480585e-09 1.41834564386123e-07 1.5751875926968512e-07 -4.909656080664755e-07 -2.1450737470621696e-07 2.642568955360216e-07 -1.7451766038974536e-07 6.292737585245589e-07 2.8115119879413765e-07 7.715341200813598e-06 -1.4447675431052608e-05 -7.260841883447248e-06
PC1 3.971529210355198e-07 8.622522583574293e-07 -6.211580631707438e-07 4.680551004778886e-08 -6.553194052524647e-08 -4.127554565172519e-08 -9.061111898987312e-10 4.501956642271551e-08 1.0242097973520521e-07 -2.9160700518069732e-08 4.4058977096327995e-08 -3.406801715315486e-08 2.258979949212752e-07 4.601254088659879e-09 -1.0519160387907302e-07 -1.7713244368747303e-07 -1.5305057717203688e-07 2.987263452471673e-08 5.705468713298189e-08 3.181838593289743e-08 1.760955466867044e-08 -1.1227001070564096e-07 8.540369745556901e-07 1.5359556372126011e-06
PC2 -2.2203137911962595e-06 -6.211580631707438e-07 1.7727619557707893e-05 2.0226822266423115e-07 5.835794373312424e-07 -2.1379361831693596e-07 -4.008318992120363e-08 9.274828480560156e-09 1.1846213185444224e-07 6.497662171696601e-08 -6.065263239220653e-09 7.47495249635958e-08 -1.3061855428045892e-07 5.049203062666463e-08 -1.8214608175669942e-07 1.1499812116236843e-07 -1.6819856039559838e-07 1.5443331154850652e-07 -5.4077841509261885e-09 -4.7235886712388865e-09 -8.63663774855379e-09 4.519120237560118e-07 3.3893224508902975e-07 1.0736959548933577e-06
PC3 -4.289632458802936e-07 4.680551004778886e-08 2.0226822266423125e-07 1.8193930434693596e-06 1.9267233926401517e-08 2.6944827886729775e-07 1.1722499719294507e-08 5.7410847617018316e-08 -6.134960009802905e-08 -3.2602969141384024e-07 3.0822894638892775e-08 1.2821382805692866e-07 6.861421090550897e-08 -1.7060011203930282e-07 -2.5708799062681273e-10 -1.3036318795238195e-08 3.3835550524110457e-09 -1.032852368725782e-07 -1.412703245546182e-07 1.1125959715034235e-07 4.350125872159239e-08 -2.8385992667037e-07 -1.1885074043928815e-06 -6.628256498507942e-08
PC4 2.333558110321239e-08 -6.553194052524648e-08 5.835794373312423e-07 1.9267233926401514e-08 3.1282039528605e-06 4.234018983237022e-07 -2.1187570658382114e-07 -1.6407803294679987e-08 -3.499493812053776e-07 2.3632522079231385e-07 9.737132603731876e-08 9.368458639079484e-08 -2.0994556373121773e-07 2.193768238627576e-08 -9.064216967428185e-08 -3.230912104646883e-08 5.492220983291302e-08 3.551641562218261e-09 -7.883385356838084e-08 -6.9264381823954e-08 -2.4043990060275814e-08 1.01664660699305e-07 -2.5954385565468835e-07 -4.143938640764824e-07
PC5 -3.1614880962541806e-07 -4.127554565172522e-08 -2.1379361831693596e-07 2.694482788672977e-07 4.2340189832370237e-07 5.234571578852716e-06 3.544776502957449e-08 4.806557351408337e-07 2.2524506689276323e-08 -5.4419155915556674e-08 -8.224587771403391e-08 -2.973234201418225e-07 1.7593202295532629e-07 -2.4290586586474163e-07 3.212776714779271e-08 6.343906230270991e-08 -4.879879143210364e-08 2.3416042359732943e-07 -1.0436752506928529e-07 8.425283146366119e-08 7.212731152152252e-08 -3.3896984569687983e-07 7.254084681093877e-07 -6.598994209821976e-08
PC6 -3.531822858896124e-07 -9.061111898986686e-10 -4.008318992120368e-08 1.1722499719294525e-08 -2.1187570658382125e-07 3.5447765029574376e-08 6.039059515015024e-06 6.727146792357876e-10 5.461039608339496e-09 7.672088046702622e-08 7.329906153274961e-10 -1.4280960535019359e-07 2.0275659109283912e-08 -1.4780714270021922e-07 -2.4489123250965246e-08 -1.2377393574302935e-08 -1.7815391392377653e-08 2.4402297184152614e-07 -6.0481933930592e-08 -2.5191221405588242e-08 -1.0122373520156873e-07 1.4165492443873656e-06 7.80637785845366e-07 -2.082544408650332e-07
PC7 6.883553747128232e-07 4.5019566422715474e-08 9.274828480560273e-09 5.741084761701829e-08 -1.640780329468001e-08 4.806557351408337e-07 6.727146792357724e-10 5.033251219773635e-06 2.2750046714270657e-07 -8.154977219167031e-08 -3.921222343908122e-08 3.5230424945478115e-07 7.261113599827722e-08 2.6317558825950563e-07 -2.8837843536189712e-08 -1.6915984325241502e-07 -1.1053910751051022e-07 -3.436123359149092e-08 6.972978148892797e-08 -3.382340164469197e-08 -1.1247778189866127e-07 -1.5277434277979792e-06 8.533241617881033e-07 2.56726332180467e-07
PC8 8.356528648490799e-09 1.0242097973520521e-07 1.1846213185444216e-07 -6.134960009802902e-08 -3.499493812053775e-07 2.2524506689276293e-08 5.4610396083394615e-09 2.2750046714270652e-07 5.06701319795553e-06 6.3077477612790584e-09 1.3945720198774195e-07 -2.1987170147106745e-07 9.933814803731202e-08 -6.752434472606315e-08 5.486263317988629e-08 -9.17445218195406e-08 3.8552865976055356e-08 6.71851739282438e-08 -3.777443517056291e-08 -5.442164592234083e-08 8.633510860732685e-08 -1.041918259983297e-06 1.146923931093194e-06 6.807834399518224e-07
PC9 8.402104360738011e-07 -2.9160700518069738e-08 6.497662171696601e-08 -3.2602969141384024e-07 2.3632522079231382e-07 -5.4419155915556674e-08 7.672088046702615e-08 -8.154977219167033e-08 6.307747761279029e-09 4.77734973729863e-06 -3.5962201451016936e-08 -1.4668023750955795e-07 -4.3098061804581134e-08 -1.2822704527079607e-07 -5.2070011551806286e-08 3.335772858400591e-08 1.1563607862602767e-07 1.319389941140002e-07 -1.6508692678186178e-07 -8.046175648035172e-08 -8.414063314287112e-08 2.439892970733863e-07 -2.4454815007555827e-07 -3.2711717405077894e-07
PC10 -7.454763766726121e-08 4.4058977096328015e-08 -6.065263239220682e-09 3.082289463889279e-08 9.737132603731877e-08 -8.22458777140339e-08 7.329906153274151e-10 -3.921222343908128e-08 1.3945720198774192e-07 -3.596220145101692e-08 4.411844048464507e-06 -2.0391550356421352e-07 1.3465907459001437e-07 -1.9685867754995617e-07 -1.0568779252024854e-07 -7.640031196688896e-08 -1.5620922585446983e-07 2.6486023415041698e-08 1.679052716056332e-07 1.4334982712270848e-07 4.427919206973968e-08 2.7594315121391428e-08 4.035736667332459e-07 -2.614111844241954e-07
PC11 -1.7354184922735073e-07 -3.406801715315486e-08 7.47495249635958e-08 1.282138280569286e-07 9.36845863907949e-08 -2.9732342014182247e-07 -1.4280960535019343e-07 3.5230424945478115e-07 -2.1987170147106742e-07 -1.4668023750955792e-07 -2.039155035642135e-07 4.353232335014835e-06 -6.321894310435348e-08 -4.862377221382855e-08 -1.0834461530788598e-07 9.521868617337774e-08 1.6917668815009642e-08 1.6665248906513443e-07 -1.4366172984700936e-08 7.937811179229713e-08 1.610381100572001e-07 -1.2563369235787098e-06 1.2396634052589944e-06 1.9544108110707406e-06
PC12 3.820749190480075e-09 2.258979949212752e-07 -1.306185542804588e-07 6.861421090550898e-08 -2.0994556373121757e-07 1.7593202295532629e-07 2.0275659109283866e-08 7.261113599827725e-08 9.933814803731195e-08 -4.309806180458112e-08 1.3465907459001448e-07 -6.321894310435352e-08 4.209451048116061e-06 1.3736823364983839e-08 -1.8996308618532514e-08 -9.209773340068501e-08 -9.708118838344558e-08 -1.937851163131959e-08 4.855034469062742e-08 -6.451312586541975e-08 -7.668982917635063e-08 -7.097629579837023e-07 8.592640641154352e-07 -3.739517223214874e-08
PC13 1.4183456438612357e-07 4.60125408865984e-09 5.0492030626664617e-08 -1.7060011203930282e-07 2.19376823862758e-08 -2.429058658647417e-07 -1.4780714270021925e-07 2.6317558825950574e-07 -6.752434472606312e-08 -1.2822704527079615e-07 -1.968586775499561e-07 -4.862377221382844e-08 1.3736823364983824e-08 4.019510697476193e-06 -7.183738612181777e-08 1.9410077100970868e-07 6.8796450710336e-08 2.3984344275759347e-08 -1.1618093134456553e-07 4.720145939346627e-08 2.8418483253876522e-08 1.0651005898311827e-06 -9.334446288149225e-07 5.636374181308802e-07
PC14 1.5751875926968507e-07 -1.0519160387907301e-07 -1.8214608175669932e-07 -2.5708799062683316e-10 -9.064216967428188e-08 3.2127767147792714e-08 -2.448912325096531e-08 -2.8837843536189696e-08 5.4862633179886285e-08 -5.207001155180631e-08 -1.0568779252024843e-07 -1.0834461530788596e-07 -1.8996308618532584e-08 -7.183738612181788e-08 4.35279384780498e-06 -1.8056945166745165e-08 -7.895857985793302e-08 -2.1447685540463027e-08 7.900923305501015e-08 1.1565951506781128e-07 -1.017275532102155e-08 9.098156582049727e-07 -6.697306360588133e-07 -7.743680626012511e-07
