 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband maternal gpm gmm
intercept 0.00033408490719418767 6.577292384214455e-07 -3.111747390209673e-06 -4.5304670681084867e-07 5.613863704228252e-07 -8.226072246172654e-08 1.600426396988975e-07 1.588537868650493e-06 5.256888637883834e-07 4.813652177980573e-07 -4.266059945326352e-07 6.424004216699169e-07 -3.841385397022363e-07 8.242115670604564e-07 1.9547301940647632e-07 -8.342750654573314e-07 -3.1394760226283095e-07 -5.517657787218005e-07 3.6166391086883057e-07 1.2822458870288447e-06 1.5863172708833932e-07 -7.828961251640291e-06 -3.611022406129404e-05 3.646438451718804e-05 5.5065333180550216e-05
PC1 6.577292384214456e-07 1.2279529820259485e-06 -9.768864205307265e-07 3.955250611232753e-08 -8.954341266379644e-08 -1.9934247604620617e-07 5.250984877965938e-09 1.2966990693787456e-07 1.2398080757454358e-07 -3.3310401286647593e-08 1.2466957962231397e-07 -7.719044282403768e-08 2.872973568137373e-07 -6.317463827764514e-08 -1.4451562808077152e-07 -2.903570383029401e-07 -2.1928624240006833e-07 -3.019485293204682e-08 -2.2178597398237477e-08 6.905911075925572e-08 -2.5075130075498246e-09 2.480120406276931e-06 7.579914618051304e-07 4.0939302292886326e-06 -1.6654832840563192e-07
PC2 -3.1117473902096745e-06 -9.768864205307265e-07 2.5107763181100055e-05 4.0245759009921457e-07 9.01721687151048e-07 -1.1955333401333892e-07 -2.908978236833572e-08 -2.2512362762446776e-07 2.536330796984363e-07 -2.8923966200115564e-08 -3.241844118098609e-08 -9.959972691299309e-08 -2.462016207829396e-07 2.556134138237573e-07 -3.386614538288476e-07 2.533175137040536e-07 -1.0166174277644676e-07 5.993606785003866e-07 7.885648668174681e-08 -3.1278494156537136e-07 1.0912316667202937e-07 -5.343651667776743e-07 5.287645556448652e-06 1.7260241584157444e-06 -1.1460770681667449e-05
PC3 -4.5304670681084835e-07 3.955250611232749e-08 4.024575900992145e-07 2.4178151143431584e-06 3.520530643719657e-08 4.814977806257735e-07 2.713078956145198e-09 1.1494885354495331e-07 -1.0915261316734607e-07 -4.3324250010400934e-07 1.8068913250627543e-08 1.5669674186236732e-07 1.1318679139190039e-07 -3.742240256533911e-07 -6.907598085663687e-08 1.5080889370242886e-09 2.656904847276925e-08 -1.4807721543153123e-07 -3.041848982623977e-07 1.9798780167940145e-07 5.016964776657342e-08 1.4418731058517955e-06 3.727627571307406e-07 5.373259275879363e-07 3.318681207325583e-06
PC4 5.613863704228246e-07 -8.954341266379638e-08 9.017216871510478e-07 3.520530643719668e-08 4.2495379996374e-06 9.551230017031943e-07 -2.8498097189010476e-07 6.90349152073731e-08 -7.373707163640753e-07 1.4503339386305404e-07 1.545677502160519e-07 -1.3661712560113236e-09 -3.787985917465599e-07 -1.8654531026174948e-07 -8.05674647563256e-08 -3.989683383174186e-08 7.297626234389489e-08 1.3031606279922236e-07 -1.562176658069971e-07 -1.1373762161553151e-07 3.067501878704499e-08 -7.294448321932114e-07 1.2148924089035694e-06 9.204839927277701e-07 -4.266611699450144e-06
PC5 -8.226072246172546e-08 -1.9934247604620614e-07 -1.195533340133388e-07 4.814977806257736e-07 9.551230017031941e-07 8.16185603181187e-06 1.4057915015185725e-07 7.29463057098319e-07 -4.729775523082962e-07 -1.630005707696298e-07 -2.300902879951925e-07 -6.09758430006698e-07 3.384055824077454e-07 -5.222692514883433e-07 2.2001029379366156e-07 -1.468115589856788e-08 -9.077772409676516e-08 4.015174619886832e-07 -1.456077923002322e-07 3.138824327010586e-07 1.0920345396343611e-07 -1.5035898551548292e-06 2.6073076839916445e-07 -4.155771098943851e-06 3.914616394800331e-06
PC6 1.6004263969889738e-07 5.2509848779659635e-09 -2.908978236833578e-08 2.713078956145209e-09 -2.849809718901046e-07 1.4057915015185728e-07 8.050556781310373e-06 1.7334341506788435e-09 8.249121731638089e-08 2.4254731368287667e-08 2.561676460298717e-08 -1.4128107820705728e-07 1.0172469987998658e-07 -2.4769469702010545e-07 -2.1114156273412508e-08 2.1176233569214424e-08 -2.980842995420742e-08 2.593885827146764e-07 -8.703310369759278e-08 -2.9067581266488035e-08 -2.1963281809327415e-07 -7.151442933863139e-07 9.099342645140974e-07 4.0593909460655965e-07 -3.0001895267839857e-06
PC7 1.588537868650493e-06 1.2966990693787464e-07 -2.2512362762446736e-07 1.1494885354495317e-07 6.903491520737305e-08 7.294630570983187e-07 1.7334341506788303e-09 6.6215632852828564e-06 3.8363778660352244e-07 -1.1431563725351868e-07 -6.667246724805268e-08 5.498798738944833e-07 1.0610324219418775e-07 2.8380127423762186e-07 -6.843334532014617e-08 -3.206031415390794e-07 -4.1577771664621424e-09 -4.0018385609642185e-08 3.459254671145511e-08 2.1242226571783677e-08 -1.6330222779853075e-07 -9.886124509574248e-07 2.9164384453421714e-06 -5.443800713448939e-06 4.402415971614554e-06
PC8 5.256888637883836e-07 1.239808075745436e-07 2.5363307969843634e-07 -1.0915261316734613e-07 -7.373707163640755e-07 -4.729775523082967e-07 8.249121731638098e-08 3.836377866035221e-07 7.175378614153286e-06 1.4449047726367712e-07 2.0044317807887325e-07 -2.1376899164023388e-07 2.0427725244191041e-07 -2.3133411148021474e-09 -5.0192590069386543e-08 -1.7482426438479495e-07 7.91545336691623e-08 8.749879093709128e-08 -1.3846421027926796e-07 -2.1065854104655395e-07 1.666654321669405e-07 8.335365362847993e-07 1.1432215494109275e-06 -2.8118577472572366e-06 -1.9480379449991175e-06
PC9 4.813652177980575e-07 -3.331040128664763e-08 -2.8923966200115597e-08 -4.332425001040095e-07 1.450333938630542e-07 -1.6300057076962985e-07 2.4254731368287654e-08 -1.143156372535187e-07 1.4449047726367726e-07 6.441179207259678e-06 -7.057391123480938e-08 -1.5125171336564888e-07 -1.3634525249146507e-07 -1.0381699382594494e-08 -2.6308750387140103e-07 1.2842907740376854e-07 2.7144392459096424e-07 2.6217142915647824e-07 -1.6244715460744735e-07 -1.4050013016585428e-07 -2.1942122621183247e-07 4.275007851363473e-07 9.86889664320549e-07 -2.2624986369225214e-06 3.2506444144517174e-06
PC10 -4.26605994532635e-07 1.2466957962231391e-07 -3.2418441180986004e-08 1.8068913250627566e-08 1.5456775021605206e-07 -2.3009028799519235e-07 2.561676460298705e-08 -6.667246724805275e-08 2.0044317807887314e-07 -7.05739112348094e-08 6.135492561268483e-06 -1.847756094921278e-07 2.1534968778564146e-07 -2.9746517478984525e-07 -5.407125253815943e-08 -1.0768193202801754e-07 -3.1679970908009637e-07 1.559942584956995e-07 1.9688875773283385e-07 1.9969343711979178e-07 -8.365372768612453e-09 2.4867810217795206e-07 2.356477315464421e-06 -2.003146047007981e-06 -2.1829274713143633e-06
PC11 6.424004216699172e-07 -7.71904428240376e-08 -9.959972691299356e-08 1.566967418623672e-07 -1.3661712560114688e-09 -6.09758430006698e-07 -1.412810782070575e-07 5.498798738944834e-07 -2.1376899164023378e-07 -1.5125171336564888e-07 -1.8477560949212786e-07 6.019208107094143e-06 -1.5348481477966224e-07 1.69275629777017e-08 -2.645050497481961e-07 1.5138756237611003e-07 1.454011208442227e-07 1.400482954306739e-07 -2.7990669336808384e-08 2.538119663403756e-07 1.8903070364289023e-07 -3.9447940625604305e-08 -6.544637041928389e-07 9.71005346465147e-08 1.153525310771309e-06
PC12 -3.841385397022354e-07 2.872973568137373e-07 -2.4620162078293957e-07 1.1318679139190044e-07 -3.7879859174656023e-07 3.3840558240774534e-07 1.0172469987998649e-07 1.0610324219418764e-07 2.0427725244191052e-07 -1.3634525249146512e-07 2.1534968778564168e-07 -1.5348481477966213e-07 5.634658427160217e-06 -4.143983076088191e-09 -6.813547586245334e-08 -1.5399815511410747e-07 6.128501385788289e-09 -6.80436338970445e-08 1.1587440887546489e-09 3.7640911301912547e-08 -9.230226386965404e-08 -5.358855063244787e-08 2.1620175975947183e-06 -2.9132024591287978e-06 -5.432480912608305e-07
