 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband maternal gpm gmm
intercept 0.0003898463641122401 7.43093602392956e-07 -2.9858194169644774e-06 -5.148365708484579e-07 8.103809692824403e-07 -1.6560103760314877e-07 6.663820430846229e-09 1.8730570240524587e-06 6.115174252212954e-07 4.344994190184119e-07 -6.235455135414752e-07 3.2193362289562303e-07 -4.5736983488701825e-07 7.291678897607416e-07 3.2930284936996374e-07 -8.970794658839699e-07 -1.3214818796787847e-07 -4.2468531301584515e-07 4.892714501214617e-07 1.2907206218676442e-06 1.7929418104657936e-07 -7.07994587397907e-06 -3.8972265850722295e-05 4.1608921695527896e-05 6.221261841606351e-05
PC1 7.430936023929559e-07 1.4158905411651538e-06 -1.0176415274355246e-06 5.6694127117253575e-08 -9.051838523887225e-08 -2.2281322020081264e-07 1.5046932380306988e-08 1.3822730298909204e-07 1.2943458514411093e-07 -4.583546068593988e-08 1.2391791670073246e-07 -7.915587842687712e-08 2.939768371517297e-07 -6.858617561159261e-08 -1.4236596333627763e-07 -2.867714821025658e-07 -2.1614426799503676e-07 -3.94093123278582e-08 -2.0231680056658182e-08 7.6590238390319e-08 5.728850376019584e-09 2.580029860814191e-06 9.906271520328354e-07 4.443134207314982e-06 9.860345821132268e-08
PC2 -2.985819416964478e-06 -1.0176415274355244e-06 2.607989933721063e-05 4.093344866449011e-07 9.13913547253381e-07 -1.5467980630493632e-07 -3.6381841630712015e-08 -1.9538181341583948e-07 2.3977469931104197e-07 -2.0565107136919895e-08 -9.937972965505853e-10 -1.1466233117129053e-07 -1.8264949278448197e-07 2.7489317352356797e-07 -3.505227863375107e-07 3.165992228463737e-07 -8.03410437509989e-08 5.92967699277342e-07 4.607226354941187e-08 -2.7399701367380985e-07 1.0439837813156391e-07 -7.289049505784367e-07 5.066890605955488e-06 1.6729477981687136e-06 -1.1365841450685893e-05
PC3 -5.148365708484574e-07 5.6694127117253595e-08 4.093344866449009e-07 2.7738390787357782e-06 2.9916481282806016e-08 4.930800410328046e-07 -4.144762699191661e-09 1.1721947163934627e-07 -1.1134220500842137e-07 -4.422538791137927e-07 1.0121549531865227e-08 1.4571948143457696e-07 1.2224358200559734e-07 -3.8339460998437265e-07 -5.070491823523948e-08 -6.51308143790259e-09 2.7534663951804037e-08 -1.4771149179651402e-07 -3.0196631852364136e-07 2.0164380299685412e-07 4.428704225765168e-08 1.6067370255168154e-06 2.380403019054115e-07 9.77384159262221e-07 3.8236527409124345e-06
PC4 8.103809692824401e-07 -9.051838523887226e-08 9.139135472533808e-07 2.991648128280602e-08 4.776432679878402e-06 9.791267831647254e-07 -2.975981222320452e-07 6.402467991539702e-08 -7.190114696627447e-07 1.5030890277572758e-07 1.5756518974573534e-07 -1.802379136769607e-08 -4.056516297815306e-07 -1.76172871559632e-07 -5.7072283978302345e-08 -2.4333712154381686e-08 5.581824022587803e-08 1.1144315055009771e-07 -1.4619706387897918e-07 -1.1996847242266152e-07 2.232699400033135e-08 -8.997052113545825e-07 1.11458742126328e-06 1.3913678436617615e-06 -4.513486738592602e-06
PC5 -1.6560103760314742e-07 -2.2281322020081254e-07 -1.5467980630493638e-07 4.930800410328046e-07 9.79126783164725e-07 8.667869326143649e-06 1.2990187505173155e-07 7.296122481924754e-07 -4.345712172198253e-07 -1.5840102026456927e-07 -2.1357532618230092e-07 -6.086059485095993e-07 3.1084046948381575e-07 -5.012807144138928e-07 2.2571061100121096e-07 -2.1809497848651614e-08 -7.024957311886854e-08 3.773345964867972e-07 -1.1530859751991658e-07 2.7906490528385023e-07 9.170948453876551e-08 -1.4612739588820547e-06 4.030275157265065e-07 -4.497847151899824e-06 4.0174507474711005e-06
PC6 6.663820430845109e-09 1.5046932380306878e-08 -3.638184163071206e-08 -4.144762699191565e-09 -2.975981222320452e-07 1.2990187505173152e-07 8.463787776736553e-06 -9.515625205593485e-09 9.186062335491878e-08 2.999414334514854e-09 4.051634297887834e-08 -1.6200543580951875e-07 8.470823603137134e-08 -2.7598957956536763e-07 -2.555645378040826e-08 4.0344193761517036e-08 -2.487160861934803e-08 2.448168854124764e-07 -8.494165623712514e-08 -2.7288648879444985e-08 -2.2990536882229893e-07 -5.839404793221943e-07 8.668225086363969e-07 5.312267110437054e-07 -3.0920943631728214e-06
PC7 1.8730570240524585e-06 1.3822730298909212e-07 -1.953818134158393e-07 1.172194716393463e-07 6.402467991539708e-08 7.296122481924754e-07 -9.515625205593344e-09 6.934665090165917e-06 3.812029217370776e-07 -1.3068639727420335e-07 -8.845446903984794e-08 5.150174885425339e-07 9.405414833175972e-08 2.740130634933901e-07 -3.037400177394848e-08 -3.138265300359726e-07 1.310913027967381e-08 -2.663584242949857e-08 4.8490586413995454e-08 1.0093298685312423e-08 -1.631504224585578e-07 -8.414596678838444e-07 3.1628490468852704e-06 -5.841033683310213e-06 4.475906161176565e-06
PC8 6.115174252212954e-07 1.2943458514411095e-07 2.397746993110421e-07 -1.1134220500842143e-07 -7.190114696627447e-07 -4.3457121721982535e-07 9.186062335491865e-08 3.8120292173707733e-07 7.515011448105699e-06 1.293268265564915e-07 1.7248116912269203e-07 -2.0042663115417411e-07 2.486507680035998e-07 -3.4183762931498646e-09 -5.6968562550233104e-08 -1.9435251600970672e-07 9.048033928421113e-08 8.897763293064821e-08 -1.4500542645635878e-07 -2.0937715435088963e-07 1.6082091570463558e-07 7.962341916481017e-07 1.2280745387085915e-06 -3.048733996470017e-06 -1.959945519590116e-06
PC9 4.344994190184121e-07 -4.583546068593983e-08 -2.056510713691991e-08 -4.4225387911379265e-07 1.503089027757276e-07 -1.5840102026456945e-07 2.999414334514887e-09 -1.3068639727420327e-07 1.2932682655649142e-07 6.75791941992244e-06 -4.984954257387729e-08 -1.4969531504928172e-07 -1.1828622694620358e-07 -1.020063676190024e-08 -2.480391292977591e-07 1.4391212785884523e-07 2.8498155020857346e-07 2.4507330555071936e-07 -1.8960186319731951e-07 -1.425469569991783e-07 -1.9470961676869702e-07 2.10124620848364e-07 1.1296099461307468e-06 -2.4516232084745704e-06 3.1504446617485243e-06
PC10 -6.23545513541475e-07 1.2391791670073244e-07 -9.937972965507236e-10 1.0121549531865226e-08 1.575651897457353e-07 -2.1357532618230094e-07 4.0516342978878324e-08 -8.845446903984802e-08 1.724811691226922e-07 -4.984954257387706e-08 6.360860485224796e-06 -1.7679674094679964e-07 1.96072525124981e-07 -2.8841276563315406e-07 -5.509878638728566e-08 -1.2150385583480037e-07 -3.231064338339654e-07 1.4409606967693415e-07 1.9214149151917202e-07 2.0932244412693177e-07 -1.7853492252281027e-08 1.9295050099437796e-07 2.3871799721629327e-06 -1.8621669227539627e-06 -2.4997380033188807e-06
PC11 3.2193362289562324e-07 -7.915587842687706e-08 -1.1466233117129056e-07 1.4571948143457698e-07 -1.8023791367696102e-08 -6.086059485095998e-07 -1.6200543580951877e-07 5.150174885425338e-07 -2.004266311541741e-07 -1.4969531504928183e-07 -1.7679674094679972e-07 6.323013432538796e-06 -1.5935657893081567e-07 4.240530624481128e-08 -2.6365786107014866e-07 1.643447688622079e-07 1.357988069365367e-07 1.571389175749448e-07 -2.2314022204080086e-08 2.4709570319078614e-07 2.1457978530450275e-07 -1.2009913660990675e-07 -4.7313627183804147e-07 2.0303370068518355e-07 1.041195624014563e-06
PC12 -4.573698348870175e-07 2.939768371517298e-07 -1.8264949278448194e-07 1.2224358200559744e-07 -4.0565162978153037e-07 3.10840469483816e-07 8.470823603137118e-08 9.40541483317598e-08 2.486507680035998e-07 -1.1828622694620369e-07 1.9607252512498107e-07 -1.5935657893081567e-07 5.931277226032188e-06 -9.848287859854927e-09 -7.653444053800536e-08 -1.7830402860343853e-07 1.0081185065332916e-08 -6.983394235141453e-08 -2.074214374081161e-08 5.827300492424077e-08 -8.870391472138374e-08 -1.8646362841301967e-07 2.1651575597133177e-06 -3.1440691558001638e-06 -2.869397100153567e-07
PC13 7.291678897607418e-07 -6.858617561159264e-08 2.7489317352356786e-07 -3.833946099843727e-07 -1.7617287155963192e-07 -5.012807144138926e-07 -2.759895795653676e-07 2.7401306349339044e-07 -3.4183762931499056e-09 -1.0200636761900286e-08 -2.8841276563315427e-07 4.240530624481129e-08 -9.848287859854916e-09 5.936854060583102e-06 -1.9340096287890152e-07 4.147827084590797e-07 2.1875763118459878e-07 5.755863379334956e-08 -9.83967154428885e-09 -1.576058514393787e-08 5.9414552502668244e-08 8.841716700032761e-07 -4.1863689697443026e-07 1.8733929557383445e-06 -9.044768017469889e-07
PC14 3.2930284936996306e-07 -1.4236596333627768e-07 -3.505227863375103e-07 -5.070491823523947e-08 -5.7072283978302326e-08 2.2571061100121088e-07 -2.5556453780408376e-08 -3.0374001773948637e-08 -5.69685625502332e-08 -2.480391292977591e-07 -5.509878638728566e-08 -2.6365786107014856e-07 -7.653444053800532e-08 -1.9340096287890144e-07 6.172752981447529e-06 -4.350036174750053e-08 -9.431411622811291e-08 -1.3587203252405081e-08 1.85603347957862e-07 1.0499010681667661e-07 -3.024413420920031e-08 -4.864071852234343e-07 -1.7132331996590746e-06 2.3855547013270483e-06 -4.05315541267967e-07
PC15 -8.970794658839695e-07 -2.867714821025658e-07 3.165992228463739e-07 -6.513081437902524e-09 -2.433371215438168e-08 -2.1809497848651753e-08 4.034419376151706e-08 -3.138265300359725e-07 -1.9435251600970677e-07 1.4391212785884523e-07 -1.2150385583480055e-07 1.6434476886220782e-07 -1.783040286034385e-07 4.147827084590797e-07 -4.3500361747500486e-08 5.90460293127723e-06 1.8609771163261843e-07 -2.0485771093139603e-07 -4.447150925298368e-08 3.8085590022618575e-08 4.8418914276338104e-08 -1.1049584003770532e-07 1.1014874975949066e-06 -9.92707972937113e-07 -3.1699156017637563e-07
PC16 -1.3214818796787855e-07 -2.1614426799503673e-07 -8.034104375099917e-08 2.753466395180407e-08 5.58182402258781e-08 -7.024957311886831e-08 -2.487160861934802e-08 1.3109130279673799e-08 9.048033928421093e-08 2.849815502085735e-07 -3.231064338339654e-07 1.3579880693653656e-07 1.0081185065332965e-08 2.1875763118459838e-07 -9.431411622811307e-08 1.8609771163261846e-07 5.888176702754479e-06 4.165977224293696e-08 -2.0873632939625088e-07 -2.3364514948214543e-07 -1.2550244138570735e-07 -4.884374618366231e-07 3.656982788585892e-07 -7.399691240034053e-07 2.1327927935505614e-06
PC17 -4.246853130158451e-07 -3.940931232785825e-08 5.929676992773416e-07 -1.4771149179651397e-07 1.1144315055009765e-07 3.7733459648679735e-07 2.4481688541247664e-07 -2.66358424294987e-08 8.897763293064812e-08 2.450733055507194e-07 1.4409606967693407e-07 1.5713891757494466e-07 -6.983394235141444e-08 5.755863379334948e-08 -1.3587203252405027e-08 -2.048577109313958e-07 4.1659772242937265e-08 5.667684240425079e-06 1.7241051160640073e-07 -1.2147184075240618e-07 2.4678300776656987e-08 -1.2869333353999182e-06 -2.05187726219704e-06 6.917313959899047e-07 5.486553713423161e-07
PC18 4.89271450121462e-07 -2.023168005665812e-08 4.6072263549411866e-08 -3.019663185236414e-07 -1.4619706387897918e-07 -1.1530859751991651e-07 -8.494165623712496e-08 4.849058641399548e-08 -1.4500542645635883e-07 -1.896018631973196e-07 1.9214149151917194e-07 -2.2314022204080112e-08 -2.0742143740811608e-08 -9.83967154428875e-09 1.8560334795786203e-07 -4.447150925298369e-08 -2.0873632939625093e-07 1.7241051160640073e-07 5.491542083449477e-06 -9.328181948945334e-08 6.24461372765603e-08 -8.696958041761364e-07 1.4855035001044625e-06 5.1180800868125625e-08 -1.977777542339994e-06
PC19 1.2907206218676442e-06 7.659023839031903e-08 -2.739970136738097e-07 2.0164380299685407e-07 -1.199684724226615e-07 2.790649052838501e-07 -2.7288648879444928e-08 1.009329868531245e-08 -2.0937715435088958e-07 -1.4254695699917823e-07 2.0932244412693164e-07 2.470957031907863e-07 5.8273004924240566e-08 -1.5760585143937892e-08 1.0499010681667632e-07 3.808559002261854e-08 -2.336451494821455e-07 -1.214718407524062e-07 -9.328181948945342e-08 5.657073791994373e-06 1.5680281869263425e-07 -5.46495610843666e-07 -2.4569060196778064e-06 -8.953051674140985e-07 5.687156022033626e-06
PC20 1.7929418104657925e-07 5.728850376019539e-09 1.0439837813156379e-07 4.428704225765159e-08 2.2326994000331418e-08 9.17094845387654e-08 -2.2990536882229887e-07 -1.6315042245855783e-07 1.6082091570463558e-07 -1.94709616768697e-07 -1.785349225228101e-08 2.1457978530450289e-07 -8.870391472138374e-08 5.941455250266834e-08 -3.024413420920044e-08 4.841891427633836e-08 -1.255024413857072e-07 2.4678300776656924e-08 6.244613727656024e-08 1.5680281869263417e-07 5.216719083435944e-06 3.494826121815622e-07 -1.0867547664132446e-07 1.5718088077213093e-06 -4.270510807398309e-06
proband -7.079945873979089e-06 2.5800298608141907e-06 -7.289049505784356e-07 1.6067370255168144e-06 -8.997052113545837e-07 -1.4612739588820563e-06 -5.839404793221943e-07 -8.414596678838429e-07 7.962341916481033e-07 2.10124620848365e-07 1.929505009943776e-07 -1.2009913660990646e-07 -1.8646362841302078e-07 8.841716700032764e-07 -4.864071852234337e-07 -1.1049584003770435e-07 -4.884374618366225e-07 -1.2869333353999173e-06 -8.696958041761374e-07 -5.464956108436655e-07 3.4948261218156265e-07 0.00036921341028025656 -0.00018441417132919707 2.7175463146702823e-05 -2.580160995239002e-05
