(Intercept) covarSEX covarYOB covarYOBsq covarSEX_YOB covarSEX_YOBsq covarPC1 covarPC2 covarPC3 covarPC4 covarPC5 covarPC6 covarPC7 covarPC8 covarPC9 covarPC10 covarPC11 covarPC12 covarPC13 covarPC14 covarPC15 covarPC16 covarPC17 covarPC18 covarPC19 covarPC20 proband maternal gmm gpm
(Intercept) 0.00542958131398588 -13.5537343761778 -0.900519341152966 0.894074330825626 26.9331298644804 -13.3825581697724 0.000246016391463953 -0.00014611233270644 -0.000228922374947669 0.000233865204256349 -0.000175408649048781 1.14296780153153e-05 -2.29217781120797e-05 -8.6384839742792e-05 -3.94285344786317e-05 6.1714936846332e-05 0.00011498682445068 2.70931022613758e-05 0.000340575590866063 4.04460101467303e-05 0.000204493157006113 0.000169522942046343 -6.94377924148388e-05 8.15881701703475e-05 0.000245976846001825 -3.35191241005924e-05 0.000109938485201368 -0.000291772973851919 0.000419446647511388 0.000336935584762665
covarSEX -13.5537343761778 1071016.66502688 22110.3234230907 -22024.6778750356 -2135850.38569588 1065020.07266731 0.0530208816508554 -0.154615292740636 -0.314766033878672 -1.10385511518923 -0.179877013201914 0.502379591069788 0.319668616692613 0.88691897936054 -0.801405411089125 0.217435150275843 0.561912468971971 0.732464987742931 0.944500945106132 -0.883080062003819 0.537081405260376 0.194478565176257 -1.68760420446862 -1.19933020976606 0.814892403371408 0.180600423433921 0.54869640791231 -1.98136504068133 3.49000150643926 0.813044935545391
covarYOB -0.900519341152966 22110.3234230907 722.242608472914 -719.458419396245 -44083.1899039772 21976.7645832185 0.00422598089857612 0.00485793114035443 -0.00050372687029303 -0.0787211618927606 0.00574346563069476 0.0304254226295251 -0.0112536123838742 0.0359569216620083 -0.00947783177890069 0.00130579811136039 0.00980766947036755 0.0601825032417807 0.00320051999770331 0.0139047013241151 -0.0128339767731179 -0.034091066563246 -0.0330973404632196 -0.0187075458442884 0.00154065450517881 -0.023551749335912 0.0123573471608065 -0.036108255519587 0.0719264506864475 -0.0221990683542177
covarYOBsq 0.894074330825626 -22024.6778750356 -719.458419396245 716.696376909474 43913.1315671444 -21892.3338813355 -0.00462799623528122 -0.00470307688527575 0.000551356854257992 0.0783546971973836 -0.00579178781914497 -0.0304728718814841 0.0111424396168188 -0.0358380966736974 0.0095005661643197 -0.00116152098160082 -0.00978158428927894 -0.0600336189503125 -0.00313295295144387 -0.0139588894342584 0.0128938381532454 0.0340839236867696 0.0328603902389938 0.0185430521995071 -0.00168355846677667 0.0234984287539853 -0.0123555097247844 0.0356922558580727 -0.0714511003943057 0.0222102491630777
covarSEX_YOB 26.9331298644804 -2135850.38569588 -44083.1899039772 43913.1315671444 4259440.85966566 -2123961.82254719 -0.125763934947398 0.306027784097435 0.625649757466376 2.1975842497721 0.365988521539724 -1.00518309084865 -0.635667427889498 -1.76958818862756 1.59735460946068 -0.427610941457444 -1.12936311249275 -1.45259798018017 -1.87282594365144 1.76020265036951 -1.05883511931041 -0.381638620220849 3.36058681012331 2.38361545209605 -1.63199455187809 -0.364915897105276 -1.10583435699606 3.9604638571735 -6.9738375265037 -1.61292740569475
covarSEX_YOBsq -13.3825581697724 1065020.07266731 21976.7645832185 -21892.3338813355 -2123961.82254719 1059126.78240131 0.0725363425886955 -0.151488073679004 -0.310936769279735 -1.09394965765819 -0.186105195933911 0.502973743237054 0.316017280399871 0.882821133996463 -0.796132051151198 0.210245431441369 0.567531820956327 0.720327314859906 0.928520452866029 -0.877293415501848 0.521970709973834 0.187267515203782 -1.67324144632465 -1.1844860576141 0.817227804192408 0.184283309660228 0.557126374025963 -1.97930914404348 3.48449974581519 0.799931977883921
covarPC1 0.000246016391463953 0.0530208816508554 0.00422598089857612 -0.00462799623528122 -0.125763934947398 0.0725363425886955 0.00319296646145353 -0.000567327047932012 0.000284476911945738 -0.000111522808036803 -0.000219408393323812 1.34827880008461e-05 0.000139383310482372 0.000178342018442318 -2.03411593620485e-05 9.57757894157332e-05 -0.00010122572264606 0.000405023973964179 -0.00010732612596599 -0.000176440677473369 -0.000367342026711968 -0.000319215769752973 -5.79450619719069e-05 -8.44909676681725e-06 9.06776303067745e-05 1.46186519634383e-05 0.000462658566245587 5.26405415154657e-05 -0.000159976544364665 0.00066792355973036
covarPC2 -0.00014611233270644 -0.154615292740636 0.00485793114035443 -0.00470307688527575 0.306027784097435 -0.151488073679004 -0.000567327047932012 0.00295050148421467 0.000153482775103077 0.000299425177912454 -3.14922533577153e-05 -1.49794656697581e-05 -6.12415955565317e-05 3.32464818125856e-05 -1.15357795750069e-05 -1.96441830836522e-05 -3.37751632156439e-05 -0.000140473878290852 7.5640535075062e-05 -8.61423690240494e-05 3.32326804718986e-05 -1.11585622849076e-05 0.000167032340819984 4.96730231676893e-05 -0.000133892809045203 3.40965605609229e-05 7.83772269564418e-06 0.000138803869340828 -0.000356152135888622 8.02828002326484e-05
covarPC3 -0.000228922374947669 -0.314766033878672 -0.00050372687029303 0.000551356854257992 0.625649757466376 -0.310936769279735 0.000284476911945738 0.000153482775103077 0.00290737736911852 2.27576917766953e-05 0.000382690713162284 -3.32349562637452e-06 0.000116607677758935 -8.947568211757e-05 -0.00032978984473432 3.3817287991713e-05 0.000119009408639214 6.50608746875383e-05 -0.000331011501168828 -0.000133498691042138 6.65227753196558e-06 1.26406821820213e-05 -0.000183023839054202 -0.000280678568600892 0.000146684600346508 2.84105959401317e-05 0.000151403100618081 1.62945982323252e-05 0.000351974295312209 -1.2007012142576e-05
covarPC4 0.000233865204256349 -1.10385511518923 -0.0787211618927606 0.0783546971973836 2.1975842497721 -1.09394965765819 -0.000111522808036803 0.000299425177912454 2.27576917766953e-05 0.00283721439129351 0.000545038315627202 -0.00018446586126692 0.000106551805581948 -0.000520729064006632 6.14168072405241e-05 8.24593558430432e-05 -2.95738943309896e-06 -0.00024100423350904 -0.000105303026945236 -7.79361240023174e-05 2.29991432121723e-05 7.71983356791802e-05 0.000137505731007685 -0.000134331694873288 -6.00265636179863e-05 4.83527635174631e-05 -1.33817562724133e-05 0.000107741544033109 -0.00033431394656461 5.40417804883292e-06
