 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal gpp gmp
intercept 0.0006668593147288982 4.109719724550702e-07 -1.5316151345191225e-06 2.9356624746652435e-07 1.4641501083815188e-06 -4.996546486039351e-06 4.36050579783036e-06 2.2297063032817025e-06 6.418387151636843e-07 1.04822340179954e-06 -3.173383588760326e-07 5.842466251855007e-06 -4.132821718589288e-06 2.6383331846170757e-06 -2.985781234138454e-06 -1.9294316374378834e-06 3.042653063924194e-07 1.6616680493850022e-06 1.1924773546587852e-06 3.845141145527416e-06 -7.001277190712337e-07 1.7011751670238334e-05 -9.059986485832892e-05 0.00011079582203151573 8.244241030787806e-06
PC1 4.109719724550706e-07 2.5902336261724394e-06 -2.1438111512566353e-06 -4.3680689337230395e-08 -3.0180985929217543e-07 -3.876629678439712e-07 6.2718767955329735e-09 -1.748643947893408e-07 -1.4610670105943498e-08 7.412313242013452e-08 -3.292917145186528e-08 -3.574636844889354e-07 8.277918157095086e-07 1.7290775004724201e-07 -5.596757362515336e-07 -7.479070891443445e-07 -7.662093079094079e-07 1.710307769773086e-07 -9.880044339797465e-08 1.6941020179384457e-07 2.279017155033778e-08 6.494555199356137e-06 -4.541921787740654e-06 9.318520101375966e-06 9.505001802984094e-06
PC2 -1.531615134519123e-06 -2.1438111512566366e-06 5.892011709908388e-05 9.89783943095171e-07 2.1524255905361352e-06 -5.64463914746961e-07 1.0902124586394852e-07 -1.8500533655687804e-07 1.0904130326466474e-06 -2.007439204308818e-07 5.548873219574924e-07 5.339736482714114e-07 -8.42103155898449e-07 -1.1845476454225202e-07 1.0480033442852451e-06 -2.8756685818090174e-07 -1.372318607381304e-06 1.2599072783043024e-06 -3.7084318263485946e-07 -4.844208990234785e-07 -4.498624411197796e-07 -2.8481073019284006e-06 -7.991638532600665e-06 4.315821360741798e-05 -2.2197756868206554e-05
PC3 2.9356624746652483e-07 -4.3680689337230375e-08 9.897839430951704e-07 5.168926482395842e-06 8.791729171008044e-08 1.4524554930500115e-06 6.942581606378408e-08 7.428179364866238e-07 -1.8384778272128622e-07 -1.0111474318514735e-06 1.6755408281153972e-07 3.5517873628929256e-07 1.1315042468433103e-07 -7.512331488368133e-07 -5.724750194831521e-08 -4.376775924911074e-07 1.3842048935947733e-07 -5.702366409395795e-07 -3.5904615229797147e-07 4.111015495218926e-07 2.589044678037999e-07 1.4444492261020005e-06 7.414428725465668e-07 -1.3480558303799247e-05 1.971418205766451e-05
PC4 1.4641501083815176e-06 -3.0180985929217543e-07 2.152425590536134e-06 8.791729171008034e-08 8.843538270152808e-06 2.2276007093644554e-06 -1.3844023181543505e-07 3.9705347126646483e-07 -1.2372623838093533e-06 8.685010531311712e-07 2.4117162852872024e-08 5.401498115645418e-07 -1.0212389480758602e-06 -1.7089240504252934e-07 -1.307523045265488e-07 2.7668597110293183e-07 3.4947261020019064e-07 -4.029428803048008e-08 -2.1266302475047496e-07 -2.1306184178003652e-07 -4.1959926763321696e-08 -2.438701612682497e-06 6.5504429258571446e-06 -9.033646675115424e-06 -6.484207279840925e-07
PC5 -4.99654648603935e-06 -3.876629678439714e-07 -5.644639147469625e-07 1.4524554930500119e-06 2.2276007093644562e-06 1.963192192703875e-05 9.503035100172338e-07 2.6353726369094847e-06 -7.464433532895295e-07 -8.997939498146886e-07 -5.750236103219669e-08 -1.2785222491985655e-06 6.878369060098403e-07 -1.5198822470274101e-06 6.871218655746122e-07 4.477706638317411e-08 -4.703169346976283e-07 9.379091810019808e-07 -4.604910396191835e-07 -3.5460117216545242e-09 -9.043005422640855e-09 -3.4358971788333616e-06 -1.3965661083120056e-06 1.0569216627949552e-05 -8.552966796548247e-06
PC6 4.3605057978303665e-06 6.271876795532863e-09 1.0902124586394851e-07 6.942581606378379e-08 -1.384402318154354e-07 9.503035100172335e-07 1.86527297955053e-05 1.1736959070906684e-08 -4.0666541314216936e-07 8.178839451190837e-07 -1.9690344200752135e-07 -2.4133315709364317e-07 -1.8678677759655173e-07 -8.594302317467995e-07 1.4305700569979276e-07 -2.108380898735854e-07 -5.523978720434306e-07 1.2512022154275842e-06 -4.888192150054442e-07 -4.938720527360423e-07 -4.3021593859197924e-07 -1.1731222466722295e-06 1.2654714507431852e-05 -1.1234313495552254e-05 -6.9895832665967805e-06
PC7 2.2297063032817017e-06 -1.7486439478934097e-07 -1.8500533655687822e-07 7.428179364866247e-07 3.970534712664658e-07 2.6353726369094856e-06 1.173695907090651e-08 1.5512465446534552e-05 5.125066909911129e-07 -8.261731421841478e-07 -6.912890024214984e-08 1.4453185174257026e-06 3.5101572717696465e-07 1.2858389135369372e-06 -4.3689065415343433e-07 -5.964420236259145e-08 -5.192429182769832e-07 -2.4140831478696493e-07 3.1088570700688007e-07 -2.0496409138378154e-07 -3.9316313382419407e-07 -1.3757724713950816e-06 -1.0316176758092598e-05 9.356817735479277e-06 1.0275231507443015e-05
PC8 6.418387151636807e-07 -1.4610670105943681e-08 1.0904130326466491e-06 -1.8384778272128614e-07 -1.237262383809353e-06 -7.464433532895292e-07 -4.0666541314217105e-07 5.125066909911136e-07 1.687502050861173e-05 3.9594365786680573e-07 5.622663016384896e-07 -8.950279828992437e-07 -1.480151051875122e-09 4.62204141942993e-07 -1.6523102602847939e-07 -1.2174615836636541e-07 -9.992123403042773e-08 -3.3791044129681984e-08 -1.1471751455928673e-06 -4.9329997036353676e-08 4.605469227774045e-07 -3.850368457144702e-06 4.2026166969401894e-06 3.238134122142718e-06 -2.2330020583523946e-06
PC9 1.0482234017995399e-06 7.412313242013456e-08 -2.007439204308815e-07 -1.0111474318514732e-06 8.68501053131171e-07 -8.997939498146881e-07 8.178839451190834e-07 -8.261731421841475e-07 3.959436578668059e-07 1.3940663762353451e-05 -1.2933690708550613e-06 -1.1374305363723813e-07 -4.002360550576928e-07 -4.770255729878746e-07 -3.327099311552652e-07 -1.292036882681664e-07 7.567073204960594e-08 5.510143885490707e-07 -5.798942210829469e-07 -4.837514685210975e-07 -4.96575511373442e-07 4.529896200460354e-08 1.1935415861969479e-05 2.5776900663919595e-06 -1.2910733034910638e-05
PC10 -3.1733835887603613e-07 -3.2929171451865424e-08 5.548873219574919e-07 1.675540828115395e-07 2.411716285287205e-08 -5.750236103219681e-08 -1.9690344200752132e-07 -6.912890024215002e-08 5.622663016384892e-07 -1.2933690708550605e-06 1.6225953850438465e-05 -5.668366909256333e-07 2.6347442333518244e-07 -5.01592847741693e-07 -4.672203776673256e-07 3.441518708158738e-07 -4.0707657352704653e-07 -3.090305357081956e-07 4.773720411837543e-07 7.692185271724896e-07 2.104210421123582e-07 -9.61015409265903e-07 5.142699168662097e-06 -6.742122460266662e-06 -8.234945321901888e-06
PC11 5.842466251855006e-06 -3.574636844889355e-07 5.33973648271411e-07 3.5517873628929256e-07 5.40149811564542e-07 -1.2785222491985645e-06 -2.413331570936426e-07 1.4453185174257026e-06 -8.950279828992442e-07 -1.1374305363723822e-07 -5.668366909256334e-07 1.3396251720423218e-05 -4.790207312912583e-07 -1.1777873222700525e-07 -5.075522505681071e-07 2.964105572506565e-07 -3.9859598410422593e-08 -1.3050619465709857e-07 -9.345029877915604e-08 3.121734487062745e-07 5.415943832664084e-07 -1.1832713206994863e-06 -7.18394769383559e-06 9.431987249660074e-06 -4.436618302369508e-06
PC12 -4.1328217185892815e-06 8.277918157095081e-07 -8.421031558984477e-07 1.1315042468433088e-07 -1.0212389480758597e-06 6.8783690600984e-07 -1.8678677759655154e-07 3.5101572717696486e-07 -1.480151051875425e-09 -4.002360550576929e-07 2.634744233351827e-07 -4.79020731291258e-07 1.2942438679584251e-05 3.857416622978016e-07 -3.701517205038998e-07 -8.641076369774305e-07 -1.4809458039871714e-07 8.573532587342467e-08 5.480606144620359e-08 5.579247711888037e-08 1.1397941603205442e-07 2.4564007688179972e-06 2.9499516952989026e-06 -7.302319209578586e-06 -4.952728113155548e-07
PC13 2.6383331846170744e-06 1.7290775004724188e-07 -1.1845476454225153e-07 -7.512331488368133e-07 -1.7089240504252937e-07 -1.51988224702741e-06 -8.59430231746799e-07 1.2858389135369372e-06 4.622041419429934e-07 -4.770255729878745e-07 -5.015928477416934e-07 -1.1777873222700547e-07 3.8574166229780175e-07 1.2792306253942972e-05 -2.3717944971306298e-07 1.2333640721294851e-06 -1.2149598578020678e-07 2.0008782434394965e-07 -8.653549297318599e-07 -2.9129359210240217e-07 2.9865647663150984e-07 7.875914694659608e-07 4.052252942359754e-06 4.41291789683533e-06 2.7154592220523964e-06
