 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal gpp gmp gpm gmm
intercept 0.000434641817377489 1.2369319189976184e-06 -6.356144753050639e-07 -5.3113204922604306e-08 3.6827021872833557e-07 -8.622760681293246e-07 1.4372006707609868e-06 5.495010596119624e-07 1.34566770602143e-06 7.587926762429489e-07 -6.146219421665247e-08 3.780679184928402e-06 -2.9095519008620073e-06 1.8746851205331147e-06 -1.4025496063757494e-06 -2.293001980868397e-06 -1.939803322513353e-06 -1.7984574339980556e-06 -1.100623308661698e-06 2.047098858427796e-06 3.53323705362599e-07 1.3251768799729206e-05 -0.00010486093465851528 -9.998380956562214e-05 0.0001499455421553779 2.460246407159002e-05 8.944556661393186e-05 4.471860579637927e-05
PC1 1.23693191899762e-06 1.5646534791737467e-06 -1.4046153013855095e-06 -7.971629973877902e-08 -5.5809033817725224e-08 -2.962244198372956e-07 6.63358787807948e-08 1.2572485074705535e-07 8.00349878517049e-08 -1.9112989037411113e-08 5.52887624001458e-08 -6.547176277371922e-08 4.7677700960218385e-07 -5.2345347753737335e-08 -3.0858176330311785e-07 -5.480399916140261e-07 -4.740965641996445e-07 1.8112365737807448e-07 -7.085020781952697e-08 1.1006371545941427e-07 -3.57589580585939e-08 7.624637718459956e-07 7.006614862938298e-07 2.0769310355881687e-06 5.202909774768855e-06 2.023197464310495e-06 2.348450830091056e-06 -1.6450364498815384e-06
PC2 -6.356144753050634e-07 -1.4046153013855088e-06 3.664042741033875e-05 7.809886420496644e-07 1.0916192034409795e-06 -4.915914873698135e-07 1.2310841979014146e-08 -4.0820925875047525e-07 9.226996433622842e-07 -2.597174963755504e-07 3.7134645986899314e-07 -5.279650784317387e-07 -6.956210855123595e-07 4.786168598523349e-07 -7.941271914190127e-07 2.6252274630856797e-07 4.491669105828379e-08 6.401018782306358e-07 1.851870488103491e-07 -4.807107729226235e-07 -2.989358057914812e-07 -3.714985854561887e-06 1.994198158371268e-06 9.02805661841021e-06 8.945701371956607e-06 -1.2012335293860323e-05 8.157697567329366e-06 -1.803274631047021e-05
PC3 -5.3113204922603076e-08 -7.971629973877886e-08 7.809886420496639e-07 3.0195136734449362e-06 1.2469256636355565e-07 7.612195248266819e-07 4.224120651539748e-08 3.2945664224656407e-07 -1.2497081984337196e-07 -7.125664410864691e-07 9.383335783020905e-08 2.215384907466412e-07 1.6278075149734775e-08 -4.677434338629689e-07 3.784469245412843e-08 -2.954671915318135e-08 1.1361361194873101e-07 -3.201008827158396e-07 -3.4230201977087167e-07 2.966996389814711e-07 8.729438598732939e-08 2.0837891418922356e-07 2.6897036068804285e-06 1.8381090316389656e-07 -7.781259416352907e-06 7.759617461036383e-06 3.542044656316552e-06 1.0941904583425354e-06
PC4 3.6827021872833557e-07 -5.580903381772515e-08 1.0916192034409797e-06 1.2469256636355565e-07 5.619847291243534e-06 1.2871081304924071e-06 -2.4342194234367324e-07 1.3023742001701884e-07 -9.55570335654959e-07 2.8760033120487254e-07 1.9310302316957222e-07 1.5429401207775499e-07 -6.612159000781714e-07 -3.514568709774767e-07 -9.428478119938699e-08 -1.16792926601327e-07 7.15017525594695e-08 9.087478936977791e-08 -3.2893522945572086e-07 -1.6086364160319998e-07 1.1013134613968725e-07 -1.6576362775741903e-06 3.256418195887027e-06 2.9039388643720586e-06 -1.8564431576309062e-06 -9.852515821231817e-07 2.2054461189995784e-06 -4.071593068099274e-06
PC5 -8.622760681293207e-07 -2.962244198372957e-07 -4.915914873698135e-07 7.612195248266821e-07 1.2871081304924076e-06 1.1648559538953725e-05 3.4326387999790694e-07 9.489676052345661e-07 -7.152452234406217e-07 -2.905464196169323e-07 -2.3081440138543847e-07 -8.951659699984791e-07 3.4585183185370626e-07 -9.580027575781943e-07 5.161931390161313e-07 -2.0938608173962287e-08 -1.1874986980015513e-07 5.723913490934097e-07 -2.3424453106813772e-07 2.7652407079108863e-07 8.854094842774761e-08 3.4371616846034137e-07 2.6232435059902475e-06 -4.527053957589976e-06 -8.121975984987148e-06 -3.494778903118151e-06 -7.399080796435955e-06 1.3265689751267325e-05
PC6 1.4372006707609857e-06 6.633587878079472e-08 1.2310841979014182e-08 4.224120651539745e-08 -2.4342194234367313e-07 3.432638799979068e-07 1.1213144284889411e-05 -2.7976130271415773e-08 2.4358486765317706e-07 1.806839930802086e-07 2.4669745152477365e-08 -3.5161089792517516e-07 9.774095393252594e-08 -2.774171110108924e-07 -1.5939911118940606e-07 2.4902015356292304e-08 -6.297091749580329e-08 2.0453817112911407e-07 -2.55878941455271e-07 -1.7130738721368207e-07 -4.106820129564125e-07 -1.0212870034377526e-06 2.627564623719154e-06 -1.4190302459519124e-06 -7.243187641983945e-06 2.4618245131292494e-06 3.5216880978381273e-06 1.7789580264914996e-06
PC7 5.495010596119624e-07 1.2572485074705517e-07 -4.082092587504749e-07 3.2945664224656397e-07 1.3023742001701887e-07 9.489676052345662e-07 -2.797613027141581e-08 9.38675626978815e-06 6.477737976356268e-07 -1.4042251327472912e-07 -1.1214399476507984e-07 1.0267729353173676e-06 1.30577440757056e-07 3.6278124453635083e-07 -1.6797662760748877e-07 -3.1116411021750734e-07 -3.3090769763754926e-07 -1.455337642755241e-07 8.537242588592164e-08 6.453459060456371e-08 -1.8025410585685051e-07 -1.6536316228714123e-06 -3.083419562438087e-06 -3.4196158673253016e-06 -2.44998508403409e-06 1.1197186801519438e-05 -5.460116505000958e-06 1.3050375563136482e-05
PC8 1.3456677060214291e-06 8.003498785170474e-08 9.226996433622841e-07 -1.249708198433719e-07 -9.555703356549592e-07 -7.152452234406214e-07 2.4358486765317695e-07 6.477737976356271e-07 1.0121589984227253e-05 3.139498037037334e-07 6.052610574750333e-08 -6.089220614911951e-07 4.057833402656191e-08 5.265809842747562e-08 -6.517911089439286e-08 -4.697510018884435e-07 -6.859786746895011e-09 1.2059397800429875e-07 -4.657370047053073e-07 -2.5197020869917716e-07 2.98768574687393e-07 1.342682895126857e-07 -8.546107355343535e-07 -2.844883400977037e-06 2.7057212441521633e-06 3.060127464689745e-06 4.408692062341171e-06 -3.993081728565759e-06
PC9 7.587926762429492e-07 -1.9112989037411067e-08 -2.5971749637554987e-07 -7.125664410864695e-07 2.8760033120487264e-07 -2.9054641961693263e-07 1.8068399308020855e-07 -1.4042251327472907e-07 3.139498037037336e-07 8.798755797219705e-06 -3.115577093888804e-07 8.15229634237733e-08 -3.951872018204978e-07 -5.5025986033804716e-08 -6.626411348979665e-07 1.962354232184292e-07 3.7841783215750323e-07 5.118080507557683e-07 -1.752448096850495e-07 -5.873255070060745e-08 -4.622649836420023e-07 -1.2288201525952823e-06 4.466454874880359e-06 -9.33473586069963e-07 1.7352888224024868e-06 -3.8143116167956954e-06 -5.148920415518251e-06 9.488383744339234e-06
